,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,target,noisy target,group,level-0,level-1,level-2,marker
678,102,1.2375232265834208,0.0893148979020445,,,1.7080243275699964,0.42639408457602485,,0.6923172168337016,0.47012554544143287,0.631665180071452,,0.05306572636542412,0.6948739026043432,0.5739043408822636,,0.8733077455989221,,0.4898226377178422,0.6194035698386996,,0.5485483922817032,0.34657244537311155,,1.0,0.07026940165888593,0.6185741184803227,0.3416500160404103,0.6424828175309831,0.0,0.2665298690005773,1.5009441620753032,0.6339582898515049,0.1662139025506799,0.783594549383085,0.5069114456692086,,0.23954740196239188,0.6823911015386254,,0.5909006757840595,0.056299449610752596,0.8136359569827991,,0.4631716578093745,0.80792364058099,0.5121504872187437,0.5282940512364561,,0.8634396200793465,,1.4492697111398343,0.49664466634317556,0.7576647545599576,,0.35323529619274074,,0.42753971820688286,2.2226045225933557,0.7977793356618202,0.13029868520085813,,,1.627272904172754,0.2362837863763134,0.6022061555522897,1.3238258693606455,,0.5062667800534243,,1.6730506323025454,1.5867748746403225,0.4685554127233732,,0.23199079267821227,,,,0.0,0.4286493088553729,2.5305081195739736,,0.4746002425230313,0.68789713395884,0.928259620758985,0.18615653946890093,1.4461406684195748,2.598259047618689,1.5678019726007546,0.3959897759287113,0.5597934323232667,0.4441388687491807,1.4408666454305878,0.5921534829491184,,,0.5094225146531973,0.6145244848187764,0.5064441139086241,0.4124667474400157,,11,11,21,0,1,5,
346,9,1.3661802741398685,0.6775186390679788,0.1868096162939496,0.7877870527179626,1.4896033808194682,0.19315624342632082,0.9247289758764975,1.0,0.8674722231234119,0.9735402980696243,0.6438504812560049,0.7813697212201053,,0.5978423450509812,,,0.7839946270959951,,0.12203574689359595,,0.8278766525686494,0.44993419830754156,0.3993877327702401,0.7128336619389817,,0.5456903777613556,0.0,,0.41226301466450493,,,0.34255787388395653,0.0,1.0,0.0,0.1820218146790603,,0.16716954893941688,0.6650787847355066,0.3909124226356176,1.0,1.0,0.8486001083964131,,,0.0,,,,,1.46418724688604,0.0,0.4222555374116542,0.12884583506648278,0.5400163372271933,0.9334562507675821,0.7274244589713513,1.4858008290492164,0.6609767720843693,,1.3752991861326187,0.5635863672848163,0.0,,0.7150151135374692,,0.5244051531466973,0.41463457043938695,0.400423085946388,0.6388655025277532,1.3899617916504057,0.7438960144610268,,0.001436403644882056,0.3591960058994407,0.5880623760809514,,0.24589273308885198,0.3069570703543555,1.5292318041772859,0.6877004999761512,0.2677777131471448,0.0,1.0,0.8684108441288141,0.4328175985450051,2.1946130972308935,,0.07296631289570363,,0.5283115867747149,0.19638603189044876,0.1594140688676114,1.0,1.5323362645033929,0.26847606303208194,0.6604277464223349,0.8469082168415113,0.0,,49,49,14,0,1,3,
808,28,1.6460305839274358,0.7715526086448866,0.6218337636820255,0.6948078204131719,1.2806112191527652,0.6477168262405736,0.7646134634753288,0.5482801595571087,0.6004944464268778,0.6567883557689941,,,0.19932901460788635,0.7282212690255071,,0.5790033239174324,0.43900149512009895,0.7605976551817648,0.21060969275513786,,0.513554364031804,0.40041414551095983,,0.756097502476804,0.410548493271341,,0.6298467604036547,0.27606232597752284,0.4669699571260238,0.47800749759611766,1.4479881949881328,0.8040120120445907,0.3369569031225749,0.47827539619966164,0.5435205063459011,,0.34321818873571514,0.46102410624355494,0.611370095031356,0.19215650373891224,0.6034047358524822,0.32306987042220303,0.4344649023325427,0.12253185332962345,,0.4242248350173182,0.504449735374291,,0.7572701029165946,,1.5701322137099225,0.4588690859175604,0.34677117100561683,,,,0.4873404907922415,2.33132775580644,0.7763220656768067,0.36239332505074784,,,1.2584941397505818,0.3642610409643085,0.2819124209963957,1.167152093252283,0.4645678223050018,0.6904746463013177,0.8079243131565974,1.5002640280198576,1.4719375473523613,,,0.3435553907175829,0.6404282564285791,0.5698915972107466,,0.7705742381718663,0.539852306060644,2.4222650542375295,,1.515338060415898,,0.4448480581337088,0.43084378762576714,1.469958046186017,2.6008878315646426,1.459038661829453,0.6249584617489818,0.4589249833744531,0.5747856647349783,,0.3393784445021083,0.6545181401718334,3.4436395817460257,0.3020556196440946,0.3471971061301958,0.9193262105366107,0.5861422681804732,,37,37,23,0,1,5,
208,11,1.4276568793035587,0.6763093666265522,,0.9199759698074529,1.6164748490085774,,0.7310053598311531,0.4885027935385453,0.6224598070671179,,,0.31105062662673466,0.6689048311102419,,1.8513560713423214,,0.4065963736612487,,0.576183552813205,,0.8031433954471154,0.6209646500273652,0.0,0.43397293113345975,,,1.0,,0.4894893430952773,0.726694744996381,2.0,0.2823268817716781,0.8769901048482076,0.0,0.8744151833845819,0.17894483281860876,,,,0.466384157560149,0.6912266788055967,0.16943938805309836,,0.03802013589997104,0.35321865273797276,0.42341033924189886,,0.637839827378396,0.4946737863250985,0.19348912286523515,1.492758657174282,0.3682704646030591,0.4231949571450929,,0.5562409002683761,0.17217904736564998,1.0,0.10720978790774721,0.5896027124149019,0.4276927689773487,1.6034167365443937,0.6124114267201975,,0.3495232665572209,0.6173593389885685,1.7538252156665353,0.2722527911970362,0.4052526223175637,,0.39070080072637936,0.4685109350801585,0.8479486504663434,0.5715564358756859,0.45089951046611193,0.1520593851770568,0.34030273194751964,1.5378424399348303,,0.30600228842456234,1.8598421830992775,0.8657039815234291,0.662263945177432,,0.4335696287894582,,0.4594571673942095,2.639734393909259,1.5724556209458056,0.7309924398432192,,0.2046347307395407,,0.8084286282244234,0.5107674611082906,0.665626432528572,0.6519653304501886,0.012585860539186306,0.5631650366107478,0.722811474031235,0.4717536146652901,31,31,11,0,0,2,
29,14,0.26449032701544845,0.6882621224448124,0.051335144343424705,0.5912802514299478,0.12975376552909273,1.0,0.8018761738102884,0.5168566886390374,0.748208304391795,,,0.2981995657321276,0.426536252614829,0.3516949470143069,,0.43302527810859415,0.5396391229461541,0.43573828521544605,0.06626247404604534,,0.3359534730531825,1.0,1.0,0.0,,0.5867151757935507,,,0.53432049579097,0.5843676834945747,0.5992180792294454,,0.45275411242875624,0.009835744254271642,0.9935066086586481,0.4643522167363327,0.07057969960136388,0.7248881839755409,,0.7873029561481095,0.620732954278459,0.7727149392260626,1.0,0.21972560994859253,1.0,0.0,0.7355577099839395,0.7037640210017271,,0.5515418503883668,0.19665249180457017,0.37609611727424297,0.0,0.34629095941729965,0.0,0.38073420118571744,1.0,,,,,0.44770740784067065,0.35485970358249386,0.7526251570462609,0.9286342571053847,1.0981149242690176,0.6425264813178224,,,0.4601428627929195,0.516416734316285,0.0,0.8636664207318345,,,0.3789532239065092,1.9920022796434969,,0.25608397481202033,0.3077332499563455,0.5650117798820232,,0.7740945610564379,0.8054161206416992,,,2.980093105375878,0.6155392950895127,0.9104963845423396,0.43600636082084276,1.0,0.1206500792778483,0.45839457563062314,0.0,0.16548878271289255,0.6400910098400764,0.9291630314632738,0.20924612587591374,0.5437892734241638,0.5142546621729973,7,7,3,0,0,0,
96,2,0.7521371896306231,0.3094658688385439,0.5660681186426512,0.14628471492846898,0.20743352179722438,0.820799167448947,0.0285953526160996,0.6828022347647914,0.8073459218394615,,,0.49381958219833316,0.7025259894700037,0.6684073578229636,2.0,0.2676581392990171,0.0,,,,,0.5605892582410257,0.014849755860453695,,,,0.23639535981608586,,0.6489669363012714,,0.15194794006179832,0.253630905728438,0.4325690847675339,0.1783264690340452,0.2512008334082611,0.0,,,,0.23327651628635673,0.3736068973637254,0.39725079073998804,,0.0,,0.541522537478539,0.39691895673451993,0.3194038717635432,0.15745309922365378,0.7965833370582751,,0.6744524600336361,0.0,0.27715961346960283,0.5401536257806857,0.3349905275415156,0.26590333365347707,1.0,0.5898083551891313,0.4985809104326822,1.5779916097900057,0.29042586284632677,,0.0,0.6616033581035471,1.4296429126805972,0.4435201388084782,0.5622430669419789,,0.5172689391130362,0.2764574428486674,0.0,0.0,0.42542551726099403,0.20365898825466994,0.08586266918938315,1.769671573210658,,,1.3948321868484714,0.54399082001388,0.0,0.2591468995163196,0.2926214952630084,,0.0,3.0,1.4007758048064325,0.7813342798621975,0.4859006295913796,0.6570853013381707,,0.3669290962894255,,0.3281070940754055,0.07564578028576317,0.36975953166352754,,0.843405804614352,0.29788882844122866,19,19,8,0,0,2,
795,15,1.6359109755547114,0.6084827308934341,0.46400647380064797,0.6555749891715318,1.4192826191928847,0.5629473217816662,0.4585940807228472,0.3115662116134038,0.5227215782396811,0.46646597240999293,,,0.5476009278245489,0.45619609937049305,,0.5630251743657225,0.582091003682873,0.8311534533379573,0.6462694614243283,,0.6497203956426887,0.2151353275010036,,0.5821833797114889,0.5112632695358674,,0.48227790068668275,0.2962232638439749,0.7553683548679933,0.6895717587638451,1.2465585297352424,0.5502897616809305,0.5501669753510887,0.45292748017036133,0.4033483863763772,,0.7402844361139487,0.2847903573754799,0.5519880307619572,0.21523700208687416,0.3277151496689606,0.25097932712030385,0.5042640524015173,0.480642205275566,0.5930265102227023,0.34471776100018675,0.35047419024276166,,0.2827027679519787,,1.7843517035069127,0.6114891968014381,0.4733551882516403,,,,0.5925432023122112,2.3905924652638095,0.711619559285435,0.6553210606330782,,,1.7915159914299372,,,1.3363596154004969,0.5799567901332168,0.5022597532002031,0.46260745578473594,1.5416066193673121,1.3163445983015645,,,0.55335003499032,0.48637632357377947,0.40310964210290245,,0.5947652922876493,0.42392764423967616,2.504612037700642,,1.4980847114893976,,0.4726766824468339,0.7561864619296947,1.4727615106708578,2.434184277701019,1.5788101297474657,0.6408144749833115,0.3430778193799128,0.5436595338960383,1.7240314590763326,0.8591544426860297,0.6337729113010225,3.7192523315360995,0.4520302014854191,0.30548802638032513,0.6438217902200092,,,34,34,23,0,1,5,
959,179,1.490980452995423,0.5109423494268156,0.2093480727212016,0.47038346124297703,1.5917097525967188,0.4870209049670719,0.8306310537695867,0.5831345760494038,0.13365175695712594,0.5964428345354186,,,0.6132390604407071,0.9855983198547836,,0.5557141540299974,0.4861989333572223,0.34300962332301815,0.6338250440506286,,0.385606295045672,0.3134122494289004,,0.8771065378363836,0.27605204975980757,,0.3500881766737668,0.6404714463617726,0.8915340252214985,0.44594144535577773,1.299978964338373,0.325598909318764,0.7144362331299894,0.5018011588360131,0.8699448318660874,,0.6578407921769875,0.8548817794447625,0.462760889555806,0.28673220817568246,0.37162015393579395,0.9497770890442644,0.6793574686981163,0.30936241178944524,0.5720743641629709,0.46969912206720754,0.3381713207377237,,0.2410227215031594,,1.7030902918178668,0.6530495630769135,0.3350585236277052,,,,0.43088362551288056,,0.5410960791457062,0.4990171971084904,,,,0.45301660973694746,0.6006869035236526,1.7056138478596372,,0.5969707719532584,0.5963197861889358,1.4047757512645032,1.2046367716437705,,,0.40016883843376877,0.6709003814306548,0.598734858986332,,0.48060878576860444,0.5333049691162901,2.472474555038248,,1.8843397537151607,,0.6819591609148725,0.39021549056396543,1.2875733084515408,2.0495968132941886,1.0782282850869076,,0.49214086472852303,0.5951753341179805,1.3445560581506983,0.5984860006717547,0.2531076473067228,3.567268251636823,0.6146832312328435,0.3451089047994981,,0.30608066209093066,,37,37,23,0,1,5,
836,56,1.4021633572161358,,0.533313822251724,0.5311613508570782,1.2917688797081883,0.7198334139022731,0.35977497050772883,0.3894596459015528,0.3195195079521429,0.6659695229790682,,,0.31436839747886813,0.706456474812648,,0.5137789885549324,0.612592421518499,,0.4249038585386123,,0.9021244723396017,0.7794442843531436,,0.5893225213490874,0.2284281448812443,,0.33128195241129516,0.6349655217885117,,0.4969532614673156,1.329774183375949,0.4452605825853189,0.4429914960315776,0.5224825826252235,0.4705489778690833,,0.21184891578526627,0.37934146464500057,0.5233892970105483,0.7178496873369489,0.5499005742159789,0.47651712393556106,,0.39841907266346066,0.24293266666925362,0.15742366692890572,0.5854927160912025,,0.5253813426840686,,1.6291772135176172,0.8387834313011807,0.45215789228255737,,,,0.545262801613083,2.291747423960981,0.3278553781262237,0.5789244790254247,,,1.5308893702598856,0.625662263879313,0.7672640848969864,1.4545720534657267,0.712953933683744,0.25407877753360864,0.6757186733867411,1.5948355451191547,1.4502830742421529,,,0.25291165749669,0.7081427701623472,0.5205550847436754,,0.7192285306151424,0.5184885487518134,2.668303544512604,,1.3099526302494833,,0.585716406257265,0.41432126038841355,1.5701965416939028,2.570847825417007,1.8373809392220997,0.41947066917833453,0.7651469514114759,0.5512827161545042,1.5676187017453174,0.738213469780666,0.4003149405895453,3.5995203442450263,0.4569084162364965,0.21564411895728408,0.5896304419236764,0.6014166842546419,,58,58,23,0,1,5,
348,11,1.8137371855804667,0.4200919565150846,0.5380402524766645,0.4665149033735041,1.2428556508977966,0.4441932094900733,0.5209471101087234,0.4445563466273773,0.496978994665073,0.8349032902550303,0.6452359576979331,0.8261407586225159,,0.5870351166841103,,0.2904111926375079,0.8412302591126858,0.2816975912735352,0.3261271096392453,,0.17559189356101834,0.48254055698571413,0.23788064751696103,0.49517574458043767,,0.2417852863948341,0.24318201814640938,,0.3044240793527565,,,0.6674277445946121,0.14643044538776415,0.4201250626042654,0.6919166722623901,0.39929063393736824,0.8121472677519397,0.39537167055875383,1.0,0.25879686508606115,0.5812305227664177,0.4696615763879381,0.0,,,,,,0.6572687557550053,,1.6957048166800301,0.3989765303520125,0.5685812253159414,1.0,1.0,0.15844398820995473,0.19022595045898114,1.9069561931289247,0.376146721052294,,2.0,0.8040916984808929,0.6798914100173815,,0.3875676466670785,,0.5399933246759929,0.5779230740223187,0.6611112938416666,0.8145634201644835,1.670366934865139,0.5916095986813569,,0.9933203915012985,0.00876171884277299,0.7390564577365244,,0.5102594092243817,0.3928317023131568,1.7404186960533314,0.8589790206339327,0.5192423615063175,0.8593931549653435,0.7748911276868435,0.0,0.6760751392109942,2.214710241076716,,0.026435118134505577,,0.5323258134983143,0.6918886801159692,0.22572798861411641,0.49431718590758994,1.7990804828277565,0.0,,0.6733664980438276,0.2773516377398281,,50,50,14,0,1,3,
