Method,R_e,A@e,RA@e,Run,max info loss,n,f,mf,n_clusters,algorithm,n_components,gini,p value
RFperGroup,1,0.5033333333333333,1.0,1,,1050,100,0.2,,,,,
RFperGroup,2,0.6966666666666667,1.277511961722488,1,,1050,100,0.2,,,,,
RFperGroup,3,0.7866666666666666,1.4745762711864407,1,,1050,100,0.2,,,,,
RFperGroup,4,0.86,1.689922480620155,1,,1050,100,0.2,,,,,
RFperGroup,5,0.8766666666666667,1.752851711026616,1,,1050,100,0.2,,,,,
RFperGroup,6,0.8766666666666667,1.752851711026616,1,,1050,100,0.2,,,,,
RFperGroup,7,0.88,1.7727272727272727,1,,1050,100,0.2,,,,,
RFperGroup,8,0.88,1.7727272727272727,1,,1050,100,0.2,,,,,
RFperGroup,9,0.8866666666666667,1.8270676691729324,1,,1050,100,0.2,,,,,
RFperGroup,10,0.92,2.1231884057971016,1,,1050,100,0.2,,,,,
RF,1,0.4633333333333333,1.0,1,,1050,100,0.2,,,,,
RF,2,0.5866666666666667,1.2102272727272727,1,,1050,100,0.2,,,,,
RF,3,0.67,1.4328358208955223,1,,1050,100,0.2,,,,,
RF,4,0.7066666666666667,1.5660377358490567,1,,1050,100,0.2,,,,,
RF,5,0.7533333333333333,1.7787610619469028,1,,1050,100,0.2,,,,,
RF,6,0.78,1.9230769230769231,1,,1050,100,0.2,,,,,
RF,7,0.7966666666666666,2.0292887029288704,1,,1050,100,0.2,,,,,
RF,8,0.8033333333333333,2.078838174273859,1,,1050,100,0.2,,,,,
RF,9,0.82,2.2195121951219514,1,,1050,100,0.2,,,,,
RF,10,0.8233333333333334,2.251012145748988,1,,1050,100,0.2,,,,,
SPH,1,0.49333333333333335,1.0,1,0.1,1050,100,0.2,,,,,
SPH,2,0.66,1.2525252525252526,1,0.1,1050,100,0.2,,,,,
SPH,3,0.75,1.4622222222222223,1,0.1,1050,100,0.2,,,,,
SPH,4,0.82,1.6788617886178863,1,0.1,1050,100,0.2,,,,,
SPH,5,0.8366666666666667,1.745019920318725,1,0.1,1050,100,0.2,,,,,
SPH,6,0.8433333333333334,1.7786561264822134,1,0.1,1050,100,0.2,,,,,
SPH,7,0.8566666666666667,1.859922178988327,1,0.1,1050,100,0.2,,,,,
SPH,8,0.8566666666666667,1.859922178988327,1,0.1,1050,100,0.2,,,,,
SPH,9,0.8566666666666667,1.859922178988327,1,0.1,1050,100,0.2,,,,,
SPH,10,0.8633333333333333,1.9227799227799227,1,0.1,1050,100,0.2,,,,,
SPH,1,0.49333333333333335,1.0,1,0.15,1050,100,0.2,,,,,
SPH,2,0.66,1.2525252525252526,1,0.15,1050,100,0.2,,,,,
SPH,3,0.75,1.4622222222222223,1,0.15,1050,100,0.2,,,,,
SPH,4,0.82,1.6788617886178863,1,0.15,1050,100,0.2,,,,,
SPH,5,0.8366666666666667,1.745019920318725,1,0.15,1050,100,0.2,,,,,
SPH,6,0.8433333333333334,1.7786561264822134,1,0.15,1050,100,0.2,,,,,
SPH,7,0.8566666666666667,1.859922178988327,1,0.15,1050,100,0.2,,,,,
SPH,8,0.8566666666666667,1.859922178988327,1,0.15,1050,100,0.2,,,,,
SPH,9,0.8566666666666667,1.859922178988327,1,0.15,1050,100,0.2,,,,,
SPH,10,0.8633333333333333,1.9227799227799227,1,0.15,1050,100,0.2,,,,,
SPH,1,0.49,1.0,1,0.2,1050,100,0.2,,,,,
SPH,2,0.66,1.2575757575757576,1,0.2,1050,100,0.2,,,,,
SPH,3,0.75,1.4666666666666666,1,0.2,1050,100,0.2,,,,,
SPH,4,0.8233333333333334,1.6923076923076923,1,0.2,1050,100,0.2,,,,,
SPH,5,0.8366666666666667,1.745019920318725,1,0.2,1050,100,0.2,,,,,
SPH,6,0.8433333333333334,1.7786561264822134,1,0.2,1050,100,0.2,,,,,
SPH,7,0.8566666666666667,1.859922178988327,1,0.2,1050,100,0.2,,,,,
SPH,8,0.8566666666666667,1.859922178988327,1,0.2,1050,100,0.2,,,,,
SPH,9,0.8566666666666667,1.859922178988327,1,0.2,1050,100,0.2,,,,,
SPH,10,0.8633333333333333,1.9227799227799227,1,0.2,1050,100,0.2,,,,,
SPH,1,0.49,1.0,1,0.25,1050,100,0.2,,,,,
SPH,2,0.66,1.2575757575757576,1,0.25,1050,100,0.2,,,,,
SPH,3,0.75,1.4666666666666666,1,0.25,1050,100,0.2,,,,,
SPH,4,0.8233333333333334,1.6923076923076923,1,0.25,1050,100,0.2,,,,,
SPH,5,0.8366666666666667,1.745019920318725,1,0.25,1050,100,0.2,,,,,
SPH,6,0.8433333333333334,1.7786561264822134,1,0.25,1050,100,0.2,,,,,
SPH,7,0.8566666666666667,1.859922178988327,1,0.25,1050,100,0.2,,,,,
SPH,8,0.8566666666666667,1.859922178988327,1,0.25,1050,100,0.2,,,,,
SPH,9,0.8566666666666667,1.859922178988327,1,0.25,1050,100,0.2,,,,,
SPH,10,0.8633333333333333,1.9227799227799227,1,0.25,1050,100,0.2,,,,,
SPH,1,0.49,1.0,1,0.3,1050,100,0.2,,,,,
SPH,2,0.66,1.2575757575757576,1,0.3,1050,100,0.2,,,,,
SPH,3,0.75,1.4666666666666666,1,0.3,1050,100,0.2,,,,,
SPH,4,0.8233333333333334,1.6923076923076923,1,0.3,1050,100,0.2,,,,,
SPH,5,0.8366666666666667,1.745019920318725,1,0.3,1050,100,0.2,,,,,
SPH,6,0.8433333333333334,1.7786561264822134,1,0.3,1050,100,0.2,,,,,
SPH,7,0.8566666666666667,1.859922178988327,1,0.3,1050,100,0.2,,,,,
SPH,8,0.8566666666666667,1.859922178988327,1,0.3,1050,100,0.2,,,,,
SPH,9,0.8566666666666667,1.859922178988327,1,0.3,1050,100,0.2,,,,,
SPH,10,0.8633333333333333,1.9227799227799227,1,0.3,1050,100,0.2,,,,,
SPH,1,0.49,1.0,1,0.35,1050,100,0.2,,,,,
SPH,2,0.66,1.2575757575757576,1,0.35,1050,100,0.2,,,,,
SPH,3,0.75,1.4666666666666666,1,0.35,1050,100,0.2,,,,,
SPH,4,0.8233333333333334,1.6923076923076923,1,0.35,1050,100,0.2,,,,,
SPH,5,0.8366666666666667,1.745019920318725,1,0.35,1050,100,0.2,,,,,
SPH,6,0.8433333333333334,1.7786561264822134,1,0.35,1050,100,0.2,,,,,
SPH,7,0.8566666666666667,1.859922178988327,1,0.35,1050,100,0.2,,,,,
SPH,8,0.8566666666666667,1.859922178988327,1,0.35,1050,100,0.2,,,,,
SPH,9,0.8566666666666667,1.859922178988327,1,0.35,1050,100,0.2,,,,,
SPH,10,0.8633333333333333,1.9227799227799227,1,0.35,1050,100,0.2,,,,,
SPH,1,0.49,1.0,1,0.4,1050,100,0.2,,,,,
SPH,2,0.66,1.2575757575757576,1,0.4,1050,100,0.2,,,,,
SPH,3,0.75,1.4666666666666666,1,0.4,1050,100,0.2,,,,,
SPH,4,0.8233333333333334,1.6923076923076923,1,0.4,1050,100,0.2,,,,,
SPH,5,0.8366666666666667,1.745019920318725,1,0.4,1050,100,0.2,,,,,
SPH,6,0.8433333333333334,1.7786561264822134,1,0.4,1050,100,0.2,,,,,
SPH,7,0.8566666666666667,1.859922178988327,1,0.4,1050,100,0.2,,,,,
SPH,8,0.8566666666666667,1.859922178988327,1,0.4,1050,100,0.2,,,,,
SPH,9,0.8566666666666667,1.859922178988327,1,0.4,1050,100,0.2,,,,,
SPH,10,0.8633333333333333,1.9227799227799227,1,0.4,1050,100,0.2,,,,,
RF+B,1,0.43333333333333335,1.0,1,,1050,100,0.2,,,,,
RF+B,2,0.5733333333333334,1.244186046511628,1,,1050,100,0.2,,,,,
RF+B,3,0.6633333333333333,1.4824120603015076,1,,1050,100,0.2,,,,,
RF+B,4,0.7133333333333334,1.658878504672897,1,,1050,100,0.2,,,,,
RF+B,5,0.7433333333333333,1.7937219730941705,1,,1050,100,0.2,,,,,
RF+B,6,0.7833333333333333,2.008510638297872,1,,1050,100,0.2,,,,,
RF+B,7,0.7966666666666666,2.092050209205021,1,,1050,100,0.2,,,,,
RF+B,8,0.8133333333333334,2.2131147540983607,1,,1050,100,0.2,,,,,
RF+B,9,0.8233333333333334,2.2955465587044532,1,,1050,100,0.2,,,,,
RF+B,10,0.8333333333333334,2.388,1,,1050,100,0.2,,,,,
