#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,CHI,SIL,DBI,max info loss,Method,Run,n,f,mf,n_clusters,algorithm,n_components,gini,p value
31.25,0.050356234064604766,100.0,6.25,0.36974333059956543,0,0,0.0,0.0,0.0,,RFperGroup,1,1050,100,0.2,,,,,
750.0,0.23989333333333332,100.0,84.0,0.5074920634920634,0,0,0.0,0.0,0.0,,RF,1,1050,100,0.2,,,,,
66.25,0.07908394929311884,100.0,9.875,0.3981371015800845,10,0,0.0,0.0,0.0,0.1,SPH,1,1050,100,0.2,,,,,
66.25,0.07908394929311884,100.0,9.875,0.3981371015800845,10,0,0.0,0.0,0.0,0.15,SPH,1,1050,100,0.2,,,,,
42.5,0.06977260010213622,100.0,6.625,0.3740257299783037,7,0,0.0,0.0,0.0,0.2,SPH,1,1050,100,0.2,,,,,
42.5,0.06977260010213622,100.0,6.625,0.3740257299783037,7,0,0.0,0.0,0.0,0.25,SPH,1,1050,100,0.2,,,,,
42.5,0.06977260010213622,100.0,6.625,0.3740257299783037,7,0,0.0,0.0,0.0,0.3,SPH,1,1050,100,0.2,,,,,
42.5,0.06977260010213622,100.0,6.625,0.3740257299783037,7,0,0.0,0.0,0.0,0.35,SPH,1,1050,100,0.2,,,,,
42.5,0.06977260010213622,100.0,6.625,0.3740257299783037,7,0,0.0,0.0,0.0,0.4,SPH,1,1050,100,0.2,,,,,
750.0,0.0,42.0,84.0,0.5074920634920634,0,0,0.0,0.0,0.0,,RF+B,1,1050,100,0.2,,,,,
82.5,0.10343636559899445,110.0,17.27,0.5639533987205801,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,10.0,KMeans,,,
53.333333333333336,0.09482109029048305,106.66666666666667,11.591111111111111,0.5198096604807266,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,15.0,KMeans,,,
39.375,0.0857990687460649,105.0,9.0825,0.4269808734612878,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,20.0,KMeans,,,
31.2,0.07930318595651555,104.0,8.1536,0.4408358939922218,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,25.0,KMeans,,,
29.955621301775146,0.0708509985975315,103.84615384615384,7.50887573964497,0.385934455315672,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,26.0,KMeans,,,
25.833333333333332,0.07129628781831479,103.33333333333333,6.992222222222222,0.38203908652192003,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,30.0,KMeans,,,
22.040816326530614,0.07175942668020667,102.85714285714286,6.788571428571428,0.35810980851411034,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,35.0,KMeans,,,
19.21875,0.06595352827710052,102.5,6.09875,0.3558943965145418,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,40.0,KMeans,,,
17.037037037037038,0.06638892297123591,102.22222222222223,5.838024691358025,0.33922753189256577,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,45.0,KMeans,,,
15.3,0.05835727915539249,102.0,5.018400000000001,0.2766816465893942,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.2,50.0,KMeans,,,
82.5,0.12133598983772353,110.0,17.490000000000002,0.5627616532268642,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.2,,GMM,10.0,,
53.333333333333336,0.0961816483085716,106.66666666666667,11.875555555555556,0.49100711558000454,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.2,,GMM,15.0,,
39.375,0.0731876594548823,105.0,9.45,0.4970945613001948,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.2,,GMM,20.0,,
31.2,0.08436185912210839,104.0,8.4864,0.4267250878418849,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.2,,GMM,25.0,,
29.955621301775146,0.07940551595789637,103.84615384615384,8.347633136094675,0.43436378613787946,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.2,,GMM,26.0,,
25.833333333333332,0.0754700902426177,103.33333333333333,7.198888888888889,0.4040669792323837,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.2,,GMM,30.0,,
22.040816326530614,0.0730941985058454,102.85714285714286,6.700408163265306,0.3712006656751297,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.2,,GMM,35.0,,
19.21875,0.07374974097876628,102.5,6.2524999999999995,0.3419234791478678,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.2,,GMM,40.0,,
