Method,R_e,A@e,RA@e,Run,n,f,max info loss,n_clusters,algorithm,n_components,gini,p value
RF,1,0.4066666666666667,1.0,1,1050,50,,,,,,
RF,2,0.55,1.2606060606060605,1,1050,50,,,,,,
RF,3,0.63,1.4814814814814814,1,1050,50,,,,,,
RF,4,0.6633333333333333,1.6080402010050252,1,1050,50,,,,,,
RF,5,0.7166666666666667,1.8604651162790697,1,1050,50,,,,,,
RF,6,0.7366666666666667,1.9728506787330318,1,1050,50,,,,,,
RF,7,0.7666666666666667,2.1695652173913045,1,1050,50,,,,,,
RF,8,0.7766666666666666,2.244635193133047,1,1050,50,,,,,,
RF,9,0.79,2.3586497890295357,1,1050,50,,,,,,
RF,10,0.81,2.5473251028806585,1,1050,50,,,,,,
SPH,1,0.4,1.0,1,1050,50,0.1,,,,,
SPH,2,0.5533333333333333,1.2771084337349397,1,1050,50,0.1,,,,,
SPH,3,0.6233333333333333,1.4705882352941178,1,1050,50,0.1,,,,,
SPH,4,0.6866666666666666,1.703883495145631,1,1050,50,0.1,,,,,
SPH,5,0.7133333333333334,1.8271028037383177,1,1050,50,0.1,,,,,
SPH,6,0.7266666666666667,1.9036697247706422,1,1050,50,0.1,,,,,
SPH,7,0.74,1.9954954954954955,1,1050,50,0.1,,,,,
SPH,8,0.75,2.0755555555555554,1,1050,50,0.1,,,,,
SPH,9,0.77,2.2554112554112553,1,1050,50,0.1,,,,,
SPH,10,0.8066666666666666,2.6074380165289255,1,1050,50,0.1,,,,,
SPH,1,0.38666666666666666,1.0,1,1050,50,0.15,,,,,
SPH,2,0.56,1.3095238095238095,1,1050,50,0.15,,,,,
SPH,3,0.63,1.4973544973544974,1,1050,50,0.15,,,,,
SPH,4,0.6866666666666666,1.703883495145631,1,1050,50,0.15,,,,,
SPH,5,0.7366666666666667,1.9276018099547512,1,1050,50,0.15,,,,,
SPH,6,0.7433333333333333,1.9641255605381165,1,1050,50,0.15,,,,,
SPH,7,0.76,2.074561403508772,1,1050,50,0.15,,,,,
SPH,8,0.7633333333333333,2.1004366812227073,1,1050,50,0.15,,,,,
SPH,9,0.79,2.3333333333333335,1,1050,50,0.15,,,,,
SPH,10,0.8166666666666667,2.583673469387755,1,1050,50,0.15,,,,,
SPH,1,0.4,1.0,1,1050,50,0.2,,,,,
SPH,2,0.58,1.3103448275862069,1,1050,50,0.2,,,,,
SPH,3,0.65,1.4923076923076923,1,1050,50,0.2,,,,,
SPH,4,0.7,1.6714285714285715,1,1050,50,0.2,,,,,
SPH,5,0.7533333333333333,1.907079646017699,1,1050,50,0.2,,,,,
SPH,6,0.7633333333333333,1.960698689956332,1,1050,50,0.2,,,,,
SPH,7,0.7766666666666666,2.0472103004291844,1,1050,50,0.2,,,,,
SPH,8,0.7866666666666666,2.1228813559322033,1,1050,50,0.2,,,,,
SPH,9,0.8033333333333333,2.2655601659751037,1,1050,50,0.2,,,,,
SPH,10,0.8133333333333334,2.360655737704918,1,1050,50,0.2,,,,,
SPH,1,0.4033333333333333,1.0,1,1050,50,0.25,,,,,
SPH,2,0.5933333333333334,1.3202247191011236,1,1050,50,0.25,,,,,
SPH,3,0.67,1.5124378109452736,1,1050,50,0.25,,,,,
SPH,4,0.7166666666666667,1.6744186046511629,1,1050,50,0.25,,,,,
SPH,5,0.7633333333333333,1.8777292576419213,1,1050,50,0.25,,,,,
SPH,6,0.7766666666666666,1.9484978540772533,1,1050,50,0.25,,,,,
SPH,7,0.7833333333333333,1.9914893617021276,1,1050,50,0.25,,,,,
SPH,8,0.79,2.042194092827004,1,1050,50,0.25,,,,,
SPH,9,0.8033333333333333,2.1576763485477177,1,1050,50,0.25,,,,,
SPH,10,0.8066666666666666,2.190082644628099,1,1050,50,0.25,,,,,
SPH,1,0.41,1.0,1,1050,50,0.3,,,,,
SPH,2,0.6033333333333334,1.3204419889502763,1,1050,50,0.3,,,,,
SPH,3,0.6766666666666666,1.5024630541871922,1,1050,50,0.3,,,,,
SPH,4,0.72,1.6527777777777777,1,1050,50,0.3,,,,,
SPH,5,0.7666666666666667,1.8565217391304347,1,1050,50,0.3,,,,,
SPH,6,0.7766666666666666,1.909871244635193,1,1050,50,0.3,,,,,
SPH,7,0.7833333333333333,1.9531914893617022,1,1050,50,0.3,,,,,
SPH,8,0.79,2.0042194092827006,1,1050,50,0.3,,,,,
SPH,9,0.8033333333333333,2.120331950207469,1,1050,50,0.3,,,,,
SPH,10,0.8066666666666666,2.152892561983471,1,1050,50,0.3,,,,,
