#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,CHI,SIL,DBI,Method,Run,n,f,max info loss,n_clusters,algorithm,n_components,gini,p value
750.0,0.23941333333333334,50.0,84.0,0.4972698412698413,0,0,0.0,0.0,0.0,RF,1,1050,50,,,,,,
230.3793103448276,0.13421112585087766,50.0,39.44827586206897,0.39515486110509473,35,0,0.0,0.0,0.0,SPH,1,1050,50,0.1,,,,,
182.86206896551724,0.11310204120270058,50.0,30.310344827586206,0.37453882849601383,26,0,0.0,0.0,0.0,SPH,1,1050,50,0.15,,,,,
143.10344827586206,0.09919425880702058,50.0,23.96551724137931,0.3405955672574531,20,0,0.0,0.0,0.0,SPH,1,1050,50,0.2,,,,,
93.13793103448276,0.07852423479908831,50.0,15.655172413793103,0.3120282146253366,11,0,0.0,0.0,0.0,SPH,1,1050,50,0.25,,,,,
78.20689655172414,0.0729051760733972,50.0,13.517241379310345,0.29997600794838347,9,0,0.0,0.0,0.0,SPH,1,1050,50,0.3,,,,,
70.55172413793103,0.06592488398083178,50.0,11.551724137931034,0.28540326086450585,6,0,0.0,0.0,0.0,SPH,1,1050,50,0.35,,,,,
70.55172413793103,0.06592488398083178,50.0,11.551724137931034,0.28540326086450585,6,0,0.0,0.0,0.0,SPH,1,1050,50,0.4,,,,,
750.0,0.0,30.0,84.0,0.4972698412698413,0,0,0.0,0.0,0.0,RF+B,1,1050,50,,,,,,
82.5,0.13569723856364235,55.0,27.389999999999997,0.47043426296551666,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,10.0,KMeans,,,
53.333333333333336,0.12171328686265365,53.333333333333336,18.417777777777776,0.4277956759015385,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,15.0,KMeans,,,
39.375,0.12103213326690128,52.5,14.91,0.3937833403333898,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,20.0,KMeans,,,
31.2,0.09525879959092237,52.0,12.313600000000001,0.3444020634019357,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,25.0,KMeans,,,
29.955621301775146,0.1040869745189484,51.92307692307692,12.062130177514794,0.36974568615472975,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,26.0,KMeans,,,
25.833333333333332,0.10166278863785431,51.666666666666664,10.987777777777778,0.337866651742531,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,30.0,KMeans,,,
22.040816326530614,0.09242908011359312,51.42857142857143,10.021224489795918,0.3180335477024915,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,35.0,KMeans,,,
19.21875,0.08475126180075068,51.25,8.891875,0.3053949542207864,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,40.0,KMeans,,,
17.037037037037038,0.07831733267137321,51.111111111111114,7.950617283950617,0.28362828301907594,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,45.0,KMeans,,,
15.3,0.07507764431216164,51.0,7.5888,0.24119874748570147,0,0,0.0,0.0,0.0,KMeans,1,1050,50,,50.0,KMeans,,,
82.5,0.13614860387170774,55.0,26.619999999999997,0.4548305365226293,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,10.0,,
53.333333333333336,0.13035612308268002,53.333333333333336,18.346666666666668,0.4177461366847995,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,15.0,,
39.375,0.11813219353459399,52.5,15.4875,0.3926567095546771,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,20.0,,
31.2,0.10701654244076822,52.0,12.7296,0.35180325198957285,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,25.0,,
29.955621301775146,0.10219262492447403,51.92307692307692,12.34171597633136,0.3317983563763202,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,26.0,,
25.833333333333332,0.09286555308381289,51.666666666666664,10.712222222222222,0.32473365013923206,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,30.0,,
22.040816326530614,0.0965125776362874,51.42857142857143,9.786122448979592,0.2758815456368681,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,35.0,,
19.21875,0.08980681293713391,51.25,8.994375,0.2806606876522464,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,40.0,,
17.037037037037038,0.08936774713783835,51.111111111111114,8.33679012345679,0.26391287308263855,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,45.0,,
15.3,0.07208275897455277,51.0,7.5684000000000005,0.26750183461226984,0,0,0.0,0.0,0.0,GMM,1,1050,50,,,GMM,50.0,,
82.5,0.14438905447822326,55.0,26.4,0.4591927513898555,0,0,0.0,0.0,0.0,Birch,1,1050,50,,10.0,Birch,,,
53.333333333333336,0.13118252299405728,53.333333333333336,18.986666666666668,0.4113881573369781,0,0,0.0,0.0,0.0,Birch,1,1050,50,,15.0,Birch,,,
39.375,0.11586168712200733,52.5,15.330000000000002,0.3720325752507595,0,0,0.0,0.0,0.0,Birch,1,1050,50,,20.0,Birch,,,
31.2,0.10909256437715427,52.0,12.895999999999999,0.3603758937721043,0,0,0.0,0.0,0.0,Birch,1,1050,50,,25.0,Birch,,,
29.955621301775146,0.10655589020198336,51.92307692307692,12.461538461538462,0.3578739876766193,0,0,0.0,0.0,0.0,Birch,1,1050,50,,26.0,Birch,,,
25.833333333333332,0.10030295735913812,51.666666666666664,11.194444444444446,0.3485417728398117,0,0,0.0,0.0,0.0,Birch,1,1050,50,,30.0,Birch,,,
22.040816326530614,0.09527307355727344,51.42857142857143,10.138775510204082,0.3236176759913396,0,0,0.0,0.0,0.0,Birch,1,1050,50,,35.0,Birch,,,
19.21875,0.09043461107355412,51.25,9.071250000000001,0.2945446773659375,0,0,0.0,0.0,0.0,Birch,1,1050,50,,40.0,Birch,,,
17.037037037037038,0.08584439437550662,51.111111111111114,8.314074074074075,0.278518002999664,0,0,0.0,0.0,0.0,Birch,1,1050,50,,45.0,Birch,,,
15.3,0.08264600556027463,51.0,7.65,0.26683305137482455,0,0,0.0,0.0,0.0,Birch,1,1050,50,,50.0,Birch,,,
119.30357142857143,0.13685662126127182,50.0,20.428571428571427,0.20689894879433515,35,27,0.0,0.0,0.0,SPH+CPI,1,1050,50,0.1,,,,0.2,0.7
119.30357142857143,0.13684141924183882,50.0,20.428571428571427,0.2116452185098972,35,27,0.0,0.0,0.0,SPH+CPI,1,1050,50,0.1,,,,0.2,0.75
119.30357142857143,0.13681382899270428,50.0,20.428571428571427,0.21092594397219186,35,27,0.0,0.0,0.0,SPH+CPI,1,1050,50,0.1,,,,0.2,0.8
119.30357142857143,0.13697636994659268,50.0,20.428571428571427,0.20906267831891304,35,27,0.0,0.0,0.0,SPH+CPI,1,1050,50,0.1,,,,0.2,0.85
