,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,target,noisy target,group,level-0,level-1,level-2,marker
953,173,0.31393546806832934,0.7665718733273105,0.8096614476298922,0.49259264899786537,1.6491181094303016,2.7708045810160855,0.40395459814051055,0.6079301883983876,1.5819437539237233,0.4880925221504895,,,0.722466060535991,2.5882521989949545,,0.9087419267863318,0.9117522523462559,0.49331914613489697,0.4460794832463207,,1.4855683570537468,1.3981354016156662,,0.7405087782648051,0.45506319524974104,,0.39127248482481664,0.41458546885359965,0.818456326966939,0.7012870749340584,0.2515872857076711,,0.5422694773937488,,0.427741402246824,,0.3220756589377609,0.42977955856354716,0.38308321549805363,0.6643950367103488,,0.06289336594171008,0.21233925280601437,0.6703707782397933,0.30678542414454507,0.5029652823249507,1.5393817779173853,,0.6302929858300778,,1.4660739422467697,0.34886052482264546,,,,,0.6285977943118037,0.33807993067268,0.4096383786678485,0.3166975704267357,,,1.4962316165853582,2.5679020358860387,0.2983480898635579,0.27813407130991685,0.43747892124815246,0.5984494384500184,0.29296851430117027,0.4331876546567426,0.474940327470102,,,1.6657254330288613,0.8140764190277209,0.5232693058096577,,0.8416884538725995,0.38711975911819824,0.19352054531915588,,0.3342105684811568,,0.37675068571669873,1.6396687048803626,2.264167177436954,0.6556097461526683,0.6463660577119419,1.2716726719867837,1.6421034790729667,0.47153334234077465,0.43938776578323857,0.7050940536424574,0.4118420958192378,0.46325115021439095,1.6356099664591288,0.27828522040461273,0.09466033394498574,0.4463233469309227,,32,32,23,1,1,5,
968,188,0.8111348083522671,0.2473386658043459,0.3715232853510355,0.6289972116888388,1.260576217399958,,0.13846456104298446,0.46843859020933026,1.7189562902729827,0.7547328675045961,,,0.6981895850623737,2.579447892910863,,0.5226364140262642,0.26528605281107936,0.5213456563447673,0.36536675723595285,,1.777293586331124,,,0.57930382723684,0.05780654089350396,,0.5134757235819196,,0.8402414850638309,0.13410735513137534,0.22710064329661997,,0.5526829232934749,0.5634443521263426,0.4634971519834291,,0.5386852047032321,0.6801021179797188,0.35819216878741333,0.38889970270393887,0.21745551337729918,0.17263549048374693,0.6180915453675753,0.6255934087733457,0.5695551334250005,0.45941246024856547,1.4639692180380093,,1.0,,1.4856599660118093,0.6714256232374181,,,,,0.6213975832788299,0.23523263437397945,0.5452122806350702,0.39173830495259504,,,1.8230372738754967,2.631194838364289,0.6362401192646558,0.48693618858841375,0.42933632252928045,0.12265365742222284,0.22567563356647496,0.31476770458409314,0.48439375104637983,,,1.7341658033308551,0.597003398906423,0.3975652541874496,,0.8025990548229679,0.6209103146539879,0.5217614669204224,,0.5465225906764124,,0.46987171199450706,1.5605597700764293,2.5453192608962336,0.2943391854303122,0.5444220857083357,1.7416564359481175,1.4617823395872176,0.490257422618348,0.3600952110472421,0.5796206240297092,0.42510805003082536,0.2855221486052705,1.5245322524782137,0.380727134013675,0.5336325852347951,,,41,41,23,1,1,5,
647,71,0.5385011152464421,0.7259885459437021,0.3277197671094605,0.5946853069079097,1.485594157322559,2.528242122633517,0.41240531050561907,0.40656916560788453,1.291413638616259,0.5801763802908997,,0.15683327045692194,0.3573650451306652,2.403030381734714,,0.5885316409037367,0.2748234522475341,0.7278396830149808,0.6208473850000827,,0.765641468369829,0.656942401791638,,0.5439000580812176,0.0,0.3194601276424003,0.5178009580370079,0.8316047644980749,0.6480676672107231,0.5211937392582094,0.4112478290771799,0.46262331844640336,,,0.4051438598458312,,0.5451728577068354,0.3016223109708136,,0.593772935524289,0.8751761462147587,0.6715660107624895,0.2707136539924957,0.17283324360549623,0.6734876926870089,0.8900329388428879,1.6817758143874717,,0.2906974308039322,,1.7634511871018794,0.8054243604480675,2.3605516868165655,,0.8173660864394038,,0.40977938100170264,0.5973680797719153,0.5427038569193234,0.7179441657336645,,,1.223734029945287,2.793122578348556,0.4862230444398079,0.3720894734263911,,0.8251332939856351,0.4814551949141165,0.395556434593639,0.509401419440231,1.7532972656755645,,1.6169449689060742,,,,0.25374772479363805,0.4106796405418437,0.6368804866543001,,0.25122357443727733,0.9573735575026965,0.7688219313616599,1.9897728422707257,2.4917694189303625,0.5898508857512036,0.34635768106649933,1.7078063256670384,1.5770097854016325,0.8072827541290839,0.06845214839404913,0.40980890794606367,0.61100432267836,,1.7065076428379315,0.48120661322987457,0.9126279994265067,0.7044529054192625,,7,7,21,1,1,5,
914,134,0.48964497979314653,0.8773771571452775,0.7885545489885941,0.5526920092707122,1.2727564577546218,2.5644482209090027,0.6824546546067316,0.6295013740468693,1.3326953015197542,0.6459488272888739,,,0.4549957596210176,,,0.6543566752887051,0.4560043071613528,0.5509745029694746,0.658907950592419,,,1.1306238952040157,,0.08376233520929939,0.46179538141342075,,0.49893973699311217,0.6512120860340541,0.675620924537296,0.3402802622866631,0.16781730106023507,0.8918284670894928,0.0,0.45089672367205613,0.18257933182737668,,0.4973085314939536,0.3057710889795235,0.21224685608727567,0.4007120917175039,0.5449849757903593,0.019289972838374754,,0.2785688655908588,0.4255007659209984,0.42222928137208826,1.5572752116740514,,0.1780609090524398,,1.0199941002386619,0.9071469128719309,2.492335506391641,,,,0.6939840008253995,0.5495077404553442,0.5910370814389294,0.26432329473848193,,,1.4510838577838072,2.3180905128558194,0.5198943732100256,0.023256607343724173,0.5185140022679678,0.36064405244001263,0.6426438356248018,0.34439829412078443,0.4376403970873355,,,1.7222772263420891,0.28457702144267794,0.2946308164491916,,0.7690405044467252,0.4033627375148343,0.34649331196827665,,0.20075504565782074,,0.19635731359887573,1.6256939596499167,2.657115351304391,0.8118173466924092,0.6152111950915454,1.5575874956830975,1.7296241312022356,0.5629519103711146,0.4062734505125908,0.5301040738788501,0.7271287535930958,0.5763300916917189,1.9586197762549982,0.5763449379704101,0.576980484580351,0.25331620456815435,,59,59,23,1,1,5,
795,15,0.6078780428189572,0.4936918387408801,,0.3892288551523239,1.0838784897004923,2.5402294465584143,0.7754205299400477,0.4946652250833891,1.358393376758642,0.6731190343125185,,,0.2323038739685248,2.425924301308895,,0.8035149313884384,0.04813909323165416,0.6457470290689422,0.7486670807236813,,1.3071287426875686,1.4851730570144563,,0.6387992646956758,0.20689471231595843,,0.40351416732054657,0.5048876816283302,0.6710440857567097,0.3618146630228322,0.50309530281608,0.4298597225444098,0.7146387264220221,0.2656926687553042,0.48553188836437383,,0.7247685348466297,0.3583310723693462,0.5527017033536379,0.6453404656569538,0.3610756787053592,0.3643408499926116,0.7151640251431103,0.9396399830265851,0.3704565186725115,0.5250442558704034,1.5268187923004037,,0.625155024200157,,1.534485306915905,0.6020298413593302,2.6167342794492905,,,,0.6213691185263274,0.6721085348759942,0.2812786690379343,0.5632644816131142,,,1.5451580217850855,2.8802764002227943,,0.7977006776258627,0.6447831932101221,0.603203451295534,0.4388552575904231,0.25945510517894854,0.7029592033231479,,,,0.2579653626692369,0.5116074110337963,,0.5430141655445901,0.17908739015246614,0.48485969350543795,,0.7101863581821574,,0.3196655458084758,1.5361657904357564,2.3735217233178925,0.6210855972243294,0.47751020731278515,1.2334246289398143,1.3533431682120838,0.6881472138967129,0.46310577312397927,0.6312868729007836,1.0,0.34512066844253564,1.7618268809763953,0.42375822866656127,0.3243238150471931,0.5821691894636162,,33,33,23,1,1,5,
402,2,,,0.09442926139002472,0.7439219573754651,1.3919109068727615,,0.7336020203245027,0.8417946009310189,0.12151443937837761,0.5350469417109036,0.32284929769169013,0.31010595230511184,0.7748612413649386,2.294888790149556,,0.8439613629753563,0.13807231935879064,0.7377492074078303,0.15177943458769502,,0.5182192996974756,0.3714866967326125,0.5776074297283996,0.2967225417916447,0.6069837661723789,0.7082245613758187,0.7679462887094175,,0.9479425881620162,0.019579265680693562,,0.6365067107914176,0.13853694246076612,,0.756853970917373,0.6070565276791114,1.0,0.37213422351207615,0.43794764862852326,0.6781436616635758,0.00946836815038005,0.5573198080450881,,0.8608291992706748,,0.31693686603189414,1.1053372101126822,,0.714443576395543,,0.37430520820524016,0.7058515238401111,1.1488039117225628,0.11416163219922475,0.3655940070129186,0.811495349597949,0.2740921107911249,0.523450800832606,0.46415975654559233,0.4298174232835263,0.5328669159219307,,1.5444759184692254,,0.2643082559533191,0.7038826464938122,0.618198340690935,0.5698171325132606,0.3760271995732854,0.5111097995007345,0.8354009416867724,0.5211539517456079,,1.4823209793633212,,0.058958769906120756,,0.3517741158832206,0.0,0.8353098362380115,0.3354116748507966,0.7701025244647268,0.3457046953714973,0.7039582561966479,1.6278874659771412,2.5499005511974526,0.7973406949779503,0.1563965781783245,1.6120898464927556,1.8351652177007152,,0.9603139226016156,,,0.16722173046218292,1.4643245645689755,0.6382217285584514,,0.7622185393025895,,58,58,17,1,1,4,
217,5,0.3624615059015545,0.2866194887877281,0.266102159645781,,0.5664858524855365,1.369098444586573,0.4145516513649379,0.5823091784180805,0.5118986047603213,,,,0.21597717219360507,1.5709102401958766,0.3210057259721637,0.11381793267004875,,,0.020199233636844883,,0.3082484559114154,0.6271715622883397,0.2222539583294586,0.5899412575894337,,,0.5293027829112369,0.44463892986907283,0.5935111486335231,0.5112185041635695,0.5917636386746841,0.5918518952269755,0.27322791505238847,0.5696657534291059,0.0,0.0,0.6194669541330055,,,,0.22762380647337668,0.4097332392807108,,0.4222900821606153,0.6999429854895091,0.25140396775784785,,,1.0,,0.41127767524784536,0.4840986035723447,1.2346295880604459,0.12869436190281378,0.5313758338728728,0.6818519753186068,0.5403406818026845,0.5778727530636996,0.6532726132880987,0.8306301159259938,0.5618918526107789,0.25491945669000204,,0.4736348153065633,0.651939768117325,,0.631557185808817,0.513942081687462,,0.0,0.5009405287322912,0.431738298234304,,1.9336533068964283,0.7137825985091143,0.4555546967402691,0.7311469304653163,,0.17210299632989154,0.7098616378633673,0.6259010804756691,0.8539170744542441,0.22333788884961397,1.0,,2.202728800002011,0.5676024975684597,0.15634161256830992,1.49381598510111,1.246204848224418,0.6401848622396263,,1.0,0.4434563644232,1.0,0.7789676691263873,0.8494537991297262,0.569143493581072,0.5260790065330451,,30,30,10,1,0,2,
548,12,0.5689574635820945,0.5176582959440332,0.3537656777526127,0.6082657438793969,1.563483959245214,2.4320986245664415,0.5429481884252025,0.4461801438396865,1.9304562345394238,0.1754828953124959,,0.8293968096375836,0.38961811206241925,,,0.9588469188027067,0.49052565125764674,0.5150728534658083,0.13029519963841962,,0.27549233267322015,0.15121102613095735,,0.0,0.1546830840218701,0.5956824814768674,0.5626471704754274,0.6932513537835604,,0.5927284975753565,0.07343854935776613,0.5624706298497789,0.6214632075244331,0.630394882571105,0.6902703842147966,,0.43040775930231734,0.5296135594004237,0.28339607570749475,0.5899480114207565,0.7550439372995049,,,0.6390912563745924,0.3698931725882393,0.529742144367283,1.5877087730632695,,0.6913307692307984,,0.5451097843389673,0.39768216275283763,2.870386161702828,,0.8309016958674734,,0.7880548129946054,0.534046104224458,0.5467888642615104,0.34400416577591075,,,1.2708626225167783,2.843279329097089,0.6700345077320443,0.3873827637261325,0.7488544416121741,0.7421252673101031,0.514648435993816,,0.9203180099637464,1.6436795621419826,,1.4995401388545713,0.5514350423102009,,,0.35846574850374296,0.605447464325543,0.5834582581422537,,0.8123961149828323,0.37598544952074303,0.9325930778836653,1.6172868468799892,2.3853427549571995,0.45559431450015997,0.984094466518581,1.775760757728508,1.485833388752936,0.39374105016742245,0.7796204575345809,0.814797361400262,,0.21333693067841716,1.410437216748694,0.9118518531791102,0.6583230081305108,0.6602996170961591,,83,83,20,1,1,5,
198,19,0.49232650586631105,,0.0,0.46619353160387716,,1.5317412805534751,0.43311106196878596,0.19450736565560686,0.38383282560990717,,,0.34232704445389434,1.0,1.3092844067763598,,0.14984325011160565,0.10932853749076195,,0.05008825303751698,,0.46506163586462823,0.16116314832406148,0.22267841564935995,0.5359958809553954,,,0.7356258993764971,,0.565612640323248,0.06535697227847391,0.2923414434970093,,0.40290963849883255,1.0,0.5865899783360875,0.9318680711042344,0.6203149820942909,,,0.6159141436120326,0.6609193016702055,0.4994982758013652,,0.1891607921711396,0.2681264547192499,0.15966352345467355,,1.216944484936377,0.6229862288962127,0.4041583213840846,0.36773748437249204,0.7275981532669111,1.9228684841999408,,0.5529620591205455,0.24561191905369745,,0.5063855960364407,0.260595613780572,0.6690566354581778,0.402535040320206,0.7261367228068523,,0.9897285974770417,0.23884862468498078,0.543801851337341,0.6695037114464754,0.26535240089650153,,0.9433391670567249,0.6877261190849129,0.578514216454449,0.44066361694759937,2.0,0.9016295606187277,,0.5357067457249025,,0.0,0.8114458407121781,0.4476229252042755,0.15407373155511747,0.4714014714178135,0.0,,1.98910431382233,,0.5439331968548242,,1.2165487013371474,0.41135344104636734,,0.39154134601803975,0.7001576015706025,,0.32359914367402026,,1.0,1.0,0.5314943842482786,28,28,9,1,0,2,
110,11,0.6646148143474432,0.0,,0.4054772251306544,0.6936717586416974,1.2548720731052545,,1.0,,,,,0.8914460639595021,,1.0,,0.6268394606894531,0.5629338901156766,0.3153513368042153,,0.5470891458539952,,0.10081491602427374,,0.0,0.797162005641975,0.5901050678797479,1.0,,0.0,0.33490590646267515,0.5288245388387955,0.7519168355545782,0.7070814256317828,,0.6630343991256439,0.691311155110011,0.36166054727683555,,,0.5014374037990547,0.6958207177889786,0.0,,0.0,0.7835580761284756,1.3326374587466348,0.4179400046405011,1.0,1.0,0.5064648788504071,,1.4836734805953646,0.4295222333072185,0.40312051233067187,0.43398914989754933,1.0,0.8025443005178086,0.9359992936470245,0.7292635969531089,0.8696982420140097,,1.7517363617541313,0.0,,0.45482176256962953,0.8025950486512424,,,0.41903040980258865,0.633331055008772,,0.5351892254752743,0.1982727758588246,0.21520946301466734,0.0,0.7292459377444078,,0.28229650010126106,0.7400020620698018,1.0,0.5940934125051698,1.0,0.29891659748585947,,0.6818702469050257,,0.052248373364114496,1.6786060473657172,0.14455456493308194,0.5981443921610736,0.0,0.5814856890002204,0.39974794019093207,,0.18794713425079895,0.1731220142083136,0.507954187679222,0.4269160843143173,,16,16,5,1,0,1,
