Method,R_e,A@e,RA@e,Run,n,f,max info loss,n_clusters,algorithm,n_components,gini,p value
RF,1,0.32,1.0,1,1050,100,,,,,,
RF,2,0.4666666666666667,1.3142857142857143,1,1050,100,,,,,,
RF,3,0.56,1.5952380952380953,1,1050,100,,,,,,
RF,4,0.6466666666666666,1.9175257731958764,1,1050,100,,,,,,
RF,5,0.7066666666666667,2.1792452830188678,1,1050,100,,,,,,
RF,6,0.7233333333333334,2.2672811059907834,1,1050,100,,,,,,
RF,7,0.74,2.373873873873874,1,1050,100,,,,,,
RF,8,0.7466666666666667,2.424107142857143,1,1050,100,,,,,,
RF,9,0.7733333333333333,2.6508620689655173,1,1050,100,,,,,,
RF,10,0.7866666666666666,2.7754237288135593,1,1050,100,,,,,,
SPH,1,0.29,1.0,1,1050,100,0.1,,,,,
SPH,2,0.4766666666666667,1.3916083916083917,1,1050,100,0.1,,,,,
SPH,3,0.5766666666666667,1.670520231213873,1,1050,100,0.1,,,,,
SPH,4,0.63,1.8677248677248677,1,1050,100,0.1,,,,,
SPH,5,0.7033333333333334,2.1943127962085307,1,1050,100,0.1,,,,,
SPH,6,0.7266666666666667,2.31651376146789,1,1050,100,0.1,,,,,
SPH,7,0.7366666666666667,2.3800904977375565,1,1050,100,0.1,,,,,
SPH,8,0.7566666666666667,2.5286343612334803,1,1050,100,0.1,,,,,
SPH,9,0.77,2.6406926406926408,1,1050,100,0.1,,,,,
SPH,10,0.79,2.827004219409283,1,1050,100,0.1,,,,,
SPH,1,0.30666666666666664,1.0,1,1050,100,0.15,,,,,
SPH,2,0.5033333333333333,1.390728476821192,1,1050,100,0.15,,,,,
SPH,3,0.5966666666666667,1.6424581005586592,1,1050,100,0.15,,,,,
SPH,4,0.6566666666666666,1.8578680203045685,1,1050,100,0.15,,,,,
SPH,5,0.72,2.134259259259259,1,1050,100,0.15,,,,,
SPH,6,0.7566666666666667,2.3215859030837005,1,1050,100,0.15,,,,,
SPH,7,0.7633333333333333,2.3624454148471616,1,1050,100,0.15,,,,,
SPH,8,0.7833333333333333,2.5063829787234044,1,1050,100,0.15,,,,,
SPH,9,0.79,2.561181434599156,1,1050,100,0.15,,,,,
