surrogate,Method,Run,n,f,max info loss,n_clusters,algorithm,n_components,gini,p value
hde-OM1-2,SPH,1,1050,100,0.1,,,,,
hde-OM1-3,SPH,1,1050,100,0.1,,,,,
hde-OM1-4,SPH,1,1050,100,0.1,,,,,
hde-OM1-5,SPH,1,1050,100,0.1,,,,,
hde-OM1-6,SPH,1,1050,100,0.1,,,,,
hde-OM2-1,SPH,1,1050,100,0.1,,,,,
hde-OM2-2,SPH,1,1050,100,0.1,,,,,
hde-OM3-1,SPH,1,1050,100,0.1,,,,,
hde-OM3-3,SPH,1,1050,100,0.1,,,,,
mde-OM1-2,SPH,1,1050,100,0.1,,,,,
mde-OM1-3,SPH,1,1050,100,0.1,,,,,
mde-OM1-4,SPH,1,1050,100,0.1,,,,,
mde-OM1-5,SPH,1,1050,100,0.1,,,,,
mde-OM1-6,SPH,1,1050,100,0.1,,,,,
mde-OM1-7,SPH,1,1050,100,0.1,,,,,
mde-OM3-1,SPH,1,1050,100,0.1,,,,,
mde-OM3-4,SPH,1,1050,100,0.1,,,,,
mde-OM3-5,SPH,1,1050,100,0.1,,,,,
mde-OM3-6,SPH,1,1050,100,0.1,,,,,
mde-OM3-9,SPH,1,1050,100,0.1,,,,,
mde-OM3-10,SPH,1,1050,100,0.1,,,,,
mde-OM3-11,SPH,1,1050,100,0.1,,,,,
mde-OM3-12,SPH,1,1050,100,0.1,,,,,
mde-OM3-13,SPH,1,1050,100,0.1,,,,,
hde-OM1-2,SPH,1,1050,100,0.15,,,,,
hde-OM1-4,SPH,1,1050,100,0.15,,,,,
hde-OM1-6,SPH,1,1050,100,0.15,,,,,
hde-OM2-1,SPH,1,1050,100,0.15,,,,,
hde-OM2-2,SPH,1,1050,100,0.15,,,,,
hde-OM3-1,SPH,1,1050,100,0.15,,,,,
mde-OM1-2,SPH,1,1050,100,0.15,,,,,
mde-OM1-3,SPH,1,1050,100,0.15,,,,,
mde-OM1-5,SPH,1,1050,100,0.15,,,,,
mde-OM1-6,SPH,1,1050,100,0.15,,,,,
mde-OM1-7,SPH,1,1050,100,0.15,,,,,
mde-OM3-1,SPH,1,1050,100,0.15,,,,,
mde-OM3-4,SPH,1,1050,100,0.15,,,,,
mde-OM3-5,SPH,1,1050,100,0.15,,,,,
mde-OM3-6,SPH,1,1050,100,0.15,,,,,
mde-OM3-9,SPH,1,1050,100,0.15,,,,,
mde-OM3-10,SPH,1,1050,100,0.15,,,,,
mde-OM3-11,SPH,1,1050,100,0.15,,,,,
hde-OM1-2,SPH,1,1050,100,0.2,,,,,
hde-OM2-1,SPH,1,1050,100,0.2,,,,,
hde-OM2-2,SPH,1,1050,100,0.2,,,,,
hde-OM3-1,SPH,1,1050,100,0.2,,,,,
mde-OM1-2,SPH,1,1050,100,0.2,,,,,
mde-OM1-5,SPH,1,1050,100,0.2,,,,,
mde-OM1-6,SPH,1,1050,100,0.2,,,,,
mde-OM1-7,SPH,1,1050,100,0.2,,,,,
mde-OM3-1,SPH,1,1050,100,0.2,,,,,
mde-OM3-4,SPH,1,1050,100,0.2,,,,,
mde-OM3-5,SPH,1,1050,100,0.2,,,,,
