,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,target,noisy target,group,level-0,level-1,level-2,marker
845,104,,1.4936192414281118,0.5609078182392853,0.7055970170035261,,1.4975487265556024,0.7162683999023179,1.2065297808426672,1.5208940031341855,0.3280605831786723,1.4784215981166966,0.6294562635450947,1.5776150483288496,0.4182402833523142,1.6303139480935327,,0.34648079574809326,1.6422530957072161,,0.47134781662618075,,1.4485037901760274,0.85963767854372,0.28273644741088905,0.4298960660560781,0.5354860284707982,,0.20130667251105178,2.3319208887761804,1.429389654496056,,0.5426140709630206,,0.7238655919627479,0.619826556993065,,1.614504216780056,0.467919966119322,0.48065173250977505,0.393733865053061,0.48396852256120276,,,0.4415698459691512,,1.7169156151929634,0.3970460110758657,0.3629773913974353,1.4257114285445254,0.5282333350314213,,0.31078414315534353,0.5974387101892914,1.6693573437962594,0.7083793846058926,1.4886088095612493,,0.6205164662130218,0.5453555417804221,0.41824014469052767,0.26522204595298643,0.6206846080825605,,0.5801748887119753,0.3033167189176633,,,0.5231440663177948,0.5751910845941014,0.2473156879971363,0.6181475576987359,0.6502514999553168,,0.3639249993010263,,1.5234703237624303,,0.6318527250488781,0.4603946589432779,2.5065371081043106,0.5051783441929667,3.5356743075300034,0.4849041311345102,,0.37894044087020123,0.5044258149483029,0.4723357983081963,1.4335023098524322,0.35971266098935273,,0.4812050021400181,0.7459848360272914,1.4145512873928827,0.8953685224627275,,0.7861698180998231,0.6027183562048644,1.2904533485767762,0.8127133980779109,0.6470542562112974,47,47,mde-OM3-13,Engine,mde,mde-OM3,
131,35,0.2662376190505683,,1.0,0.3578565663633163,,0.5869331058798339,0.3718396737020939,0.527920241059815,0.762504574584687,0.5008991593645881,0.3823758045428516,0.4738138739025898,0.41643209678224824,0.49808427745325956,0.5144227347893655,0.3474405102650012,0.36441369610991226,0.2407885833701463,1.7104092580818708,0.4449308681016297,0.8963115525427018,1.203542874330554,0.4927054245025706,,0.32705961291291447,0.6362889646221308,,,0.3682157940835855,0.536050430926953,0.5681165609591095,0.33160893305706424,0.7075802232892708,0.2729895361610891,,1.4637374838999362,,0.4982691142830001,0.2721416223540812,,0.7236044703197431,0.2882399458664669,0.836573700553731,0.528720835999694,0.607322244561089,0.4617185320313318,0.7517517973705541,0.9171228694207864,,0.8647158856876156,,,0.4788094448620126,0.730432792878713,,1.559030446932499,0.39410194273194665,,0.8599325346225846,,0.4926938941701966,,0.3821886584821912,0.39164548015993006,,,0.3459823934769725,,,0.12199899941726719,0.6082049428202521,0.683444578896236,0.2720739534279441,,0.31838692059799106,0.0,0.19030932642263787,0.6036061795881712,0.5498564543246419,1.5177646989612403,0.4501989562628385,0.17794248799792364,0.4643376652469092,0.6668336952985935,0.6083296059957959,0.44675292839481057,,0.7120051670956582,0.36961032544988565,0.4642714007864409,0.7521123509802075,0.7006600766179002,0.5572489167762561,,0.6811312450527914,0.26138009242132554,0.4723975938256986,0.7776534371931892,0.3031661850905951,0.25387183373594713,13,13,hde-OM2-1,Engine,hde,hde-OM2,
770,29,,1.6887197373456786,0.3554072172318671,0.4733108268473754,,1.412822906963497,0.3132197973528693,1.475117231138651,1.4626383992566856,0.4098488730087054,1.6637954374146546,0.6731313145808324,1.823674805505717,0.572574384589732,1.572479580672612,,0.36762075511597037,,,0.45026471297288784,,,,0.1217237781324183,0.5398922664766422,0.04917472513760554,,0.5758314618504169,2.2539253045188588,1.4501978992628848,,0.4042745398122013,,0.7107642501657613,0.4273088024982503,,1.4149019849244355,0.5852757418516166,0.5425012465167964,0.6980863279338808,0.3750116166989216,,,0.39528791775483146,,1.5609669886355817,0.41210671974354546,0.2973745032527777,1.32182188908069,0.5524314465950134,,0.4674196676767979,0.3475611672093415,1.6958338551181358,0.67932884687343,1.1232921163187992,,0.5378020839129769,0.5854030363808197,0.6043675249895082,0.30827211187621484,0.3033961751281797,,0.6619925659639568,0.20292375917252095,,,0.40809351761791257,0.5839290283827209,0.45548244623746525,0.5940251760805426,0.3368075471427431,0.484008682187176,0.5438854013409512,,1.5225903001732513,0.6009355082758825,,0.5120493885210691,2.6821246441017985,0.34376916087358905,3.5420152012118056,0.7328650877166987,,0.46243483863144924,0.39578283305851725,0.4273228185504629,1.3794507264467546,0.5823073263709484,0.6703188532915635,0.6424318437545428,,1.5877827954831425,0.6088227394226391,,0.6345973764763164,0.48147054098642794,1.6809880070835306,0.9244706206323183,0.4344597833448591,45,45,mde-OM3-13,Engine,mde,mde-OM3,
489,4,0.7836309131474657,1.8749786359681968,0.27871294040165,0.35419258487822475,,1.5858842593755753,0.5080492487861561,0.1256828489822214,1.1851382385120028,0.22962791553640255,1.446540089208518,0.44709557177417314,0.6903592670379403,0.4495635824298144,1.1338559718857641,0.38424544310718917,0.24599569217368555,1.334776359607285,,0.5846945945661949,,1.5139581841939784,0.4926375407286006,,0.5439592788652552,0.7327878421849183,,0.3078762269562414,1.567382747705817,1.5190716045209853,0.615020302481504,,,0.641104703567149,0.29457949258276045,,1.6180501664344231,0.647508997000323,0.0,,0.8325684019108887,,,,,0.47045812968557593,0.24758380054395476,0.544659547917525,1.8630301693866747,0.14402865742329196,,0.6092630565692624,,0.5012201434795742,0.8660465177089927,1.6523738402998327,0.07479186126321109,0.48090460299949817,0.5080507478433158,0.45069283071470817,0.759103439145523,0.38467332609805344,,0.3216121038693277,0.4571783190274094,,,0.22669587798406024,0.4438020848396005,0.36018833439538345,,0.5404534312354023,0.3326105607304036,0.6384616960639672,,1.5184901573812595,0.2660022109707178,0.37981269197639594,0.44784212269930995,,,2.6113293579317283,0.5413102313041463,,0.3572898844189729,0.9095102273863291,0.6191977391105228,0.6112543349005949,0.02592691515583365,0.49676187221689216,0.23021676086020745,0.22810002253227232,,0.025442541342239403,0.3658346364794004,0.6502954048730561,0.07304693358191373,,0.492253838234504,0.820965621805416,41,41,mde-OM3-4,Engine,mde,mde-OM3,
152,4,0.08254094567597292,,0.44915287533902903,0.5151776442808728,,0.9005161538574499,1.0,0.11278491963181124,0.3507719820840595,0.6361947106494209,0.7743349207755478,0.1751166450101281,0.4396023091750496,0.3747380470102395,0.0,0.14242480181002493,1.0,0.8415946168846563,1.2518288090829015,0.9131211253587967,,1.3981124317296927,0.337698294453778,1.0,,0.6358158276747322,,1.0,0.4330623224456006,1.5798901855684393,0.46754464632319864,0.55221901565408,0.675618922378377,,,1.8093910103982975,,0.9310783314877492,0.18219086708122426,,,0.42369184312799146,0.3225454122015009,,0.3886133150489966,0.7413925983234607,0.7009994615750379,1.0,,0.3877364377957428,0.7057665584964334,,0.0,0.0,,1.371530890028298,0.4314913083209964,,0.4521255184225122,,0.4219991881999957,,0.142283221375397,0.0,,0.2050704608307918,0.3388980020116332,0.5504764025962555,0.15758542251739735,,0.16492690923724762,0.5185827518891671,0.4877971187194094,,0.5365330769992407,0.6501915167351184,0.433362456324799,0.5059700715984952,1.0,,0.009760191244103487,0.7102582233781631,0.0,0.0,0.8211628236869041,0.0,0.710072185481075,0.5187705181867376,,1.0,0.32122031696966175,,,,0.8690868928974287,0.36882920570401834,0.27124299851182154,0.6000449918598167,0.0,0.10131291128121127,31,31,hde-OM2-2,Engine,hde,hde-OM2,
112,16,0.601711454486573,,0.47757477278560767,0.6416468776585994,,0.4511341139745143,0.49456798251396966,0.24549456364170888,0.5671793672126791,0.5118881696714328,0.6276016827318327,0.4138536802407453,0.5957571145494103,0.5056581144803464,0.2748191596275667,0.36186012736784956,0.4274072367157988,0.2958284130571733,1.3766735981124696,0.4469618195627588,0.5830877194869234,,0.5082822931033687,,0.48937422288176713,0.1675496356238526,,,0.24893630683839832,0.7043783740194808,0.433195908505751,,0.29310378713269797,0.3895320018898086,0.4471947075867315,1.649728806128762,,0.5737568772525631,0.5349529482556612,,0.6632289932310179,0.5285250688118769,0.5321860266869574,,0.11177922506979142,0.5012815407598767,0.8628939625817077,0.8560997749242375,,0.17766163134831295,,,0.38313134207277283,0.0,,1.2569844252282434,0.4711519147174718,,0.7758182043667113,,0.3679578608159896,,0.5771518474843118,0.10656047418566507,,,0.0,,,0.0,0.7007686517476887,0.6838728100727444,0.0845790195476836,,0.8721078814056336,0.3841615684064763,0.55415801660958,0.5565377623252322,0.3330354907502812,1.4721421447372496,0.6648846621054448,0.32436791719868624,0.3021036614289467,0.291390636943795,0.39898794117094055,,0.7184260283571413,0.5771713546874958,0.40079962973669503,0.2546691909705345,0.44921547690878394,0.5615620127169548,0.38250919413779993,,0.659733188062609,0.3474166485087131,0.6897781139141137,0.5219518826742956,0.2711516752844092,0.577677951472302,6,6,hde-OM2-1,Engine,hde,hde-OM2,
339,37,,0.6020091836193795,0.0,0.764826718165739,,1.25779212897367,,0.5878265885807075,1.350052473651476,0.727654696851565,1.5659586869980715,0.46454916826548753,0.4777513030683419,0.49642301046200576,1.8309092974823922,0.6145199568193545,0.4731612091092123,1.8452441811250848,1.5228730634625842,0.30813392900490005,,,0.13817139261233388,0.43146189616823966,0.4884217397813795,,0.4355926557086962,0.3216126065066377,0.9245565248773862,1.4840028764548852,,0.5424934751764974,,0.16320354162798364,0.5156938375761442,,1.6340894593622646,0.2575471970195543,0.3189684367596996,0.13604148048689596,0.11044804120505111,,0.37635196908582585,0.11134856049173833,0.7136144802507238,0.5431719922593539,0.6893733773449119,0.7506857277213316,0.7430484848450022,0.2885262902031923,0.884096243880483,0.31763528246423045,,0.5922022508946938,0.5055980148512091,1.661320389439688,0.4915077767310765,0.1670392321264612,0.30090295037628,,,0.541726950083136,,,0.4294626266022907,0.6873708435139311,,,0.42795089548937043,0.14463763541783833,,0.7137099619079358,0.4344515071179952,,0.6680770418079276,0.6990059739805023,0.4335612755898698,0.3951323305696546,0.15795232035918896,1.5458851891315368,,,0.5940671989933157,,0.8178289533052405,,0.4848244848295201,0.7533940778243604,0.6003078669762335,0.6266837096414493,0.18430668481336066,0.42451887384041886,1.624426809901177,0.6990545517182138,0.3944883425517756,0.07143834565363193,0.5823340240607725,0.2878911691983936,0.44518018409541477,0.41611185497225534,51,51,mde-OM1-3,Engine,mde,mde-OM1,
477,0,1.0,1.9248232991055705,0.9931493553696361,0.5564221669950792,,,0.9154090439573693,1.0,1.5062100959526847,1.0,2.0,0.4036395049932889,0.4695164132331666,,,0.2839764716681137,0.9061750167185938,1.901698785361624,,,,1.037498967449447,0.5394091095874857,1.0,0.44185373639987424,0.02378202716518468,,0.6978440105223975,0.0,1.1316891706718726,0.6919281948180473,0.534669429527228,,1.0,0.7530621163044567,,1.4311295512649223,0.0,0.9652755635572907,0.3498086989688468,0.42013501774685763,,,0.35212158642216107,,1.0,0.36609931412159263,0.4300688154607457,1.4141236166797568,0.7347318576115052,,0.8077157017133371,0.5803949357271665,,0.29914826176117804,2.0,,0.28771585434244407,0.23514289004275626,1.0,0.7927027440046593,0.26786004031119265,,0.4414422100440279,0.7469793483147128,0.39710372161712937,,,0.1748884558748007,,,1.0,0.0,0.7932259072141093,,1.8013263427739585,0.0,,0.15153222919487908,1.855483120479436,0.0969583658254768,2.813658316405785,0.8140652592104423,,0.44766177280073055,,1.0,0.5136829966163399,0.10218887502109784,0.16514602066825004,0.0,0.010461778111515373,1.5340318567119782,0.2659206428104306,0.0,1.0,0.5636993555355901,1.289099918939197,0.6795992584341582,0.5403993762822528,32,32,mde-OM3-1,Engine,mde,mde-OM3,
82,20,0.6300784463965013,,0.6404840012524003,1.0,,0.03432720976238199,0.48283450683059337,,0.07795627811393238,0.6454621231140204,0.0,,0.6280379239596974,,,0.7021607352186614,0.5235086077480496,0.43528677916605035,1.4952851119030977,,0.967497743129989,1.7117417921506148,0.7322341096021945,0.5616552387760044,,0.7245050529522535,,0.013724404951949322,0.5032368290371586,0.5449949891661877,0.2941160120314695,0.7121458538021477,0.677879845679311,0.05654140232421392,,0.5802232535099611,1.6482282805177129,0.6676995038791658,0.3505170107023555,0.6367016800288869,0.8284442997913132,0.5658069812514924,0.5223295673508666,0.33007197612839906,0.0,0.5097621269622232,0.5768880030660116,0.5533349816342917,0.5021721030040043,,0.1347717076833802,0.43602409261492525,0.26232758339858936,0.3762638267426201,,1.4525828814858863,0.21726130576244881,,,,,,1.0,0.6580163551995049,,0.24539415558292638,0.8778755188497444,0.3151530219763728,,0.5076155677549525,0.722944502146074,0.49845006717914986,0.576896399422348,,0.6093932117951604,1.0,0.675573631861553,0.05942473114490994,,0.3314857728428662,0.40797848344128124,,0.7548404251560659,0.5642263541343228,,0.43908996714981147,0.5666746142536191,0.28085762524139446,0.3616689723255664,0.3710602395736097,0.8869449243962325,0.30158705590203905,0.478267807534302,0.0,0.9536008435175946,,0.2627378569537001,0.2048470452296351,,,20,20,hde-OM1-5,Engine,hde,hde-OM1,
1011,270,,1.293617131942746,0.5035610434778016,0.5241763570121053,,1.2602967124459798,0.46907892224442066,1.739796206377377,1.482495521429986,0.7806315094437221,1.7419811985320366,0.4618114948827516,1.3481358989247654,0.5731242419742251,1.648188295327296,,0.4952699410840656,1.735601822813242,,0.5285517418571217,,1.352894330883331,0.4731166836527444,0.5767792316221423,0.37405917666480343,0.5858556257352143,,0.06083364286352442,2.5521779259872286,1.6302210679032427,,0.3353737357962776,,0.4067759542883866,0.6160573244952745,,1.4982496856782284,0.6893154141057498,0.20001770666332308,0.6665789760475558,0.46828745385521103,,,0.27726633009127893,,1.1585421407001095,0.4254240181712009,0.3684696621011697,1.5483692985350077,0.614859655774065,,0.7750544579224852,0.43260201686561794,1.4913150505861148,0.5920156291379318,1.2913064765338202,,0.48814825579487553,0.7423333078876192,0.3990845605348769,0.6158710985014902,0.4411943453489124,,0.5778253517622005,0.45607239401174343,,,0.29393894618064986,0.35893664967602495,0.5585035624466945,0.4804980138559131,0.6708637063845452,,0.5930108847533051,,1.0,0.6723111382848502,,0.3124116594150976,2.753087260987197,0.2955613429982199,3.2309624081440105,,,0.571524092637426,0.41074957458172034,0.3117091641434332,1.7136135845295621,0.7551232817348658,,0.3080987820078472,0.3551436388612756,1.5138988153547426,0.47430691214443504,,0.46626850957708654,0.7612855278478866,1.3784768092453847,0.25717614499570807,0.48718421679298873,47,47,mde-OM3-13,Engine,mde,mde-OM3,
