Method,R_e,A@e,RA@e,Run,max info loss,n,f,mf,n_clusters,algorithm,n_components,gini,p value
RFperGroup,1,0.36333333333333334,1.0,1,,1050,100,0.0,,,,,
RFperGroup,2,0.5633333333333334,1.3550295857988166,1,,1050,100,0.0,,,,,
RFperGroup,3,0.65,1.5743589743589743,1,,1050,100,0.0,,,,,
RFperGroup,4,0.7333333333333333,1.85,1,,1050,100,0.0,,,,,
RFperGroup,5,0.8133333333333334,2.1598360655737703,1,,1050,100,0.0,,,,,
RFperGroup,6,0.84,2.2817460317460316,1,,1050,100,0.0,,,,,
RFperGroup,7,0.85,2.3372549019607844,1,,1050,100,0.0,,,,,
RFperGroup,8,0.8733333333333333,2.4885496183206106,1,,1050,100,0.0,,,,,
RFperGroup,9,0.8933333333333333,2.6343283582089554,1,,1050,100,0.0,,,,,
RFperGroup,10,0.92,2.847826086956522,1,,1050,100,0.0,,,,,
RF,1,0.27,1.0,1,,1050,100,0.0,,,,,
RF,2,0.44666666666666666,1.3955223880597014,1,,1050,100,0.0,,,,,
RF,3,0.56,1.7202380952380953,1,,1050,100,0.0,,,,,
RF,4,0.6533333333333333,2.045918367346939,1,,1050,100,0.0,,,,,
RF,5,0.71,2.2816901408450705,1,,1050,100,0.0,,,,,
RF,6,0.74,2.4324324324324325,1,,1050,100,0.0,,,,,
RF,7,0.75,2.493333333333333,1,,1050,100,0.0,,,,,
RF,8,0.7733333333333333,2.6594827586206895,1,,1050,100,0.0,,,,,
RF,9,0.78,2.713675213675214,1,,1050,100,0.0,,,,,
RF,10,0.7966666666666666,2.8661087866108788,1,,1050,100,0.0,,,,,
SPH,1,0.2833333333333333,1.0,1,0.1,1050,100,0.0,,,,,
SPH,2,0.4533333333333333,1.375,1,0.1,1050,100,0.0,,,,,
SPH,3,0.5566666666666666,1.6766467065868262,1,0.1,1050,100,0.0,,,,,
SPH,4,0.6366666666666667,1.968586387434555,1,0.1,1050,100,0.0,,,,,
SPH,5,0.6933333333333334,2.2163461538461537,1,0.1,1050,100,0.0,,,,,
SPH,6,0.7333333333333333,2.422727272727273,1,0.1,1050,100,0.0,,,,,
SPH,7,0.75,2.5244444444444443,1,0.1,1050,100,0.0,,,,,
SPH,8,0.7666666666666667,2.643478260869565,1,0.1,1050,100,0.0,,,,,
SPH,9,0.7866666666666666,2.805084745762712,1,0.1,1050,100,0.0,,,,,
SPH,10,0.8033333333333333,2.954356846473029,1,0.1,1050,100,0.0,,,,,
SPH,1,0.3,1.0,1,0.15,1050,100,0.0,,,,,
SPH,2,0.5033333333333333,1.403973509933775,1,0.15,1050,100,0.0,,,,,
SPH,3,0.61,1.6830601092896176,1,0.15,1050,100,0.0,,,,,
SPH,4,0.67,1.890547263681592,1,0.15,1050,100,0.0,,,,,
SPH,5,0.7133333333333334,2.0794392523364484,1,0.15,1050,100,0.0,,,,,
SPH,6,0.7566666666666667,2.303964757709251,1,0.15,1050,100,0.0,,,,,
SPH,7,0.7733333333333333,2.4051724137931036,1,0.15,1050,100,0.0,,,,,
SPH,8,0.7933333333333333,2.546218487394958,1,0.15,1050,100,0.0,,,,,
SPH,9,0.7966666666666666,2.573221757322176,1,0.15,1050,100,0.0,,,,,
SPH,10,0.8066666666666666,2.665289256198347,1,0.15,1050,100,0.0,,,,,
SPH,1,0.30666666666666664,1.0,1,0.2,1050,100,0.0,,,,,
SPH,2,0.5166666666666667,1.4064516129032258,1,0.2,1050,100,0.0,,,,,
SPH,3,0.6233333333333333,1.679144385026738,1,0.2,1050,100,0.0,,,,,
SPH,4,0.6833333333333333,1.8829268292682926,1,0.2,1050,100,0.0,,,,,
SPH,5,0.7233333333333334,2.055299539170507,1,0.2,1050,100,0.0,,,,,
SPH,6,0.76,2.245614035087719,1,0.2,1050,100,0.0,,,,,
SPH,7,0.7766666666666666,2.347639484978541,1,0.2,1050,100,0.0,,,,,
SPH,8,0.8033333333333333,2.5352697095435683,1,0.2,1050,100,0.0,,,,,
SPH,9,0.8066666666666666,2.56198347107438,1,0.2,1050,100,0.0,,,,,
SPH,10,0.8133333333333334,2.622950819672131,1,0.2,1050,100,0.0,,,,,
SPH,1,0.31,1.0,1,0.25,1050,100,0.0,,,,,
SPH,2,0.5066666666666667,1.388157894736842,1,0.25,1050,100,0.0,,,,,
SPH,3,0.61,1.6612021857923498,1,0.25,1050,100,0.0,,,,,
SPH,4,0.6833333333333333,1.9121951219512194,1,0.25,1050,100,0.0,,,,,
SPH,5,0.7333333333333333,2.1227272727272726,1,0.25,1050,100,0.0,,,,,
SPH,6,0.7666666666666667,2.291304347826087,1,0.25,1050,100,0.0,,,,,
SPH,7,0.7866666666666666,2.4110169491525424,1,0.25,1050,100,0.0,,,,,
SPH,8,0.8033333333333333,2.5269709543568464,1,0.25,1050,100,0.0,,,,,
SPH,9,0.8166666666666667,2.63265306122449,1,0.25,1050,100,0.0,,,,,
SPH,10,0.8233333333333334,2.6923076923076925,1,0.25,1050,100,0.0,,,,,
SPH,1,0.31333333333333335,1.0,1,0.3,1050,100,0.0,,,,,
SPH,2,0.5133333333333333,1.3896103896103895,1,0.3,1050,100,0.0,,,,,
SPH,3,0.61,1.644808743169399,1,0.3,1050,100,0.0,,,,,
SPH,4,0.68,1.8872549019607843,1,0.3,1050,100,0.0,,,,,
SPH,5,0.73,2.1004566210045663,1,0.3,1050,100,0.0,,,,,
SPH,6,0.76,2.254385964912281,1,0.3,1050,100,0.0,,,,,
SPH,7,0.78,2.376068376068376,1,0.3,1050,100,0.0,,,,,
SPH,8,0.7933333333333333,2.4705882352941178,1,0.3,1050,100,0.0,,,,,
SPH,9,0.8066666666666666,2.5785123966942147,1,0.3,1050,100,0.0,,,,,
SPH,1,0.31666666666666665,1.0,1,0.35,1050,100,0.0,,,,,
SPH,2,0.5166666666666667,1.3870967741935485,1,0.35,1050,100,0.0,,,,,
SPH,3,0.6133333333333333,1.641304347826087,1,0.35,1050,100,0.0,,,,,
SPH,4,0.68,1.8725490196078431,1,0.35,1050,100,0.0,,,,,
SPH,5,0.73,2.08675799086758,1,0.35,1050,100,0.0,,,,,
SPH,6,0.76,2.241228070175439,1,0.35,1050,100,0.0,,,,,
SPH,7,0.78,2.3632478632478633,1,0.35,1050,100,0.0,,,,,
SPH,8,0.7933333333333333,2.457983193277311,1,0.35,1050,100,0.0,,,,,
SPH,9,0.8066666666666666,2.5661157024793386,1,0.35,1050,100,0.0,,,,,
SPH,1,0.31666666666666665,1.0,1,0.4,1050,100,0.0,,,,,
SPH,2,0.5166666666666667,1.3870967741935485,1,0.4,1050,100,0.0,,,,,
SPH,3,0.6133333333333333,1.641304347826087,1,0.4,1050,100,0.0,,,,,
SPH,4,0.68,1.8725490196078431,1,0.4,1050,100,0.0,,,,,
SPH,5,0.73,2.08675799086758,1,0.4,1050,100,0.0,,,,,
SPH,6,0.76,2.241228070175439,1,0.4,1050,100,0.0,,,,,
SPH,7,0.78,2.3632478632478633,1,0.4,1050,100,0.0,,,,,
SPH,8,0.7933333333333333,2.457983193277311,1,0.4,1050,100,0.0,,,,,
SPH,9,0.8066666666666666,2.5661157024793386,1,0.4,1050,100,0.0,,,,,
RF+B,1,0.3,1.0,1,,1050,100,0.0,,,,,
RF+B,2,0.4533333333333333,1.338235294117647,1,,1050,100,0.0,,,,,
RF+B,3,0.55,1.6303030303030304,1,,1050,100,0.0,,,,,
RF+B,4,0.63,1.9312169312169312,1,,1050,100,0.0,,,,,
RF+B,5,0.6566666666666666,2.0558375634517767,1,,1050,100,0.0,,,,,
RF+B,6,0.69,2.246376811594203,1,,1050,100,0.0,,,,,
RF+B,7,0.7133333333333334,2.4018691588785046,1,,1050,100,0.0,,,,,
RF+B,8,0.7266666666666667,2.5045871559633026,1,,1050,100,0.0,,,,,
RF+B,9,0.7466666666666667,2.6785714285714284,1,,1050,100,0.0,,,,,
RF+B,10,0.76,2.807017543859649,1,,1050,100,0.0,,,,,
KMeans,1,0.32666666666666666,1.0,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,2,0.51,1.3594771241830066,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,3,0.5866666666666667,1.5738636363636365,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,4,0.64,1.7760416666666667,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,5,0.6966666666666667,2.0382775119617227,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,6,0.7266666666666667,2.2018348623853212,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,7,0.7433333333333333,2.309417040358744,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,8,0.79,2.6455696202531644,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,9,0.8233333333333334,2.902834008097166,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,10,0.84,3.0436507936507935,1,,1050,100,0.0,10.0,KMeans,,,
KMeans,1,0.32,1.0,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,2,0.48,1.3333333333333333,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,3,0.5433333333333333,1.5276073619631902,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,4,0.6166666666666667,1.8216216216216217,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,5,0.7,2.2,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,6,0.7433333333333333,2.42152466367713,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,7,0.7733333333333333,2.5991379310344827,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,8,0.8,2.779166666666667,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,9,0.8266666666666667,2.9798387096774195,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,10,0.8433333333333334,3.1185770750988144,1,,1050,100,0.0,15.0,KMeans,,,
KMeans,1,0.33,1.0,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,2,0.49333333333333335,1.3310810810810811,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,3,0.5866666666666667,1.5965909090909092,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,4,0.6533333333333333,1.8418367346938775,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,5,0.7166666666666667,2.1209302325581394,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,6,0.7433333333333333,2.2600896860986546,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,7,0.76,2.3640350877192984,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,8,0.8033333333333333,2.66804979253112,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,9,0.8366666666666667,2.9203187250996017,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,10,0.87,3.1915708812260535,1,,1050,100,0.0,20.0,KMeans,,,
KMeans,1,0.3233333333333333,1.0,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,2,0.48333333333333334,1.3310344827586207,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,3,0.57,1.5847953216374269,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,4,0.66,1.9141414141414141,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,5,0.7366666666666667,2.235294117647059,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,6,0.7633333333333333,2.3668122270742358,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,7,0.7933333333333333,2.542016806722689,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,8,0.8,2.5875,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,9,0.8233333333333334,2.769230769230769,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,10,0.8366666666666667,2.8844621513944224,1,,1050,100,0.0,25.0,KMeans,,,
KMeans,1,0.32,1.0,1,,1050,100,0.0,26.0,KMeans,,,
