Method,R_e,A@e,RA@e,Run,max info loss,n,f,n_clusters,algorithm,n_components,gini,p value
SPH,1,0.27972027972027974,1.0,1,0.1,500,100,,,,,
SPH,2,0.46153846153846156,1.393939393939394,1,0.1,500,100,,,,,
SPH,3,0.5104895104895105,1.547945205479452,1,0.1,500,100,,,,,
SPH,4,0.6153846153846154,1.9659090909090908,1,0.1,500,100,,,,,
SPH,5,0.6643356643356644,2.1894736842105265,1,0.1,500,100,,,,,
SPH,6,0.7062937062937062,2.4158415841584158,1,0.1,500,100,,,,,
SPH,7,0.7062937062937062,2.4158415841584158,1,0.1,500,100,,,,,
SPH,8,0.7342657342657343,2.6285714285714286,1,0.1,500,100,,,,,
SPH,9,0.7482517482517482,2.7476635514018692,1,0.1,500,100,,,,,
SPH,10,0.7552447552447552,2.814814814814815,1,0.1,500,100,,,,,
SPH,1,0.3146853146853147,1.0,1,0.15,500,100,,,,,
SPH,2,0.46153846153846156,1.3181818181818181,1,0.15,500,100,,,,,
SPH,3,0.6013986013986014,1.7093023255813953,1,0.15,500,100,,,,,
SPH,4,0.6853146853146853,1.989795918367347,1,0.15,500,100,,,,,
SPH,5,0.7272727272727273,2.1634615384615383,1,0.15,500,100,,,,,
SPH,6,0.7412587412587412,2.2358490566037736,1,0.15,500,100,,,,,
SPH,7,0.7552447552447552,2.324074074074074,1,0.15,500,100,,,,,
SPH,8,0.7552447552447552,2.324074074074074,1,0.15,500,100,,,,,
SPH,9,0.7692307692307693,2.4454545454545453,1,0.15,500,100,,,,,
SPH,1,0.3146853146853147,1.0,1,0.2,500,100,,,,,
SPH,2,0.4755244755244755,1.338235294117647,1,0.2,500,100,,,,,
SPH,3,0.6013986013986014,1.686046511627907,1,0.2,500,100,,,,,
SPH,4,0.6783216783216783,1.9484536082474226,1,0.2,500,100,,,,,
SPH,5,0.7202797202797203,2.1262135922330097,1,0.2,500,100,,,,,
SPH,6,0.7342657342657343,2.2,1,0.2,500,100,,,,,
SPH,7,0.7482517482517482,2.289719626168224,1,0.2,500,100,,,,,
SPH,8,0.7482517482517482,2.289719626168224,1,0.2,500,100,,,,,
SPH,9,0.7622377622377622,2.4128440366972477,1,0.2,500,100,,,,,
SPH,1,0.32867132867132864,1.0,1,0.25,500,100,,,,,
SPH,2,0.5034965034965035,1.3472222222222223,1,0.25,500,100,,,,,
SPH,3,0.5944055944055944,1.6,1,0.25,500,100,,,,,
SPH,4,0.6643356643356644,1.8526315789473684,1,0.25,500,100,,,,,
SPH,5,0.7342657342657343,2.1523809523809523,1,0.25,500,100,,,,,
SPH,6,0.7482517482517482,2.2242990654205608,1,0.25,500,100,,,,,
SPH,7,0.7622377622377622,2.311926605504587,1,0.25,500,100,,,,,
SPH,8,0.7622377622377622,2.311926605504587,1,0.25,500,100,,,,,
SPH,9,0.7762237762237763,2.4324324324324325,1,0.25,500,100,,,,,
SPH,1,0.32167832167832167,1.0,1,0.3,500,100,,,,,
SPH,2,0.4965034965034965,1.352112676056338,1,0.3,500,100,,,,,
SPH,3,0.5874125874125874,1.6071428571428572,1,0.3,500,100,,,,,
SPH,4,0.6433566433566433,1.815217391304348,1,0.3,500,100,,,,,
SPH,5,0.7132867132867133,2.127450980392157,1,0.3,500,100,,,,,
SPH,6,0.7342657342657343,2.238095238095238,1,0.3,500,100,,,,,
SPH,7,0.7482517482517482,2.3271028037383177,1,0.3,500,100,,,,,
SPH,8,0.7482517482517482,2.3271028037383177,1,0.3,500,100,,,,,
SPH,9,0.7622377622377622,2.44954128440367,1,0.3,500,100,,,,,
SPH,1,0.32167832167832167,1.0,1,0.35,500,100,,,,,
SPH,2,0.4965034965034965,1.352112676056338,1,0.35,500,100,,,,,
SPH,3,0.5874125874125874,1.6071428571428572,1,0.35,500,100,,,,,
SPH,4,0.6433566433566433,1.815217391304348,1,0.35,500,100,,,,,
SPH,5,0.7132867132867133,2.127450980392157,1,0.35,500,100,,,,,
SPH,6,0.7342657342657343,2.238095238095238,1,0.35,500,100,,,,,
SPH,7,0.7482517482517482,2.3271028037383177,1,0.35,500,100,,,,,
SPH,8,0.7482517482517482,2.3271028037383177,1,0.35,500,100,,,,,
SPH,9,0.7622377622377622,2.44954128440367,1,0.35,500,100,,,,,
SPH,1,0.32867132867132864,1.0,1,0.4,500,100,,,,,
SPH,2,0.5104895104895105,1.356164383561644,1,0.4,500,100,,,,,
SPH,3,0.6083916083916084,1.6206896551724137,1,0.4,500,100,,,,,
SPH,4,0.6713286713286714,1.84375,1,0.4,500,100,,,,,
SPH,5,0.7412587412587412,2.141509433962264,1,0.4,500,100,,,,,
SPH,6,0.7552447552447552,2.212962962962963,1,0.4,500,100,,,,,
RF,1,0.27972027972027974,1.0,1,,500,100,,,,,
RF,2,0.4195804195804196,1.3333333333333333,1,,500,100,,,,,
RF,3,0.5384615384615384,1.7012987012987013,1,,500,100,,,,,
RF,4,0.5874125874125874,1.8928571428571428,1,,500,100,,,,,
RF,5,0.6433566433566433,2.1630434782608696,1,,500,100,,,,,
RF,6,0.6643356643356644,2.2842105263157895,1,,500,100,,,,,
RF,7,0.6643356643356644,2.2842105263157895,1,,500,100,,,,,
RF,8,0.6923076923076923,2.515151515151515,1,,500,100,,,,,
RF,9,0.7202797202797203,2.766990291262136,1,,500,100,,,,,
RF,10,0.7552447552447552,3.1018518518518516,1,,500,100,,,,,
RF+B,1,0.23776223776223776,1.0,1,,500,100,,,,,
RF+B,2,0.36363636363636365,1.3461538461538463,1,,500,100,,,,,
RF+B,3,0.43356643356643354,1.6129032258064515,1,,500,100,,,,,
RF+B,4,0.5104895104895105,1.9726027397260273,1,,500,100,,,,,
RF+B,5,0.5384615384615384,2.1298701298701297,1,,500,100,,,,,
RF+B,6,0.5874125874125874,2.4523809523809526,1,,500,100,,,,,
RF+B,7,0.6083916083916084,2.6091954022988504,1,,500,100,,,,,
RF+B,8,0.6433566433566433,2.902173913043478,1,,500,100,,,,,
RF+B,9,0.6643356643356644,3.094736842105263,1,,500,100,,,,,
RF+B,10,0.6713286713286714,3.1666666666666665,1,,500,100,,,,,
KMeans,1,0.32167832167832167,1.0,1,,500,100,10.0,KMeans,,,
KMeans,2,0.45454545454545453,1.2923076923076924,1,,500,100,10.0,KMeans,,,
KMeans,3,0.5104895104895105,1.4794520547945205,1,,500,100,10.0,KMeans,,,
KMeans,4,0.5944055944055944,1.8352941176470587,1,,500,100,10.0,KMeans,,,
KMeans,5,0.6433566433566433,2.0760869565217392,1,,500,100,10.0,KMeans,,,
KMeans,6,0.6643356643356644,2.2,1,,500,100,10.0,KMeans,,,
KMeans,7,0.7132867132867133,2.5294117647058822,1,,500,100,10.0,KMeans,,,
KMeans,8,0.7482517482517482,2.7850467289719627,1,,500,100,10.0,KMeans,,,
KMeans,9,0.7902097902097902,3.1150442477876106,1,,500,100,10.0,KMeans,,,
KMeans,10,0.8111888111888111,3.293103448275862,1,,500,100,10.0,KMeans,,,
KMeans,1,0.32167832167832167,1.0,1,,500,100,15.0,KMeans,,,
KMeans,2,0.4965034965034965,1.352112676056338,1,,500,100,15.0,KMeans,,,
KMeans,3,0.5804195804195804,1.5903614457831325,1,,500,100,15.0,KMeans,,,
KMeans,4,0.6643356643356644,1.894736842105263,1,,500,100,15.0,KMeans,,,
KMeans,5,0.7412587412587412,2.2169811320754715,1,,500,100,15.0,KMeans,,,
KMeans,6,0.7622377622377622,2.3211009174311927,1,,500,100,15.0,KMeans,,,
KMeans,7,0.7972027972027972,2.526315789473684,1,,500,100,15.0,KMeans,,,
KMeans,8,0.8181818181818182,2.6666666666666665,1,,500,100,15.0,KMeans,,,
KMeans,9,0.8321678321678322,2.773109243697479,1,,500,100,15.0,KMeans,,,
KMeans,10,0.8391608391608392,2.8333333333333335,1,,500,100,15.0,KMeans,,,
KMeans,1,0.36363636363636365,1.0,1,,500,100,20.0,KMeans,,,
KMeans,2,0.5524475524475524,1.3417721518987342,1,,500,100,20.0,KMeans,,,
KMeans,3,0.6503496503496503,1.5913978494623655,1,,500,100,20.0,KMeans,,,
KMeans,4,0.7132867132867133,1.803921568627451,1,,500,100,20.0,KMeans,,,
KMeans,5,0.7412587412587412,1.9245283018867925,1,,500,100,20.0,KMeans,,,
KMeans,6,0.7552447552447552,2.0,1,,500,100,20.0,KMeans,,,
KMeans,7,0.7622377622377622,2.0458715596330275,1,,500,100,20.0,KMeans,,,
KMeans,8,0.7972027972027972,2.307017543859649,1,,500,100,20.0,KMeans,,,
KMeans,9,0.8181818181818182,2.4786324786324787,1,,500,100,20.0,KMeans,,,
KMeans,10,0.8391608391608392,2.6666666666666665,1,,500,100,20.0,KMeans,,,
KMeans,1,0.34265734265734266,1.0,1,,500,100,25.0,KMeans,,,
KMeans,2,0.5454545454545454,1.3717948717948718,1,,500,100,25.0,KMeans,,,
KMeans,3,0.6013986013986014,1.5232558139534884,1,,500,100,25.0,KMeans,,,
KMeans,4,0.6643356643356644,1.7578947368421052,1,,500,100,25.0,KMeans,,,
KMeans,5,0.7272727272727273,2.0384615384615383,1,,500,100,25.0,KMeans,,,
KMeans,6,0.7482517482517482,2.149532710280374,1,,500,100,25.0,KMeans,,,
KMeans,7,0.7692307692307693,2.2818181818181817,1,,500,100,25.0,KMeans,,,
KMeans,8,0.7832167832167832,2.3839285714285716,1,,500,100,25.0,KMeans,,,
KMeans,9,0.8111888111888111,2.6120689655172415,1,,500,100,25.0,KMeans,,,
KMeans,10,0.8461538461538461,2.9173553719008263,1,,500,100,25.0,KMeans,,,
KMeans,1,0.3146853146853147,1.0,1,,500,100,26.0,KMeans,,,
KMeans,2,0.5034965034965035,1.375,1,,500,100,26.0,KMeans,,,
KMeans,3,0.5874125874125874,1.6071428571428572,1,,500,100,26.0,KMeans,,,
KMeans,4,0.7132867132867133,2.0294117647058822,1,,500,100,26.0,KMeans,,,
KMeans,5,0.7552447552447552,2.1944444444444446,1,,500,100,26.0,KMeans,,,
KMeans,6,0.7552447552447552,2.1944444444444446,1,,500,100,26.0,KMeans,,,
KMeans,7,0.7762237762237763,2.324324324324324,1,,500,100,26.0,KMeans,,,
KMeans,8,0.7832167832167832,2.375,1,,500,100,26.0,KMeans,,,
KMeans,9,0.8181818181818182,2.658119658119658,1,,500,100,26.0,KMeans,,,
KMeans,10,0.8391608391608392,2.841666666666667,1,,500,100,26.0,KMeans,,,
KMeans,1,0.34965034965034963,1.0,1,,500,100,30.0,KMeans,,,
KMeans,2,0.48951048951048953,1.2857142857142858,1,,500,100,30.0,KMeans,,,
KMeans,3,0.5804195804195804,1.5542168674698795,1,,500,100,30.0,KMeans,,,
KMeans,4,0.6643356643356644,1.8631578947368421,1,,500,100,30.0,KMeans,,,
KMeans,5,0.7202797202797203,2.1067961165048543,1,,500,100,30.0,KMeans,,,
KMeans,6,0.7482517482517482,2.2523364485981308,1,,500,100,30.0,KMeans,,,
KMeans,7,0.7692307692307693,2.381818181818182,1,,500,100,30.0,KMeans,,,
KMeans,8,0.7832167832167832,2.482142857142857,1,,500,100,30.0,KMeans,,,
KMeans,9,0.7972027972027972,2.5964912280701755,1,,500,100,30.0,KMeans,,,
KMeans,10,0.8111888111888111,2.7241379310344827,1,,500,100,30.0,KMeans,,,
KMeans,1,0.32867132867132864,1.0,1,,500,100,35.0,KMeans,,,
KMeans,2,0.5104895104895105,1.356164383561644,1,,500,100,35.0,KMeans,,,
KMeans,3,0.5874125874125874,1.5714285714285714,1,,500,100,35.0,KMeans,,,
KMeans,4,0.6153846153846154,1.6818181818181819,1,,500,100,35.0,KMeans,,,
