#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,CHI,SIL,DBI,max info loss,Method,Run,n,f,n_clusters,algorithm,n_components,gini,p value
269.17241379310343,0.19976772246831426,100.0,48.03448275862069,0.3933713902992963,67,0,0.0,0.0,0.0,0.1,SPH,1,500,100,,,,,
136.86206896551724,0.15172492426993678,100.0,30.482758620689655,0.329388721960022,43,0,0.0,0.0,0.0,0.15,SPH,1,500,100,,,,,
126.6896551724138,0.14696235042115227,100.0,28.689655172413794,0.3141789624494753,41,0,0.0,0.0,0.0,0.2,SPH,1,500,100,,,,,
113.34482758620689,0.1395437540505545,100.0,26.06896551724138,0.28883849127662353,38,0,0.0,0.0,0.0,0.25,SPH,1,500,100,,,,,
110.65517241379311,0.13479135094236183,100.0,25.20689655172414,0.2841232653642341,36,0,0.0,0.0,0.0,0.3,SPH,1,500,100,,,,,
110.65517241379311,0.13479135094236183,100.0,25.20689655172414,0.2841232653642341,36,0,0.0,0.0,0.0,0.35,SPH,1,500,100,,,,,
58.0,0.10391971280958968,100.0,14.758620689655173,0.24121772720473564,23,0,0.0,0.0,0.0,0.4,SPH,1,500,100,,,,,
357.0,0.2396638655462185,100.0,76.0,0.4404761904761906,0,0,0.0,0.0,0.0,,RF,1,500,100,,,,,
357.0,0.0,11.0,76.0,0.4404761904761906,0,0,0.0,0.0,0.0,,RF+B,1,500,100,,,,,
39.269999999999996,0.12552795054435556,110.0,20.130000000000003,0.3623500356914118,0,0,0.0,0.0,0.0,,KMeans,1,500,100,10.0,KMeans,,,
25.386666666666667,0.10734236429881078,106.66666666666667,13.724444444444446,0.2950403536052627,0,0,0.0,0.0,0.0,,KMeans,1,500,100,15.0,KMeans,,,
18.7425,0.11107550096677529,105.0,10.290000000000001,0.2542474313207438,0,0,0.0,0.0,0.0,,KMeans,1,500,100,20.0,KMeans,,,
14.851199999999999,0.08727106522850196,104.0,8.527999999999999,0.20902312032691872,0,0,0.0,0.0,0.0,,KMeans,1,500,100,25.0,KMeans,,,
14.25887573964497,0.08891055917946254,103.84615384615384,8.627218934911243,0.20494433488192884,0,0,0.0,0.0,0.0,,KMeans,1,500,100,26.0,KMeans,,,
12.296666666666665,0.09528884468973052,103.33333333333333,7.7155555555555555,0.17810589459820333,0,0,0.0,0.0,0.0,,KMeans,1,500,100,30.0,KMeans,,,
10.491428571428571,0.07911626522042348,102.85714285714286,6.671020408163265,0.15791475533659036,0,0,0.0,0.0,0.0,,KMeans,1,500,100,35.0,KMeans,,,
9.148125,0.0709577639155437,102.5,5.970625,0.15849518296521076,0,0,0.0,0.0,0.0,,KMeans,1,500,100,40.0,KMeans,,,
8.10962962962963,0.06471102193682841,102.22222222222223,5.338271604938272,0.1201244575744442,0,0,0.0,0.0,0.0,,KMeans,1,500,100,45.0,KMeans,,,
7.2828,0.059785140833838346,102.0,4.8144,0.10188396011401422,0,0,0.0,0.0,0.0,,KMeans,1,500,100,50.0,KMeans,,,
39.269999999999996,0.1256534820113562,110.0,19.91,0.36570177268204024,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,10.0,,
25.386666666666667,0.1075980429487546,106.66666666666667,13.155555555555557,0.3106121496377597,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,15.0,,
18.7425,0.10847798837160043,105.0,10.4475,0.26955860473771054,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,20.0,,
14.851199999999999,0.10067033636283167,104.0,8.943999999999999,0.2075049202858318,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,25.0,,
14.25887573964497,0.09188843284965843,103.84615384615384,8.946745562130177,0.22100037467799025,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,26.0,,
12.296666666666665,0.07931909811434547,103.33333333333333,7.302222222222222,0.18968421904669755,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,30.0,,
10.491428571428571,0.07876297865711951,102.85714285714286,6.553469387755102,0.16327750985528522,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,35.0,,
9.148125,0.07739896197564612,102.5,5.945,0.13040463359489093,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,40.0,,
8.10962962962963,0.05873039362205895,102.22222222222223,5.4064197530864195,0.12378409165809315,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,45.0,,
7.2828,0.04497882072968894,102.0,4.7124,0.11010687015533417,0,0,0.0,0.0,0.0,,GMM,1,500,100,,GMM,50.0,,
39.269999999999996,0.11687185676646623,110.0,20.130000000000003,0.36151899584328484,0,0,0.0,0.0,0.0,,Birch,1,500,100,10.0,Birch,,,
25.386666666666667,0.09725066696780554,106.66666666666667,13.582222222222223,0.3087233728163771,0,0,0.0,0.0,0.0,,Birch,1,500,100,15.0,Birch,,,
18.7425,0.09406439768689553,105.0,10.4475,0.2540129844772041,0,0,0.0,0.0,0.0,,Birch,1,500,100,20.0,Birch,,,
14.851199999999999,0.08559828709267042,104.0,8.4032,0.21357953565388865,0,0,0.0,0.0,0.0,,Birch,1,500,100,25.0,Birch,,,
14.25887573964497,0.07823665076004671,103.84615384615384,8.068047337278106,0.2050611438415664,0,0,0.0,0.0,0.0,,Birch,1,500,100,26.0,Birch,,,
