surrogate,max info loss,Method,Run,n,f,n_clusters,algorithm,n_components,gini,p value
hde-OM1-2,0.1,SPH,1,500,100,,,,,
hde-OM1,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM1-3,0.1,SPH,1,500,100,,,,,
hde-OM1,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM1-4,0.1,SPH,1,500,100,,,,,
hde-OM1,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM1-6,0.1,SPH,1,500,100,,,,,
hde-OM1,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM2-1,0.1,SPH,1,500,100,,,,,
hde-OM2,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM2-2,0.1,SPH,1,500,100,,,,,
hde-OM2,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM2-3,0.1,SPH,1,500,100,,,,,
hde-OM2,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM2-5,0.1,SPH,1,500,100,,,,,
hde-OM2,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM2-6,0.1,SPH,1,500,100,,,,,
hde-OM2,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM3-1,0.1,SPH,1,500,100,,,,,
hde-OM3,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
hde-OM3-3,0.1,SPH,1,500,100,,,,,
hde-OM3,0.1,SPH,1,500,100,,,,,
hde,0.1,SPH,1,500,100,,,,,
mde-OM1-2,0.1,SPH,1,500,100,,,,,
mde-OM1,0.1,SPH,1,500,100,,,,,
mde-OM1-3,0.1,SPH,1,500,100,,,,,
mde-OM1,0.1,SPH,1,500,100,,,,,
mde-OM1-4,0.1,SPH,1,500,100,,,,,
mde-OM1,0.1,SPH,1,500,100,,,,,
mde-OM1-5,0.1,SPH,1,500,100,,,,,
mde-OM1,0.1,SPH,1,500,100,,,,,
mde-OM1-6,0.1,SPH,1,500,100,,,,,
mde-OM1,0.1,SPH,1,500,100,,,,,
mde-OM1-7,0.1,SPH,1,500,100,,,,,
mde-OM1,0.1,SPH,1,500,100,,,,,
mde-OM3-1,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-4,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-5,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-6,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-7,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-8,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-9,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-10,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-11,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-12,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
mde-OM3-13,0.1,SPH,1,500,100,,,,,
mde-OM3,0.1,SPH,1,500,100,,,,,
hde-OM1-2,0.15,SPH,1,500,100,,,,,
hde-OM1,0.15,SPH,1,500,100,,,,,
hde-OM1-3,0.15,SPH,1,500,100,,,,,
hde-OM1,0.15,SPH,1,500,100,,,,,
hde-OM1-4,0.15,SPH,1,500,100,,,,,
hde-OM1,0.15,SPH,1,500,100,,,,,
hde-OM1-6,0.15,SPH,1,500,100,,,,,
hde-OM1,0.15,SPH,1,500,100,,,,,
hde-OM2-1,0.15,SPH,1,500,100,,,,,
hde-OM2,0.15,SPH,1,500,100,,,,,
hde-OM2-2,0.15,SPH,1,500,100,,,,,
hde-OM2,0.15,SPH,1,500,100,,,,,
hde-OM2-3,0.15,SPH,1,500,100,,,,,
hde-OM2,0.15,SPH,1,500,100,,,,,
hde-OM2-5,0.15,SPH,1,500,100,,,,,
hde-OM2,0.15,SPH,1,500,100,,,,,
hde-OM2-6,0.15,SPH,1,500,100,,,,,
hde-OM2,0.15,SPH,1,500,100,,,,,
hde-OM3-1,0.15,SPH,1,500,100,,,,,
hde-OM3,0.15,SPH,1,500,100,,,,,
hde-OM3-3,0.15,SPH,1,500,100,,,,,
hde-OM3,0.15,SPH,1,500,100,,,,,
mde-OM1-2,0.15,SPH,1,500,100,,,,,
mde-OM1,0.15,SPH,1,500,100,,,,,
mde-OM1-3,0.15,SPH,1,500,100,,,,,
mde-OM1,0.15,SPH,1,500,100,,,,,
mde-OM1-5,0.15,SPH,1,500,100,,,,,
mde-OM1,0.15,SPH,1,500,100,,,,,
mde-OM1-6,0.15,SPH,1,500,100,,,,,
mde-OM1,0.15,SPH,1,500,100,,,,,
mde-OM1-7,0.15,SPH,1,500,100,,,,,
mde-OM1,0.15,SPH,1,500,100,,,,,
mde-OM3-1,0.15,SPH,1,500,100,,,,,
mde-OM3-4,0.15,SPH,1,500,100,,,,,
mde-OM3-5,0.15,SPH,1,500,100,,,,,
mde-OM3-6,0.15,SPH,1,500,100,,,,,
mde-OM3-7,0.15,SPH,1,500,100,,,,,
mde-OM3-8,0.15,SPH,1,500,100,,,,,
mde-OM3-9,0.15,SPH,1,500,100,,,,,
mde-OM3-10,0.15,SPH,1,500,100,,,,,
mde-OM3-11,0.15,SPH,1,500,100,,,,,
mde-OM3-12,0.15,SPH,1,500,100,,,,,
mde-OM3-13,0.15,SPH,1,500,100,,,,,
hde-OM1-2,0.2,SPH,1,500,100,,,,,
hde-OM1,0.2,SPH,1,500,100,,,,,
hde-OM1-3,0.2,SPH,1,500,100,,,,,
hde-OM1,0.2,SPH,1,500,100,,,,,
hde-OM1-4,0.2,SPH,1,500,100,,,,,
hde-OM1,0.2,SPH,1,500,100,,,,,
hde-OM1-6,0.2,SPH,1,500,100,,,,,
hde-OM1,0.2,SPH,1,500,100,,,,,
hde-OM2-1,0.2,SPH,1,500,100,,,,,
hde-OM2,0.2,SPH,1,500,100,,,,,
hde-OM2-2,0.2,SPH,1,500,100,,,,,
hde-OM2,0.2,SPH,1,500,100,,,,,
hde-OM2-3,0.2,SPH,1,500,100,,,,,
hde-OM2,0.2,SPH,1,500,100,,,,,
hde-OM2-5,0.2,SPH,1,500,100,,,,,
hde-OM2,0.2,SPH,1,500,100,,,,,
hde-OM2-6,0.2,SPH,1,500,100,,,,,
hde-OM2,0.2,SPH,1,500,100,,,,,
hde-OM3-1,0.2,SPH,1,500,100,,,,,
hde-OM3,0.2,SPH,1,500,100,,,,,
hde-OM3-3,0.2,SPH,1,500,100,,,,,
hde-OM3,0.2,SPH,1,500,100,,,,,
mde-OM1-2,0.2,SPH,1,500,100,,,,,
mde-OM1,0.2,SPH,1,500,100,,,,,
mde-OM1-3,0.2,SPH,1,500,100,,,,,
mde-OM1,0.2,SPH,1,500,100,,,,,
mde-OM1-5,0.2,SPH,1,500,100,,,,,
mde-OM1,0.2,SPH,1,500,100,,,,,
mde-OM1-6,0.2,SPH,1,500,100,,,,,
mde-OM1,0.2,SPH,1,500,100,,,,,
mde-OM1-7,0.2,SPH,1,500,100,,,,,
mde-OM1,0.2,SPH,1,500,100,,,,,
mde-OM3-1,0.2,SPH,1,500,100,,,,,
mde-OM3-4,0.2,SPH,1,500,100,,,,,
mde-OM3-6,0.2,SPH,1,500,100,,,,,
mde-OM3-7,0.2,SPH,1,500,100,,,,,
mde-OM3-8,0.2,SPH,1,500,100,,,,,
mde-OM3-10,0.2,SPH,1,500,100,,,,,
mde-OM3-11,0.2,SPH,1,500,100,,,,,
mde-OM3-12,0.2,SPH,1,500,100,,,,,
mde-OM3-13,0.2,SPH,1,500,100,,,,,
hde-OM1-2,0.25,SPH,1,500,100,,,,,
hde-OM1,0.25,SPH,1,500,100,,,,,
hde-OM1-3,0.25,SPH,1,500,100,,,,,
hde-OM1,0.25,SPH,1,500,100,,,,,
hde-OM1-4,0.25,SPH,1,500,100,,,,,
hde-OM1,0.25,SPH,1,500,100,,,,,
hde-OM1-6,0.25,SPH,1,500,100,,,,,
hde-OM1,0.25,SPH,1,500,100,,,,,
hde-OM2-1,0.25,SPH,1,500,100,,,,,
hde-OM2,0.25,SPH,1,500,100,,,,,
hde-OM2-2,0.25,SPH,1,500,100,,,,,
hde-OM2,0.25,SPH,1,500,100,,,,,
hde-OM2-3,0.25,SPH,1,500,100,,,,,
hde-OM2,0.25,SPH,1,500,100,,,,,
hde-OM2-5,0.25,SPH,1,500,100,,,,,
hde-OM2,0.25,SPH,1,500,100,,,,,
hde-OM2-6,0.25,SPH,1,500,100,,,,,
hde-OM2,0.25,SPH,1,500,100,,,,,
hde-OM3-1,0.25,SPH,1,500,100,,,,,
hde-OM3,0.25,SPH,1,500,100,,,,,
hde-OM3-3,0.25,SPH,1,500,100,,,,,
hde-OM3,0.25,SPH,1,500,100,,,,,
mde-OM1-2,0.25,SPH,1,500,100,,,,,
mde-OM1,0.25,SPH,1,500,100,,,,,
mde-OM1-3,0.25,SPH,1,500,100,,,,,
mde-OM1,0.25,SPH,1,500,100,,,,,
mde-OM1-5,0.25,SPH,1,500,100,,,,,
mde-OM1,0.25,SPH,1,500,100,,,,,
mde-OM1-6,0.25,SPH,1,500,100,,,,,
mde-OM1,0.25,SPH,1,500,100,,,,,
mde-OM1-7,0.25,SPH,1,500,100,,,,,
mde-OM1,0.25,SPH,1,500,100,,,,,
mde-OM3-1,0.25,SPH,1,500,100,,,,,
mde-OM3-4,0.25,SPH,1,500,100,,,,,
mde-OM3-7,0.25,SPH,1,500,100,,,,,
mde-OM3-8,0.25,SPH,1,500,100,,,,,
mde-OM3-10,0.25,SPH,1,500,100,,,,,
mde-OM3-11,0.25,SPH,1,500,100,,,,,
hde-OM1-2,0.3,SPH,1,500,100,,,,,
hde-OM1,0.3,SPH,1,500,100,,,,,
hde-OM1-3,0.3,SPH,1,500,100,,,,,
hde-OM1,0.3,SPH,1,500,100,,,,,
hde-OM1-4,0.3,SPH,1,500,100,,,,,
hde-OM1,0.3,SPH,1,500,100,,,,,
hde-OM1-6,0.3,SPH,1,500,100,,,,,
hde-OM1,0.3,SPH,1,500,100,,,,,
hde-OM2-2,0.3,SPH,1,500,100,,,,,
hde-OM2,0.3,SPH,1,500,100,,,,,
hde-OM2-3,0.3,SPH,1,500,100,,,,,
hde-OM2,0.3,SPH,1,500,100,,,,,
hde-OM2-5,0.3,SPH,1,500,100,,,,,
hde-OM2,0.3,SPH,1,500,100,,,,,
hde-OM2-6,0.3,SPH,1,500,100,,,,,
hde-OM2,0.3,SPH,1,500,100,,,,,
