;R_e;A@e;Method;RA@e;Run;gini;p value;SPH Executed
0;1;0.37333333333333335;RF+B;1.0;1;-1;-1;13
1;2;0.49333333333333335;RF+B;1.2432432432432432;1;-1;-1;13
2;3;0.5466666666666666;RF+B;1.4146341463414633;1;-1;-1;13
3;4;0.6233333333333333;RF+B;1.732620320855615;1;-1;-1;13
4;5;0.6733333333333333;RF+B;1.9752475247524752;1;-1;-1;13
5;6;0.7066666666666667;RF+B;2.1650943396226414;1;-1;-1;13
6;7;0.7366666666666667;RF+B;2.3619909502262444;1;-1;-1;13
7;8;0.7433333333333333;RF+B;2.412556053811659;1;-1;-1;13
8;9;0.7566666666666667;RF+B;2.5286343612334803;1;-1;-1;13
9;10;0.78;RF+B;2.752136752136752;1;-1;-1;13
