R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
1,0.4633333333333333,SPH,1.0,-1.0,-1.0,1.0,9.0,0.35,,,,
2,0.6133333333333333,SPH,1.2445652173913044,-1.0,-1.0,1.0,9.0,0.35,,,,
3,0.68,SPH,1.4166666666666667,-1.0,-1.0,1.0,9.0,0.35,,,,
4,0.7233333333333334,SPH,1.5714285714285714,-1.0,-1.0,1.0,9.0,0.35,,,,
5,0.7566666666666667,SPH,1.722466960352423,-1.0,-1.0,1.0,9.0,0.35,,,,
6,0.77,SPH,1.7965367965367964,-1.0,-1.0,1.0,9.0,0.35,,,,
7,0.78,SPH,1.8632478632478633,-1.0,-1.0,1.0,9.0,0.35,,,,
8,0.8066666666666666,SPH,2.0661157024793386,-1.0,-1.0,1.0,9.0,0.35,,,,
9,0.8333333333333334,SPH,2.288,-1.0,-1.0,1.0,9.0,0.35,,,,
10,0.84,SPH,2.3492063492063493,-1.0,-1.0,1.0,9.0,0.35,,,,
1,0.37333333333333335,RF+B,1.0,-1.0,-1.0,1.0,9.0,,,,,
2,0.49333333333333335,RF+B,1.2432432432432432,-1.0,-1.0,1.0,9.0,,,,,
3,0.5466666666666666,RF+B,1.4146341463414633,-1.0,-1.0,1.0,9.0,,,,,
4,0.6233333333333333,RF+B,1.732620320855615,-1.0,-1.0,1.0,9.0,,,,,
5,0.6733333333333333,RF+B,1.9752475247524752,-1.0,-1.0,1.0,9.0,,,,,
6,0.7066666666666667,RF+B,2.1650943396226414,-1.0,-1.0,1.0,9.0,,,,,
7,0.7366666666666667,RF+B,2.3619909502262444,-1.0,-1.0,1.0,9.0,,,,,
8,0.7433333333333333,RF+B,2.412556053811659,-1.0,-1.0,1.0,9.0,,,,,
9,0.7566666666666667,RF+B,2.5286343612334803,-1.0,-1.0,1.0,9.0,,,,,
10,0.78,RF+B,2.752136752136752,-1.0,-1.0,1.0,9.0,,,,,
1,0.4066666666666667,CPI,1.0,0.3,0.7,,,,,,,
2,0.5166666666666667,CPI,1.2129032258064516,0.3,0.7,,,,,,,
3,0.5866666666666667,CPI,1.4261363636363635,0.3,0.7,,,,,,,
4,0.6266666666666667,CPI,1.5904255319148937,0.3,0.7,,,,,,,
5,0.66,CPI,1.7626262626262625,0.3,0.7,,,,,,,
6,0.69,CPI,1.9468599033816425,0.3,0.7,,,,,,,
7,0.7166666666666667,CPI,2.1348837209302327,0.3,0.7,,,,,,,
8,0.7333333333333333,CPI,2.268181818181818,0.3,0.7,,,,,,,
9,0.75,CPI,2.417777777777778,0.3,0.7,,,,,,,
10,0.77,CPI,2.6147186147186146,0.3,0.7,,,,,,,
1,0.4633333333333333,Tailored Approach,1.0,0.3,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.708,1.7953946780643146
2,0.5633333333333334,Tailored Approach,1.1775147928994083,0.3,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.708,1.7953946780643146
3,0.64,Tailored Approach,1.3958333333333333,0.3,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.708,1.7953946780643146
4,0.7033333333333334,Tailored Approach,1.6303317535545023,0.3,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.708,1.7953946780643146
