R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
1,0.23333333333333334,SPH,1.0,-1.0,-1.0,1.0,8.0,0.35,,,,
2,0.37666666666666665,SPH,1.3805309734513274,-1.0,-1.0,1.0,8.0,0.35,,,,
3,0.4533333333333333,SPH,1.6544117647058822,-1.0,-1.0,1.0,8.0,0.35,,,,
4,0.5033333333333333,SPH,1.8874172185430464,-1.0,-1.0,1.0,8.0,0.35,,,,
5,0.53,SPH,2.0440251572327046,-1.0,-1.0,1.0,8.0,0.35,,,,
6,0.5666666666666667,SPH,2.3,-1.0,-1.0,1.0,8.0,0.35,,,,
7,0.6033333333333334,SPH,2.585635359116022,-1.0,-1.0,1.0,8.0,0.35,,,,
8,0.63,SPH,2.814814814814815,-1.0,-1.0,1.0,8.0,0.35,,,,
9,0.6466666666666666,SPH,2.9742268041237114,-1.0,-1.0,1.0,8.0,0.35,,,,
10,0.66,SPH,3.1161616161616164,-1.0,-1.0,1.0,8.0,0.35,,,,
1,0.18666666666666668,RF+B,1.0,-1.0,-1.0,1.0,8.0,,,,,
2,0.27666666666666667,RF+B,1.3253012048192772,-1.0,-1.0,1.0,8.0,,,,,
3,0.38,RF+B,1.780701754385965,-1.0,-1.0,1.0,8.0,,,,,
4,0.42333333333333334,RF+B,2.0078740157480315,-1.0,-1.0,1.0,8.0,,,,,
5,0.4766666666666667,RF+B,2.3426573426573425,-1.0,-1.0,1.0,8.0,,,,,
6,0.5133333333333333,RF+B,2.603896103896104,-1.0,-1.0,1.0,8.0,,,,,
7,0.5366666666666666,RF+B,2.7950310559006213,-1.0,-1.0,1.0,8.0,,,,,
8,0.58,RF+B,3.1839080459770117,-1.0,-1.0,1.0,8.0,,,,,
9,0.59,RF+B,3.2824858757062145,-1.0,-1.0,1.0,8.0,,,,,
10,0.61,RF+B,3.5027322404371586,-1.0,-1.0,1.0,8.0,,,,,
1,0.2,CPI,1.0,0.3,0.7,,,,,,,
2,0.3233333333333333,CPI,1.3814432989690721,0.3,0.7,,,,,,,
3,0.37333333333333335,CPI,1.5982142857142858,0.3,0.7,,,,,,,
4,0.4,CPI,1.7583333333333333,0.3,0.7,,,,,,,
5,0.43666666666666665,CPI,2.030534351145038,0.3,0.7,,,,,,,
6,0.46,CPI,2.2318840579710146,0.3,0.7,,,,,,,
7,0.47333333333333333,CPI,2.3661971830985915,0.3,0.7,,,,,,,
8,0.49666666666666665,CPI,2.6308724832214767,0.3,0.7,,,,,,,
9,0.5233333333333333,CPI,2.9554140127388533,0.3,0.7,,,,,,,
10,0.5366666666666666,CPI,3.130434782608696,0.3,0.7,,,,,,,
1,0.22666666666666666,Tailored Approach,1.0,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
2,0.37333333333333335,Tailored Approach,1.3928571428571428,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
3,0.4633333333333333,Tailored Approach,1.7050359712230216,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
4,0.5,Tailored Approach,1.8733333333333333,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
5,0.5266666666666666,Tailored Approach,2.0316455696202533,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
6,0.5633333333333334,Tailored Approach,2.289940828402367,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
7,0.6133333333333333,Tailored Approach,2.6739130434782608,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
8,0.64,Tailored Approach,2.8958333333333335,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
9,0.6566666666666666,Tailored Approach,3.050761421319797,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
10,0.6766666666666666,Tailored Approach,3.2561576354679804,0.3,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.524,2.2169478279035486
1,0.18333333333333332,CPI,1.0,0.3,0.8,,,,,,,
2,0.27,CPI,1.3209876543209877,0.3,0.8,,,,,,,
3,0.32666666666666666,CPI,1.6122448979591837,0.3,0.8,,,,,,,
4,0.38,CPI,1.9473684210526316,0.3,0.8,,,,,,,
5,0.41,CPI,2.1707317073170733,0.3,0.8,,,,,,,
6,0.44,CPI,2.4318181818181817,0.3,0.8,,,,,,,
7,0.48333333333333334,CPI,2.8413793103448275,0.3,0.8,,,,,,,
8,0.51,CPI,3.111111111111111,0.3,0.8,,,,,,,
9,0.5566666666666666,CPI,3.604790419161677,0.3,0.8,,,,,,,
10,0.59,CPI,3.9661016949152543,0.3,0.8,,,,,,,
1,0.22,Tailored Approach,1.0,0.3,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
2,0.37,Tailored Approach,1.4054054054054055,0.3,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
3,0.46,Tailored Approach,1.7173913043478262,0.3,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
