index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;noisy target;group;level-0;level-1;level-2;marker
6;0.39375914288329994;0.2263287590499014;0.7332903662738737;0.08381880679209969;;;0.5345188667570466;0.3114084255613041;;0.34742276679966455;;0.6451802999752022;;;0.5329192608776896;;;0.9343055821486668;0.8611447360972684;0.22406649227407108;0.5215705806282531;0.6453594413699254;0.6949097651709508;0.966824143697875;0.09891678972085624;0.4299613663070328;0.166699082899179;2.150106528762822;0.5586255174622791;0.6841386328733378;;0.5583374022202555;0.4814415674895809;0.5598479248667162;;0.5975827446322979;0.8073560988188425;0.20514107810534124;0.618459238494231;0.4528018781855062;0.3132779624829497;0.38100249269367314;;0.4047117337264478;0.5684751389315768;;0.7743082933842836;;0.4268568026103746;0.6742586461100423;2.2253587059312916;0.2856202255928815;0.6339004592537597;0.2323369433591135;0.6071629947599538;;0.7807873168760374;0.4927870550171352;1.5960735524834755;0.4318429543049689;0.1777059599928984;0.5618411354549603;0.1287246072658734;1.3847550979186045;0.6398043527349523;0.616445962293599;1.7008177777081415;0.22428769693689887;0.27709778776477834;;0.5865648353124845;0.39225887173541135;;0.5438015512710237;0.3172402608301792;0.8457688898375464;0.245985583610319;0.5725119872259242;;0.5529617498335101;;1.454444305370417;0.7904990446668683;0.11112547005439105;0.29004734914304386;;;0.34073232082548305;;0.6183315441437713;0.4207503231946051;0.42734684332552214;;0.7230055803861944;0.5955312604686758;0.6084444956452033;1.3127217185404123;0.4873462254547961;;0.7796451393961117;54;54;mde-OM1-4;Engine;mde;mde-OM1;
37;0.5985102819636355;1.0;0.4028293895855136;0.49168442015143504;0.39009428033905486;;0.7868587495670373;;;0.7756871893787513;;0.5051885297740969;;;;;0.5638391455343479;0.4512827692402165;0.5423293980445242;;0.7295261758732905;0.7834638281321405;0.736704987658473;0.6092845524634796;0.8621243950467952;0.1318298281138755;0.27962851624398977;1.610343953505307;0.10928280728793939;0.6185688553809158;;0.4112191222672015;0.9419302171251611;;1.5232604348360153;0.3509947768207023;0.3606051146398788;0.62289360641314;0.4316972105539634;0.8316256406362272;0.08487736023990441;;1.5186195539442338;0.38555543689904453;0.6073699837737547;;0.48147275204333567;0.4619592445742;0.7238485259927356;0.4142995620430363;2.288011532153406;0.7571979754491165;;1.0;0.5356735139194869;1.343054404574143;0.6465672456912044;;1.4191223841804272;0.3063337247957067;0.6213623071068728;0.7012552810188268;0.5245455120224357;;;0.5772208246254147;1.1230435726378432;0.703074610026754;0.1597768839572388;;0.6621046204130184;0.5919783798566083;0.6915160370703396;0.09353783431854816;;0.5095047305068537;0.45278197281302784;0.6540743197463114;;0.22140605733208552;;1.747713200978191;0.40651681269357587;;0.3592409213709144;;0.9113005829878449;0.6206441479426205;;0.4287007006098913;0.6881034945290462;0.11760766621105687;;0.46558534131595297;0.4350196481236941;0.192463527745808;1.6177908657000892;0.5692803782218439;;0.8468612775423513;52;52;mde-OM1-3;Engine;mde;mde-OM1;
23;0.6957603953991427;0.3729791299596275;;1.4644231911453207;0.7748305621532903;0.39145081797649306;1.552430250886495;1.7096492369843848;;0.5850989085011659;;0.7592936305645094;;0.3554230366755205;0.40200352588826066;0.7106781573102695;1.536633363215895;0.3714348065306289;0.4041956498000507;0.4863371642320825;0.19546932702973838;1.835946714085868;0.6219575947101245;0.6924478463904404;;0.6466680585409086;0.2867646540536455;3.5949702491070843;0.6816161406580609;0.5054030493401296;;0.6155693538616007;0.5247505897233161;;1.2757555502454145;0.6340966854363963;0.6271061999503191;;0.2219354812974169;0.9197527832483274;1.4550852827725276;;1.6269094922302423;0.43209491201659544;0.667876475428804;;0.24599705124281482;0.5999454558572948;0.3859521392288561;;2.343882676335762;0.6235806421407207;;0.25302855866483;0.7948960117417747;1.4369804240702941;;0.5778828212497295;1.5214465871255731;0.5360958997236664;0.3861026175960219;0.49758287998885753;0.37288172390383734;1.7418329171465545;;;2.5377377817625013;0.4518800566101291;1.6638287853377824;2.3173433625448725;0.5813209109407701;;0.5526101544295455;0.4713750770746955;0.46855795550980506;;0.22121830943498433;0.3340944368957517;0.5045468380955311;0.3924564003697312;1.259227245801176;1.4712707974479906;0.6483849428566871;0.07973204323615958;0.5093142319810583;;0.7338241500855546;;;1.5679695162089509;0.46280007123558126;0.2664995453158069;1.6380530119881425;0.7005502256958245;0.3659856091906127;0.607957992968432;1.8828454001160377;1.6643398894818437;;0.6825229993321207;60;60;mde-OM3-13;Engine;mde;mde-OM3;
8;;0.5693853125915541;;0.552510522720631;;0.9351980269556055;0.7011629669028274;0.07006239486239711;;0.22057755617255828;0.4248010416976444;;0.4024298194487883;0.7232291497854405;;;0.7124646943461483;0.38016345534895163;;;0.14631917258244667;0.5214501156143132;0.2576328443800692;;0.30728818814797115;0.47685287395890485;0.34842983926048043;;0.5232726720416465;0.4598367863618955;;0.40294901985145093;0.39346475576011497;0.5609326560069647;1.368842058649043;0.8749208608939385;0.32658851834085384;0.7768021248092992;0.6282855753167752;0.3469579338490967;0.7570259984359071;0.5414616384323488;0.3611252776695733;0.3150190876827591;0.29797502099229306;0.5047481355324347;;0.2962068245527913;0.5636038113225181;0.5337512502171744;1.451108330120233;0.5152658781633535;0.32114647298552684;0.8871006991069598;0.5777637777907876;1.283122250475023;;;1.3374082634452717;0.29027285875719916;0.7617851188151311;0.7278720272074689;1.0;1.5861426250181214;;0.28552748163204505;1.6576057098986912;0.4561036869356431;0.48044131563338255;1.2952251339481597;;;0.9344577582866439;0.729112571059026;;0.0;0.49332110743396335;0.6268145032977839;0.5390365439492111;0.7938772651055398;0.5051297493199552;1.342892230747509;0.8396292523143327;0.1317754106337083;;0.0;;0.6828897228733313;;;0.4285293197735285;0.6709479381988772;;0.21746295365299448;0.7567580582815667;0.26802610797325904;1.4791650292408034;;0.8072325088903612;;40;40;hde-OM2-5;Engine;hde;hde-OM2;
34;0.6748596653831846;0.8697130085416476;0.6050313371804338;1.1999691753492057;0.574196642848614;0.3860495328020027;1.4875415469439102;1.454115263631801;;0.4623392529961248;;0.3966148385482761;;0.38373686130873;0.4706483665622438;0.32290608486331823;1.4388934724695435;0.5064511706447768;0.4713980990349203;0.5244753970301816;0.6202122329035171;1.6903712665301753;0.42729808300760797;0.444437940050263;;0.42011360634031475;0.33405914082653204;3.52965569552819;0.28849502244060526;0.40525451147197755;;0.24203000253372242;0.33073357667221964;;1.2497187595418098;0.627459519985847;0.5263322128392379;;0.38710790777953147;0.4587676129276049;1.331976519968633;;1.163367087375922;0.6125064257074574;0.9068750594806655;;0.4477004272827766;0.43171239172184855;0.5358027894107104;;2.4497971536046075;0.31716767810508906;;0.3557205827415904;0.6491078871401653;1.272860516976329;;0.7944780837478136;1.7038285985850412;0.6905334710929966;0.2865011995457395;0.5132293445695779;0.6095282303512718;1.4023188619281934;;;2.366632446888289;0.692902588195005;1.5341790706571332;2.558663738339906;0.49378053194522;;0.5277519504170314;0.4972663680296064;0.3088261320423325;;0.562211730596943;0.7284650342485725;0.5775297706984386;0.49185776227267636;1.4653574131463076;1.1689004874779862;0.48157651682266556;0.5815682403442457;0.5173861089111905;;0.7322337949057415;;;1.4553440520647165;0.5856114307049995;0.8507963272914865;1.4200824367055798;0.21805558619202253;0.24248781060764893;0.4847644004096372;1.4439047955024877;1.5464656417899039;;0.6817555999078952;60;60;mde-OM3-13;Engine;mde;mde-OM3;
7;;;0.5670600669534376;;;;;;0.7396170522576548;0.5007257591150982;0.7200637382512967;;0.7651259156299163;0.5448891502226713;;;0.6301216879452161;;0.2982708317575222;0.7500455276782646;0.2807448817214261;0.32483176431172195;0.21703838081140156;0.0;;0.39794482191064046;0.5976620443442803;0.6771198221965918;0.33670618968955;0.8632210966261165;0.8807297039537126;0.9200013589188755;0.3613113131069718;0.19611698502922403;0.7624288998649783;0.29363900324193504;0.3754169910843988;0.9934207171649191;0.8520865357373899;0.9153070540402294;0.4097662689335829;0.6435545386955731;0.1599442217690768;0.5882949003650112;0.5162870571224754;0.41655212465274266;0.5476107136711054;0.28177409103343753;;;0.20740622497187852;0.7008892529320667;0.7895210632466559;0.2612653320023768;0.6708979979990262;0.25723148592945944;;0.21035792890095678;1.2061651022898476;0.8657624832871583;0.059835487526934336;0.5873208285779351;0.43048785772089054;1.6315993387824173;0.10815705887560627;0.0;;0.477312761546677;0.6570925901102317;0.10037231179694424;0.46373329182363116;0.6169208445612929;0.5861886045762351;0.07281325776482472;;;0.0;0.5585226652034747;0.3606843161396189;0.3360365149322545;0.3795120110844717;0.662606132630346;0.42100095594348935;0.8425920305639351;;;0.6971648187372125;0.402879435273682;;0.4380336779283186;0.5606735930752953;0.6057237839763212;;0.3223739540223709;0.6867687171993049;0.38179732599336585;0.6521030577186723;0.37089366902686;;;5;5;hde-OM1-3;Engine;hde;hde-OM1;
0;;0.6071002119415996;0.020525366164847292;0.3809915211702575;0.5194547273796913;0.2620889623012905;1.6786035228650444;0.6096621331150246;;;;0.49779280317684915;;0.44805596179178314;0.8941064829456401;0.3577766806926222;1.7621020598757982;0.2081182341632497;0.44736249385943905;0.3926957131223311;0.3791653029462322;;0.5629088060330064;0.9119681418738099;;0.36535793431907;0.5889190715385456;3.6244156516428765;0.10710456468247595;0.3064631551312502;;0.34396099327397756;0.4846416692795058;0.775859796351654;;0.6391592516327674;0.6506556849070979;;0.5183382789825959;0.5892467405635338;1.3196715646826913;;1.5866809916568418;0.7557084109540607;0.17702129343449288;;0.06046500239029614;0.22875915800394583;;;2.968379240863527;0.6882011945549813;0.29029328814598604;0.4195192207300552;0.3762725209003773;1.837819852381505;0.5228954611288611;1.0;1.8437280499727717;0.7851644250084908;1.0;0.5819561353260008;0.7077088298535361;1.3510651346355793;0.7455592299575128;;1.5341214700469017;0.34978447139846436;0.7634987829819609;2.0;0.19629518995487244;0.7795490451751854;0.18004316624620542;0.08333812188211083;1.0;;0.4519830726560274;0.6796977281429961;0.6854506179668204;;1.799649223509941;1.3791000767236066;0.34363240225533004;0.5192592990945382;0.8100218416407473;;0.36940271223080323;;;1.455540155490584;0.44645170531115214;0.8271904171632167;0.9756928034931741;0.3542327874172511;0.7955724765521249;0.5107691223664237;1.2076826003086576;0.5071859127169374;;;52;52;mde-OM3-6;Engine;mde;mde-OM3;
40;0.008038868292611002;0.456195618580725;0.6838496626664387;;;;0.40894770480549086;0.2742788797941852;;0.4002140884365799;;0.6701033655943701;;;0.7473077057499398;0.20360975023798605;;0.39933497783315813;0.3658385529357083;0.6581557299700534;0.6285295704788723;0.36268534420192056;0.4695213079213232;0.9735998105452814;0.3849588057650453;0.6235046893703385;0.5559214741842711;2.404994934995721;0.41012004710216277;0.4775572115248846;;0.28131785210974575;0.43904803216453636;0.49477635752975835;;0.5509640754802465;;0.5172518384603609;0.7509906831230319;;0.37699174839889044;0.31837008443531073;;0.39875662731156497;0.5811541644357359;;0.5637225644836729;;;0.7477163543518155;2.5039750048722946;0.49007282614396935;0.4876188611040916;0.6113961866403369;0.4509836717831355;1.4168863647947962;0.41531006748963123;;1.5592831917399805;0.5282305788078168;;0.43792103144228134;0.3447934122511864;1.5047487502508268;0.7366999844990625;0.49931964840361254;1.7999311278922954;0.5552236168930506;0.3624208548007577;;0.43834116654862326;0.5015744443837002;;0.471154445023451;0.27564128524133164;0.710600876512331;0.8089366742398607;0.4160209770709221;;0.17491354736278847;;1.689140114824035;0.17847030408930578;0.5362727518410488;0.6307053024291771;;0.64659775006607;0.963606970259587;;;0.6106969812096374;0.5452068795818771;;;0.552150383010096;0.689444256459454;1.172715111189095;0.3893423775747376;;0.49462116277459534;55;55;mde-OM1-4;Engine;mde;mde-OM1;
58;0.4283314384314186;0.6645731961777475;0.6815370178221128;0.602407724144064;0.009891933522839763;0.5359634958406808;1.2254948934282437;0.28317990233350276;;0.6104119849266451;;0.40807719401395903;;0.40961116622083243;0.6165076159374706;0.8249464492168304;0.7550610534746571;0.32737349421603423;0.678669315451546;0.41338871330456384;0.6492108803627907;1.4689724696124375;;0.9322908667945715;0.2858862791944984;0.8044657559746795;0.1984449237490137;3.6811721305220204;0.24944515679952436;0.7714387173112244;;0.4304310188706704;1.0;0.7307819363597182;1.8171559801953618;0.4497102848264555;0.8405653383085392;;0.5692361859698174;0.32994503923366486;0.2584075105673353;;1.4240166743541565;;0.34318567686194956;;0.37741916875321224;0.5803627720186376;0.5866648899364919;;;0.2874427274060734;0.4593505939201454;0.5603910657037929;0.603922465251883;1.686271548473023;0.7021718646819478;0.7740366540168268;;0.13252406590530216;0.7382144888252375;;0.6451426751229176;1.3773802368372001;0.0;;1.712710499569834;0.12380963610620672;0.13652057377775137;;0.3722983620818736;0.5296277196805662;;0.5302292462040551;0.6650822438303181;;0.48906565518675754;0.48184009671919037;;0.39605543531979853;;1.2453247965210572;0.5739827080650711;0.9025080450409526;0.47753578622333226;;0.5238308556812987;;;1.4357643834111211;0.5102652827775355;0.0;0.854225400758847;0.5274490808553379;0.7202799892015176;;1.3892363011035926;0.5725251289161679;;0.6748330525897159;37;37;mde-OM3-4;Engine;mde;mde-OM3;
35;;0.7600950475298883;0.7133762735700507;0.4982089461354765;;0.499282485457811;0.6947954695589394;0.06669068400201533;0.5670655717681509;0.0;;;0.495189708576665;0.7040308211133282;;0.5332480268227221;0.9232067315594434;0.778744221379933;0.6323634184426592;0.5538577133993755;0.6711992926218471;0.9599420879184816;0.6066521576143568;0.45509885606516326;;0.28275283824995207;0.8284565863942763;1.5440814008288746;0.3867864242877574;;0.6035739738121068;0.761625259407671;0.09868643822772062;0.0;1.5942881127921766;;0.5966830884934825;0.6007403275573129;;0.42402790411090613;1.0;0.5279863579290967;0.7581216108162774;0.4523470613940217;0.5427672836050735;1.734881341541615;0.5425474970034215;0.6450940019083505;0.9340476837173193;0.6400348192515912;;0.07792693590058578;0.3471817556619503;0.08921293752658269;;1.752746777485012;;0.8401562325284615;1.4828144530272955;0.442092611827676;0.7677536342250956;0.6384099380689118;0.5438234134133682;1.2860404017110705;;0.3337903980704668;1.893873333807992;;0.5225745115741263;;0.2968179633875316;0.1839171346570993;0.801207076446616;0.4526650821205138;;;0.36351933271889925;0.6297526842256911;0.011494191807685432;0.311354812962805;1.3228753649667604;1.2413871350631451;0.04437596505792633;0.345768474926064;0.39408630773020525;0.4343136177469498;1.0;0.3026760723189294;0.2161199347742051;1.0;0.5336959183865858;;0.46489766017555945;0.7210300176798057;0.4396449163843157;;1.6687702565343798;;0.37837810289152374;;47;47;hde-OM3-3;Engine;hde;hde-OM3;
