R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
1,0.35333333333333333,SPH,1.0,-1.0,-1.0,1.0,7.0,0.35,,,,
2,0.54,SPH,1.345679012345679,-1.0,-1.0,1.0,7.0,0.35,,,,
3,0.61,SPH,1.53551912568306,-1.0,-1.0,1.0,7.0,0.35,,,,
4,0.6866666666666666,SPH,1.8106796116504855,-1.0,-1.0,1.0,7.0,0.35,,,,
5,0.73,SPH,2.0,-1.0,-1.0,1.0,7.0,0.35,,,,
6,0.75,SPH,2.1066666666666665,-1.0,-1.0,1.0,7.0,0.35,,,,
7,0.7666666666666667,SPH,2.2130434782608694,-1.0,-1.0,1.0,7.0,0.35,,,,
8,0.78,SPH,2.3119658119658117,-1.0,-1.0,1.0,7.0,0.35,,,,
9,0.78,SPH,2.3119658119658117,-1.0,-1.0,1.0,7.0,0.35,,,,
10,0.7866666666666666,SPH,2.3771186440677967,-1.0,-1.0,1.0,7.0,0.35,,,,
1,0.33,RF+B,1.0,-1.0,-1.0,1.0,7.0,,,,,
2,0.44666666666666666,RF+B,1.2611940298507462,-1.0,-1.0,1.0,7.0,,,,,
3,0.54,RF+B,1.5617283950617284,-1.0,-1.0,1.0,7.0,,,,,
4,0.6066666666666667,RF+B,1.8296703296703296,-1.0,-1.0,1.0,7.0,,,,,
5,0.6466666666666666,RF+B,2.0257731958762886,-1.0,-1.0,1.0,7.0,,,,,
6,0.6633333333333333,RF+B,2.1256281407035176,-1.0,-1.0,1.0,7.0,,,,,
7,0.7,RF+B,2.380952380952381,-1.0,-1.0,1.0,7.0,,,,,
8,0.72,RF+B,2.537037037037037,-1.0,-1.0,1.0,7.0,,,,,
9,0.7333333333333333,RF+B,2.6545454545454548,-1.0,-1.0,1.0,7.0,,,,,
10,0.7533333333333333,RF+B,2.849557522123894,-1.0,-1.0,1.0,7.0,,,,,
1,0.20333333333333334,CPI,1.0,0.4,0.9,,,,,,,
2,0.32666666666666666,CPI,1.3775510204081634,0.4,0.9,,,,,,,
3,0.4033333333333333,CPI,1.6859504132231404,0.4,0.9,,,,,,,
4,0.45,CPI,1.9259259259259258,0.4,0.9,,,,,,,
5,0.49666666666666665,CPI,2.214765100671141,0.4,0.9,,,,,,,
6,0.5533333333333333,CPI,2.602409638554217,0.4,0.9,,,,,,,
7,0.5866666666666667,CPI,2.852272727272727,0.4,0.9,,,,,,,
8,0.63,CPI,3.2063492063492065,0.4,0.9,,,,,,,
9,0.6466666666666666,CPI,3.3556701030927836,0.4,0.9,,,,,,,
10,0.6866666666666666,CPI,3.7427184466019416,0.4,0.9,,,,,,,
1,0.38,Tailored Approach,1.0,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
2,0.54,Tailored Approach,1.2962962962962963,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
3,0.6166666666666667,Tailored Approach,1.508108108108108,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
4,0.69,Tailored Approach,1.7729468599033817,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
5,0.7266666666666667,Tailored Approach,1.9357798165137614,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
6,0.74,Tailored Approach,2.009009009009009,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
7,0.7566666666666667,Tailored Approach,2.118942731277533,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
8,0.7733333333333333,Tailored Approach,2.2456896551724137,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
9,0.7766666666666666,Tailored Approach,2.274678111587983,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
10,0.7833333333333333,Tailored Approach,2.3404255319148937,0.4,0.9,1.0,7.0,0.35,0.35333333333333333,0.20333333333333334,0.6783333333333333,1.8501876119783378
