;R_e;A@e;Method;RA@e;Run;gini;p value;SPH Executed
0;1;0.5233333333333333;RF+B;1.0;1;-1;-1;17
1;2;0.5933333333333334;RF+B;1.1179775280898876;1;-1;-1;17
2;3;0.6333333333333333;RF+B;1.236842105263158;1;-1;-1;17
3;4;0.6666666666666666;RF+B;1.375;1;-1;-1;17
4;5;0.6933333333333334;RF+B;1.5144230769230769;1;-1;-1;17
5;6;0.7166666666666667;RF+B;1.6604651162790698;1;-1;-1;17
6;7;0.7333333333333333;RF+B;1.7818181818181817;1;-1;-1;17
7;8;0.75;RF+B;1.92;1;-1;-1;17
8;9;0.76;RF+B;2.013157894736842;1;-1;-1;17
9;10;0.77;RF+B;2.116883116883117;1;-1;-1;17
