R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
1,0.5833333333333334,SPH,1.0,-1.0,-1.0,1.0,11.0,0.35,,,,
2,0.6366666666666667,SPH,1.0837696335078535,-1.0,-1.0,1.0,11.0,0.35,,,,
3,0.6766666666666666,SPH,1.1970443349753694,-1.0,-1.0,1.0,11.0,0.35,,,,
4,0.7133333333333334,SPH,1.341121495327103,-1.0,-1.0,1.0,11.0,0.35,,,,
5,0.7366666666666667,SPH,1.4570135746606334,-1.0,-1.0,1.0,11.0,0.35,,,,
6,0.7533333333333333,SPH,1.5575221238938053,-1.0,-1.0,1.0,11.0,0.35,,,,
7,0.7666666666666667,SPH,1.6521739130434783,-1.0,-1.0,1.0,11.0,0.35,,,,
8,0.7733333333333333,SPH,1.706896551724138,-1.0,-1.0,1.0,11.0,0.35,,,,
9,0.7766666666666666,SPH,1.738197424892704,-1.0,-1.0,1.0,11.0,0.35,,,,
10,0.79,SPH,1.8776371308016877,-1.0,-1.0,1.0,11.0,0.35,,,,
1,0.5233333333333333,RF+B,1.0,-1.0,-1.0,1.0,11.0,,,,,
2,0.5933333333333334,RF+B,1.1179775280898876,-1.0,-1.0,1.0,11.0,,,,,
3,0.6333333333333333,RF+B,1.236842105263158,-1.0,-1.0,1.0,11.0,,,,,
4,0.6666666666666666,RF+B,1.375,-1.0,-1.0,1.0,11.0,,,,,
5,0.6933333333333334,RF+B,1.5144230769230769,-1.0,-1.0,1.0,11.0,,,,,
6,0.7166666666666667,RF+B,1.6604651162790698,-1.0,-1.0,1.0,11.0,,,,,
7,0.7333333333333333,RF+B,1.7818181818181817,-1.0,-1.0,1.0,11.0,,,,,
8,0.75,RF+B,1.92,-1.0,-1.0,1.0,11.0,,,,,
9,0.76,RF+B,2.013157894736842,-1.0,-1.0,1.0,11.0,,,,,
10,0.77,RF+B,2.116883116883117,-1.0,-1.0,1.0,11.0,,,,,
1,0.5266666666666666,CPI,1.0,0.3,0.7,,,,,,,
2,0.5733333333333334,CPI,1.0813953488372092,0.3,0.7,,,,,,,
3,0.62,CPI,1.2258064516129032,0.3,0.7,,,,,,,
4,0.66,CPI,1.393939393939394,0.3,0.7,,,,,,,
5,0.6866666666666666,CPI,1.5339805825242718,0.3,0.7,,,,,,,
6,0.7066666666666667,CPI,1.6603773584905661,0.3,0.7,,,,,,,
7,0.7233333333333334,CPI,1.7834101382488479,0.3,0.7,,,,,,,
8,0.7466666666666667,CPI,1.9776785714285714,0.3,0.7,,,,,,,
9,0.76,CPI,2.1008771929824563,0.3,0.7,,,,,,,
10,0.7766666666666666,CPI,2.2703862660944205,0.3,0.7,,,,,,,
1,0.5566666666666666,Tailored Approach,1.0,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
2,0.64,Tailored Approach,1.1302083333333333,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
3,0.6933333333333334,Tailored Approach,1.2740384615384615,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
4,0.7266666666666667,Tailored Approach,1.3990825688073394,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
5,0.7533333333333333,Tailored Approach,1.5265486725663717,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
6,0.7733333333333333,Tailored Approach,1.6422413793103448,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
7,0.79,Tailored Approach,1.7552742616033756,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
8,0.79,Tailored Approach,1.7552742616033756,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
9,0.7966666666666666,Tailored Approach,1.8158995815899581,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
10,0.8,Tailored Approach,1.85,0.3,0.7,1.0,11.0,0.35,0.5833333333333334,0.5266666666666666,0.732,1.5148567520352558
1,0.51,CPI,1.0,0.3,0.8,,,,,,,
2,0.5633333333333334,CPI,1.0946745562130178,0.3,0.8,,,,,,,
3,0.6033333333333334,CPI,1.2209944751381216,0.3,0.8,,,,,,,
4,0.64,CPI,1.3802083333333333,0.3,0.8,,,,,,,
5,0.6633333333333333,CPI,1.5075376884422111,0.3,0.8,,,,,,,
6,0.6933333333333334,CPI,1.7019230769230769,0.3,0.8,,,,,,,
7,0.7266666666666667,CPI,1.944954128440367,0.3,0.8,,,,,,,
8,0.74,CPI,2.054054054054054,0.3,0.8,,,,,,,
9,0.75,CPI,2.1466666666666665,0.3,0.8,,,,,,,
10,0.7633333333333333,CPI,2.2838427947598254,0.3,0.8,,,,,,,
1,0.5566666666666666,Tailored Approach,1.0,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
2,0.64,Tailored Approach,1.1302083333333333,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
3,0.6966666666666667,Tailored Approach,1.2822966507177034,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
4,0.7266666666666667,Tailored Approach,1.3944954128440368,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
5,0.7533333333333333,Tailored Approach,1.5221238938053097,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
6,0.7733333333333333,Tailored Approach,1.6379310344827587,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
7,0.79,Tailored Approach,1.751054852320675,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
8,0.79,Tailored Approach,1.751054852320675,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
9,0.8,Tailored Approach,1.8416666666666666,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
10,0.8033333333333333,Tailored Approach,1.8755186721991701,0.3,0.8,1.0,11.0,0.35,0.5833333333333334,0.51,0.733,1.518635036869033
1,0.5133333333333333,CPI,1.0,0.3,0.75,,,,,,,
2,0.5666666666666667,CPI,1.0941176470588236,0.3,0.75,,,,,,,
3,0.6033333333333334,CPI,1.2099447513812154,0.3,0.75,,,,,,,
4,0.6233333333333333,CPI,1.2994652406417113,0.3,0.75,,,,,,,
5,0.6533333333333333,CPI,1.469387755102041,0.3,0.75,,,,,,,
6,0.6766666666666666,CPI,1.625615763546798,0.3,0.75,,,,,,,
7,0.7066666666666667,CPI,1.8537735849056605,0.3,0.75,,,,,,,
8,0.73,CPI,2.050228310502283,0.3,0.75,,,,,,,
9,0.7566666666666667,CPI,2.2951541850220263,0.3,0.75,,,,,,,
10,0.7766666666666666,CPI,2.4935622317596566,0.3,0.75,,,,,,,
1,0.5566666666666666,Tailored Approach,1.0,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
2,0.64,Tailored Approach,1.1302083333333333,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
3,0.6966666666666667,Tailored Approach,1.2822966507177034,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
4,0.7266666666666667,Tailored Approach,1.3944954128440368,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
5,0.7533333333333333,Tailored Approach,1.5221238938053097,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
6,0.7733333333333333,Tailored Approach,1.6379310344827587,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
7,0.79,Tailored Approach,1.751054852320675,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
8,0.79,Tailored Approach,1.751054852320675,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
9,0.7966666666666666,Tailored Approach,1.8117154811715481,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
10,0.8,Tailored Approach,1.8458333333333334,0.3,0.75,1.0,11.0,0.35,0.5833333333333334,0.5133333333333333,0.7323333333333333,1.5126713844329374
1,0.49666666666666665,CPI,1.0,0.3,0.85,,,,,,,
2,0.59,CPI,1.1581920903954803,0.3,0.85,,,,,,,
3,0.62,CPI,1.2473118279569892,0.3,0.85,,,,,,,
