;R_e;A@e;Method;RA@e;Run;gini;p value;SPH Executed
0;1;0.06333333333333334;CPI;1.0;2;0.4;0.85;6
1;2;0.14666666666666667;CPI;1.5681818181818181;2;0.4;0.85;6
2;3;0.18;CPI;1.8333333333333333;2;0.4;0.85;6
3;4;0.19333333333333333;CPI;1.9827586206896552;2;0.4;0.85;6
4;5;0.21333333333333335;CPI;2.265625;2;0.4;0.85;6
5;6;0.24333333333333335;CPI;2.7260273972602738;2;0.4;0.85;6
6;7;0.28;CPI;3.2857142857142856;2;0.4;0.85;6
7;8;0.30666666666666664;CPI;3.6956521739130435;2;0.4;0.85;6
8;9;0.34;CPI;4.215686274509804;2;0.4;0.85;6
9;10;0.36333333333333334;CPI;4.587155963302752;2;0.4;0.85;6
