R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
1,0.12666666666666668,SPH,1.0,-1.0,-1.0,2.0,6.0,0.3,,,,
2,0.20666666666666667,SPH,1.3870967741935485,-1.0,-1.0,2.0,6.0,0.3,,,,
3,0.2966666666666667,SPH,1.8764044943820224,-1.0,-1.0,2.0,6.0,0.3,,,,
4,0.36333333333333334,SPH,2.2660550458715596,-1.0,-1.0,2.0,6.0,0.3,,,,
5,0.41,SPH,2.5772357723577235,-1.0,-1.0,2.0,6.0,0.3,,,,
6,0.45,SPH,2.8814814814814813,-1.0,-1.0,2.0,6.0,0.3,,,,
7,0.49,SPH,3.2176870748299318,-1.0,-1.0,2.0,6.0,0.3,,,,
8,0.5466666666666666,SPH,3.7134146341463414,-1.0,-1.0,2.0,6.0,0.3,,,,
9,0.5933333333333334,SPH,4.129213483146067,-1.0,-1.0,2.0,6.0,0.3,,,,
10,0.6266666666666667,SPH,4.441489361702128,-1.0,-1.0,2.0,6.0,0.3,,,,
1,0.06333333333333334,RF+B,1.0,-1.0,-1.0,2.0,6.0,,,,,
2,0.14666666666666667,RF+B,1.5681818181818181,-1.0,-1.0,2.0,6.0,,,,,
3,0.18,RF+B,1.8333333333333333,-1.0,-1.0,2.0,6.0,,,,,
4,0.19333333333333333,RF+B,1.9827586206896552,-1.0,-1.0,2.0,6.0,,,,,
5,0.21333333333333335,RF+B,2.265625,-1.0,-1.0,2.0,6.0,,,,,
6,0.24333333333333335,RF+B,2.7260273972602738,-1.0,-1.0,2.0,6.0,,,,,
7,0.28,RF+B,3.2857142857142856,-1.0,-1.0,2.0,6.0,,,,,
8,0.30666666666666664,RF+B,3.6956521739130435,-1.0,-1.0,2.0,6.0,,,,,
9,0.34,RF+B,4.215686274509804,-1.0,-1.0,2.0,6.0,,,,,
10,0.36333333333333334,RF+B,4.587155963302752,-1.0,-1.0,2.0,6.0,,,,,
1,0.07333333333333333,CPI,1.0,0.3,0.7,,,,,,,
2,0.12333333333333334,CPI,1.4054054054054055,0.3,0.7,,,,,,,
3,0.16333333333333333,CPI,1.7959183673469388,0.3,0.7,,,,,,,
4,0.2,CPI,2.2,0.3,0.7,,,,,,,
5,0.22333333333333333,CPI,2.4925373134328357,0.3,0.7,,,,,,,
6,0.25,CPI,2.8666666666666667,0.3,0.7,,,,,,,
7,0.2866666666666667,CPI,3.395348837209302,0.3,0.7,,,,,,,
8,0.30333333333333334,CPI,3.6483516483516483,0.3,0.7,,,,,,,
9,0.33666666666666667,CPI,4.178217821782178,0.3,0.7,,,,,,,
10,0.36666666666666664,CPI,4.654545454545454,0.3,0.7,,,,,,,
1,0.12666666666666668,Tailored Approach,1.0,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
2,0.20666666666666667,Tailored Approach,1.3870967741935485,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
3,0.2966666666666667,Tailored Approach,1.8764044943820224,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
4,0.36333333333333334,Tailored Approach,2.2660550458715596,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
5,0.41,Tailored Approach,2.5772357723577235,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
6,0.45,Tailored Approach,2.8814814814814813,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
7,0.49,Tailored Approach,3.2176870748299318,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
8,0.5466666666666666,Tailored Approach,3.7134146341463414,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
9,0.5933333333333334,Tailored Approach,4.129213483146067,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
10,0.6266666666666667,Tailored Approach,4.441489361702128,0.3,0.7,2.0,6.0,0.3,0.12666666666666668,0.07333333333333333,0.4109999999999999,2.7490078122110804
1,0.03666666666666667,CPI,1.0,0.3,0.8,,,,,,,
2,0.07666666666666666,CPI,1.5217391304347827,0.3,0.8,,,,,,,
3,0.11666666666666667,CPI,2.0285714285714285,0.3,0.8,,,,,,,
4,0.17,CPI,2.6470588235294117,0.3,0.8,,,,,,,
5,0.20333333333333334,CPI,3.0327868852459017,0.3,0.8,,,,,,,
6,0.22,CPI,3.257575757575758,0.3,0.8,,,,,,,
7,0.25333333333333335,CPI,3.75,0.3,0.8,,,,,,,
8,0.27666666666666667,CPI,4.108433734939759,0.3,0.8,,,,,,,
9,0.29333333333333333,CPI,4.386363636363637,0.3,0.8,,,,,,,
10,0.31333333333333335,CPI,4.74468085106383,0.3,0.8,,,,,,,
1,0.12666666666666668,Tailored Approach,1.0,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
2,0.20666666666666667,Tailored Approach,1.3870967741935485,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
3,0.2966666666666667,Tailored Approach,1.8764044943820224,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
4,0.36333333333333334,Tailored Approach,2.2660550458715596,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
5,0.41,Tailored Approach,2.5772357723577235,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
6,0.45,Tailored Approach,2.8814814814814813,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
7,0.49,Tailored Approach,3.2176870748299318,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
8,0.5466666666666666,Tailored Approach,3.7134146341463414,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
9,0.5933333333333334,Tailored Approach,4.129213483146067,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
10,0.6266666666666667,Tailored Approach,4.441489361702128,0.3,0.8,2.0,6.0,0.3,0.12666666666666668,0.03666666666666667,0.4109999999999999,2.7490078122110804
1,0.03,CPI,1.0,0.3,0.85,,,,,,,
2,0.07333333333333333,CPI,1.5909090909090908,0.3,0.85,,,,,,,
3,0.12666666666666668,CPI,2.1842105263157894,0.3,0.85,,,,,,,
4,0.14666666666666667,CPI,2.4318181818181817,0.3,0.85,,,,,,,
5,0.16,CPI,2.6458333333333335,0.3,0.85,,,,,,,
6,0.19666666666666666,CPI,3.2711864406779663,0.3,0.85,,,,,,,
7,0.22666666666666666,CPI,3.764705882352941,0.3,0.85,,,,,,,
8,0.25666666666666665,CPI,4.259740259740259,0.3,0.85,,,,,,,
9,0.27666666666666667,CPI,4.602409638554217,0.3,0.85,,,,,,,
10,0.31666666666666665,CPI,5.28421052631579,0.3,0.85,,,,,,,
1,0.12666666666666668,Tailored Approach,1.0,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
2,0.20666666666666667,Tailored Approach,1.3870967741935485,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
3,0.2966666666666667,Tailored Approach,1.8764044943820224,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
4,0.36333333333333334,Tailored Approach,2.2660550458715596,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
5,0.41,Tailored Approach,2.5772357723577235,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
6,0.45,Tailored Approach,2.8814814814814813,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
7,0.49,Tailored Approach,3.2176870748299318,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
8,0.5466666666666666,Tailored Approach,3.7134146341463414,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
9,0.5933333333333334,Tailored Approach,4.129213483146067,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
10,0.6266666666666667,Tailored Approach,4.441489361702128,0.3,0.85,2.0,6.0,0.3,0.12666666666666668,0.03,0.4109999999999999,2.7490078122110804
