group;accuracy;train count;test count;samples per class;n_classes;Method;imbalance;p;gini;Run;target;equal
hde-OM1-2;0,0;4;6;1,0;4,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM1-3;0,42857142857142855;30;7;3,0;10,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM1-4;0,5;11;4;2,2;5,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM1-5;0,7142857142857143;15;7;3,0;5,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM1-6;0,6666666666666666;9;3;2,25;4,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM2-1;0,5714285714285714;38;14;1,9;20,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM2-2;0,0;10;2;1,1111111111111112;9,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM2-3;0,0;2;6;1,0;2,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM2-5;0,21428571428571427;29;14;2,230769230769231;13,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM2-6;0,8;10;5;2,5;4,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM3-1;0,0;8;1;2,6666666666666665;3,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM3-3;0,7;32;10;2,909090909090909;11,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM1-2;0,0;19;6;2,375;8,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM1-3;0,4782608695652174;58;23;2,9;20,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM1-4;0,47619047619047616;44;21;3,142857142857143;14,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM1-6;0,0;12;5;1,7142857142857142;7,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM1-7;0,0;7;1;2,3333333333333335;3,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-1;1,0;5;3;2,5;2,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-10;0,0;10;2;1,1111111111111112;9,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-11;0,0;6;2;3,0;2,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-12;0,0;18;9;2,5714285714285716;6,999999999999999;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-13;0,7956989247311828;216;93;5,4;40,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-4;0,47058823529411764;44;17;2,0952380952380953;21,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-5;0,0;24;9;2,4;10,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-6;0,6;26;10;2,6;10,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-7;0,42857142857142855;15;7;3,0;5,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-8;0,3333333333333333;13;3;4,333333333333333;3,0;SPH+CPI;very_high;0,95;0,4;1;;
mde-OM3-9;0,7;32;10;3,2;10,0;SPH+CPI;very_high;0,95;0,4;1;;
hde-OM1-2;0,0;4;6;1,0;4,0;CPI;very_high;0,95;0,4;1;;
hde-OM1-3;0,0;30;7;3,0;10,0;CPI;very_high;0,95;0,4;1;;
hde-OM1-4;0,0;11;4;2,2;5,0;CPI;very_high;0,95;0,4;1;;
hde-OM1-5;0,0;15;7;3,0;5,0;CPI;very_high;0,95;0,4;1;;
hde-OM1-6;0,0;9;3;2,25;4,0;CPI;very_high;0,95;0,4;1;;
hde-OM2-1;0,21428571428571427;38;14;1,9;20,0;CPI;very_high;0,95;0,4;1;;
hde-OM2-2;0,5;10;2;1,1111111111111112;9,0;CPI;very_high;0,95;0,4;1;;
hde-OM2-3;0,0;2;6;1,0;2,0;CPI;very_high;0,95;0,4;1;;
hde-OM2-5;0,14285714285714285;29;14;2,230769230769231;13,0;CPI;very_high;0,95;0,4;1;;
hde-OM2-6;0,0;10;5;2,5;4,0;CPI;very_high;0,95;0,4;1;;
hde-OM3-1;0,0;8;1;2,6666666666666665;3,0;CPI;very_high;0,95;0,4;1;;
hde-OM3-3;0,1;32;10;2,9090909090909087;11,0;CPI;very_high;0,95;0,4;1;;
mde-OM1-2;0,0;19;6;2,375;8,0;CPI;very_high;0,95;0,4;1;;
mde-OM1-3;0,4782608695652174;58;23;2,9;20,0;CPI;very_high;0,95;0,4;1;;
mde-OM1-4;0,4761904761904762;44;21;3,1428571428571432;14,0;CPI;very_high;0,95;0,4;1;;
mde-OM1-6;0,0;12;5;1,7142857142857142;7,0;CPI;very_high;0,95;0,4;1;;
mde-OM1-7;0,0;7;1;2,333333333333333;3,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-1;1,0;5;3;2,5;2,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-10;0,0;10;2;1,1111111111111112;9,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-11;0,0;6;2;3,0;2,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-12;0,0;18;9;2,571428571428572;6,999999999999999;CPI;very_high;0,95;0,4;1;;
mde-OM3-13;0,7956989247311828;216;93;5,4;40,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-4;0,4705882352941176;44;17;2,095238095238096;21,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-5;0,7777777777777778;24;9;2,4;10,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-6;0,0;26;10;2,6;10,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-7;0,0;15;7;3,0;5,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-8;0,0;13;3;4,333333333333333;3,0;CPI;very_high;0,95;0,4;1;;
mde-OM3-9;0,1;32;10;3,2;10,0;CPI;very_high;0,95;0,4;1;;
hde-OM1-2;0,0;4;6;1,0;4,0;SPH+CPI;very_high;0,9;0,4;1;;
hde-OM1-3;0,42857142857142855;30;7;3,0;10,0;SPH+CPI;very_high;0,9;0,4;1;;
hde-OM1-4;0,5;11;4;2,2;5,0;SPH+CPI;very_high;0,9;0,4;1;;
hde-OM1-5;0,7142857142857143;15;7;3,0;5,0;SPH+CPI;very_high;0,9;0,4;1;;
hde-OM1-6;0,6666666666666666;9;3;2,25;4,0;SPH+CPI;very_high;0,9;0,4;1;;
hde-OM2-1;0,5714285714285714;38;14;1,9;20,0;SPH+CPI;very_high;0,9;0,4;1;;
