R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
1,0.42,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
2,0.56,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
3,0.6266666666666667,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
4,0.69,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
5,0.7266666666666667,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
6,0.75,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
7,0.7566666666666667,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
8,0.7733333333333333,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
9,0.8,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
10,0.8066666666666666,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
1,0.38,RF+B,-1.0,-1.0,1.0,14.0,,,,,
2,0.5233333333333333,RF+B,-1.0,-1.0,1.0,14.0,,,,,
3,0.5866666666666667,RF+B,-1.0,-1.0,1.0,14.0,,,,,
4,0.6333333333333333,RF+B,-1.0,-1.0,1.0,14.0,,,,,
5,0.6666666666666666,RF+B,-1.0,-1.0,1.0,14.0,,,,,
6,0.6933333333333334,RF+B,-1.0,-1.0,1.0,14.0,,,,,
7,0.7166666666666667,RF+B,-1.0,-1.0,1.0,14.0,,,,,
8,0.75,RF+B,-1.0,-1.0,1.0,14.0,,,,,
9,0.7566666666666667,RF+B,-1.0,-1.0,1.0,14.0,,,,,
10,0.77,RF+B,-1.0,-1.0,1.0,14.0,,,,,
1,0.38,CPI,0.3,0.7,,,,,,,
2,0.5,CPI,0.3,0.7,,,,,,,
3,0.57,CPI,0.3,0.7,,,,,,,
4,0.6233333333333333,CPI,0.3,0.7,,,,,,,
5,0.66,CPI,0.3,0.7,,,,,,,
6,0.6866666666666666,CPI,0.3,0.7,,,,,,,
7,0.72,CPI,0.3,0.7,,,,,,,
8,0.74,CPI,0.3,0.7,,,,,,,
9,0.75,CPI,0.3,0.7,,,,,,,
10,0.7666666666666667,CPI,0.3,0.7,,,,,,,
1,0.42,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
2,0.5233333333333333,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
3,0.6133333333333333,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
4,0.66,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
5,0.7066666666666667,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
6,0.7266666666666667,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
7,0.7433333333333333,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
8,0.7633333333333333,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
9,0.7933333333333333,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
10,0.7933333333333333,Tailored Approach,0.3,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6743333333333333
1,0.38333333333333336,CPI,0.3,0.8,,,,,,,
2,0.5233333333333333,CPI,0.3,0.8,,,,,,,
3,0.57,CPI,0.3,0.8,,,,,,,
4,0.62,CPI,0.3,0.8,,,,,,,
5,0.65,CPI,0.3,0.8,,,,,,,
6,0.6633333333333333,CPI,0.3,0.8,,,,,,,
7,0.7,CPI,0.3,0.8,,,,,,,
8,0.7033333333333334,CPI,0.3,0.8,,,,,,,
9,0.7333333333333333,CPI,0.3,0.8,,,,,,,
10,0.7533333333333333,CPI,0.3,0.8,,,,,,,
1,0.44,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
2,0.5233333333333333,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
3,0.62,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
4,0.67,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
5,0.7133333333333334,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
6,0.7233333333333334,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
7,0.73,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
8,0.75,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
9,0.7733333333333333,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
10,0.7866666666666666,Tailored Approach,0.3,0.8,1.0,14.0,0.25,0.42,0.38,0.38333333333333336,0.673
1,0.30666666666666664,CPI,0.3,0.9,,,,,,,
2,0.46,CPI,0.3,0.9,,,,,,,
3,0.52,CPI,0.3,0.9,,,,,,,
4,0.5666666666666667,CPI,0.3,0.9,,,,,,,
5,0.5933333333333334,CPI,0.3,0.9,,,,,,,
