;CM Index;gini_parameter;p_parameter;Training gini;gini;gini SPH;gini CPI;Missing;Missing SPH;Missing CPI;#Classes;#Classes SPH;#Classes CPI;#Samples;#Samples SPH;#Samples CPI
0;gini;0,25;0,7;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,17190819691307518;23,999999999999996;8,144234392789215;8,454358796160676;84;16,896551724137932;10,425531914893616;1050;93,24137931034483;58,1063829787234
0;gini;0,25;0,75;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,16846585212621318;23,999999999999996;8,144234392789215;8,454358796160676;84;16,896551724137932;10,425531914893616;1050;93,24137931034483;59,02127659574468
0;gini;0,25;0,8;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,16725992650767452;23,999999999999996;8,144234392789215;8,454358796160676;84;16,896551724137932;10,425531914893616;1050;93,24137931034483;59,02127659574468
0;gini;0,25;0,85;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,16514036247641417;23,999999999999996;8,144234392789215;8,454358796160676;84;16,896551724137932;10,425531914893616;1050;93,24137931034483;59,02127659574468
0;gini;0,25;0,9;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,16113383806348153;23,999999999999996;8,144234392789215;8,454358796160676;84;16,896551724137932;10,425531914893616;1050;93,24137931034483;60,46808510638298
0;gini;0,25;0,95;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,14528917560631505;23,999999999999996;8,144234392789215;8,454358796160676;84;16,896551724137932;10,425531914893616;1050;93,24137931034483;62,638297872340424
0;gini;0,3;0,7;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,18663589546815104;23,999999999999996;8,144234392789215;8,636692438129957;84;16,896551724137932;10,88888888888889;1050;93,24137931034483;60,644444444444446
0;gini;0,3;0,75;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,18300528421104403;23,999999999999996;8,144234392789215;8,636692438129957;84;16,896551724137932;10,88888888888889;1050;93,24137931034483;61,6
0;gini;0,3;0,8;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,18174576189834804;23,999999999999996;8,144234392789215;8,636692438129957;84;16,896551724137932;10,88888888888889;1050;93,24137931034483;61,6
0;gini;0,3;0,85;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,17953199502125397;23,999999999999996;8,144234392789215;8,636692438129957;84;16,896551724137932;10,88888888888889;1050;93,24137931034483;61,6
0;gini;0,3;0,9;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,17754317005240255;23,999999999999996;8,144234392789215;8,636692438129957;84;16,896551724137932;10,88888888888889;1050;93,24137931034483;62,68888888888889
0;gini;0,3;0,95;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,1609943003749176;23,999999999999996;8,144234392789215;8,636692438129957;84;16,896551724137932;10,88888888888889;1050;93,24137931034483;64,95555555555555
0;gini;0,35;0,7;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,2048987046295;23,999999999999996;8,144234392789215;8,192433595267923;84;16,896551724137932;11,951219512195122;1050;93,24137931034483;66,5609756097561
0;gini;0,35;0,75;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,20404693321206255;23,999999999999996;8,144234392789215;8,192433595267923;84;16,896551724137932;11,951219512195122;1050;93,24137931034483;67,34146341463415
0;gini;0,35;0,8;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,2035701428862395;23,999999999999996;8,144234392789215;8,192433595267923;84;16,896551724137932;11,951219512195122;1050;93,24137931034483;67,34146341463415
0;gini;0,35;0,85;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,2012662589714927;23,999999999999996;8,144234392789215;8,192433595267923;84;16,896551724137932;11,951219512195122;1050;93,24137931034483;67,34146341463415
0;gini;0,35;0,9;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,20041739847516388;23,999999999999996;8,144234392789215;8,192433595267923;84;16,896551724137932;11,951219512195122;1050;93,24137931034483;67,97560975609755
0;gini;0,35;0,95;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,18462287286498003;23,999999999999996;8,144234392789215;8,192433595267923;84;16,896551724137932;11,951219512195122;1050;93,24137931034483;70,46341463414635
0;gini;0,4;0,7;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,23317972382822122;23,999999999999996;8,144234392789215;8,060444468875186;84;16,896551724137932;13,61111111111111;1050;93,24137931034483;75,41666666666667
0;gini;0,4;0,75;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,2424279047932825;23,999999999999996;8,144234392789215;8,060444468875186;84;16,896551724137932;13,61111111111111;1050;93,24137931034483;75,41666666666667
0;gini;0,4;0,8;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,241884893588873;23,999999999999996;8,144234392789215;8,060444468875186;84;16,896551724137932;13,61111111111111;1050;93,24137931034483;75,41666666666667
0;gini;0,4;0,85;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,24250923741254318;23,999999999999996;8,144234392789215;8,060444468875186;84;16,896551724137932;13,61111111111111;1050;93,24137931034483;75,41666666666667
0;gini;0,4;0,9;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,24153394100451178;23,999999999999996;8,144234392789215;8,060444468875186;84;16,896551724137932;13,61111111111111;1050;93,24137931034483;76,13888888888889
0;gini;0,4;0,95;0,5224621140067212;0,5388208616780046;0,3214809454600225;0,23719208797310345;23,999999999999996;8,144234392789215;8,060444468875186;84;16,896551724137932;13,61111111111111;1050;93,24137931034483;78,97222222222223
