index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;group;level-0;level-1;marker
222;;0.5010293566485551;0.44331619078217244;0.5998442831603037;;1.4936358235062688;0.2354643029411568;0.4454256830579018;0.5332546600224018;0.7521880423340479;2.213433179621737;;0.5711776408206548;0.2608957857579036;;;1.5052917638039724;1.7917856616185328;;0.6321952786942548;;0.5065954941800017;0.7070580735773725;1.4819169560727408;0.5841013310800002;1.7127847357978898;;0.47999254923244894;0.8189467451385648;1.2215588379703726;;0.5620084305525086;;0.5241561517786681;0.4279765225935686;;1.3325190646983405;1.8248427692890434;0.3349827980958067;0.5871090747654747;0.6454529768505849;;;0.6046331507397082;;0.13950057139885824;0.6557346575903666;0.49802414609669265;0.6897526112391097;1.4632578263564353;;0.581973306702703;0.2053865031694997;0.7984207300718771;0.2771601770930551;0.5852717861026748;;0.6896616591488592;1.4228413568270524;1.6510541670740615;0.26213700736549606;0.32836031241492897;;1.5191232848824732;0.3795882316782397;;;0.309841619428975;0.6061154864691902;0.30549910534965663;2.705587560275002;0.23922489953231205;4.0;0.5033654574005619;;1.5640650201252995;0.5775440081753275;0.5259898473428435;1.6963259067822987;0.6546383793429525;1.4726440691563434;1.6099888778866105;0.22987723337470967;;0.2727691370784432;0.6443073509185318;0.4311763804644475;0.521369835897917;0.2738033783028245;0.5200539442978421;0.7924034596448317;0.3961555249201745;0.20301848119939347;0.2928046002346044;;1.4758263275986538;1.3134100178571195;1.6324195528326881;0.5629318667437834;0.32397354099118986;46;mde-OM3-13;Engine;mde;
168;;0.5406142034565915;0.38557497540127034;0.5909368229840004;;1.5418059603625984;0.2877396898630175;0.49114801621224397;0.3808428243796386;0.2859747110087024;2.5592756602610347;0.47141471603002993;0.23323075842517588;0.6255513650138166;0.46240719978591804;;1.2860428755183113;1.6932117995954492;;0.8645654059529089;;0.6184393145366489;0.760703162996448;1.5612928382996518;0.6402299343530395;1.3633684517738986;;0.7488533845063791;0.7236470569603043;1.6094415886632012;;0.48563078944718496;;0.6330837980101006;0.48023447862412105;;1.3751332213833685;1.5684090874569483;0.5860033319446859;0.31738143989693496;;;;0.407254878973945;;0.3651036671412189;0.5901130560553309;0.3978147851690692;0.18593067028122287;1.4385377042280492;;0.7211879569313759;0.6753800081084396;0.21743316179675357;0.70133444473381;0.5294022868622721;;0.3986230491840229;1.3746413939161335;;0.5840125670638683;0.6813649337036829;;1.5002237472592546;0.7560972060495688;;;0.48610933259730177;0.511111960841815;0.4650443082757375;2.368389699757678;0.605083624241158;3.716334934854287;0.30087071277455907;;1.394310385848451;0.7446030827963491;;1.2947972265145034;0.5371337220520865;1.3819194927417997;1.6201798997740342;0.34271339396070144;;0.5536781831403433;0.5160539872733878;;0.32938582063812266;0.6510007605636596;0.4153661222850878;;0.2044508686504929;0.6171363075698655;0.5325854843816774;;1.785888117511507;1.3420698378846767;1.4356770456288097;0.4537646935280186;0.5004662323706781;62;mde-OM3-13;Engine;mde;
50;0.4478248165840738;;0.21860692842932009;0.7517594309117893;;1.4358233137374765;0.42183083634944524;0.2874296885502667;0.5779318888891943;0.3655800781295743;;0.45826413974547453;0.4203088269416819;0.31858862948862315;0.5143742642577117;0.14181412939468452;0.49530858982297843;0.031061517781337335;0.6157623436300096;;0.6349984794419904;0.5496538300160153;0.273600889129983;;0.7593511959823026;0.5825046603845215;;;0.6066184336044838;;0.03959032363720326;0.897852747825784;0.5911640682678565;0.760139301740752;0.37806426490716144;0.31402807871999466;;0.8009666526498633;0.3462332413637312;;0.3528725034095499;0.5140423270028974;1.430397934484499;0.5437560775997768;0.5545313207358341;0.5901511507114292;0.3824651123880221;0.15782101211205687;;0.7632547860294574;;;0.15668145713587794;0.3639753284889966;;0.2494834536775758;0.4304339080131271;;0.6809849036419056;;0.7172000899514434;;0.6510643951337506;1.454869378607186;;;0.6077690822166869;;;0.42947640503608453;1.7062007891862536;0.47636642333336715;0.45807253547754945;;0.37035297062456746;0.15649149719955652;0.13602626949314373;0.5458613503430952;1.76128770518006;0.4297286298420545;0.5179877090730887;0.39112643842448913;0.12699979720440516;0.726097815410993;0.6683136235706465;0.6656130478660492;0.3144182644026584;0.5172587804659126;0.746454043400789;0.5680825674124557;0.7468771872066461;0.5940303634794104;0.31640851567271083;;0.3262199624708236;0.5051261923976406;0.7336212654018177;1.4345028534424087;;0.15300245461412273;13;hde-OM2-1;Engine;hde;
28;0.57499976574855;0.6818894193031592;0.27511523700660306;0.6155221114467118;;;0.6709924409756217;0.835443604772858;0.7981544251043319;0.7790396399567285;2.995446520497688;0.2759171384768357;0.8280572477050764;0.6673572406403949;0.2989009408109408;0.9580222792093966;1.6456744320198073;1.3997266951391518;;0.5466824905339568;;0.7080085336512169;;0.2878391607720289;0.4465564455783634;0.2981694333566761;;0.4520445372855229;0.587753703866465;1.4354013091949867;1.389263756224424;0.664973787316666;;0.5187851225760077;0.3483045464331299;;;1.0;0.3106008186900364;0.3160052034760157;0.5921363438982106;;;0.3844272630831613;;1.0;0.6230108091123638;1.0;0.6785807112261376;;;;0.7630236359657834;0.7822512580583242;0.35109150132760875;0.36869781847045136;1.0;0.09895997101003515;1.7662155165511773;;0.341873532582248;0.48310018398603144;;1.329439175966441;0.08090316138910172;;;0.11382568179222514;0.21460168951954373;0.8461269272301405;1.1925155296064482;0.5173175994757512;3.5457176662204715;0.7206718125932613;;1.7910662058891742;0.0;0.4533518506639664;1.3703204754674772;;1.5050919333717256;1.0;1.0;;0.806230429066656;0.8125417375443829;;0.738746882397119;0.4878715383813612;0.5748565170244297;0.303232862056351;;0.6095622593193155;;1.8301653210340567;0.2938677284748956;0.45554140608141314;;0.8867577848801919;0.32958923607292584;50;mde-OM3-5;Engine;mde;
3;0.20181369682329695;;0.24466861806857285;0.41075333151206;0.40231942056704184;1.3779075719579186;0.6152352358431772;0.843713328569936;0.6656878065102778;0.5039850814976602;1.0013459008139545;0.9046350941792228;0.5432346643767944;0.6894346221387271;;0.0;0.4030280844177916;0.8414268795864233;0.4698791143611111;0.9866910268578798;;0.5737110424448774;1.0;0.0695690320496626;0.48119198445206873;0.08146242156658351;;0.18085045540242609;0.8208096424964113;0.8359751401437451;0.18183882360069645;0.43142513685083467;0.5227041353039202;0.4331457350912994;;1.0;;0.21265664305499146;0.6245630388257941;;;0.18677147028066923;1.3049554074042813;0.6111228133488975;0.0031661815694762124;0.1260776288797443;0.8226932410996916;0.6015762525663798;;0.8383496214818468;0.7121744643415149;;0.0;0.25877750090162305;;0.45198847769345746;0.0;;0.09319148646786084;;0.1533484594486344;;1.0;1.4901590702597887;;0.3349378090937267;0.4665790847147766;1.0;0.0;;1.4206162002218057;;0.4455249583714898;;0.4605182148703442;0.6920869539857065;0.29785014653866154;0.2996304198945903;1.698192589746807;;0.6672739139151845;0.7868465949560157;0.664913029940854;0.8482158197374209;0.9916208916787426;0.5174453967697138;1.0;0.6292321597846791;0.375909684329068;0.7283122263295162;0.9344848785365765;1.0;;;0.8267287702926659;0.25500822368767556;0.896804444368711;1.3873995160830146;0.6881258456369804;0.0;30;hde-OM2-2;Engine;hde;
1;;0.3689293443646517;0.6156538569871542;0.6476336117339149;;1.276122495981522;;0.5979652151941698;0.5234874145811758;0.3598524154971949;1.1702771157435699;0.4767261440734387;0.6176622802336867;0.6917073623403365;0.3439447849912085;0.3927717906621359;1.6648154855627078;0.37356910379456315;;1.0;;0.337386369826313;0.44839608927352653;0.3784715389300194;0.006586934023357757;0.618221398214726;0.6510778881768338;0.5500750796503696;0.7865495741209896;0.06416646188615091;1.487346383026727;0.9332911473153572;;0.39807849630323117;0.5758065737839347;;0.8055674788298005;1.558916409880511;0.6701902195527955;0.8308176305018932;0.7616011681946243;;;0.5356677012209173;0.4161899650701562;0.47973605989379037;0.1345523840913825;0.6088793232350784;0.28751737902341695;0.7572086098261948;0.4288799442084834;;;0.563948096955748;0.44175007325838894;0.4845097631602205;0.8663883423803145;;1.0561572593657267;0.6809107393746113;;0.5112281493733146;;1.1773357672754912;0.4096006109542158;0.4218549162693066;;0.4145779055377109;0.3871744326443765;0.15983812798953584;1.360947168289945;0.6342011922136503;1.4724559797818257;;0.5881159953313483;1.2712722576605697;0.37416028305370586;0.6083850727560608;1.4450232130488054;;;;0.3244917530301538;;0.37310525787324306;;;0.5645675995605499;;0.41185426699168054;0.3535597441756305;0.306020681260431;0.21032866190899363;0.3488506962942793;1.5765504737534912;0.7493403091232624;0.657066969158136;1.264526661481121;0.14688040602834848;0.5962786391387229;56;mde-OM1-4;Engine;mde;
172;;0.8039053428090822;0.5418672548701308;0.554498392824164;;1.8402623887104563;0.2232383174937705;0.6181409632850536;0.22757243199696867;0.3235004438088922;2.3363232104794074;0.41602545282804826;0.5327851791526106;0.5742193641697682;0.2859655267456726;;1.4233288495230079;1.7436170841963983;;0.44764994161282134;;0.3079062049620769;0.5261689735675359;1.6536498536656872;0.516325810686297;1.701402064329512;;0.24485656819754612;;;;0.7310762374964515;;0.6243527502548222;0.05107457469442926;;;1.6635020122160256;0.3751376005711678;0.7800376403778164;0.5432118859369316;;;0.6203367398897751;;0.36196429618233933;0.506492914690892;0.6375339647389509;0.572135466856522;1.7415433929672965;;0.3107218455945155;0.5192908365307731;0.5481356742349168;0.5586768527593807;0.7522111557721665;;0.3711103729969746;1.3674371098664426;1.378829278686538;0.5176791391540062;0.5460982154883716;;1.307529958983058;0.42595979931591366;;;0.8462176572559559;0.7842123296300821;0.5766227222615162;2.3505092688619458;0.6879274376643716;3.592833778031726;0.6714129116753119;;1.7597908602263255;0.6634259902365421;0.5909945785011049;1.477626229944708;0.6209465072190273;1.755121864297541;1.4559546103099248;0.4677482206690156;;0.5277638813022615;0.5452172301102661;0.6708691483738206;;0.4340469843209098;0.11967505610541902;0.8109907416895732;0.27137537308026816;0.36985800282277415;0.7297335779155643;;1.4941515555632512;1.6645041113324033;1.5030496521141037;0.35190917084963597;0.49370095004832637;53;mde-OM3-13;Engine;mde;
5;0.9185088972669313;;0.3625326994778061;0.3096029769025942;;1.4265456321849646;0.27994825061679934;0.0;0.68695997808632;0.7752800679475002;1.5105721395795202;0.0;0.6840518384484118;0.0;1.0;0.572241633201921;;;0.9187505322208172;1.0;0.9548624061068808;0.9737394720888095;0.7859852269963881;;;0.08616045257541319;;1.0;;1.0;;1.0;0.32757082732408876;0.19745618831837716;0.6902078670254184;0.1309047933462174;;0.7259353287654431;;;0.7593023737462686;1.0;1.6842828835913917;;0.1974908721859714;0.738934123525588;0.26024184953090224;0.46186110047950296;;0.10378940703374827;0.5532933121682884;;0.7786538440414731;0.41077055965712367;;0.8029756718558424;0.7060460135929758;;0.5603101195462857;;0.4916809127089361;;0.0;1.2654423270540718;;0.5558218639270301;0.0;0.22751465029471804;0.8747596338711343;;;1.0;0.4991155116816254;;0.2859780188531637;0.0;0.0;;1.320593926761462;0.14919655092711995;0.6319577771458927;0.8758221309876308;0.04284050222198177;1.0;0.5689084968675132;0.5107484973424506;0.0;0.04026506241329774;0.29517839621711306;0.7057717470311865;0.7783920396283796;0.8394633292826748;1.0;;1.3427860156694893;0.9454696863707966;0.3990812967399289;1.367660876387953;0.4401487003265278;;33;hde-OM2-3;Engine;hde;
1;0.6721390659012502;;0.3976293769495579;0.49302691844103635;;0.4360828363069865;;;0.0;0.6589522327350676;0.39639603312423405;;0.4877285862780433;;0.8146373673964094;0.2667612556931791;0.0661945967371258;0.5888450611911141;0.5220937621101935;;0.5568103555386029;0.7509472752223526;;0.2069785104008803;0.6003992925913609;;;0.5131471411796037;0.5747920774765339;;0.27448745147268394;0.7418553807839954;0.6628797876061673;0.4824623574162654;;;0.25331332222151215;0.4364447500880744;1.0;0.32167109570366315;0.3840039711691993;0.8197630658001678;0.6422180081291678;0.41855568176720986;0.6209737884783708;0.4857557863002558;1.0;0.44503662264626814;;;0.6640559123352562;0.6771400164893308;0.38544882997138624;0.31131694698227225;;0.3312080197837468;0.15727417624115478;;0.6515822724826303;;0.40486067864294756;;0.5877599491172;1.8347910289033402;0.9336259646875017;0.5637875979074722;0.5274888786032036;0.440001353539089;0.2323136512715182;0.2715955407962617;0.12732351343455087;0.3402321161719865;0.32380158317002133;;0.5427519864835356;0.6614607225092309;0.6683333526477615;;1.0;;0.2611371776281673;;0.47644526472540666;;;0.681088795632562;;0.008724611560539101;;0.23445641484826832;0.0;0.3840271177986831;0.1078498724538617;0.6390785308132931;0.18851491866772452;0.3264165639841246;0.06405479425926557;;0.5092505891595072;0.22249532342172676;11;hde-OM1-3;Engine;hde;
38;0.3446795792702462;;0.32780008400207983;0.7030331789709774;;1.4344843008964394;0.5956017206190269;0.5155211816625754;0.1473915252749125;;1.2154589697424671;0.3970425017419785;0.7589493373906276;0.6729647166726743;0.39345874246995416;0.0850450052399298;1.502999902906419;0.6964592159287413;0.6420676747173559;;;0.1391726393649416;0.007716979186356379;;;0.723423985962316;;0.47854522961575596;0.0;0.94658078428439;0.403449275259584;0.8082734361089758;0.6905630125041435;0.20883334592532773;0.7326002402905998;;0.6704052774597419;0.8551378989717456;0.24252266598584038;0.663910199451592;0.5772498187184166;;1.240338803733911;0.26432970270308864;0.8197159172257227;0.4257026800810727;0.8774929656829601;0.6360727614101599;0.4446023044673529;;0.5398151878712057;;0.3573173974354412;0.7183502867126799;;0.3743539369130065;0.6760253123643104;;1.8316854702316245;;1.0;;0.9097924796997502;1.3573952965138696;;0.38887887015390943;0.6412652049190564;0.7481157911468156;0.5056821123956425;0.2582057678086554;1.2180389634290827;0.24670727999774958;1.998213389441002;;0.35127257452453153;;0.23367699436937975;0.8781063225420267;1.4737882770756925;;;0.1224969770175236;0.3964919915519235;0.6060457637613869;0.6008645437219685;0.4289309653443868;;0.6457511763737384;0.32575705497138313;0.983376138255048;0.5256364392738232;;0.5623082051942955;;;0.23297485947121888;0.6969322054870921;1.530388218816293;0.3131626659438998;0.3514955589534371;45;hde-OM3-3;Engine;hde;
