R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
1,0.5633333333333334,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
2,0.6233333333333333,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
3,0.6566666666666666,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
4,0.7,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
5,0.73,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
6,0.75,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
7,0.7666666666666667,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
8,0.7833333333333333,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
9,0.7966666666666666,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
10,0.8066666666666666,SPH,-1.0,-1.0,1.0,18.0,0.25,,,,
1,0.5333333333333333,RF+B,-1.0,-1.0,1.0,18.0,,,,,
2,0.6,RF+B,-1.0,-1.0,1.0,18.0,,,,,
3,0.63,RF+B,-1.0,-1.0,1.0,18.0,,,,,
4,0.6566666666666666,RF+B,-1.0,-1.0,1.0,18.0,,,,,
5,0.6666666666666666,RF+B,-1.0,-1.0,1.0,18.0,,,,,
6,0.6866666666666666,RF+B,-1.0,-1.0,1.0,18.0,,,,,
7,0.7166666666666667,RF+B,-1.0,-1.0,1.0,18.0,,,,,
8,0.7266666666666667,RF+B,-1.0,-1.0,1.0,18.0,,,,,
9,0.7333333333333333,RF+B,-1.0,-1.0,1.0,18.0,,,,,
10,0.7566666666666667,RF+B,-1.0,-1.0,1.0,18.0,,,,,
1,0.5166666666666667,CPI,0.3,0.7,,,,,,,
2,0.58,CPI,0.3,0.7,,,,,,,
3,0.6266666666666667,CPI,0.3,0.7,,,,,,,
4,0.6633333333333333,CPI,0.3,0.7,,,,,,,
5,0.6833333333333333,CPI,0.3,0.7,,,,,,,
6,0.7133333333333334,CPI,0.3,0.7,,,,,,,
7,0.7333333333333333,CPI,0.3,0.7,,,,,,,
8,0.7433333333333333,CPI,0.3,0.7,,,,,,,
9,0.75,CPI,0.3,0.7,,,,,,,
10,0.76,CPI,0.3,0.7,,,,,,,
1,0.56,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
2,0.6233333333333333,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
3,0.6433333333333333,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
4,0.6866666666666666,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
5,0.7133333333333334,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
6,0.74,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
7,0.7666666666666667,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
8,0.7833333333333333,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
9,0.8,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
10,0.8066666666666666,Tailored Approach,0.3,0.7,1.0,18.0,0.25,0.5633333333333334,0.5333333333333333,0.5166666666666667,0.7123333333333333
1,0.5033333333333333,CPI,0.3,0.8,,,,,,,
2,0.57,CPI,0.3,0.8,,,,,,,
3,0.6,CPI,0.3,0.8,,,,,,,
4,0.6333333333333333,CPI,0.3,0.8,,,,,,,
