,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
0,RF,1,0.16666666666666666,1.0,1,,,,,,
1,RF,2,0.25333333333333335,1.3421052631578947,1,,,,,,
2,RF,3,0.3333333333333333,1.74,1,,,,,,
3,RF,4,0.3933333333333333,2.0847457627118646,1,,,,,,
4,RF,5,0.44666666666666666,2.4328358208955225,1,,,,,,
5,RF,6,0.4666666666666667,2.585714285714286,1,,,,,,
6,RF,7,0.5,2.88,1,,,,,,
7,RF,8,0.5233333333333333,3.1082802547770703,1,,,,,,
8,RF,9,0.56,3.494047619047619,1,,,,,,
9,RF,10,0.5966666666666667,3.893854748603352,1,,,,,,
10,KMeans,1,0.19,1.0,1,10.0,KMeans,,,,
11,KMeans,2,0.30666666666666664,1.3804347826086956,1,10.0,KMeans,,,,
12,KMeans,3,0.4,1.7583333333333333,1,10.0,KMeans,,,,
13,KMeans,4,0.4633333333333333,2.064748201438849,1,10.0,KMeans,,,,
14,KMeans,5,0.52,2.3846153846153846,1,10.0,KMeans,,,,
15,KMeans,6,0.5533333333333333,2.602409638554217,1,10.0,KMeans,,,,
16,KMeans,7,0.59,2.8757062146892656,1,10.0,KMeans,,,,
17,KMeans,8,0.6266666666666667,3.175531914893617,1,10.0,KMeans,,,,
18,KMeans,9,0.6566666666666666,3.4416243654822334,1,10.0,KMeans,,,,
19,KMeans,10,0.6733333333333333,3.603960396039604,1,10.0,KMeans,,,,
20,KMeans,1,0.19666666666666666,1.0,1,15.0,KMeans,,,,
21,KMeans,2,0.2966666666666667,1.3370786516853932,1,15.0,KMeans,,,,
22,KMeans,3,0.38,1.7017543859649122,1,15.0,KMeans,,,,
23,KMeans,4,0.44333333333333336,2.030075187969925,1,15.0,KMeans,,,,
24,KMeans,5,0.5033333333333333,2.384105960264901,1,15.0,KMeans,,,,
25,KMeans,6,0.53,2.5660377358490565,1,15.0,KMeans,,,,
26,KMeans,7,0.5733333333333334,2.9011627906976742,1,15.0,KMeans,,,,
27,KMeans,8,0.61,3.2076502732240435,1,15.0,KMeans,,,,
28,KMeans,9,0.6566666666666666,3.6192893401015227,1,15.0,KMeans,,,,
29,KMeans,10,0.6966666666666667,3.985645933014354,1,15.0,KMeans,,,,
30,KMeans,1,0.18666666666666668,1.0,1,20.0,KMeans,,,,
31,KMeans,2,0.29333333333333333,1.3636363636363635,1,20.0,KMeans,,,,
32,KMeans,3,0.3566666666666667,1.6542056074766356,1,20.0,KMeans,,,,
33,KMeans,4,0.44,2.0984848484848486,1,20.0,KMeans,,,,
34,KMeans,5,0.5,2.4466666666666668,1,20.0,KMeans,,,,
35,KMeans,6,0.5633333333333334,2.8461538461538463,1,20.0,KMeans,,,,
36,KMeans,7,0.5966666666666667,3.078212290502793,1,20.0,KMeans,,,,
37,KMeans,8,0.6266666666666667,3.3138297872340425,1,20.0,KMeans,,,,
38,KMeans,9,0.6633333333333333,3.628140703517588,1,20.0,KMeans,,,,
39,KMeans,10,0.6933333333333334,3.9038461538461537,1,20.0,KMeans,,,,
40,KMeans,1,0.18,1.0,1,25.0,KMeans,,,,
41,KMeans,2,0.3,1.4,1,25.0,KMeans,,,,
42,KMeans,3,0.38666666666666666,1.7586206896551724,1,25.0,KMeans,,,,
43,KMeans,4,0.4866666666666667,2.219178082191781,1,25.0,KMeans,,,,
44,KMeans,5,0.5266666666666666,2.430379746835443,1,25.0,KMeans,,,,
45,KMeans,6,0.57,2.7017543859649122,1,25.0,KMeans,,,,
46,KMeans,7,0.6033333333333334,2.9392265193370166,1,25.0,KMeans,,,,
47,KMeans,8,0.6333333333333333,3.1789473684210527,1,25.0,KMeans,,,,
48,KMeans,9,0.66,3.414141414141414,1,25.0,KMeans,,,,
49,KMeans,10,0.6866666666666666,3.6699029126213594,1,25.0,KMeans,,,,
50,KMeans,1,0.19666666666666666,1.0,1,26.0,KMeans,,,,
51,KMeans,2,0.31666666666666665,1.3789473684210527,1,26.0,KMeans,,,,
52,KMeans,3,0.41333333333333333,1.7580645161290323,1,26.0,KMeans,,,,
53,KMeans,4,0.49333333333333335,2.1216216216216215,1,26.0,KMeans,,,,
54,KMeans,5,0.54,2.3703703703703702,1,26.0,KMeans,,,,
55,KMeans,6,0.5933333333333334,2.696629213483146,1,26.0,KMeans,,,,
56,KMeans,7,0.6366666666666667,2.9895287958115184,1,26.0,KMeans,,,,
57,KMeans,8,0.6766666666666666,3.2857142857142856,1,26.0,KMeans,,,,
58,KMeans,9,0.71,3.5539906103286385,1,26.0,KMeans,,,,
59,KMeans,10,0.73,3.730593607305936,1,26.0,KMeans,,,,
60,KMeans,1,0.20333333333333334,1.0,1,30.0,KMeans,,,,
61,KMeans,2,0.30666666666666664,1.3369565217391304,1,30.0,KMeans,,,,
62,KMeans,3,0.3933333333333333,1.7033898305084745,1,30.0,KMeans,,,,
63,KMeans,4,0.49,2.1564625850340136,1,30.0,KMeans,,,,
64,KMeans,5,0.5366666666666666,2.4037267080745344,1,30.0,KMeans,,,,
65,KMeans,6,0.58,2.6724137931034484,1,30.0,KMeans,,,,
66,KMeans,7,0.6166666666666667,2.9297297297297296,1,30.0,KMeans,,,,
67,KMeans,8,0.6566666666666666,3.238578680203046,1,30.0,KMeans,,,,
68,KMeans,9,0.6933333333333334,3.543269230769231,1,30.0,KMeans,,,,
69,KMeans,10,0.7166666666666667,3.7534883720930234,1,30.0,KMeans,,,,
70,KMeans,1,0.17333333333333334,1.0,1,35.0,KMeans,,,,
71,KMeans,2,0.29333333333333333,1.4090909090909092,1,35.0,KMeans,,,,
72,KMeans,3,0.42333333333333334,1.8976377952755905,1,35.0,KMeans,,,,
73,KMeans,4,0.52,2.2884615384615383,1,35.0,KMeans,,,,
74,KMeans,5,0.5766666666666667,2.554913294797688,1,35.0,KMeans,,,,
75,KMeans,6,0.6133333333333333,2.760869565217391,1,35.0,KMeans,,,,
76,KMeans,7,0.6566666666666666,3.0406091370558377,1,35.0,KMeans,,,,
77,KMeans,8,0.6866666666666666,3.2572815533980584,1,35.0,KMeans,,,,
78,KMeans,9,0.7266666666666667,3.573394495412844,1,35.0,KMeans,,,,
79,KMeans,10,0.7566666666666667,3.828193832599119,1,35.0,KMeans,,,,
80,KMeans,1,0.18333333333333332,1.0,1,40.0,KMeans,,,,
81,KMeans,2,0.2866666666666667,1.3604651162790697,1,40.0,KMeans,,,,
82,KMeans,3,0.36666666666666664,1.7181818181818183,1,40.0,KMeans,,,,
83,KMeans,4,0.4533333333333333,2.1544117647058822,1,40.0,KMeans,,,,
84,KMeans,5,0.49333333333333335,2.385135135135135,1,40.0,KMeans,,,,
85,KMeans,6,0.54,2.697530864197531,1,40.0,KMeans,,,,
86,KMeans,7,0.5666666666666667,2.9,1,40.0,KMeans,,,,
87,KMeans,8,0.5966666666666667,3.1564245810055866,1,40.0,KMeans,,,,
88,KMeans,9,0.6266666666666667,3.4361702127659575,1,40.0,KMeans,,,,
89,KMeans,10,0.66,3.7676767676767677,1,40.0,KMeans,,,,
90,KMeans,1,0.18666666666666668,1.0,1,45.0,KMeans,,,,
91,KMeans,2,0.3233333333333333,1.422680412371134,1,45.0,KMeans,,,,
92,KMeans,3,0.41,1.7560975609756098,1,45.0,KMeans,,,,
93,KMeans,4,0.4866666666666667,2.1095890410958904,1,45.0,KMeans,,,,
94,KMeans,5,0.53,2.3459119496855347,1,45.0,KMeans,,,,
95,KMeans,6,0.58,2.660919540229885,1,45.0,KMeans,,,,
96,KMeans,7,0.6166666666666667,2.918918918918919,1,45.0,KMeans,,,,
97,KMeans,8,0.6566666666666666,3.228426395939086,1,45.0,KMeans,,,,
98,KMeans,9,0.6933333333333334,3.5336538461538463,1,45.0,KMeans,,,,
99,KMeans,10,0.7133333333333334,3.7149532710280373,1,45.0,KMeans,,,,
100,KMeans,1,0.18,1.0,1,50.0,KMeans,,,,
101,KMeans,2,0.2833333333333333,1.3647058823529412,1,50.0,KMeans,,,,
102,KMeans,3,0.36666666666666664,1.7363636363636363,1,50.0,KMeans,,,,
103,KMeans,4,0.4766666666666667,2.2587412587412588,1,50.0,KMeans,,,,
104,KMeans,5,0.5433333333333333,2.5950920245398774,1,50.0,KMeans,,,,
105,KMeans,6,0.6066666666666667,2.9505494505494507,1,50.0,KMeans,,,,
106,KMeans,7,0.6433333333333333,3.1813471502590676,1,50.0,KMeans,,,,
107,KMeans,8,0.67,3.373134328358209,1,50.0,KMeans,,,,
108,KMeans,9,0.6933333333333334,3.5625,1,50.0,KMeans,,,,
109,KMeans,10,0.72,3.800925925925926,1,50.0,KMeans,,,,
110,Birch,1,0.19333333333333333,1.0,1,10.0,Birch,,,,
111,Birch,2,0.31333333333333335,1.3829787234042554,1,10.0,Birch,,,,
112,Birch,3,0.37333333333333335,1.6428571428571428,1,10.0,Birch,,,,
113,Birch,4,0.44666666666666666,2.029850746268657,1,10.0,Birch,,,,
114,Birch,5,0.49333333333333335,2.310810810810811,1,10.0,Birch,,,,
115,Birch,6,0.5433333333333333,2.6503067484662575,1,10.0,Birch,,,,
116,Birch,7,0.5733333333333334,2.877906976744186,1,10.0,Birch,,,,
117,Birch,8,0.5966666666666667,3.078212290502793,1,10.0,Birch,,,,
118,Birch,9,0.6466666666666666,3.536082474226804,1,10.0,Birch,,,,
119,Birch,10,0.6833333333333333,3.8829268292682926,1,10.0,Birch,,,,
