,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
0,RF,1,0.27666666666666667,1.0,1,,,,,,
1,RF,2,0.4766666666666667,1.4195804195804196,1,,,,,,
2,RF,3,0.5533333333333333,1.6385542168674698,1,,,,,,
3,RF,4,0.6233333333333333,1.9037433155080214,1,,,,,,
4,RF,5,0.67,2.1194029850746268,1,,,,,,
5,RF,6,0.6933333333333334,2.25,1,,,,,,
6,RF,7,0.71,2.3615023474178405,1,,,,,,
7,RF,8,0.7333333333333333,2.540909090909091,1,,,,,,
8,RF,9,0.7566666666666667,2.7400881057268722,1,,,,,,
9,RF,10,0.76,2.7719298245614037,1,,,,,,
10,KMeans,1,0.30333333333333334,1.0,1,10.0,KMeans,,,,
11,KMeans,2,0.49,1.380952380952381,1,10.0,KMeans,,,,
12,KMeans,3,0.57,1.608187134502924,1,10.0,KMeans,,,,
13,KMeans,4,0.65,1.9025641025641025,1,10.0,KMeans,,,,
14,KMeans,5,0.6933333333333334,2.0961538461538463,1,10.0,KMeans,,,,
15,KMeans,6,0.7266666666666667,2.2752293577981653,1,10.0,KMeans,,,,
16,KMeans,7,0.76,2.482456140350877,1,10.0,KMeans,,,,
17,KMeans,8,0.7966666666666666,2.7364016736401675,1,10.0,KMeans,,,,
18,KMeans,9,0.8066666666666666,2.8140495867768593,1,10.0,KMeans,,,,
19,KMeans,10,0.8233333333333334,2.9595141700404857,1,10.0,KMeans,,,,
20,KMeans,1,0.33,1.0,1,15.0,KMeans,,,,
21,KMeans,2,0.5033333333333333,1.3443708609271523,1,15.0,KMeans,,,,
22,KMeans,3,0.6066666666666667,1.6263736263736264,1,15.0,KMeans,,,,
23,KMeans,4,0.68,1.8823529411764706,1,15.0,KMeans,,,,
24,KMeans,5,0.7266666666666667,2.0825688073394497,1,15.0,KMeans,,,,
25,KMeans,6,0.7833333333333333,2.3659574468085105,1,15.0,KMeans,,,,
26,KMeans,7,0.7966666666666666,2.4435146443514646,1,15.0,KMeans,,,,
27,KMeans,8,0.8266666666666667,2.6451612903225805,1,15.0,KMeans,,,,
28,KMeans,9,0.8466666666666667,2.795275590551181,1,15.0,KMeans,,,,
29,KMeans,10,0.8566666666666667,2.8793774319066148,1,15.0,KMeans,,,,
