,#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,Method,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
0,0.0,0.0,0.0,0.0,0.0,0,0,RF,1,,,,,,
0,82.72,13.104435668148989,95.03999999999999,26.619999999999997,0.4563827327628928,0,0,KMeans,1,10.0,KMeans,,,,
0,53.47555555555555,11.307901801639932,90.59555555555556,18.488888888888887,0.40510407913410523,0,0,KMeans,1,15.0,KMeans,,,,
0,39.480000000000004,11.122678436667528,89.25,14.91,0.3900739784172008,0,0,KMeans,1,20.0,KMeans,,,,
0,31.283199999999997,9.982418529437284,87.44319999999999,12.687999999999999,0.36370191434877497,0,0,KMeans,1,25.0,KMeans,,,,
0,30.03550295857988,8.84339234596235,86.39201183431952,11.622781065088757,0.3486852667910927,0,0,KMeans,1,26.0,KMeans,,,,
0,25.90222222222222,8.74988736192034,85.66333333333334,10.643333333333334,0.3361121927998517,0,0,KMeans,1,30.0,KMeans,,,,
0,22.099591836734692,9.080897472514392,85.72408163265307,9.69795918367347,0.32940413255897655,0,0,KMeans,1,35.0,KMeans,,,,
0,19.27,7.719275493016054,84.05,8.686875,0.2985833915824959,0,0,KMeans,1,40.0,KMeans,,,,
0,17.08246913580247,7.401902970722741,83.77679012345678,8.132345679012344,0.26587390563832114,0,0,KMeans,1,45.0,KMeans,,,,
0,15.3408,7.3953850110331585,83.5176,7.2216,0.25328194134647936,0,0,KMeans,1,50.0,KMeans,,,,
0,82.72,10.43370829714814,92.4,27.169999999999998,0.4675985721560544,0,0,Birch,1,10.0,Birch,,,,
0,53.47555555555555,9.937409591335193,89.38666666666667,18.631111111111114,0.41492538525669875,0,0,Birch,1,15.0,Birch,,,,
0,39.480000000000004,9.541719292615701,87.78,14.49,0.40115914567098726,0,0,Birch,1,20.0,Birch,,,,
0,31.283199999999997,8.628907729084641,86.2368,11.814400000000001,0.35810333916002696,0,0,Birch,1,25.0,Birch,,,,
0,30.03550295857988,8.748219496902788,86.23224852071006,11.343195266272188,0.3561907714975311,0,0,Birch,1,26.0,Birch,,,,
0,25.90222222222222,8.24542152112423,85.31888888888889,10.264444444444445,0.3401830536587013,0,0,Birch,1,30.0,Birch,,,,
0,22.099591836734692,7.667625243480276,84.37224489795919,9.227755102040817,0.32709542852140167,0,0,Birch,1,35.0,Birch,,,,
0,19.27,7.395187805850649,83.89625,8.379375,0.31391220837383904,0,0,Birch,1,40.0,Birch,,,,
0,17.08246913580247,7.216511928820951,83.43604938271605,7.541728395061729,0.28983726069996496,0,0,Birch,1,45.0,Birch,,,,
0,15.3408,6.872722585194941,82.9464,7.14,0.27754004509406294,0,0,Birch,1,50.0,Birch,,,,
0,82.72,13.6121483569622,95.47999999999999,26.18,0.39627480238496837,0,0,GMM,1,,GMM,10.0,,,
0,53.47555555555555,10.179531881629124,89.6711111111111,18.133333333333333,0.4122313558905099,0,0,GMM,1,,GMM,15.0,,,
0,39.480000000000004,11.011020294586046,88.935,15.1725,0.39220896709320746,0,0,GMM,1,,GMM,20.0,,,
0,31.283199999999997,9.144035081404333,86.6112,12.8544,0.37411293669296397,0,0,GMM,1,,GMM,25.0,,,
0,30.03550295857988,10.099788535639615,87.31065088757396,11.862426035502958,0.35072353298458425,0,0,GMM,1,,GMM,26.0,,,
0,25.90222222222222,9.881925292184745,86.73111111111112,10.85,0.3256587564939279,0,0,GMM,1,,GMM,30.0,,,
0,22.099591836734692,8.950701495277702,85.54775510204082,9.639183673469388,0.29579481329068047,0,0,GMM,1,,GMM,35.0,,,
0,19.27,8.928832019843227,85.28,8.891875,0.29019508709717357,0,0,GMM,1,,GMM,40.0,,,
0,17.08246913580247,8.010881169155986,84.34469135802469,8.064197530864199,0.28455189777367856,0,0,GMM,1,,GMM,45.0,,,
