,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
0,RF,1,0.56,1.0,1,,,,,,
1,RF,2,0.62,1.096774193548387,1,,,,,,
2,RF,3,0.6466666666666666,1.175257731958763,1,,,,,,
3,RF,4,0.6666666666666666,1.26,1,,,,,,
4,RF,5,0.69,1.3864734299516908,1,,,,,,
5,RF,6,0.7233333333333334,1.599078341013825,1,,,,,,
6,RF,7,0.74,1.7207207207207207,1,,,,,,
7,RF,8,0.75,1.8044444444444445,1,,,,,,
8,RF,9,0.7733333333333333,2.021551724137931,1,,,,,,
9,RF,10,0.78,2.08974358974359,1,,,,,,
10,KMeans,1,0.5633333333333334,1.0,1,10.0,KMeans,,,,
11,KMeans,2,0.61,1.0765027322404372,1,10.0,KMeans,,,,
12,KMeans,3,0.6366666666666667,1.1570680628272252,1,10.0,KMeans,,,,
13,KMeans,4,0.6566666666666666,1.2436548223350254,1,10.0,KMeans,,,,
14,KMeans,5,0.6766666666666666,1.354679802955665,1,10.0,KMeans,,,,
15,KMeans,6,0.7166666666666667,1.613953488372093,1,10.0,KMeans,,,,
16,KMeans,7,0.7366666666666667,1.760180995475113,1,10.0,KMeans,,,,
17,KMeans,8,0.7533333333333333,1.8982300884955752,1,10.0,KMeans,,,,
18,KMeans,9,0.77,2.051948051948052,1,10.0,KMeans,,,,
19,KMeans,10,0.7933333333333333,2.2857142857142856,1,10.0,KMeans,,,,
20,KMeans,1,0.5866666666666667,1.0,1,15.0,KMeans,,,,
21,KMeans,2,0.6266666666666667,1.0638297872340425,1,15.0,KMeans,,,,
22,KMeans,3,0.6633333333333333,1.170854271356784,1,15.0,KMeans,,,,
23,KMeans,4,0.6866666666666666,1.266990291262136,1,15.0,KMeans,,,,
24,KMeans,5,0.7266666666666667,1.4724770642201834,1,15.0,KMeans,,,,
25,KMeans,6,0.7466666666666667,1.59375,1,15.0,KMeans,,,,
26,KMeans,7,0.77,1.7575757575757576,1,15.0,KMeans,,,,
27,KMeans,8,0.7866666666666666,1.8898305084745763,1,15.0,KMeans,,,,
28,KMeans,9,0.81,2.094650205761317,1,15.0,KMeans,,,,
29,KMeans,10,0.8466666666666667,2.437007874015748,1,15.0,KMeans,,,,
30,KMeans,1,0.5966666666666667,1.0,1,20.0,KMeans,,,,
31,KMeans,2,0.62,1.0376344086021505,1,20.0,KMeans,,,,
32,KMeans,3,0.6533333333333333,1.1377551020408163,1,20.0,KMeans,,,,
33,KMeans,4,0.6766666666666666,1.2364532019704433,1,20.0,KMeans,,,,
34,KMeans,5,0.72,1.462962962962963,1,20.0,KMeans,,,,
35,KMeans,6,0.7433333333333333,1.6053811659192825,1,20.0,KMeans,,,,
