,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
0,RF,1,0.11333333333333333,1.0,1,,,,,,
1,RF,2,0.15666666666666668,1.2765957446808511,1,,,,,,
2,RF,3,0.24333333333333335,1.8904109589041096,1,,,,,,
3,RF,4,0.27666666666666667,2.144578313253012,1,,,,,,
4,RF,5,0.32666666666666666,2.5816326530612246,1,,,,,,
5,RF,6,0.36,2.8981481481481484,1,,,,,,
6,RF,7,0.39666666666666667,3.277310924369748,1,,,,,,
7,RF,8,0.42333333333333334,3.574803149606299,1,,,,,,
8,RF,9,0.44666666666666666,3.8582089552238807,1,,,,,,
9,RF,10,0.48,4.284722222222222,1,,,,,,
10,KMeans,1,0.1,1.0,1,10.0,KMeans,,,,
11,KMeans,2,0.15333333333333332,1.3478260869565217,1,10.0,KMeans,,,,
12,KMeans,3,0.23666666666666666,1.9295774647887325,1,10.0,KMeans,,,,
13,KMeans,4,0.2966666666666667,2.348314606741573,1,10.0,KMeans,,,,
14,KMeans,5,0.3333333333333333,2.64,1,10.0,KMeans,,,,
15,KMeans,6,0.38,3.0526315789473686,1,10.0,KMeans,,,,
16,KMeans,7,0.41,3.341463414634146,1,10.0,KMeans,,,,
17,KMeans,8,0.45666666666666667,3.8175182481751824,1,10.0,KMeans,,,,
18,KMeans,9,0.5133333333333333,4.3896103896103895,1,10.0,KMeans,,,,
19,KMeans,10,0.5366666666666666,4.633540372670807,1,10.0,KMeans,,,,
20,KMeans,1,0.11,1.0,1,15.0,KMeans,,,,
21,KMeans,2,0.16333333333333333,1.3265306122448979,1,15.0,KMeans,,,,
22,KMeans,3,0.24,1.8611111111111112,1,15.0,KMeans,,,,
23,KMeans,4,0.29333333333333333,2.25,1,15.0,KMeans,,,,
24,KMeans,5,0.33,2.5555555555555554,1,15.0,KMeans,,,,
25,KMeans,6,0.38,3.008771929824561,1,15.0,KMeans,,,,
26,KMeans,7,0.42333333333333334,3.4173228346456694,1,15.0,KMeans,,,,
27,KMeans,8,0.48333333333333334,3.986206896551724,1,15.0,KMeans,,,,
28,KMeans,9,0.5266666666666666,4.39873417721519,1,15.0,KMeans,,,,
29,KMeans,10,0.58,4.913793103448276,1,15.0,KMeans,,,,
30,KMeans,1,0.10333333333333333,1.0,1,20.0,KMeans,,,,
31,KMeans,2,0.17333333333333334,1.4038461538461537,1,20.0,KMeans,,,,
32,KMeans,3,0.23,1.7971014492753623,1,20.0,KMeans,,,,
33,KMeans,4,0.28,2.1904761904761907,1,20.0,KMeans,,,,
34,KMeans,5,0.3333333333333333,2.64,1,20.0,KMeans,,,,
35,KMeans,6,0.38,3.0526315789473686,1,20.0,KMeans,,,,
