,#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,Method,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
0,0.0,0.0,0.0,0.0,0.0,0,0,RF,1,,,,,,
0,82.5,14.76190092554774,96.58,27.5,0.295627867805501,0,0,KMeans,1,10.0,KMeans,,,,
0,53.333333333333336,12.023766652844678,91.30666666666666,19.2,0.2535061395452225,0,0,KMeans,1,15.0,KMeans,,,,
0,39.375,11.84035821409207,89.775,17.115000000000002,0.25965791739326,0,0,KMeans,1,20.0,KMeans,,,,
0,31.2,10.574817367295028,87.94239999999999,13.4368,0.22929657680736143,0,0,KMeans,1,25.0,KMeans,,,,
0,29.955621301775146,10.369813846977772,87.55029585798817,13.779585798816568,0.24416628862690037,0,0,KMeans,1,26.0,KMeans,,,,
0,25.833333333333332,7.903695193506948,84.97444444444446,10.643333333333334,0.22903370485290692,0,0,KMeans,1,30.0,KMeans,,,,
0,22.040816326530614,8.227455110296429,84.72489795918368,10.256326530612245,0.20996545700021574,0,0,KMeans,1,35.0,KMeans,,,,
0,19.21875,7.573511202149247,84.10125000000001,10.429375,0.1979109913651281,0,0,KMeans,1,40.0,KMeans,,,,
0,17.037037037037038,7.585282441418186,83.84493827160495,9.404444444444444,0.17462778629244483,0,0,KMeans,1,45.0,KMeans,,,,
0,15.3,7.448770120174353,83.4972,9.159600000000001,0.1860318537516386,0,0,KMeans,1,50.0,KMeans,,,,
0,82.5,11.828709592924158,93.72,28.71,0.30851286975519254,0,0,Birch,1,10.0,Birch,,,,
0,53.333333333333336,10.79148926551166,90.16888888888889,20.053333333333335,0.27391346393787624,0,0,Birch,1,15.0,Birch,,,,
0,39.375,8.904706534390836,87.255,14.91,0.24911804386172864,0,0,Birch,1,20.0,Birch,,,,
0,31.2,8.49657726815429,86.0288,12.272,0.24070798859258738,0,0,Birch,1,25.0,Birch,,,,
0,29.955621301775146,8.376562159557507,85.79289940828403,11.782544378698223,0.24130678321493093,0,0,Birch,1,26.0,Birch,,,,
0,25.833333333333332,7.7993866465004285,84.83666666666666,10.746666666666666,0.23506696741405617,0,0,Birch,1,30.0,Birch,,,,
0,22.040816326530614,7.299506822541313,84.01959183673469,10.138775510204082,0.2103605092468037,0,0,Birch,1,35.0,Birch,,,,
0,19.21875,6.854327018838754,83.22999999999999,9.455625000000001,0.181046867085057,0,0,Birch,1,40.0,Birch,,,,
0,17.037037037037038,5.993930550384924,82.30024691358024,8.609382716049383,0.16843168465805541,0,0,Birch,1,45.0,Birch,,,,
0,15.3,5.692202834859875,81.8652,7.9764,0.16171385943734184,0,0,Birch,1,50.0,Birch,,,,
0,82.5,13.822304017925731,95.59,27.610000000000003,0.28617527625431116,0,0,GMM,1,,GMM,10.0,,,
0,53.333333333333336,12.46823969636265,91.59111111111112,19.555555555555554,0.25680074026323163,0,0,GMM,1,,GMM,15.0,,,
0,39.375,11.30605686193706,89.25,15.592500000000001,0.22679111489006884,0,0,GMM,1,,GMM,20.0,,,
0,31.2,10.461163401625706,87.8176,13.6032,0.23737252190773447,0,0,GMM,1,,GMM,25.0,,,
0,29.955621301775146,9.579608927739248,86.99112426035502,13.5,0.2480322105176717,0,0,GMM,1,,GMM,26.0,,,
0,25.833333333333332,7.954389715601558,85.00888888888888,11.573333333333332,0.19953427706021507,0,0,GMM,1,,GMM,30.0,,,
0,22.040816326530614,9.793116021830075,86.28244897959183,10.667755102040816,0.19667149614225174,0,0,GMM,1,,GMM,35.0,,,
0,19.21875,8.649927612159955,84.998125,10.173125,0.18508129703152779,0,0,GMM,1,,GMM,40.0,,,
0,17.037037037037038,7.8778442613110355,84.04938271604938,9.131851851851852,0.17861729473399549,0,0,GMM,1,,GMM,45.0,,,
0,15.3,7.76193131295294,84.0888,9.0168,0.1688065173358617,0,0,GMM,1,,GMM,50.0,,,
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH,1,,,,0.25,,
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH,1,,,,0.3,,
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH,1,,,,0.35,,
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH,1,,,,0.4,,
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.3,0.7
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.3,0.75
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.3,0.8
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.3,0.85
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.3,0.9
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.35,0.7
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.35,0.75
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.35,0.8
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.35,0.85
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.35,0.9
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.4,0.7
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.4,0.75
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.4,0.8
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.4,0.85
0,75.03448275862068,6.743367083120791,81.58620689655173,15.379310344827585,0.16523095870919574,7,0,SPH+CPI,1,,,,0.25,0.4,0.9
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.3,0.7
