,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
0,RF,1,0.30666666666666664,1.0,1,,,,,,
1,RF,2,0.4666666666666667,1.3428571428571427,1,,,,,,
2,RF,3,0.57,1.6432748538011697,1,,,,,,
3,RF,4,0.6366666666666667,1.8900523560209423,1,,,,,,
4,RF,5,0.7033333333333334,2.184834123222749,1,,,,,,
5,RF,6,0.7233333333333334,2.2903225806451615,1,,,,,,
6,RF,7,0.75,2.457777777777778,1,,,,,,
7,RF,8,0.7766666666666666,2.648068669527897,1,,,,,,
8,RF,9,0.79,2.7552742616033754,1,,,,,,
9,RF,10,0.8,2.845833333333333,1,,,,,,
10,KMeans,1,0.31333333333333335,1.0,1,10.0,KMeans,,,,
11,KMeans,2,0.47333333333333333,1.3380281690140845,1,10.0,KMeans,,,,
12,KMeans,3,0.58,1.6436781609195403,1,10.0,KMeans,,,,
13,KMeans,4,0.6466666666666666,1.8865979381443299,1,10.0,KMeans,,,,
14,KMeans,5,0.6933333333333334,2.0961538461538463,1,10.0,KMeans,,,,
15,KMeans,6,0.7233333333333334,2.2580645161290325,1,10.0,KMeans,,,,
16,KMeans,7,0.76,2.486842105263158,1,10.0,KMeans,,,,
17,KMeans,8,0.7766666666666666,2.6051502145922747,1,10.0,KMeans,,,,
18,KMeans,9,0.7966666666666666,2.7656903765690375,1,10.0,KMeans,,,,
19,KMeans,10,0.8066666666666666,2.855371900826446,1,10.0,KMeans,,,,
20,KMeans,1,0.32666666666666666,1.0,1,20.0,KMeans,,,,
21,KMeans,2,0.5066666666666667,1.355263157894737,1,20.0,KMeans,,,,
22,KMeans,3,0.5866666666666667,1.5795454545454546,1,20.0,KMeans,,,,
23,KMeans,4,0.66,1.8484848484848484,1,20.0,KMeans,,,,
24,KMeans,5,0.6933333333333334,2.0,1,20.0,KMeans,,,,
25,KMeans,6,0.74,2.2522522522522523,1,20.0,KMeans,,,,
26,KMeans,7,0.78,2.4957264957264957,1,20.0,KMeans,,,,
27,KMeans,8,0.7966666666666666,2.6108786610878663,1,20.0,KMeans,,,,
28,KMeans,9,0.8266666666666667,2.842741935483871,1,20.0,KMeans,,,,
29,KMeans,10,0.8533333333333334,3.06640625,1,20.0,KMeans,,,,
30,KMeans,1,0.38666666666666666,1.0,1,30.0,KMeans,,,,
31,KMeans,2,0.5366666666666666,1.279503105590062,1,30.0,KMeans,,,,
32,KMeans,3,0.6166666666666667,1.5027027027027027,1,30.0,KMeans,,,,
33,KMeans,4,0.6733333333333333,1.7128712871287128,1,30.0,KMeans,,,,
34,KMeans,5,0.7466666666666667,2.0357142857142856,1,30.0,KMeans,,,,
35,KMeans,6,0.79,2.2531645569620253,1,30.0,KMeans,,,,
36,KMeans,7,0.8033333333333333,2.33195020746888,1,30.0,KMeans,,,,
37,KMeans,8,0.8266666666666667,2.4919354838709675,1,30.0,KMeans,,,,
38,KMeans,9,0.85,2.6705882352941175,1,30.0,KMeans,,,,
39,KMeans,10,0.8666666666666667,2.8115384615384613,1,30.0,KMeans,,,,
40,KMeans,1,0.36,1.0,1,40.0,KMeans,,,,
41,KMeans,2,0.49666666666666665,1.2751677852348993,1,40.0,KMeans,,,,
42,KMeans,3,0.62,1.618279569892473,1,40.0,KMeans,,,,
