index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;group;level-0;level-1;freq;marker
6;0.6461456380124175;0.6733856047662232;0.5492984735808552;0.6105072554807962;0.3296074596058345;0.5251814928583909;;0.3230540518828983;0.47563418274056984;0.5743005980188217;;;1.3437573046478288;0.26731598961015063;;;;;0.5996724894358211;0.5746747618321132;0.08015098401252076;0.28925075758369034;;0.8369723406109424;0.589783864162325;0.16068765348924124;0.4113916919932318;0.30856036849930385;;0.9538633762092453;0.19751422160276155;1.7532005853581913;;0.6703023850218319;0.5273260706748915;1.7174330246759242;0.5047078706211106;1.0;0.37469928749384057;;0.4694860029092191;0.5802694529244157;0.1711200013456704;0.34341093518975213;0.6408452093243606;0.15209273750027316;0.5113370335441977;0.19375922591128614;;0.14943867873982056;;;0.8853293881788593;0.6137515261264297;0.3977102378617354;0.49302797483649696;0.4242214605616746;0.682388272008647;;;0.3954942055740298;0.21073523796441407;0.3906823374511564;0.8933473714168246;0.59213005204202;1.0996783274726405;0.10889680459166852;1.2959202713902536;1.3220339381735111;0.3219608685079573;0.7120946487243988;;0.6603091740956192;0.6901913541509679;0.29232947507111867;;;;;0.30486610446015344;0.0;1.0;;0.3920349370147788;0.5986723987505403;0.773157404232536;0.9601579577008887;;;0.2563477736775844;0.7113327452249038;1.5320946713138293;1.5079597335623958;;;1.1650666200508355;0.4306428497149503;0.5617817601646792;1.3531443728283905;2.486368196683479;56;mde-OM1-4;Engine;mde;40;
23;1.6663721367700155;0.8252660345397133;1.7754434434234319;0.4761465151928575;0.6022048538401955;0.8027415776193505;;;0.4341503632435489;0.37263549300815263;;0.675807018822928;;0.5731132182977349;1.402498116426551;;1.4919600451817454;;0.24499361291523597;;;0.3730621328062066;0.5490254387008798;1.6292438995771668;0.42280458419266526;0.35438329827625364;0.7906692095584653;0.41517748949970207;0.4707518560397962;1.6921816373606093;1.410978692003416;1.3860077582067827;;;0.3502151266609945;1.6653709483595747;;0.4308153115979323;0.6037570463325431;0.5328046910712635;0.4493928669901534;;;;0.6147781582507383;0.4392064963128496;0.49528922609621856;0.38166065333650884;;0.5001468629473304;;0.23547742747743303;0.4161179422777704;;2.5910648576027926;0.46182209851186257;0.19552731149255587;0.7654858213597475;0.4786085891598279;;0.29638838139988655;;0.4470739342113056;0.4769421633579105;0.4369684346193441;1.5580231755184295;0.5568005024746269;1.3158073145907991;1.511270441842772;;;1.328793281374477;0.30053297520110583;;;0.4196391786582488;1.5076031504690222;0.3935022862703941;0.36928484526608385;0.2139665888416564;0.2834388089480577;0.27058180128617654;;0.4438831454899153;;;0.5303232459941608;0.22522501029362213;0.6499575232893817;0.3130967936785174;0.46750159398440133;1.6473637901228284;1.5489846341127893;0.22340784364258828;;2.8073633388736874;0.6123158414050281;0.29723199993060795;1.892169347855516;2.4424858477468856;80;mde-OM3-13;Engine;mde;214;
11;0.08497759019521404;0.6964042739777481;0.0;;0.5083570030160112;0.47196540048929975;0.5576438857834214;0.0;0.7095704769526175;;0.4126126256068584;0.24361033341290605;1.3757379312799891;0.7494111304036386;1.5873062973662755;0.8553932665338585;0.45306012929261985;0.9534076555283004;0.3527279029441757;;0.6571578755445496;1.0;;0.29586703721586416;0.26027545438608185;0.634625956404353;;0.14701352022450265;0.19315172386721752;0.9489975732020424;0.27966001717629063;1.2214753959916926;0.684141627008265;0.38289046752688854;0.633361288050776;;0.3258073763543972;;0.6690070247192798;0.4079761792205571;0.11753249431525933;;0.8957035859458071;;0.6918353888925807;0.4994583301220758;;;0.7801536952469477;0.8473802461907723;;0.8517788300927175;0.546683977626642;;;0.008686763559362855;0.0;0.7994586045780567;0.7666941005048539;0.5814054662214753;;0.6810369851331809;0.7125725797898143;0.6860259106780312;0.8868633128790953;1.3873595971467927;0.6811739176420112;0.4794815223653369;2.0;;1.0;;;0.365328150732878;0.3068240771142192;;;0.0440115203822854;;;0.0;0.8127516145757601;;;0.3514195362172573;0.0;0.707188120416831;0.5319370184589408;0.828723114731752;0.5707130614835753;;1.6743935966168904;1.1697512300494042;0.0;0.0;1.3356173457257763;0.8194797551595351;0.8346904739277167;0.0;1.7077639984903399;48;hde-OM2-6;Engine;hde;12;
34;1.3842757383911792;0.5560130323010737;1.4579159149954415;0.4916492714367981;0.2853296191457108;0.4360847709563121;;0.2280865038425724;;0.3937921118244234;;;;0.6501757875148343;1.9139797289672127;;1.7155004016580437;;0.15643000735984725;;;0.7484102678901065;0.5327605434260421;1.3747054582462634;0.7224699410745936;0.033045855480366725;0.8023649137525888;0.4558281002451112;0.6413047446143444;1.3541748841161003;1.6037039646808569;;;0.7359869416916159;0.600016491746236;1.9356274465393988;;0.4311517855403491;0.7821170334695884;0.23900969355537693;0.9434487306876381;;;;0.638269284558661;0.3899331425784875;0.6675497683462823;0.623296423756151;;0.34525368361785463;;0.6213354923782912;0.4881515908408044;0.6935250378123818;2.746035314748254;0.22014876733638686;0.6231722194519195;0.6993144219908578;0.3348267405351651;1.1806808654034053;0.5494975558423255;;0.6490341150954434;0.5324384844169043;0.4070341734229338;1.5727384676990623;0.13325218590760357;1.602279687691631;1.692715756097379;;;1.4621407477486847;0.34806639173402376;;0.442353068747961;0.6900440561964695;1.6386819986308803;0.2362927495644209;0.318418401748839;0.5475865382892019;0.5796709210939605;0.10769773404077468;;0.463767275586788;1.4137750303943695;;0.38344908902416425;0.47858378111150374;0.0;0.6456900456259936;0.7705204602788369;1.0924612827149942;1.2953198406446074;0.6288362499649633;0.5301846741364273;2.7696729071432;0.3390556693115456;0.8325763875186498;1.265198037372215;2.523743174855105;46;mde-OM3-13;Engine;mde;214;
7;;0.5758885278336077;0.3461842946637985;;;0.28713066977505614;0.4500139792815426;0.5213433981342636;0.553826419914196;0.9449284632439086;;0.2061503034497448;;0.35284366708285275;1.0;0.5018633125355374;0.0;0.0;0.2669464627264672;0.7401961122787888;0.41369761643732716;;0.44145941400217015;0.010091528441609056;0.8583061978248485;0.588477663097136;;0.5551003148620217;;;0.7164137836094715;;0.5820444623738887;;0.03602987523773149;0.00203668102655232;0.9956798825182898;;0.34468705204340583;0.2376550197497341;0.4211103258678782;0.10246880793962675;0.6118002433511582;0.6368675547054677;0.4323481752915853;0.567756738910559;;0.426606115598865;0.5073049192544905;0.3870351844612523;0.44795364376534336;0.410529340967275;0.27652108089771615;;0.38619349156337884;1.0;0.4908938935091667;0.08430211849134515;0.3122411611111068;0.1556096584708653;0.3839432739724123;0.9440897920618766;;0.33146072670275395;0.152147662208775;0.47853739492998465;0.14826265868014593;0.2928126257585672;0.8349690045250929;;;0.35125790093484427;0.5577646726808927;0.7833677443637047;0.5647096199987798;;0.0858449662728257;0.39743300277280713;;;;0.13777811393613806;0.48485713977406303;;0.8059576938333054;0.49499805870349617;0.4739539259529466;0.02932537232182549;0.6101164754376702;0.11272496497811688;0.40316033481561714;0.44843805350015337;1.6163147128988284;;0.09784036011237617;1.6958007816260459;;0.4107185345810519;0.9163216382940178;;12;hde-OM1-3;Engine;hde;25;
0;1.5794959307489385;0.8498676034802832;1.6229639240817475;0.32766040084897663;0.6348651886687683;0.6662322266001048;;0.6037742851590244;0.624005881176821;0.8761421963254815;;0.508429612612438;;0.21867962783530476;1.5502416695151855;0.7041790402516788;;;;;0.43426181896512434;0.7327812210642567;;0.7681316965235847;0.5581863946815298;;0.48446754743627707;;0.5302410114418254;1.4287597916200692;1.77485633346206;;;0.19637029393001784;1.0;1.0;;1.0;0.6712380128025651;0.1941313379491083;0.7179922940940112;0.45013155321127507;1.325387906354766;;0.3308496463701021;0.40679769601489096;0.7654462142046977;0.6116551610388947;;;;0.3994388297336977;0.8948148952583522;0.39279968990651837;2.50570969063236;0.6357341030523221;0.7480223677873727;0.8204803098879275;0.9916775454871596;0.527339999919055;;0.4966572485206858;0.28302505059924365;0.8557012754821413;0.7529023901480326;1.2181853217531238;;2.0;1.8567012187238094;;;1.419285878952065;0.38754118884882205;0.624709835556021;0.5868651083030815;0.37221535009367795;1.498284704313545;0.39026700942831666;;0.4894946238181446;0.9279337827126812;0.35748300592283744;;0.7201604302626082;0.5216484885755778;;0.8788589438601174;0.47600001684671583;0.32757095451033935;0.4235795012944098;0.15888235534703393;1.8151929379340317;1.1876192505464358;0.13847017955107818;0.3791452627071558;2.0;0.30359519757008946;0.4432638149549092;1.6778186816538985;2.7865254134252426;59;mde-OM3-6;Engine;mde;25;
40;0.6258993271470089;0.5073597842270746;0.25111882859952034;0.6015973086095573;0.30130000822782266;0.3766258626400718;;0.7431639702301067;0.28259506927775135;0.5819865449719474;;;1.4632266748812395;0.7263465592087845;;0.9296403832445659;;;0.1777421412635243;0.7989830912999301;0.41072876588581636;0.10985893155581128;;0.19798216424185808;;0.2527959545489184;0.14356627858798948;0.08292304986011814;0.6077768929394972;0.35733331910882477;;1.0640351252006353;;0.4743381044537591;0.4012475591961896;1.3891295544462925;0.5326904590671315;0.5845184612998381;0.4833192984763134;;0.12738520290340527;0.6886301590137838;0.6754578754974502;1.0;0.6053805512434447;0.135991199515529;0.6371104374683074;0.595769705816021;;0.6488897108482866;;;;0.45370077474824355;0.5624242133175337;0.4411250549382861;0.14364924982190314;;;0.3166767170662913;0.4329393224926178;0.45046373488755;0.688873015856736;0.7154681470873913;0.5437988013424356;1.0442745437773553;0.6006957140653874;1.5692224651902063;1.488497319343443;0.15913765465880006;0.6746023567935561;1.3885212330184546;0.8342609977297216;0.6321165894851283;0.7381237011562326;;;;;0.7721825055974535;0.4216208925157862;;;0.34125816855146907;0.4091888641531081;0.11647464243246092;0.7040074531279022;0.4742580277163246;;0.6000734028888737;0.6523834135396382;1.5084307212340602;1.5961585751805782;;0.716751559952697;1.7654697240319734;0.12945366714393344;0.07709701497077677;;2.2652831760821233;56;mde-OM1-4;Engine;mde;40;
58;0.38568616084977364;0.4128439843895052;1.6848103148745521;0.24357204865585508;0.08092614494674115;0.5053173768627117;;0.6500788602289256;0.1438537715793686;0.3311993256651086;;0.27926910609330635;;0.814784558939099;1.4454870119561205;0.3625053739128992;0.7471815174523702;;0.0;;;0.6991002496908096;0.2422057385318842;0.5443607581458835;0.7545348704530113;0.29485246616981386;0.47335674765821123;;1.0;1.5925096868144912;1.3097525031411617;1.4322577329590733;;0.8988317963225325;0.9141927899203368;1.4173416631040263;;0.38427688368712004;;0.25951268924891335;0.41642606352712735;0.43438508520169816;1.197635750288243;;0.5932429718245527;0.2799173137061308;0.8711792864937583;0.3159593149912412;;0.39042443237037805;;0.5554754398674403;;0.5173023749690647;1.480690287890106;0.49560798498971;0.15910940195214876;0.0;0.6602497190671246;0.6694541311073811;0.6800066327279269;0.20386766202855752;0.5600218185456259;0.7090345282855526;0.42489749290375356;1.7434171996797359;0.7829944483767027;1.5837608553416807;1.2356599902751302;;;1.5063294434938128;0.17122975283581368;;0.3078586373195875;0.07539254781064625;1.107280265710776;0.13480381324436663;0.4037256884748532;0.0;0.1989048030249041;0.4019019381919558;;0.8030649167811109;0.4986421714623036;;0.48056048568185494;;0.25091039698055057;0.6406431118503912;0.6891050250268673;1.000165021440134;1.3984428376227513;0.5864162566618354;0.0;1.3002880134829287;0.1676829732363428;0.7985716478512253;1.3740517682573794;2.6984974211153148;44;mde-OM3-4;Engine;mde;45;
35;0.5934813663471035;0.7245965880949808;1.0;;;0.2371226909279893;;0.21507539836811274;0.42572529254618124;0.7029125598042995;0.712720191688862;0.06546900002684589;1.289295613317226;0.599173344456348;1.2052239362152943;0.6664195610116735;0.8112840857923537;0.2041080139305787;0.7204107466743922;0.8009261775426219;0.4410018990990264;0.8897478083536082;0.43505326505869446;0.1372668498250899;;0.3266396739759293;;0.7164794682273984;0.5632733799070038;;0.09176164494154132;;0.2730738449572739;;0.44209957858826066;0.763318428525741;;;;0.5091056159231642;0.3614544374885644;0.28608750634132685;0.7493293860799585;0.41784174498338644;0.4771804158134482;0.19817233884390054;0.6920349585012252;0.0662890003262476;;;0.36587299547152896;0.6534111135251528;0.4514377040914829;0.48385442362379233;;0.6667665369231022;0.43232445236903433;;;0.5712417539212472;0.40880385251673107;0.5896980869641637;0.4953843695402187;0.9239778730626901;0.4310105930608773;;0.5942344651068915;1.8675061200049636;1.8698270401572092;;0.0;0.4351785283922889;0.3757245574999978;0.5660777288619193;0.5930283606446822;1.0;;0.3801486574327996;;;0.4825332489588997;0.407004908257869;;;0.46378353333168437;0.9188371332100124;0.8475691851771008;;0.6830455022949516;0.8096005521931421;0.2652793188399135;1.1176365879110384;1.4883723381060368;;0.6899085917521203;;0.3128664907240534;0.5399446482699057;1.588486019348548;1.6118092113060105;49;hde-OM3-3;Engine;hde;31;
30;1.3055677611700205;0.7386745080373484;2.0;0.2874650881690491;0.6806236414459478;0.7756034246026701;;0.3541719776545578;0.49054342933320083;0.36879503454713297;;0.5609176197099176;;0.7521644930038414;1.8572944118171606;;;;0.9668807473892629;;0.0;;1.0;0.7109248846416737;0.36599510650935674;0.5714659169308001;;0.39177837814928873;0.7110066445808282;;;1.331306569246757;;0.47253385669280906;0.6918393377580052;;;0.3371435610508237;0.7111551369134874;0.5044863497295385;0.21938066682748608;0.5686333418838272;1.7454532842511536;;0.889804069548097;0.4149245503198474;0.43989652532345486;0.1275435578863545;;0.3413882354154783;;0.26719777322208016;0.818436437334048;0.6395534636630322;1.2826451570076995;0.5428279777711189;0.27727225732971905;0.5823483805961097;0.6786625975996919;;0.7085868535834827;0.3469638752161975;0.6806659269696265;0.7636895678512414;0.4158847264460999;1.3894307847681395;0.39494035088908114;1.7505331191117086;1.3465599105423502;;;1.8683626894516427;0.6065419719909821;;0.7367331140892552;;1.3586027398296883;0.7056831391993863;0.6978779497894536;0.3773796267250021;0.6609308561730272;0.26178077147533474;;0.2871119626207496;0.1934619120584373;;0.5602066368855965;0.46531541328784465;0.32689869467795923;0.3943200415517754;0.20422538721130232;1.6614795806187275;1.452755017174957;0.466793388488531;0.3172791906955035;1.5987543749802822;0.24219549524255227;;1.6023840163618233;2.446361019212146;48;mde-OM3-5;Engine;mde;27;
