;min #n classes+groups;max #n classes+groups;min #n groups;max #n groups;avg #n groups;avg #c groups;min #c groups;max #c groups;Class entropy (C);Imbalance Degree (C);Density (C);Fishers DR (C);Class Overlap (C);Sum Error LP (C);NL LC (C);Border Points (C);Inter/Intra Class Dist (C);NN Error (C);Hyperspheres (C);Class entropy (G);Imbalance Degree (G);Density (G);Fishers DR (G);Class Overlap (G);Sum Error LP (G);NL LC (G);Border Points (G);Inter/Intra Class Dist (G);NN Error (G);Hyperspheres (G);CHI;INT;PB;SIL;VDB;Dunn Index;Gini (C);Gini (G);Acc (X);Acc (G);Acc (G - X);n;c;gs;group_imbalance;cls_imbalance;n_features;avg #n classes+groups
16,633333333333333;1;67;2;387;36,96296296296296;2,2222222222222223;1;10;0,9011267178369096;0,0579079655329523;0,9999396988560872;0.14204533671601546;0,18982643379718675;0,052048797620387034;0,08818661799772662;0,7244488977955912;0.5115085530642399;0,5811623246492986;0,0625;0,954434002924965;0,11764705882352945;1,0;0,14184226702800048;4,084654404066968e-11;0,0;0,0;0,4166666666666667;0,4808951504611483;0,125;0,05263157894736842;2,8888749981898165;2,078360762726577;0,03974341778411127;-0,06777940161672343;8,719322407150154;0,0;0,3671342685370742;0,0;0,37666666666666665;0,5866666666666667;0,21;1000;10;0,0;very_imbalanced;very_balanced;50;
16,633333333333333;1;78;2;387;36,96296296296296;2,2222222222222223;1;10;0,8896641554267966;0,06434397580671569;0,9999417088942176;0.13574956139275346;0,1985402532745204;0,051086882851404614;0,0811876279561251;0,7094188376753507;0.5108769752817761;0,5581162324649298;0,011363636363636357;1,0;0,0;1,0;0,1247907851890496;6,21196574673087e-11;0,0;0,0;0,3333333333333333;0,4790368668166494;0,16666666666666666;0,04999999999999999;3,0049859992935737;2,091886171817476;0,039095841888723226;-0,05984689606015544;8,49808440082278;0,0;0,3917835671342685;0,0;0,36;0,62;0,26;1000;10;0,0;very_imbalanced;balanced;50;
16,633333333333333;1;115;2;387;36,96296296296296;2,2222222222222223;1;10;0,8614103646651192;0,08093851106234229;0,9999376888179567;0.1335144325238071;0,19344071671060345;0,045519623473900934;0,07799208725877348;0,6983967935871743;0.5103068573802185;0,5310621242484971;0,03846153846153845;0,99498482818597;0,01379310344827578;1,0;0,11792399186680536;3,1707873545227363e-11;0,0;0,0;0,375;0,4779615728411059;0,16666666666666666;0,14285714285714285;2,9646897039157425;2,104623285240522;0,024666242833826804;-0,05511670967961831;8,634361086270868;0,0;0,4358717434869739;0,0;0,38333333333333336;0,6533333333333333;0,27;1000;10;0,0;very_imbalanced;medium;50;
0,0;1;302;2;387;36,96296296296296;2,2222222222222223;1;10;0,6983927098176482;0,17402243736931305;0,999871357559653;0.11320562063437024;0,14068153853248008;0,025517221916881213;0,037087063373338655;0,6202404809619239;0.5018312126086556;0,4288577154308617;0,015151515151515143;0,5435644431995964;0,72;1,0;0,09105514077997476;2,397854269705349e-26;0,0;0,0;0,2083333333333333;0,4630949898086529;0,125;0,04347826086956521;2,811247283260861;2,347126248724652;-0,10089999215240904;-0,02693555945944144;7,297443762258219;0,0;0,6148296593186372;0,0;0,5333333333333333;0,8166666666666667;0,2833333333333333;1000;10;0,0;very_imbalanced;imbalanced;50;16,633333333333333
0,0;1;368;2;387;36,96296296296296;2,2222222222222223;1;10;0,6036509520211727;0,2404843686819225;0,9997969861488272;0.13936716423931095;0,14433224889095408;0,014246390851700924;0,027200584800489726;0,5490981963927856;0.49538453678368677;0,3727454909819639;0,011235955056179768;0,4138168503036338;0,819672131147541;1,0;0,07075789551793743;7,849455680739673e-41;0,0;0,0;0,16666666666666666;0,4476836419472854;0,08333333333333333;0,041666666666666664;3,303574553636332;2,5326002062599766;-0,17817859397908234;-0,016176335210801734;6,651126298738697;0,0;0,6811623246492986;0,0;0,68;0,9266666666666666;0,2466666666666666;1000;10;0,0;very_imbalanced;very_imbalanced;50;16,633333333333333
0,0;1;67;2;387;36,96296296296296;2,2222222222222223;1;10;0,9011267178369096;0,0579079655329523;0,994520636056466;0.08752046428690387;0,0012039105590800304;0,012439691811030685;0,05487624685298638;0,5340681362725451;0.49672936594843836;0,3867735470941884;0,01851851851851851;0,954434002924965;0,11764705882352945;1,0;0,1418422670280004;4,084654404066972e-11;0,0;0,0;0,4166666666666667;0,4808951504611483;0,125;0,05263157894736842;65,13377329645441;3,4882973266342607;-0,1276713174881027;-0,08100093159888767;8,912074044279459;2,3654082449179293e-06;0,3671342685370742;0,0;0,5266666666666666;0,5733333333333334;0,046666666666666745;1000;10;0,25;very_imbalanced;very_balanced;50;16,633333333333333
0,0;1;78;2;387;36,96296296296296;2,2222222222222223;1;10;0,8896641554267966;0,06434397580671569;0,9937769219482092;0.08332025004352966;0,0017081865408510467;0,012331259081702264;0,05795991587569178;0,5541082164328658;0.49581312502651165;0,3697394789579158;0,009615384615384607;1,0;0,0;1,0;0,12479078518904968;6,211965746730869e-11;0,0;0,0;0,3333333333333333;0,4790368668166494;0,16666666666666666;0,04999999999999999;53,60059228507946;3,4153937004484924;-0,0943713284248538;-0,10306142318255916;8,781670915358253;2,225669668412064e-06;0,3917835671342685;0,0;0,5433333333333333;0,5866666666666667;0,043333333333333335;1000;10;0,25;very_imbalanced;balanced;50;16,633333333333333
0,0;1;115;2;387;36,96296296296296;2,2222222222222223;1;10;0,8614103646651192;0,08093851106234229;0,991714622826395;0.08141628587480897;0,0015160499315223187;0,01312897722502492;0,052947066223602436;0,5180360721442886;0.4945308664635561;0,3456913827655311;0,009900990099009892;0,99498482818597;0,01379310344827578;1,0;0,11792399186680548;3,170787354522745e-11;0,0;0,0;0,375;0,4779615728411059;0,16666666666666666;0,14285714285714285;44,29557692384938;3,3164971006790687;-0,08066183217846798;-0,097487331826639;7,418593487721589;2,09544321320464e-06;0,4358717434869739;0,0;0,57;0,5933333333333334;0,023333333333333428;1000;10;0,25;very_imbalanced;medium;50;16,633333333333333
0,0;1;302;2;387;36,96296296296296;2,2222222222222223;1;10;0,6983927098176482;0,17402243736931305;0,9760966265530056;0.07748094137517514;5,8350794357061996e-05;0,0067081296370548466;0,020662298701908784;0,3306613226452906;0.47866184335065065;0,19839679358717435;0,015151515151515143;0,5435644431995964;0,72;1,0;0,0910551407799745;2,39785426970539e-26;0,0;0,0;0,2083333333333333;0,4630949898086529;0,125;0,04347826086956521;69,09396600616834;3,540820818390712;-0,2827035707338505;0,01697503676037732;5,01165022947284;8,608722922940561e-07;0,6148296593186372;0,0;0,7566666666666667;0,8066666666666666;0,04999999999999993;1000;10;0,25;very_imbalanced;imbalanced;50;16,633333333333333
0,0;1;368;2;387;36,96296296296296;2,2222222222222223;1;10;0,6036509520211727;0,2404843686819225;0,9626374112316912;0.09470288367004917;1,2344644477837648e-05;0,002107713540981957;0,007359199604278564;0,2374749498997996;0.4591836971755173;0,13827655310621242;0,006060606060606056;0,4138168503036338;0,819672131147541;1,0;0,07075789551793732;7,849455680740912e-41;0,0;0,0;0,16666666666666666;0,4476836419472854;0,08333333333333333;0,041666666666666664;97,50493826005665;3,8379699489903913;-0,3940151779863656;0,05792860932713712;5,397972741568148;8,319251228994087e-07;0,6811623246492986;0,0;0,86;0,92;0,06000000000000005;1000;10;0,25;very_imbalanced;very_imbalanced;50;16,633333333333333
