;avg #n classes+groups;min #n classes+groups;max #n classes+groups;avg #n groups;min #n groups;max #n groups;avg #c groups;min #c groups;max #c groups;Fishers DR (C);Fishers DRv (C);Class Overlap (C);Border Points (C);Inter/Intra Class Dist (C);NN Error (C);Fishers DR (G);Fishers DRv (G);Class Overlap (G);Border Points (G);Inter/Intra Class Dist (G);NN Error (G);Acc (X);Acc (G);Acc (G - X);n;c;gs;features_remove_percent;n_group_features;group_imbalance;cls_imbalance;n_features
0;15,873015873015873;8;30;34,48275862068966;21;64;2,1724137931034484;2;3;0,9805646106142416;0,2030476411137446;0,5705132682157951;0,8059999999999999;;0,613;0,942643436036436;0,0816085360892005;9,61328876218438e-10;0,5161290322580645;0,4882119779927323;0,3870967741935484;0,26;0,7166666666666667;0,4566666666666666;1000;10;0,0;0,0;1;very_balanced;very_balanced;50
0;15,873015873015873;10;29;34,48275862068966;21;64;2,1724137931034484;2;3;0,9805301793319952;0,2024144185635596;0,5578888578815825;0,8079999999999999;;0,626;0,942853792702014;0,0898787509833088;1,7029899941292175e-09;0,4838709677419355;0,4928144153517608;0,3870967741935484;0,28;0,6533333333333333;0,3733333333333333;1000;10;0,0;0,0;1;very_balanced;balanced;50
0;15,873015873015873;6;33;34,48275862068966;21;64;2,1724137931034484;2;3;0,9796489635724906;0,1965329056646911;0,508288524502979;0,828;;0,644;0,9413968103725112;0,0856547486367513;1,0883488599395763e-10;0,4193548387096774;0,4876790187240374;0,3225806451612903;0,2733333333333333;0,69;0,4166666666666666;1000;10;0,0;0,0;1;very_balanced;medium;50
0;15,873015873015873;2;51;34,48275862068966;21;64;2,1724137931034484;2;3;0,9783977528452218;0,1684778974315499;0,4177146240007848;0,757;;0,588;0,9750591417793116;0,100015134176434;1,7115984176805678e-19;0,2580645161290322;0,4767915437411427;0,1935483870967742;0,31;0,85;0,54;1000;10;0,0;0,0;1;very_balanced;imbalanced;50
0;15,873015873015873;2;60;34,48275862068966;21;64;2,1724137931034484;2;3;0,9772720424542852;0,1473535630641857;0,45186223276143;0,7340000000000001;;0,5579999999999999;0,972352165253326;0,0291700931508162;0,0;0,1612903225806451;0,4666733632943549;0,0967741935483871;0,34;0,9333333333333332;0,5933333333333333;1000;10;0,0;0,0;1;very_balanced;very_imbalanced;50
0;16,393442622950822;6;40;34,48275862068966;12;91;2,103448275862069;2;3;0,9785729174231612;0,2019211457784861;0,4828723169570413;0,799;;0,61;0,9501884917022086;0,0318963534789896;4,632538367824845e-09;0,3076923076923077;0,4739112660684317;0,1794871794871795;0,33;0,6566666666666666;0,3266666666666666;1000;10;0,0;0,0;1;balanced;very_balanced;50
0;16,393442622950822;6;36;34,48275862068966;12;91;2,103448275862069;2;3;0,9787399589167336;0,2115457052403943;0,5290541569787789;0,8109999999999999;;0,617;0,9544797802537828;0,0310921425500781;6,019087421992425e-09;0,4102564102564102;0,4799902979198365;0,2307692307692307;0,2933333333333333;0,6466666666666666;0,3533333333333333;1000;10;0,0;0,0;1;balanced;balanced;50
0;16,393442622950822;5;45;34,48275862068966;12;91;2,103448275862069;2;3;0,9785211235323352;0,2110833539002503;0,5612696504169344;0,795;;0,62;0,9577983454965442;0,0266927548475597;6,3010352523346785e-09;0,35897435897435903;0,4785546998646967;0,2051282051282051;0,28;0,6466666666666666;0,3666666666666666;1000;10;0,0;0,0;1;balanced;medium;50
0;16,393442622950822;2;74;34,48275862068966;12;91;2,103448275862069;2;3;0,9767250983483298;0,1683939253106586;0,3863002526666257;0,775;;0,588;0,9622378561323988;0,0164636745973464;1,4839280573965438e-21;0,1538461538461538;0,4554395672080626;0,0769230769230769;0,3366666666666666;0,8566666666666667;0,52;1000;10;0,0;0,0;1;balanced;imbalanced;50
0;16,393442622950822;2;87;34,48275862068966;12;91;2,103448275862069;2;3;0,975034370646807;0,1523359291573073;0,4503206855420247;0,755;;0,55;0,9626969060695342;0,0029181470754533;7,824499896795799e-38;0,1025641025641025;0,4389672344186003;0,0512820512820512;0,3366666666666666;0,9233333333333332;0,5866666666666667;1000;10;0,0;0,0;1;balanced;very_imbalanced;50
