index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;group;level-0;level-1;freq;marker
9;0.4524997665503194;1.5441899205413314;1.8844793674649987;;1.4109656062045888;0.811699001176321;0.33712156844865326;0.5176435654801465;0.7856225240468785;1.5403923498906629;;0.809135991491745;0.3109679397835349;0.5204444068404214;0.24843729063016676;1.8175657559873062;;;0.6299432949642242;;1.0;0.2976717687313217;0.5620865017234893;0.5721880752210508;0.876713235634182;0.5592486283628529;0.7522774848536194;0.3049595325448238;;0.1955387271264721;0.4598050505943075;0.8327488547482338;1.752697356766272;0.40408902161977145;0.5709650488931627;;;0.5977489391219908;0.5310655121756359;0.08444157335752729;;0.6590710546203736;;;0.5392295568379379;0.6973323054182483;;0.521225996848243;0.7826534159903159;0.37326738381306185;0.6220658849305496;0.31859447938142443;0.296691925075542;0.4446693672167223;;0.9175258866653796;0.3360018259992119;0.794713217302056;1.2986838033687655;0.2316117348342536;;0.4190157138177404;;0.14526248771826777;;1.6408683700849505;0.5683114088185933;1.8095388158684549;;0.3917431141089913;1.0;0.7801729971405382;1.2033823141919033;1.7702816506973678;;1.5343364916377975;1.6308210666778646;1.2437756619035687;;;0.3794188404957023;0.29878700496184724;0.4698042920392992;0.5865894897529189;;0.2505539930584837;;0.6125048165860143;0.22384771883834426;2.0;1.4663929062795131;0.9057673389238114;0.29275675405774204;0.5204116312211896;;0.11158757440055976;0.5311842630546401;0.5645204143273025;;0.02348959087853744;48;mde-OM3-5;Engine;mde;25;
2;;1.582348952343755;1.0378999700371285;0.6904689895532634;1.6858059363311568;0.23611445505410752;0.16271248474816327;0.224919284090334;;0.27448620841981997;0.5996891704411544;;0.38265179827597495;0.7745711525023811;0.4385256244754519;1.3587128398342556;0.2954846489144112;0.4348517385520541;0.0;0.1884458751856654;0.851921364315497;0.4410663580790877;0.2554220889645005;0.15194276529093734;0.46144307128828327;0.7094094391138194;0.3684118369172931;0.7248259027378258;0.67719546159817;0.7154297460442701;0.2244400381988877;;;0.5695043346171943;;0.5733078315481362;1.4485741058562336;;0.6866991455054213;0.0;0.5515559299021667;1.0;0.7834189758363389;;;;;0.7411162119503509;0.16007276217252248;0.0;;0.5015185555309666;0.7469828419097224;0.5418550062540259;0.470146879083211;0.4143969430786912;0.8537712434952109;0.7181897088513942;;0.3876475086984256;;0.5016260667989343;0.8524864628870275;;0.3877990181489434;1.453979194324213;;1.7167729676299783;1.0606976143509201;0.6746624056030229;0.15416189731542335;0.5057489988694974;;0.2309808432220551;0.6823667322544846;;1.9182697253458172;0.5663547718331416;;0.7782338433254814;0.15951005381576108;;0.5702754846838847;;0.45872199180840945;0.4798194610637126;0.755651661672328;0.10322097165052108;;;0.564293737257084;0.9884369820261032;0.09881575702364447;0.3151283214130334;0.20494565605425052;;;0.5482528766778421;0.3211303138340316;0.6188493174436871;44;hde-OM3-3;Engine;hde;33;
9;0.8676083230681977;1.2175455688425572;1.8775294084215148;1.211867966439151;1.4361359293450544;0.9035970220306655;0.3188733255490072;0.622404484082002;0.424455846953954;1.4341066602335464;;0.5694038026084982;0.556250556861286;0.289021258222451;0.39545149930177753;1.7837662739155347;;;;1.4157357208412624;0.7942007871278778;0.49484541076336575;;;0.5713188116286203;0.4818554510139454;0.6404715560378104;0.578313376425251;;0.49971567333121486;0.3313305413031721;0.3754752009330205;1.6778903854828728;0.41500783794160495;0.4609594772690615;0.44960204256566094;;1.5536833707887066;0.7301186263139225;0.8201547353873723;;0.9303287136943925;;;0.8283720367209435;;0.458155141945556;0.7626906337473487;;;0.05773232385707876;;0.3628074708023545;0.2389030657204703;1.5481608357785794;0.8012684681374341;0.6323738645937627;1.473123676017522;1.3908148906555287;0.5249422088745042;;;;0.1752465093761694;1.401362463525648;1.5257179494404784;0.6957480773629061;;;0.567580251811662;0.18549434962047273;0.4520048939408628;;1.2609110757004238;1.6821511459506346;1.5041151275403306;1.42616983665746;1.646451187684859;0.2047463129983647;;0.4670202411352516;0.5096404639450074;0.4027728343506742;1.0;;1.220274123202828;;0.7295599692528144;2.8265449709005024;1.5845656375427977;1.0990065349084808;0.6126009735922949;0.17135124781072944;0.5144222706249469;;0.63693309698097;0.5217355678748857;0.6094756082768923;;0.6916340164648299;60;mde-OM3-13;Engine;mde;215;
31;0.5308307977170095;1.6774906116262662;1.5438272826291168;;1.1222589683883712;0.2811534499920248;;0.9671941558520064;;1.9081274753424746;;;0.49772946076865215;;;1.431610094123565;0.4089196013008079;;0.022156109962027284;1.383709241022192;0.8603380672072988;0.6451550261906355;0.0;0.0;0.5763019948227026;0.8568473832747443;0.2974005495884549;0.5063509811833337;;0.6259155800077976;0.23107290956165555;0.11100831912808627;1.6205132800812359;0.1694495182990049;;0.531412014076069;;0.237051996087167;0.7472882419429754;0.44308510965359715;;0.6284290726712352;;1.0;;0.18112537677373958;0.6361386584897847;0.338792579229787;0.41568319157573214;0.3408155020550863;;;0.09188518082870561;0.766177606782661;1.8660457213193617;0.4483440959903352;0.7354967146426162;0.8429575919924518;1.555719445056487;0.10932067238672838;;0.8799705764596156;;0.5793633739584749;1.4195328428239353;1.1401694077731204;0.7448734185190505;1.9642884466094666;;0.828678706784641;0.4065107041215514;0.4695728923292118;1.2800275872283642;1.4512238332690508;1.6443164711948033;1.758518608013649;1.1154491190384934;1.1985320485093047;0.6761055414916998;;0.3232130012389335;;1.0;0.10334082008717387;;0.42032783201235524;;0.42483446600138225;0.6795790536879285;1.7182512326337949;1.4675491670765581;0.1700536118879598;0.06821486019247003;0.0;;0.6047152175138892;0.43229496924805405;0.740683508124647;;0.46065691534278275;54;mde-OM3-6;Engine;mde;27;
24;0.614576720188773;1.4752718680224295;1.3534629862908034;1.3836079652621598;1.3441698851551038;0.6037755963621011;0.5968642879259908;0.6163808239109809;0.6776434085656612;;;;0.24097508268807763;0.4904174982738768;0.2209706517450981;1.7434012818141031;;;0.7097130046301022;1.6504740570568477;0.5054153757343537;0.4247273796887734;;;0.4706670747448085;0.41418832660565963;0.2355713718138556;0.38102744020710655;;0.39646649755388697;0.4521432452509525;0.46704157254585466;1.4834372747549893;0.496887253094364;0.37375271765022583;0.2726110779113138;;1.2824744528715666;0.5578772705588683;0.6398714776039861;;0.42988539866771197;;0.513009893213358;0.3728390299097854;;0.5965443894360952;0.5046722990327371;;1.2585236591760531;0.42398869424116614;;0.2732249095266974;;1.4418634651554225;;0.43803605355082165;1.2481859266641406;1.1781493125947127;0.3231421085980131;;0.4494929749088;;0.5316659197299733;1.267696899056533;1.4144950486132113;0.48901964879590143;1.4450572315578807;;0.41501213587474595;0.6700068097932611;0.5261239271767358;;1.2781706136419588;1.3980160606462708;1.334592767001094;;1.2178515422835292;0.6241930585661346;;0.6819238862543014;0.6431703062122761;;0.5955243019252443;;1.5580323338876867;;0.3229553299904621;2.3592591539342633;1.5487703584663748;;0.4452364361451837;0.5006903985409542;0.6393903587261264;;0.12430077077042513;0.47084228153115465;0.41351550356914424;;0.6630911456056271;49;mde-OM3-13;Engine;mde;215;
93;0.6706028601765762;1.5506429514084679;1.1180579422394437;1.475048890567281;1.8359728837061278;0.40100939601596614;0.7849410618195701;0.6446356897022392;0.7615853902247409;1.4658645307243663;;0.5825643512728013;0.5178981984455839;0.42915659198339967;0.7919225538904925;1.3743895600589833;;;0.49665074305325857;1.6201664902001331;0.44536383059796214;0.5518377250845584;;;0.3522321255775898;0.3841062856073448;0.6351998669026601;0.6791859032201684;;0.3211444260685496;0.445398334569987;0.25095752917275777;1.4959474057422963;0.6471390661860988;0.6996190252316319;0.22136491696029512;;1.229519780196801;0.30217776283088277;0.49484798878017455;;0.2852748312927361;;0.3494702637144516;0.4106249331046485;;0.6415449663907301;0.6527139275884697;;1.4225151440490367;;0.5207650828843386;0.3343919013285142;0.5253646071954591;1.4926443224751293;0.8428770669301422;0.7816686661847595;1.1115997491242822;1.3996738717398627;0.6642814189201715;;0.5680292858375228;;0.6621693508838264;1.469198655124679;1.585256755899944;1.0;2.0;;0.2626492960518081;0.309175975617591;0.6188684471794151;;1.6771231083096532;1.6301737054509886;1.548342382866131;1.3820164303041973;1.462506303646267;1.0;;0.6591491324977227;0.6132782148614794;0.36603761228720644;0.7258510175655385;;1.5879653756864411;;0.3456583449090955;2.424950642399057;1.2628054019619803;;0.5193766250534609;0.4773698445423005;0.4007079902420337;;0.5919857666046459;0.6670598044740926;0.3713868834680063;;0.5363895564198115;48;mde-OM3-13;Engine;mde;215;
14;0.3947730224497599;1.0682629257114984;1.7851503405108973;0.5408576562594779;1.2357637687032803;0.169924600093416;0.6104194136596335;0.4425197073579972;0.847169551360788;1.5395868463374873;;0.34974322034204736;0.08398600589875266;0.3851156927632129;0.4170813481286675;;;;0.6084806347037597;1.3788041906127178;0.5096227022362125;0.29669152789852954;0.3406933220152731;0.3166364540395647;0.3619256012437375;0.8285898600557099;0.10802082140792181;;;0.822872057579817;0.0;0.8320465287793326;1.5796704328092406;0.9521119149909202;0.41801976267589885;;;0.4789667041744781;1.0;0.2561731824891516;;0.3171603094902463;;0.2553945351126073;0.7272836469828481;0.6896012711466079;;0.4520551029341021;0.003576307992465307;0.35341180911145287;0.33720147584443827;0.8326457742940719;0.8017567156467471;0.47018526194269555;;0.5651780784670484;0.156776812769663;0.5558346527133369;1.913870677326507;0.7740240812364454;;0.9419244129199101;;0.3938551127082511;1.7799035548513014;1.3267199324053571;0.3252452219550565;1.0;;;;0.3712657167231243;1.8448131355913882;1.1488139826951633;;1.1556964541295158;1.6065677444796784;1.5885089017050282;;;0.4102911406227606;0.28822696315819724;0.257059683342457;0.18244634709654484;;0.8576408280211303;;0.7573867828983939;0.324456684303646;1.9023844668843637;1.1131059737327522;0.6527976603010144;0.6766120461178061;0.9560573463496124;;0.38819015485326025;0.24090505158233944;0.20411216491339276;;1.0;48;mde-OM3-5;Engine;mde;25;
235;0.15511940023489074;1.5822366920861894;1.397370168926199;1.6314837040414845;1.3695247324000286;0.6291469704733735;0.43224787935330505;0.5994705308208967;0.2636629124749429;1.3065543227104546;;0.5984467649610644;0.6388609329457205;;0.29953813999492723;1.3982701067032084;;;;1.622173921333233;0.5708861206122473;;;;0.20768789555159967;0.2799677574148027;0.691128686641374;0.6704733629996327;;0.4842037980317145;0.7362181996598292;0.8992913345134488;1.2693838348020265;0.40510273929046037;0.439483785735758;0.4621127005184919;;1.2948555695101756;0.5163383973942637;;;0.49784995487601;;0.3064176978773244;0.7241104616181682;;0.382928098194094;0.5133706280216109;;1.4994630067979606;;0.5135856208561134;0.2525821926476737;;1.655991944739557;0.31340423546063656;0.4117448592705225;1.255072939373766;1.2905270010478698;0.44195258038066637;;0.40181336456238437;;0.439958813095107;1.3500522296778825;1.4699167693727861;0.6932179466827215;1.8035004643354535;;0.43667864770635706;0.6638692255377681;0.7923867355374592;;1.4809656171424836;1.6699976610208884;1.621370193570458;1.6592828118328904;1.3343071051619813;0.16172294090651076;;0.5489194779291257;0.3398967724678993;0.651542783555351;0.04010202350485959;;1.674480192802178;;0.30519306579870037;2.3205009032223343;1.4318865924046928;1.2293602346230401;0.6108481125940984;0.384436044287427;0.6208616480085029;;0.3415873026957466;0.516203562158118;0.53949536543954;;0.6674790459323401;46;mde-OM3-13;Engine;mde;215;
12;0.2917028322663572;1.727399138241846;1.5667791089506435;0.5926947605264266;1.3604991262824901;0.4322794666039375;0.14416603994530072;0.41279380526889364;0.3234630642368966;1.8591110416669236;;0.778864680552576;0.6540871823421929;0.638386912150506;0.81102570385511;;0.6205964526756304;;;1.600307302173948;;0.3168349831159353;0.26966033543831214;0.7527419727191648;0.23024778871229834;0.30172252121015286;0.8913092328732956;0.0;;0.26727825133579985;0.7729298156355374;0.2032194261378895;1.261316703028273;;0.2598440277859594;0.4384150930535559;;0.6825521676579642;0.44090680734873244;;;;;0.16162621629860632;0.7372560091574651;0.37013319510204884;0.39877326273297087;0.6624453470336449;0.0;0.3410839407662666;;0.4416838642707244;0.7947646841413564;0.9841521063044376;0.21651865370959075;0.3329778539855402;0.07618687477336976;;1.6888741579937603;0.5114400845198227;;0.367215333206755;;0.7818538905908577;1.3843393473750096;1.1055092490061305;0.5466083572155566;1.8625264016843182;;0.1545044918033524;;0.5742465783158018;1.5385561184301797;1.6005363199036675;1.6061932185254988;0.10106813048002837;;;0.8533047833981554;;0.5707116910659321;0.22121288368600486;0.02535979910551282;0.2970352140700518;;0.1540748262394568;;0.29978674093664875;0.5918679687916482;1.1817369449040158;1.7800300811949366;0.42175425024675933;;0.8086411228524769;;0.27307542508113275;0.8301867667108425;0.5668607044824059;;0.49046231789915423;42;mde-OM3-4;Engine;mde;45;
15;0.08425566650103741;1.168937462837216;1.2833132499438469;0.8239481147691083;1.7012557655919252;0.9939188560981101;0.6191370517130559;0.7078667687199386;0.41883129890842474;;;0.5163521378021904;0.4838018368085969;0.5441973731860676;0.67890262407465;1.704194196763836;;;0.3751648852506029;1.1897132236837962;0.8585057698222429;0.050685692739098065;;0.23014962351396698;0.4558273141031277;0.2368479924678586;0.4963750700290177;0.8131846386697301;;0.7355555708701239;0.5861152686246036;0.835349315831386;1.7221125004414772;0.5988965892326021;0.45187521330485847;;;0.2903522598173041;0.7034776346804945;0.41170283664623003;;0.22387266968188943;;0.6170025455294019;0.1972852532705223;0.6720663035252307;;0.7506851511344999;0.6421323575510067;0.9053205017630218;0.8199223243786208;0.5956601650680499;0.09757346515793938;0.24348672740680755;;0.22784118566015016;0.5225594158835389;0.49535590890112075;1.773832798088268;0.4984613130024162;;0.3552029006931336;;0.7722546439910235;1.4894969342718887;1.2468195439370826;0.8300683587010367;1.1818729074282572;;0.5426101398100724;0.11256419522338695;0.48377328409610576;1.2292332571728248;1.3454481213964111;;1.6098733688964066;1.603484058024521;1.3570006444232372;;;0.11573429296934105;0.19924762833642148;0.690117382025004;;;0.3475334572841537;;0.4681506625092133;0.7523832533175304;1.4480751089318933;1.8033861175736092;0.4098508273642876;0.2881166905266505;0.5644935716498752;;0.684851852008392;0.5097913150036255;0.5404817162755292;;0.07211825469916447;53;mde-OM3-5;Engine;mde;25;
