R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
1,0.37666666666666665,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
2,0.55,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
3,0.61,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
4,0.6666666666666666,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
5,0.6933333333333334,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
6,0.7333333333333333,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
7,0.7433333333333333,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
8,0.76,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
9,0.78,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
10,0.79,SPH,-1.0,-1.0,1.0,32.0,0.1,,,,
1,0.38,RF+B,-1.0,-1.0,1.0,32.0,,,,,
2,0.5233333333333333,RF+B,-1.0,-1.0,1.0,32.0,,,,,
3,0.5866666666666667,RF+B,-1.0,-1.0,1.0,32.0,,,,,
4,0.6333333333333333,RF+B,-1.0,-1.0,1.0,32.0,,,,,
5,0.6666666666666666,RF+B,-1.0,-1.0,1.0,32.0,,,,,
6,0.6933333333333334,RF+B,-1.0,-1.0,1.0,32.0,,,,,
7,0.7166666666666667,RF+B,-1.0,-1.0,1.0,32.0,,,,,
8,0.75,RF+B,-1.0,-1.0,1.0,32.0,,,,,
9,0.7566666666666667,RF+B,-1.0,-1.0,1.0,32.0,,,,,
10,0.77,RF+B,-1.0,-1.0,1.0,32.0,,,,,
1,0.38,CPI,0.3,0.7,,,,,,,
2,0.5,CPI,0.3,0.7,,,,,,,
3,0.57,CPI,0.3,0.7,,,,,,,
4,0.6233333333333333,CPI,0.3,0.7,,,,,,,
5,0.66,CPI,0.3,0.7,,,,,,,
6,0.6866666666666666,CPI,0.3,0.7,,,,,,,
7,0.72,CPI,0.3,0.7,,,,,,,
8,0.74,CPI,0.3,0.7,,,,,,,
9,0.75,CPI,0.3,0.7,,,,,,,
10,0.7666666666666667,CPI,0.3,0.7,,,,,,,
1,0.37,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
2,0.5166666666666667,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
3,0.5966666666666667,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
4,0.6366666666666667,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
5,0.6733333333333333,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
6,0.7066666666666667,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
7,0.7266666666666667,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
8,0.7566666666666667,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
9,0.7833333333333333,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
10,0.7866666666666666,Tailored Approach,0.3,0.7,1.0,32.0,0.1,0.37666666666666665,0.38,0.38,0.6553333333333333
1,0.38333333333333336,CPI,0.3,0.8,,,,,,,
2,0.5233333333333333,CPI,0.3,0.8,,,,,,,
3,0.57,CPI,0.3,0.8,,,,,,,
4,0.62,CPI,0.3,0.8,,,,,,,
5,0.65,CPI,0.3,0.8,,,,,,,
6,0.6633333333333333,CPI,0.3,0.8,,,,,,,
7,0.7,CPI,0.3,0.8,,,,,,,
8,0.7033333333333334,CPI,0.3,0.8,,,,,,,
9,0.7333333333333333,CPI,0.3,0.8,,,,,,,
10,0.7533333333333333,CPI,0.3,0.8,,,,,,,
1,0.37666666666666665,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
2,0.5266666666666666,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
3,0.6066666666666667,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
4,0.6433333333333333,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
5,0.6733333333333333,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
6,0.7033333333333334,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
7,0.74,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
8,0.7666666666666667,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
9,0.78,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
10,0.7933333333333333,Tailored Approach,0.3,0.8,1.0,32.0,0.1,0.37666666666666665,0.38,0.38333333333333336,0.661
1,0.30666666666666664,CPI,0.3,0.9,,,,,,,
2,0.46,CPI,0.3,0.9,,,,,,,
3,0.52,CPI,0.3,0.9,,,,,,,
4,0.5666666666666667,CPI,0.3,0.9,,,,,,,
5,0.5933333333333334,CPI,0.3,0.9,,,,,,,
6,0.6266666666666667,CPI,0.3,0.9,,,,,,,
7,0.65,CPI,0.3,0.9,,,,,,,
8,0.67,CPI,0.3,0.9,,,,,,,
9,0.6866666666666666,CPI,0.3,0.9,,,,,,,
10,0.7133333333333334,CPI,0.3,0.9,,,,,,,
1,0.33,Tailored Approach,0.3,0.9,1.0,32.0,0.1,0.37666666666666665,0.38,0.30666666666666664,0.6243333333333333
