index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;noisy target;group;level-0;level-1;marker
9;0.4524997665503194;0.5441899205413313;0.8844793674649988;;;0.41096560620458866;0.811699001176321;0.33712156844865326;0.5176435654801465;;0.5403923498906628;1.809135991491745;0.3109679397835349;0.5204444068404214;0.24843729063016676;;0.6299432949642242;0.6429822095662866;1.0;0.2976717687313217;2.5620865017234893;0.5721880752210508;0.876713235634182;;0.5592486283628529;;;0.3049595325448238;0.1955387271264721;0.4598050505943075;;;1.8327488547482338;2.752697356766272;0.40408902161977145;0.5709650488931627;0.5977489391219908;;0.5310655121756359;0.08444157335752729;0.6590710546203736;0.37856095177547094;0.5392295568379379;0.6973323054182483;0.521225996848243;;0.7826534159903159;0.37326738381306185;0.6220658849305496;;0.31859447938142443;1.296691925075542;0.4446693672167223;;1.336001825999212;;;0.794713217302056;;0.2316117348342536;0.4190157138177404;0.14526248771826777;;0.6685360283917751;0.6408683700849505;0.5683114088185933;;0.809538815868455;0.3917431141089913;;1.0;;0.20338231419190336;;;0.7702816506973678;0.5343364916377975;;;1.6308210666778646;0.24377566190356864;0.3794188404957023;0.29878700496184724;0.4698042920392992;0.5865894897529189;0.2505539930584837;1.6125048165860143;;0.22384771883834426;1.0;;0.466392906279513;2.9057673389238117;1.292756754057742;0.5204116312211896;0.11158757440055976;0.5311842630546401;0.5645204143273025;;1.0234895908785375;48;;mde-OM3-5;Engine;mde;
2;0.5823489523437552;;;0.03789997003712857;0.6904689895532634;0.6858059363311567;0.23611445505410752;0.16271248474816327;;;0.27448620841981997;1.5996891704411544;0.5067598022044337;0.38265179827597495;0.7745711525023811;0.4385256244754519;;0.3587128398342556;;0.4348517385520541;1.0;;0.1884458751856654;0.851921364315497;0.4410663580790877;0.2554220889645005;;;;0.15194276529093734;0.46144307128828327;2.7094094391138195;0.3684118369172931;;0.67719546159817;0.7154297460442701;0.2244400381988877;0.3162125027675465;0.5695043346171943;0.5733078315481362;0.44857410585623353;;0.8939080168859713;;0.6866991455054213;0.0;0.5515559299021667;1.0;0.7834189758363389;0.7144825893795227;0.7411162119503509;1.1600727621725224;0.0;0.5015185555309666;;1.541855006254026;0.470146879083211;;;0.4143969430786912;;;0.8537712434952109;;0.3876475086984256;0.5016260667989343;0.8524864628870275;0.3877990181489434;0.453979194324213;;;;0.06069761435092003;;0.6746624056030229;0.15416189731542335;0.5057489988694974;0.2309808432220551;0.6823667322544846;;;;0.7782338433254814;0.15951005381576108;0.5702754846838847;0.45872199180840945;;0.4798194610637126;;0.755651661672328;1.103220971650521;;1.564293737257084;0.9884369820261032;0.09881575702364447;0.3151283214130334;0.20494565605425052;0.5482528766778421;1.3211303138340316;0.6188493174436871;44;;hde-OM3-3;Engine;hde;
9;0.8676083230681977;0.21754556884255719;0.8775294084215147;0.21186796643915104;;0.43613592934505446;0.9035970220306655;0.3188733255490072;0.622404484082002;0.424455846953954;1.4341066602335464;1.5694038026084982;;0.556250556861286;0.289021258222451;;1.3954514993017775;0.7837662739155346;0.6770206530407253;0.41573572084126237;2.7942007871278776;1.4948454107633657;;;0.5713188116286203;;0.4818554510139454;0.6404715560378104;0.578313376425251;0.49971567333121486;0.3313305413031721;;1.3754752009330204;2.677890385482873;1.415007837941605;0.4609594772690615;0.44960204256566094;;0.5536833707887066;0.7301186263139225;0.8201547353873723;0.9303287136943925;0.11631901242459612;0.8283720367209435;;;0.7626906337473487;0.5105850740804453;0.05773232385707876;;1.7406195168271485;1.3628074708023545;0.2389030657204703;;1.801268468137434;;0.6323738645937627;0.473123676017522;0.39081489065552866;0.5249422088745042;0.6048901730248099;;;;0.1752465093761694;0.4013624635256481;;0.5257179494404784;;;0.6957480773629061;1.680366324880043;0.567580251811662;0.18549434962047273;;0.4520048939408628;0.26091107570042377;0.6821511459506346;;1.5041151275403306;0.42616983665746;0.646451187684859;;0.4670202411352516;0.5096404639450074;0.4027728343506742;2.0;;0.22027412320282796;0.7295599692528144;1.8265449709005024;1.5845656375427977;2.0990065349084808;1.6126009735922948;0.17135124781072944;0.5144222706249469;1.63693309698097;0.5217355678748857;2.609475608276892;1.69163401646483;60;;mde-OM3-13;Engine;mde;
31;0.5308307977170095;0.6774906116262662;0.5438272826291167;0.1222589683883712;;0.2811534499920248;0.504527385106869;0.9671941558520064;0.9081274753424746;;0.5144917389041274;1.4977294607686522;0.43161009412356494;0.4089196013008079;0.022156109962027284;0.38370924102219195;0.8603380672072988;0.6451550261906355;0.0;0.0;;0.5763019948227026;0.8568473832747443;;0.2974005495884549;;0.5063509811833337;;0.6259155800077976;0.23107290956165555;;;1.6205132800812359;2.169449518299005;1.804584283116959;0.531412014076069;0.237051996087167;;0.7472882419429754;0.44308510965359715;;1.0;0.18112537677373958;0.6361386584897847;0.338792579229787;;0.41568319157573214;0.3408155020550863;0.3989082804172873;;1.0;1.0918851808287056;0.766177606782661;0.8660457213193617;;;0.7354967146426162;;0.8429575919924518;0.5557194450564871;0.10932067238672838;0.8799705764596156;;0.5793633739584749;0.4195328428239353;0.1401694077731204;;0.7448734185190505;0.9642884466094664;;0.828678706784641;1.4065107041215514;0.4695728923292118;0.28002758722836407;;0.4512238332690508;;;;1.1154491190384934;0.19853204850930464;;0.6761055414916998;0.3232130012389335;1.0;0.10334082008717387;1.4203278320123554;;0.42483446600138225;0.6795790536879285;1.7182512326337949;;2.467549167076558;1.1700536118879599;0.06821486019247003;0.0;0.6047152175138892;0.43229496924805405;1.740683508124647;1.4606569153427826;54;;mde-OM3-6;Engine;mde;
24;0.614576720188773;0.4752718680224295;0.3534629862908034;0.3836079652621598;;0.3441698851551038;;0.5968642879259908;0.6163808239109809;0.6776434085656612;1.3075578417978915;1.574639897667022;;0.24097508268807763;0.4904174982738768;;1.2209706517450982;0.743401281814103;0.7097130046301022;0.6504740570568478;2.5054153757343536;1.4247273796887734;;;;;0.41418832660565963;0.2355713718138556;0.38102744020710655;0.39646649755388697;0.4521432452509525;;1.4670415725458548;2.4834372747549893;1.496887253094364;0.37375271765022583;0.2726110779113138;;0.2824744528715667;0.5578772705588683;0.6398714776039861;;0.513009893213358;0.3728390299097854;0.5965443894360952;;;;0.42398869424116614;;1.5706473423536085;1.2732249095266974;0.538961777314918;;1.3347698117434637;;0.43803605355082165;0.24818592666414055;0.17814931259471278;0.3231421085980131;0.4494929749088;;;;0.5316659197299733;0.26769689905653293;;0.41449504861321124;;;0.48901964879590143;1.4450572315578807;0.41501213587474595;0.6700068097932611;;0.5261239271767358;0.2781706136419589;0.39801606064627076;;1.334592767001094;0.4490642366893494;0.21785154228352915;0.6241930585661346;0.6819238862543014;0.6431703062122761;0.6222138919622555;1.5955243019252443;;0.5580323338876866;0.3229553299904621;1.3592591539342633;1.5487703584663748;2.20243815887908;1.4452364361451837;0.5006903985409542;0.6393903587261264;1.1243007707704251;0.47084228153115465;2.413515503569144;1.6630911456056272;49;;mde-OM3-13;Engine;mde;
93;0.6706028601765762;0.5506429514084678;0.1180579422394437;0.47504889056728083;;0.8359728837061277;0.40100939601596614;0.7849410618195701;0.6446356897022392;0.7615853902247409;1.4658645307243663;1.5825643512728012;;0.5178981984455839;0.42915659198339967;;1.7919225538904926;0.3743895600589832;0.49665074305325857;0.6201664902001331;2.4453638305979624;1.5518377250845585;;;;;0.3841062856073448;0.6351998669026601;0.6791859032201684;0.3211444260685496;0.445398334569987;;;2.4959474057422963;1.647139066186099;0.6996190252316319;0.22136491696029512;;0.229519780196801;0.30217776283088277;0.49484798878017455;0.2852748312927361;0.3494702637144516;0.4106249331046485;0.6415449663907301;;0.6527139275884697;0.4225151440490366;0.6505862527276921;;1.5207650828843386;1.3343919013285142;0.5253646071954591;0.4926443224751293;1.8428770669301422;;0.7816686661847595;0.11159974912428211;0.3996738717398627;0.6642814189201715;0.5680292858375228;;;;0.6621693508838264;0.46919865512467906;;0.585256755899944;;;1.0;2.0;0.2626492960518081;0.309175975617591;;0.6188684471794151;0.677123108309653;0.6301737054509886;;1.548342382866131;0.38201643030419724;0.46250630364626705;1.0;0.6591491324977227;0.6132782148614794;0.36603761228720644;1.7258510175655384;;0.5879653756864412;0.3456583449090955;1.424950642399057;1.2628054019619803;2.3480723835293604;;;0.4007079902420337;1.5919857666046457;0.6670598044740926;2.3713868834680065;1.5363895564198113;48;;mde-OM3-13;Engine;mde;
229;0.3860660544287324;0.4809251773050557;0.38794207195122715;0.4816498263572676;;0.7741007251419022;0.577987730241304;0.2814298566701887;0.7234856134185754;0.3961835110102889;1.4009417518441534;1.5617064160164396;;0.6364329338061234;0.5077559394540271;;1.177379606966534;0.5047327561639434;0.9055335954007998;;2.6508480353771633;1.4364205010021367;;;0.521277490396486;;0.45048615472639214;0.13378582818114904;0.536709905529777;0.7205703071807823;0.7475719104054874;;1.2999952768869143;2.614382612198951;1.2385361376004105;0.5605340646538874;0.6861838524804751;;0.49801743417951;;0.4399983976645258;0.6290637244071691;0.8174139317299352;0.740707886202939;0.5270891884704126;;0.35729147910894077;0.0;;;1.582588788647354;1.72004001879021;0.5302066838746204;0.0;1.428694652030063;;0.3742719083077537;0.6115070972703972;0.41351659586506373;0.5104731651893937;0.7347087244392498;;;;0.38757731801337697;0.5018632039336636;;0.3085958146933732;;;0.5317486832235329;1.3765131183802253;0.6366606291846427;0.6238308935291463;;0.3930820791300466;0.375472289320878;0.6905328138485577;;1.4114787932208546;0.6073560987039117;0.6211754910676098;0.5065265590022552;0.6896301948939821;0.5527944176551675;0.6183527048938681;;;0.6235069688009857;0.6055246627930033;1.249629955073966;1.3727652751176476;3.0;;0.6319022213085467;0.6611774568395368;1.4126250167305534;0.6427075747882198;2.146052536252961;1.4746233304116407;45;;mde-OM3-13;Engine;mde;
14;0.3947730224497599;0.06826292571149835;0.7851503405108973;0.5408576562594779;;0.23576376870328034;0.169924600093416;0.6104194136596335;0.4425197073579972;0.847169551360788;0.5395868463374873;1.3497432203420474;0.08398600589875266;0.3851156927632129;0.4170813481286675;0.6412037412803704;0.6084806347037597;0.37880419061271786;0.5096227022362125;0.29669152789852954;2.340693322015273;0.3166364540395647;0.3619256012437375;;0.8285898600557099;;0.10802082140792181;0.5013307981227851;;0.0;;;1.8320465287793326;2.5796704328092406;0.9521119149909202;0.41801976267589885;0.4789667041744781;;1.0;0.2561731824891516;0.3171603094902463;0.2553945351126073;0.7272836469828481;0.6896012711466079;0.4520551029341021;;0.003576307992465307;0.35341180911145287;0.33720147584443827;;0.8326457742940719;1.801756715646747;0.47018526194269555;0.5651780784670484;1.156776812769663;;;0.5558346527133369;0.9138706773265072;0.7740240812364454;0.9419244129199101;0.3938551127082511;;0.7799035548513015;0.3267199324053571;0.3252452219550565;;0.0;0.8646734211278272;;0.3913544326243214;1.3712657167231244;0.8448131355913882;;;0.1488139826951634;0.15569645412951588;;;1.6065677444796784;0.5885089017050282;0.4102911406227606;0.28822696315819724;0.257059683342457;0.18244634709654484;0.8576408280211303;1.757386782898394;;0.324456684303646;0.9023844668843638;;0.11310597373275223;2.6527976603010144;1.676612046117806;0.9560573463496124;0.38819015485326025;0.24090505158233944;0.20411216491339276;;2.0;48;;mde-OM3-5;Engine;mde;
235;0.15511940023489074;0.5822366920861894;0.39737016892619903;0.6314837040414845;;0.36952473240002853;0.6291469704733735;0.43224787935330505;0.5994705308208967;;1.3065543227104546;1.5984467649610643;;0.6388609329457205;0.6463237220907999;;1.2995381399949273;;0.42780918232376625;0.6221739213332329;2.570886120612247;;;;0.20768789555159967;;0.2799677574148027;0.691128686641374;0.6704733629996327;0.4842037980317145;0.7362181996598292;;1.8992913345134488;2.2693838348020265;1.4051027392904603;;0.4621127005184919;;0.29485556951017555;0.5163383973942637;0.4889159581115547;0.49784995487601;0.3064176978773244;0.7241104616181682;0.382928098194094;;0.5133706280216109;0.49946300679796063;0.6073876235731379;;;1.2525821926476737;0.531702218695578;0.6559919447395571;1.3134042354606366;;0.4117448592705225;0.25507293937376596;0.2905270010478697;0.44195258038066637;0.40181336456238437;;;;0.439958813095107;0.35005222967788246;;0.4699167693727862;;;0.6932179466827215;1.8035004643354535;0.43667864770635706;;;0.7923867355374592;0.48096561714248376;0.6699976610208884;;1.621370193570458;0.6592828118328903;0.3343071051619813;;0.5489194779291257;0.3398967724678993;0.651542783555351;1.0401020235048597;;0.674480192802178;0.30519306579870037;1.3205009032223343;1.4318865924046928;2.22936023462304;1.6108481125940983;0.384436044287427;0.6208616480085029;1.3415873026957466;0.516203562158118;2.53949536543954;1.66747904593234;46;;mde-OM3-13;Engine;mde;
12;0.2917028322663572;0.7273991382418461;0.5667791089506437;0.5926947605264266;;0.36049912628249026;0.4322794666039375;0.14416603994530072;0.41279380526889364;0.3234630642368966;0.8591110416669236;1.778864680552576;0.6540871823421929;0.638386912150506;0.81102570385511;0.6205964526756304;0.6003073021739481;0.3168349831159353;0.26966033543831214;;;0.23024778871229834;0.30172252121015286;;0.8913092328732956;;0.0;;0.26727825133579985;0.7729298156355374;0.2032194261378895;;1.261316703028273;1.7606133058335538;;0.2598440277859594;0.4384150930535559;;0.6825521676579642;0.44090680734873244;0.5719935736384197;0.16162621629860632;0.7372560091574651;0.37013319510204884;0.39877326273297087;;0.6624453470336449;0.0;0.3410839407662666;;0.12256209741916987;1.4416838642707244;0.7947646841413564;0.9841521063044376;1.2165186537095907;;0.3329778539855402;0.07618687477336976;0.42680353062143417;;0.6888741579937603;0.5114400845198227;;0.367215333206755;0.7818538905908577;;;0.10550924900613055;0.5466083572155566;;0.862526401684318;1.1545044918033525;0.5742465783158018;0.5385561184301797;;0.6005363199036675;0.6061932185254989;0.10106813048002837;;1.606137962007662;;0.5707116910659321;;0.22121288368600486;0.02535979910551282;0.2970352140700518;1.154074826239457;;0.29978674093664875;0.5918679687916482;1.1817369449040158;0.7800300811949367;2.4217542502467593;1.6119977847723153;;0.8086411228524769;0.27307542508113275;0.8301867667108425;1.5668607044824059;;42;;mde-OM3-4;Engine;mde;
