R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
1,0.42,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
2,0.56,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
3,0.6266666666666667,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
4,0.69,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
5,0.7266666666666667,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
6,0.75,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
7,0.7566666666666667,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
8,0.7733333333333333,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
9,0.8,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
10,0.8066666666666666,SPH,-1.0,-1.0,1.0,14.0,0.25,,,,
1,0.38,RF+B,-1.0,-1.0,1.0,14.0,,,,,
2,0.5233333333333333,RF+B,-1.0,-1.0,1.0,14.0,,,,,
3,0.5866666666666667,RF+B,-1.0,-1.0,1.0,14.0,,,,,
4,0.6333333333333333,RF+B,-1.0,-1.0,1.0,14.0,,,,,
5,0.6666666666666666,RF+B,-1.0,-1.0,1.0,14.0,,,,,
6,0.6933333333333334,RF+B,-1.0,-1.0,1.0,14.0,,,,,
7,0.7166666666666667,RF+B,-1.0,-1.0,1.0,14.0,,,,,
8,0.75,RF+B,-1.0,-1.0,1.0,14.0,,,,,
9,0.7566666666666667,RF+B,-1.0,-1.0,1.0,14.0,,,,,
10,0.77,RF+B,-1.0,-1.0,1.0,14.0,,,,,
1,0.38,CPI,,,,,,,,,
2,0.5,CPI,,,,,,,,,
3,0.57,CPI,,,,,,,,,
4,0.6233333333333333,CPI,,,,,,,,,
5,0.66,CPI,,,,,,,,,
6,0.6866666666666666,CPI,,,,,,,,,
7,0.72,CPI,,,,,,,,,
8,0.74,CPI,,,,,,,,,
9,0.75,CPI,,,,,,,,,
10,0.7666666666666667,CPI,,,,,,,,,
1,0.4166666666666667,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
2,0.5233333333333333,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
3,0.6166666666666667,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
4,0.6633333333333333,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
5,0.7066666666666667,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
6,0.7333333333333333,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
7,0.75,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
8,0.77,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
9,0.7933333333333333,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
10,0.7933333333333333,Tailored Approach,0.25,0.7,1.0,14.0,0.25,0.42,0.38,0.38,0.6766666666666665
1,0.37,CPI,,,,,,,,,
2,0.49,CPI,,,,,,,,,
3,0.5566666666666666,CPI,,,,,,,,,
4,0.6066666666666667,CPI,,,,,,,,,
5,0.64,CPI,,,,,,,,,
6,0.6633333333333333,CPI,,,,,,,,,
7,0.7033333333333334,CPI,,,,,,,,,
8,0.7233333333333334,CPI,,,,,,,,,
9,0.74,CPI,,,,,,,,,
10,0.7566666666666667,CPI,,,,,,,,,
1,0.43333333333333335,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
2,0.52,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
3,0.6266666666666667,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
4,0.6833333333333333,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
5,0.72,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
6,0.7433333333333333,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
7,0.75,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
8,0.7566666666666667,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
9,0.7766666666666666,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
10,0.7866666666666666,Tailored Approach,0.25,0.75,1.0,14.0,0.25,0.42,0.38,0.37,0.6796666666666666
1,0.38333333333333336,CPI,,,,,,,,,
2,0.5233333333333333,CPI,,,,,,,,,
3,0.57,CPI,,,,,,,,,
4,0.62,CPI,,,,,,,,,
5,0.65,CPI,,,,,,,,,
6,0.6633333333333333,CPI,,,,,,,,,
7,0.7,CPI,,,,,,,,,
8,0.7033333333333334,CPI,,,,,,,,,
9,0.7333333333333333,CPI,,,,,,,,,
10,0.7533333333333333,CPI,,,,,,,,,
