index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;group;level-0;level-1;freq;marker
6;0.6987284119200466;1.505241438229767;;;1.8203801188520918;0.8987971845145585;0.6681951671062029;0.49017635214879457;0.6019092418295411;0.47576805404242023;;0.7130481251656229;0.1349796409907318;0.7173985143412379;;;0.13573559229369825;;0.43492881363965014;0.7032426320681754;;0.6254580564405073;0.8590730228061938;0.22004103659909383;;0.5389307848507204;;0.5297748237706115;;;0.29195105447015274;;1.0;0.2431648864140771;0.14709762879657506;;;0.7415933034696229;0.5919916968214677;0.2558468298519227;;0.6049033008924829;;0.21274728027545592;;0.2206942744755598;0.6062143363464444;;;0.23266009916674563;0.5802647143028413;0.5113370335441977;0.7686688277888091;0.6402314930008934;;0.9185208863457328;0.7709430817050142;0.304787168170016;1.2511797914639309;;0.7902236114752702;1.0;0.546187024926923;;0.7974696593980776;1.5190666341767745;0.4803214568908489;1.5762056452719506;;0.5065961248816842;0.43251918054009386;0.4323655280130283;0.7388204821295647;1.2673932720010959;1.3228174423507644;0.6150961628481227;1.5025261736617797;1.784569379373174;0.40596111187904577;0.5269595600640532;0.450804521285888;0.3626332350145911;;0.6893714865800759;0.6703509257208373;0.5240171733134703;;0.7501963208117332;0.31937575972687;1.5949127170690953;0.6040571473654163;0.42297018538051157;0.5183081794215321;0.25606911064024396;0.059195590532597875;;0.566248482728277;0.7618316260989741;;0.1672573083755766;57;mde-OM1-4;Engine;mde;44;
37;;;1.3845413105073177;0.6322090992958304;2.0;0.7945931751392434;;0.584526866617101;0.8828980001648968;0.1966677450843902;;;;0.7009628747681638;;1.2124939690463292;0.07713904361020535;0.7923673728710878;;0.2614632511133848;0.635316313622353;0.9887036556926369;;0.09852209381504072;0.48423678198573844;0.36159844644762884;;0.6663403554717311;;0.3362319349020635;0.5577169562037753;;1.1321184659694705;0.3496648255250269;0.26795356439972956;0.8364458734272332;;0.22226340912228465;0.8793143163067787;0.7654140829734899;;0.6189729471837676;;;0.2349437748482508;0.0;1.0;;0.7878494908007193;0.7906467848606252;;0.9193417745073171;0.7891315415220391;0.6475253360028036;0.8889531749570256;0.4301903613702592;0.5086416406351648;0.5606802819186012;1.5652376505234824;;0.44846630476531935;0.8576444109635596;0.5985735013715828;0.7681787748791121;0.5371454010217926;1.360563164523201;0.5858794866443644;1.396520549730272;;0.7352173003427306;0.7426763990163451;0.40208042720929854;0.5428325452670575;1.3603513399208798;1.5853832629349738;0.46660248209950456;1.7688868818523495;0.4281467493597414;0.45138519834652324;0.7677328772972437;0.576145002288709;0.4498851429202454;0.8251834524161076;0.4854929261946395;0.2940845552002961;0.5060044779852002;;0.0472915228490356;0.6878555088072693;1.3274166209915719;0.36517176116389966;0.6841316782972728;1.0;0.19762499790967905;0.2878911691983936;;0.5812829508890673;;;0.799970489554663;46;mde-OM1-3;Engine;mde;59;
23;0.3798714231548588;1.3579820533728526;1.0718342597020893;1.5081312751401819;;;0.26041389187634406;0.6877880409232421;0.5745950105104085;1.248467973045152;;0.5319939686475499;0.2702954822180263;0.5388237352463224;0.44715053328083587;1.5843791766602107;;;0.28721022929544354;1.7225672645343606;;0.39993363836457746;;;0.5445746773156621;0.6471911063842662;0.3464618102999414;0.7283092312503573;;0.8176390637306192;0.28683360750797815;0.6132817413940598;1.4640228501615369;0.21189828824713913;0.647546112563515;0.4553722221841845;;1.5277244613089656;0.28722829880874484;0.7731485409230415;;0.4805168342162613;;0.0;0.5422083967972433;;0.5672350007238822;0.582039026194849;;1.5447100416370798;0.426801989015125;0.3844435222407358;0.45215270329245294;0.06886261633657874;1.5821387547474255;;0.7291620292787474;1.2852332616763114;1.4520830916543497;0.4974707963380698;;0.6110878059630761;;0.5530663319066608;1.2297173842221185;1.5688368352876194;0.4096236656346455;1.240150125757916;;0.6358010655416587;0.6844283680022514;0.41369878205985905;;1.5437603187860036;1.6999426251858019;1.532113388362999;1.6363307631499269;1.2834388089480577;0.7642218811275753;;0.6185803382719404;0.621711988499329;0.2725373896537767;0.33536029324429323;;1.5434646347954035;;0.4580282299768821;2.620579012484688;1.537158410487275;1.70428846847948;0.7499257370563815;0.38891226636918513;0.3089240628112348;;0.5035156232994853;0.5725216494257268;0.5080593084084646;;;81;mde-OM3-13;Engine;mde;214;
11;0.22436708014820184;1.6985114042545097;;0.0;1.438581430133197;0.5467290890859917;;0.6898724335396557;;;;;0.5477624075156998;0.4063204665389237;0.3284939413071811;0.3161312513191215;0.8475044052220719;;0.6924056981718547;0.6313457316306583;0.45306012929261985;0.9533315662743916;0.3527279029441757;0.6571578755445496;;1.0;0.29586703721586427;0.18402056421391397;0.634625956404353;0.14701352022450265;0.23584335685467323;;2.0;0.5231270272460566;;0.23766895124379497;1.4016551485188604;0.312566131938258;0.633361288050776;0.671753190186963;0.18117306612705034;1.0;0.4079761792205571;0.10434368814407372;;0.9252451787230277;;0.6575154704545878;0.3345511062865254;0.11467914985303106;0.9945463125800195;0.8473802461907722;;;0.7573378036980987;0.574672891514788;0.1733565380577721;;1.0000654703604752;;;0.0;0.7994586045780562;;0.766694100504854;1.6353396306656314;0.8299088693541311;0.681036985133181;1.671098387132405;0.4382498266112454;0.7328119265932809;0.5383611095919381;;0.5211803294542015;1.0;1.0;1.423609506972523;0.3068240771142194;0.04401152038228553;0.0;0.8127516145757601;;0.35144727677002224;;0.03797337982858029;0.8609490392365496;0.5319370184589408;;;1.8598535881121485;0.5707130614835753;0.673656996475738;0.1697512300494041;0.006967740225475099;0.0;0.6910331289322029;0.7580746419049105;0.8084218256833204;0.0;;48;hde-OM2-6;Engine;hde;13;
8;0.6010666399226554;0.4929355123290496;1.2323596526648553;0.6376991323018901;1.1717653128013785;;0.5134258025738452;0.5522817188511735;;0.6162797453843487;0.240946336642948;;0.06170174640747523;;0.20180656850535256;0.4447731639238862;0.5090333386302878;0.3412389116512388;0.573291818711417;0.47272675350710813;0.20215002542655905;;0.5046490465275464;0.25381442639597496;;0.22378191425525892;0.0;0.23545792137964233;0.41607745938603524;0.6216899680528082;0.6620468849117477;;1.9639008541861098;0.4272786541137735;;0.4671495412237624;1.6723224322029466;0.5874637430192616;0.3631233482172324;0.4605188252588031;0.2846814814844802;0.0;0.3462170057041107;0.7471489590477131;;0.25468366699839484;;0.6731895839284533;0.3240431588251744;0.5583953938035288;0.5543695145778185;0.6001866561715756;0.5493256793950009;0.575452246980588;0.8946838791704855;0.43463607483126454;0.3794012786788045;;;0.10348073441861472;;0.34591364897384336;;;0.6272799356299835;1.208447012933264;0.4838016723618801;0.6791838564480714;1.4111446515027415;;;0.5738957354181726;0.7398561687065025;;0.5228330254897581;0.6977784615310262;1.6872815833086827;0.40013879856443174;1.0;0.9881241135629624;0.855872986275454;;0.4362253571378044;;0.9901627715343028;;0.4032576699062859;;;1.3663325375268671;0.45280317659938374;0.09629872907600803;0.8068047802298478;0.18686487030400867;0.4512963670614353;0.22434042628693873;0.47156004761043474;0.38200736042796873;0.7492728514903356;0.5445138195968582;34;hde-OM2-5;Engine;hde;31;
34;0.6531700699806844;1.4620378354989336;1.7025186781052952;1.838076028902928;1.692684214883142;0.2800094969577733;0.34357042042340913;0.5679948439920022;0.6181960182111226;1.592572784130172;;0.6872508242578588;0.6648243449639956;0.5183013940097914;0.10835510799990986;1.4403412391707793;;;0.4976349951772174;1.470110892561972;0.32204391417128764;0.3059286848189173;;;;0.8660711670928691;0.5050911484959119;0.24480522159249063;;0.5790666558409532;;0.21044305895013668;1.730474496792323;0.41451361570595685;0.48869835454159655;;;1.207866065169002;0.5232425480391142;0.7681157855898757;;0.38021443705786395;;0.6036579756518132;0.7429680690523818;;;0.2591903928878228;;1.5775048554470819;0.36690927901211734;0.3779372479757262;0.6828575273013916;0.2913727246886809;1.6390119878498015;;0.46586782412400934;1.3297576513894847;1.3117158870931347;0.5432309111305744;;0.70707715504029;;0.5936145339916393;;1.5313790968749834;0.5540451092600186;1.9150373271958068;;0.6158286017909064;0.38549443236504627;0.18117897395252938;;1.55067623405822;1.498859643311923;1.2513538988466386;1.745205820304322;1.5796709210939603;0.48363202479114725;;0.5424307296616664;0.47789520811257735;0.4028875481994077;0.5338296208772019;;1.2153683503015211;;0.5939208571165278;2.3793379490524744;1.5899902415327736;1.4198903829497027;0.08800370831599448;0.422960829864691;0.9079936390453776;;0.42392036164829455;0.7980184945400596;0.4958543276546445;;0.6490756083115949;47;mde-OM3-13;Engine;mde;214;
0;;1.7990755975104735;1.455744422437318;;1.4854852028048464;0.6348651886687683;0.6116579721236218;0.7006992862036607;;1.5699565404222144;;0.8285968342633031;0.6892511697677866;;;1.218679627835305;0.725048727709913;;0.7160870700635589;1.3517996760984552;0.7203124421331529;0.45741160327392877;0.8280083031116389;0.6240995779202818;0.5500660427690066;0.3678513608912033;0.529674687753512;0.758462086732953;;0.8641082129367983;0.2662139547357557;0.9263341112385675;1.0;1.0;0.6712380128025651;0.06953861928198322;;0.7868105441033094;0.5261493566083552;0.25553323133584727;;;;0.2836458429799734;;0.7244361828122641;0.6660291614731189;0.9346150063090968;0.43662557821800213;0.8046273455926886;0.5424996842137356;0.46938428711076335;0.5444281006588652;0.8387569672748284;1.6303122794330407;0.9738294647486363;;0.5011976038491;1.2950360452842056;0.7887438099962613;;0.9532062284544845;;0.22157764481779188;1.2698050068439073;2.0;0.7125466027653246;1.2155190307282782;;0.2534610737774076;0.47997677275653217;0.4250344587059183;1.372215350093678;1.5038933295306203;1.4052881960188024;1.425331791783634;2.0;1.4198326279766444;;;0.7754482266070889;;0.8726107457687842;0.6563490794706889;;0.4680383488388871;;0.43837381582088464;0.15888235534703385;1.8891744312195504;1.5296460620464696;0.1642242816868865;0.4339907925484097;0.8818515237589064;;0.35014041912789284;0.3927912410852852;0.58541641554526;;0.7108340089646277;59;mde-OM3-6;Engine;mde;26;
40;0.39652339782576673;;;;1.5763574945669157;0.30539955974336996;0.3659887638362405;0.8173240220171054;0.48071237486860974;0.4355478748325813;;0.7710999911006916;0.320190327403301;0.5021860402711705;;1.2545120194532549;0.004821500332740968;;0.11724280507787907;0.7880005166851839;;0.5293899025702091;0.32069411827799577;;;0.6759420228607391;;0.6975824182279797;;0.4598653034668066;0.9761237996614386;;1.6961609051801005;0.8239606143689336;0.33888501534247895;0.6921904404636282;;0.5075716667966923;0.4978391099482605;0.3912829596184597;;0.6451029818878355;;0.1357184272651223;0.6411094621488873;0.7918896893947497;0.8731602308443105;;;0.8941779583245874;;0.6371104374683074;0.7068586307093879;0.734863568418993;;0.37087693804056476;0.8201806098227485;0.782759159852037;1.7405512557561487;;0.37273754481876553;0.7695065356397923;0.5599382313044642;0.69326682487041;;1.4293532524065866;0.5012293341101289;1.3658941963421445;;;0.49365965562168235;;0.47138384051081467;1.4007183273088288;1.712101949089937;0.6683243342337506;1.5261723577310313;2.0;0.3252452791540734;0.6166397949202187;0.5472618758092064;0.4253744712889841;0.40668215561459475;0.20920271565321816;0.468744440911509;0.6159979293240653;;0.6199682643763149;0.6725444120312538;1.6119721586248417;0.39012027369082697;0.48752619472408126;0.19864208889638596;0.285044867056034;0.4395314248287555;;0.39705528953284536;0.7473136831884447;;0.5109720861044671;57;mde-OM1-4;Engine;mde;44;
58;0.3437793513964943;1.412843984389505;1.7514150013150382;0.2707221356490674;1.2332105902095425;0.3785755071692874;;0.2725056961464599;0.4117888407238725;1.299501183398502;;0.8068641982869713;0.47988223206093605;0.29311284874261756;0.7557257495347;;0.0;;;1.5389840531489378;;0.2824570690386034;0.5443607581458835;0.8460709884276465;0.5057181388792997;0.5346993126431523;1.0;0.5702213779659333;;0.4097842555721022;0.5177319476553985;0.8944853970948348;1.9141927899203368;0.4229846845235801;0.31799346470292317;0.2391860309366451;;0.4680912170216006;0.435112458045338;0.3963780481888939;;;;0.5932429718245527;0.36342925210754445;0.8389023910458498;0.40095386961170365;0.4613569035177494;0.4389437604432026;0.5343374509524896;0.5538919830396091;0.46104850566280614;0.0943603339498305;0.0;0.6197544203300476;0.7134531307857809;0.6392285100980537;0.19053154855560622;1.45533668996296;0.748388768517619;;0.33473468588029287;;0.7796450764497777;1.6607068797815314;;0.24211033433762358;1.5063294434938128;;0.11649565797039624;;0.38447248227955283;1.076947518085429;1.2418627973857528;1.0239534935945636;0.48744868639285693;1.0;;0.21667436822969036;;0.4792875974493428;0.6944928704046415;;0.4397169542175538;;0.18750339823587295;;0.616609077962864;0.6778035238429557;1.000165021440134;1.4726041333417523;0.5864162566618353;0.0;0.3860097676428151;;0.18309627037791323;0.8359722915874604;0.4351217543941794;;0.7549555938118209;44;mde-OM3-4;Engine;mde;44;
35;;;1.7271558023789992;;1.1438575610934612;0.1878005307251459;0.6418875398442331;0.328293565903994;;1.0;0.6677962089211521;0.6191111651155271;0.6104147717200564;0.36242593703026255;0.5932360334647035;1.8160023975656137;0.7147946685719146;0.495775385171372;;0.46906182184034045;0.8567397444093406;0.44188762285622313;0.5054007484345149;0.4205947576019972;0.9001655665863384;;0.5310922169466908;0.7549560272259699;0.4005378067803555;0.1284651351650553;0.757496319971142;;1.2922575424021117;0.3458947920473613;;0.616507768581611;;0.3997866280306469;0.2850133448916868;1.0;0.39130910668489416;0.4017693484434244;0.43798310896280834;1.0;;;;0.8137743378481246;0.5414790466043;0.5457801210910979;;0.964327541647066;0.991596015230833;0.3152928745049933;0.6667665369231022;0.26480738511662777;0.4062944531816922;0.4388591825210662;;0.8645389324000112;;;0.8644282167503026;;0.47790009060616884;2.0;0.27464306598394506;1.6102501641660416;2.0;0.31078601034324516;0.6500854945376091;0.5977893632690388;;1.0;1.0;;1.6027733634372634;0.4859298689353886;;0.389432068689125;;;0.3015770172421991;;0.5398032610205197;0.14103052071428046;0.8582239638572364;0.4773895659855356;;;0.6587449150247294;0.4544151502872081;0.5872968274663359;1.0;1.0;;;0.8409708070501793;0.9134046895819672;0.3500243251800575;50;hde-OM3-3;Engine;hde;27;
