R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
1,0.24333333333333335,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
2,0.38,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
3,0.4666666666666667,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
4,0.5066666666666667,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
5,0.55,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
6,0.58,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
7,0.6266666666666667,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
8,0.65,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
9,0.6666666666666666,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
10,0.68,SPH,-1.0,-1.0,1.0,9.0,0.25,,,,
1,0.21,RF+B,-1.0,-1.0,1.0,9.0,,,,,
2,0.3433333333333333,RF+B,-1.0,-1.0,1.0,9.0,,,,,
3,0.41333333333333333,RF+B,-1.0,-1.0,1.0,9.0,,,,,
4,0.47,RF+B,-1.0,-1.0,1.0,9.0,,,,,
5,0.49666666666666665,RF+B,-1.0,-1.0,1.0,9.0,,,,,
6,0.5233333333333333,RF+B,-1.0,-1.0,1.0,9.0,,,,,
7,0.56,RF+B,-1.0,-1.0,1.0,9.0,,,,,
8,0.5833333333333334,RF+B,-1.0,-1.0,1.0,9.0,,,,,
9,0.6133333333333333,RF+B,-1.0,-1.0,1.0,9.0,,,,,
10,0.6233333333333333,RF+B,-1.0,-1.0,1.0,9.0,,,,,
1,0.20666666666666667,CPI,,,,,,,,,
2,0.29333333333333333,CPI,,,,,,,,,
3,0.36333333333333334,CPI,,,,,,,,,
4,0.42,CPI,,,,,,,,,
5,0.44666666666666666,CPI,,,,,,,,,
6,0.47333333333333333,CPI,,,,,,,,,
7,0.5133333333333333,CPI,,,,,,,,,
8,0.54,CPI,,,,,,,,,
9,0.5566666666666666,CPI,,,,,,,,,
10,0.5933333333333334,CPI,,,,,,,,,
1,0.24666666666666667,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
2,0.37,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
3,0.47333333333333333,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
4,0.51,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
5,0.5533333333333333,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
6,0.5833333333333334,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
7,0.6233333333333333,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
8,0.6533333333333333,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
9,0.68,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
10,0.6933333333333334,Tailored Approach,0.25,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
