,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,target,noisy target,group,level-0,level-1,marker
389,6,,0.6616123311798651,0.3058344994903001,,,0.7021308770214629,1.7826639421308559,0.6059832014431441,0.49578015466468084,0.5500802498490912,1.5060670002717074,1.4656136666974304,0.3031731611318363,,0.2523364055747478,0.19388853088294403,0.5921241695551622,,0.5206361103533863,0.6772637247295847,0.6791554082945489,0.02813442708959181,1.5803001304147244,,1.629627503464118,,0.4138467863107359,0.236083677373082,0.612920053801426,,0.43234612350268276,0.8532508189912793,0.67923897256206,0.24121515079262246,0.34505841958707123,0.750383874713447,,0.40733127068334746,,1.40762724029798,2.8406998017035163,0.43784862196262664,1.7577716165495598,0.3010794047040311,0.7101225996049403,2.4521060608432608,1.0,0.39385823320909263,0.6153484676328196,0.7830355307283116,57,57,mde-OM1-4,Engine,mde,
764,23,,,0.20328685902055776,,1.3874459632832767,3.340768361171392,1.5791240960433615,0.33454293039751143,0.6226601042919626,,2.673801156301862,1.4721418003528282,0.32977462652315165,,,1.591093675723927,0.7472382138770175,0.861039752358755,0.39528841696206884,0.7236345710679443,0.3612156444473074,0.5983048270244804,1.4359258750336001,0.6383071923936655,1.2902850223829467,1.505090946124468,,0.7981359113879555,,,0.4139908431376616,0.5489190262235868,1.2025021863529557,0.4927747826183865,0.6176397530413025,0.5542936602710361,,1.3545697106823407,0.5118925135474551,1.41848648130096,,2.4329292065760724,,0.6347598750293432,0.3264916324354145,3.404223081749195,2.6275203480543627,1.6643272413276957,0.4411609739194424,0.4700459649154228,60,60,mde-OM3-13,Engine,mde,
176,8,2.0,0.3255526899757077,,,0.49466027885551833,0.49476271235752944,1.3752790600000055,0.4177128518942095,0.8604978652448804,0.3365683319170176,0.5473088049090171,,0.1543194441747051,0.517908153328435,0.26089833758031566,0.7736820383105554,0.15045873660242812,0.7220067534490247,,0.46653288771356183,0.5723540544309841,0.14846243035031284,1.392255536904513,,1.54069026172078,1.2938356204966244,,,0.21265923014550622,0.31840685184711837,,0.3872109881849722,0.29472362830950294,0.7415258745428898,0.5329018720689105,0.9523144953906981,,,0.43958180452107265,1.3610400470105333,0.14864786266998337,0.35474559017174345,1.5745706505247639,0.4889531488603422,0.7427293476863011,1.0,1.266023567032162,0.30335038372043216,0.44557227718833,0.4382604742712861,37,37,hde-OM2-5,Engine,hde,
17,7,0.5082878231114113,,,0.5796527921471486,0.1023789449117886,0.8200824852351348,0.695429567088773,0.778383638334639,0.7259787945889062,0.03134621817437111,0.27839485142198483,0.8089933869410307,0.8137162807977063,0.6004203611798568,0.5411209723927508,0.0901485010332428,0.23312305883189904,,,0.41375669250846825,,0.5919487786007804,0.057743900127044036,0.6152809259557558,0.5410289172973435,1.4640491251933807,0.3655761580596602,,0.5783371931532031,0.5376457502329015,,0.6183084566930416,0.45716446422761986,,,1.0,,0.5908411051181757,0.35011499506821847,0.2228686765146686,0.0,0.1502910145908143,0.8583715811536423,0.3886522274949578,0.3518881930879438,,1.8089680834415827,0.40641981960153045,0.43997074157035626,0.5583817547842554,6,6,hde-OM1-3,Engine,hde,
579,0,,1.0,0.8250930833943656,1.6222693969382798,,0.6158635953832098,1.5927269637793884,0.42855225647678963,0.8619149083197123,,1.4701913191289149,1.5378760716169215,0.7500824336229789,,0.18043234207077458,1.6654833933194175,0.19238140157928044,0.5579879841360385,,,0.8204128820528839,0.671845345965643,1.2939220035763248,0.325189365148835,1.6708579319603247,1.5956363321525169,0.9217128710694759,,,,0.37812496121417943,,1.2965988734824763,,0.027125228018909806,0.4972531055499173,,1.0,0.15891351376592508,1.4309991739884866,2.434861662007707,2.4870590745743812,,0.6354319496233813,0.8007387753237047,2.032396617699558,1.2308755326014174,0.3318495853486568,0.6582261649373611,0.6701780500168751,50,50,mde-OM3-6,Engine,mde,
423,40,,0.605612464764764,0.5059945967263212,,,0.3031276311825408,1.7426261470822675,0.49625952779410437,0.20553536045726908,0.37000994013052513,1.728224464967367,1.661966116278386,0.2189410719942895,,0.31899522843557415,0.7217895842271864,0.49078215483615245,,0.36635657203944255,0.623233651865575,,0.4447363555170782,1.3956995628730082,,1.8944669468600455,,0.4042208833540129,0.6669653567285502,0.4461512882292395,,0.0,0.7479953146125942,0.31878192817497936,0.306046357218663,0.4598766834052944,0.4303555867451601,,0.3875069868970489,,,2.6668477710492278,0.3351159381479808,1.2508519111262053,0.49188818847064075,0.3721339034885034,2.3220068009868435,1.3108240274773924,0.38602091785669274,0.6255216170906615,0.572544944638377,58,58,mde-OM1-4,Engine,mde,
543,58,,0.20753671582797728,0.44399091404096486,1.561120923285745,0.7515761756732734,0.6919636857857578,1.5140295349335369,,0.9108295293890433,,1.6008472436761174,1.3160297842684328,,,0.4633330847736149,1.193124615770021,0.6712215692229048,0.5463068206560872,0.3104798723402309,0.2830651552587359,0.6843254153960742,0.679593354275752,1.602262462650042,0.3231940437684678,1.327775751938752,1.4005303646769547,0.3946741986767817,0.6285258331564574,,,0.6890086343206451,0.5467864223844981,1.2876543885248473,,0.7128951652680503,0.5347628248670966,,1.6501954426739995,0.5304474628608409,1.7958686242882016,2.5978323897312223,1.679408005392793,,0.5474199105401302,0.5572589020803059,2.0795136970739505,1.6964567469255143,0.33168114396732695,,0.20817592514541297,48,48,mde-OM3-4,Engine,mde,
270,35,1.2365097074857394,0.8622624029617876,,0.6035080928395705,0.35050471356205065,,1.5978090457603664,0.04998986241674555,0.7363913828809839,0.5885427827347604,1.5698615056387488,0.17289717932574897,,1.7444903721172138,0.28232787691834843,0.5862330711169725,0.2526002149281845,0.7506661998447124,0.5126595447942777,0.8633122762122236,0.35981466558399977,,1.6480312206800838,,1.9467929662903631,1.8513194349667912,0.4732030077212377,,0.6265647185751713,0.843400590886793,,0.5560257807352886,0.0,0.3640149455237359,,0.7377025656383442,,0.45514463712615566,0.4318435601208472,1.8757227910437715,2.0,0.5150645353757679,1.4525387450289273,0.2529917805894134,,1.3907558159294278,1.5685342450016284,0.822395530667746,,0.5138779362340868,43,43,hde-OM3-3,Engine,hde,
576,30,,0.4234477909504015,0.8600158148707313,1.3093750697734736,0.9503931361339492,0.5129613905586211,1.15056775197052,0.7651012268613794,0.7698932203880751,,1.5000718327511646,1.994074083736353,0.34345836603500385,,0.7200929915548734,,0.08689952225393684,0.2681207986022089,0.8049257731519948,0.5947011666972639,0.9226033782519532,0.7366107502127464,1.4907005399574014,0.1646106572373161,,,0.16241563667803313,0.11231722124519661,,,0.4331737966490943,,,0.5469910854098227,0.5486137566228493,0.5985891069830436,,1.6327130126986549,0.679171965984531,1.679229810388439,2.1121326180885567,2.6408832277652894,,1.0,0.26438142140632825,2.765885062062219,1.2746914692535114,0.0,0.3668384161038027,0.6726736648878627,51,51,mde-OM3-5,Engine,mde,
154,6,,0.8856852354072202,,,0.006479604614135367,0.6866418173703677,1.7057962837140113,0.7449058408461937,0.3326149199250616,0.2018153676274375,,,0.8205302316886606,0.6739461608807963,0.32763390908599693,0.675929743982839,0.33337537939869877,0.442742578606774,,1.0,0.3034704197625878,,1.4652875534666603,0.0,1.3227741018811057,1.4907956449424753,,,0.0,0.24100702384095612,,1.0,0.4923386396207476,0.7250750311037703,0.3378128953876255,0.15786438097228012,,,0.7617104471655362,1.6598602870812686,0.5558627568674421,0.22314792496874222,1.708289490108259,0.29713560824597673,0.551270411253026,0.6003228916140423,1.9279443760291648,0.4037400253871311,0.9400619168752562,0.8390767130655307,30,30,hde-OM2-2,Engine,hde,
