,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,target,noisy target,group,level-0,level-1,level-2,marker
845,104,,,0.43131421157349326,,1.5619822766066562,3.6449102584557243,1.8184060143987826,0.7556393547670907,0.20940788056050366,,2.532667103776448,1.4747453573208065,0.3902551493013634,,0.5244445963562989,1.7560051882948526,0.6258403123085594,,0.5084253169729586,0.3968020256165705,0.22322594863213166,0.5654846168737051,1.673093475160747,0.4895523981159011,1.716860258583445,1.7550720935448054,0.5536134421068496,0.028860872228826974,,,0.19063160918063118,0.0,1.846641934936601,0.13202942303125004,0.5182744210416514,0.44081726905880864,,1.502174629103429,,1.4929478195725128,,2.0988989738947215,,0.27571502917193996,0.496219271850108,3.730219328882681,2.76880134049349,1.6787563565290196,0.4667343739818424,0.3452298904080277,56,56,mde-OM3-13,Engine,mde,mde-OM3,
131,35,0.7093877030499752,0.32714531658258766,,,,0.3248759918001565,1.547122932988844,0.6229874000780098,0.5276393774589847,0.7209979011677641,0.11444594972674964,,0.5882832561498489,0.4365603377522712,0.349324911801034,0.6028779031761449,1.0,0.4888621493345435,0.6986709497754735,0.8917523782046087,0.45194506829056363,0.48559200453117235,1.2598209551325574,0.5359655790329378,0.8962631922563172,1.2693039061595424,0.7773797023860427,,,,,0.3305558868732896,0.12560057716743894,0.6681792040567599,0.38066648530068975,0.3459304782090541,,,0.15315150607782446,1.3788504791936662,0.7044102550502263,0.6924533108247739,1.069567879459608,0.612597469188112,,0.4469204383776964,1.2652335447097858,0.26487210937989714,0.6097057380341816,0.9288055981859371,5,5,hde-OM2-1,Engine,hde,hde-OM2,
770,29,,,0.22778813852794227,,1.5157787913473524,3.4991974150592213,1.598303022904107,0.7558709260097805,0.47083201851031314,,,1.5178045134231004,0.3368309917460777,,0.521731905798934,1.4680551702733373,0.4160789379465592,0.38821421947816664,0.05119563431659365,,0.5838317329885517,0.3014899932771404,,0.5459798791499955,1.7180514730204832,1.36054908343135,0.5349937608480595,0.6352818405435571,,,0.7388054978750357,0.4169336198115162,1.4098744034417483,0.3882607394350756,0.7085382598515108,0.5679224306366712,,1.4616349593050606,0.40891521041336315,,,2.6172782324022594,,0.7350325227565856,0.4556003422706703,3.655981106273695,2.603592178236137,1.2995390538836689,0.5735515435004519,0.5375389634111891,61,61,mde-OM3-13,Engine,mde,mde-OM3,
489,4,,0.8012566198785808,0.4955292995247037,1.9080874945680857,0.246692662673874,0.7457702741128429,1.503850383845894,,0.5888941941360772,,1.9499007731571316,1.7424703099881527,,,0.4449156049242109,1.443403573014896,0.30537480698742686,0.5318535836415096,0.302709588043628,0.48640479296820327,0.5122138858780022,0.7973417546230267,1.459585863353668,0.4950580642892174,1.8014426033124684,1.3340537446329863,0.3132046791086812,0.431885943498712,,,1.0,0.8179066482251562,1.9023784357705078,,0.6394649986002281,0.3386359242852836,,,0.5928450605237839,1.2275848881877738,2.4105557885106843,1.5954513077357393,,0.22002516420604926,0.5817737456820317,2.3677187101008044,1.6063550877490949,,0.7348736265837704,0.5624351721864544,38,38,mde-OM3-4,Engine,mde,mde-OM3,
152,4,,0.8347117301928326,,,0.5827983314109716,0.5328654293015246,1.5424173236102867,0.0,0.7205677113032822,0.0,,,0.5981772450672377,0.0,0.0,0.740515732415691,0.2556692776502896,0.20887257086804756,,0.4056628285664534,0.0,0.869313252118502,1.5658850811854919,0.5084271198779411,1.8197655844178433,1.2937986692642007,0.34769671348575937,,0.2735067155863755,0.16134163105015198,,0.20084815441929366,0.7036753985083907,0.39900327106492806,0.5575662165371045,0.3009052237542645,,,0.4713679229584239,1.9516252795956017,0.42357228689962845,0.6894329469936167,1.4007840499017474,0.681179961443193,0.7518687676467999,0.8644900022146315,1.7161701591791885,0.0,0.33137708596429555,0.5267902853298019,30,30,hde-OM2-2,Engine,hde,hde-OM2,
339,37,,0.8771791775393228,,,,0.32095055868785655,1.2374961880450095,0.547678484230468,0.6752995536678694,0.43893191218353156,1.527927021502633,1.037982757234466,0.40302952873668185,,0.4663763585003777,0.10908250585037622,0.31991328231979754,,0.018835048781379246,,,0.6654321640993204,1.4273405029357167,0.5871739527102094,1.1980373761692817,,0.0,0.27424139223961125,0.6503015970345868,,0.3807101397086716,0.624179766130114,,0.9012141012608489,0.6134754842195963,0.6357061039041119,,0.43889391226312907,0.8420810706694393,1.742221799040294,1.3539238534924694,0.8455851906293178,1.8467346394038189,0.6507519810562772,0.7105433495097515,2.5671312652364158,1.4861071067485832,0.6701964054985377,0.43229712768678613,0.5288003441770267,48,48,mde-OM1-3,Engine,mde,mde-OM1,
82,20,0.5944326587510714,1.0,,0.6223428891885397,0.4343880421016164,0.43038960687299405,0.3511264655031547,0.3228804721575817,0.6018259066905104,,0.43242745724107307,0.062327648342971304,0.3730019848076252,0.18917766469693467,1.0,0.5354878073405583,0.7081354755496818,0.5038729356356436,,0.6209682985536528,0.7368014693383581,0.5493061638668785,0.7961294842609885,0.6066252063827632,0.5184283376625184,,0.3301447889341864,,0.7071892545463315,0.3578175152863712,,0.5145788441135013,0.15978029336274102,,,0.6817283513376812,,0.3072900296118088,0.3188844134540951,,0.4053096945817618,,1.2127578999027309,0.7098801987550728,0.5530680571095834,,1.9160053732679436,0.0435390541541805,0.6271137642052361,0.8126136066339252,21,21,hde-OM1-5,Engine,hde,hde-OM1,
1011,270,,,0.49051014055474856,,1.5246277044280476,3.4505305926757224,1.4836234740056822,0.5020010770617049,0.24198183468442594,,2.4058085244585103,1.6400522108608846,0.3866409780898432,,0.7973077980976384,1.1428962847592292,,0.7444057770590486,0.42327712275048346,0.6234149065059449,0.47592128018094854,0.3570817858422101,1.4461913718546122,0.4721396975984646,1.2536536360739126,1.6233556691874078,0.5025824019485207,0.596542773741984,,,0.211847709565454,0.40634681414502966,1.3042666004172847,0.12122218205730824,0.2436327724619238,0.6466911228867638,,1.4256304225160534,0.8219299432083493,1.4896713542127178,,2.417403138791732,,0.631198661049442,0.45491937640620594,,2.4190106880189735,1.765918750263991,0.7114625868647337,0.350104079574865,48,48,mde-OM3-13,Engine,mde,mde-OM3,
596,17,,0.3878113272220075,0.47497902327541464,,1.7524252045870514,0.5462269504571381,1.2907788833786764,0.649087070838663,0.3543717579465209,,1.5765873989687074,1.3724581900338644,1.0,,0.8094395181964334,1.6693500575669549,0.31251297538436923,0.43647216985115406,,0.0,0.8279098228283462,,1.4342158666771005,0.5598003302376199,,1.7076103101243953,0.6308623041297575,0.5983523747213756,,,0.4525855567241853,,1.6264954272237422,,0.2452011551487722,0.5512190344338376,,2.0,0.5859884133997281,,2.7007121597159944,2.9852269165507135,,0.4789665342238818,0.5509901301984133,2.5417309896544307,1.5245480479923836,,,0.19577834695753407,52,52,mde-OM3-6,Engine,mde,mde-OM3,
181,13,1.7007809494179043,,,,0.6280059015811028,0.4851591231889147,1.7256736101638177,0.4582666978869034,0.4327421732492751,0.4479836223785628,0.2749004998332213,,0.11597381932941782,0.3847632138464803,1.0,0.44603436986684125,0.7024554016828989,0.8325593350390559,,0.5213696968988442,0.21951108869443772,0.5102305296870006,1.803364575402564,,1.6432887484136498,1.3797055599987167,,,0.664934914091412,0.7716373746244651,,0.4469212306449401,0.3769374509875634,0.36549444095997935,1.0,0.8651548730362666,,,0.707916260803065,1.5838563386714097,0.22675710196582854,0.5415753070751366,1.8232691777401302,0.6291728978809674,0.7088496163913267,1.5006862449949048,1.6231734899207595,0.7389897722984753,0.48841538452486805,0.5519200911641725,33,33,hde-OM2-5,Engine,hde,hde-OM2,
130,34,,0.549694051345701,,,,0.47500140209702035,,0.5511827170738066,0.5640806042444642,0.1009036617036394,0.6442282314937734,,,0.8571327138482463,0.5566752797292643,0.43313026531824705,0.6834990254679565,0.6798073183149496,0.5816023710711885,0.6352508872406295,0.5727054120207229,0.5984419884543252,1.477415583887137,0.352653095759144,0.5022150937625811,1.5361279559246115,0.6380529089765722,,,,,0.5053489161622127,0.25294722881831605,0.5830474541673352,0.6947947891978222,0.5217267492001758,,,0.5712505535027086,1.4021780548343457,0.5996090655384431,0.5786088478724968,1.611898807871378,0.7507686781121466,,0.4083521245375419,1.5043905085104736,0.2966475970806911,0.5234902299869963,0.801824438750513,10,10,hde-OM2-1,Engine,hde,hde-OM2,
147,51,0.4907442419106947,0.5465933568337644,,,,0.4401125261464066,,0.8323954069314065,0.365622076656308,0.7723675289102859,0.13076872760220723,,0.36393187254720155,0.45837395154167243,0.44130723508661446,0.018091346457568068,0.5039264380282237,0.5189979733951,0.8673197915608503,,0.6325549768170149,0.4427906343326358,1.460031700275115,0.6815928549811364,0.9696116993774119,1.5510822768186634,0.9351112649997726,,,,,0.4639862252706454,0.22903365463168973,0.2835415782881722,0.7857532724980112,0.35163498102905205,,,0.6033486109104386,1.3628993400650864,0.15871807056964704,0.6410013528285233,1.6091085711200273,,,0.6462212178680837,1.7908308978994847,0.15307441076692513,0.7630178783361683,0.20008251854100725,14,14,hde-OM2-1,Engine,hde,hde-OM2,
216,5,1.2758761084916115,0.14682601798736908,,,0.5986750941517455,0.5432497929566007,1.2562801678932156,0.9721232170324261,0.47858055440122704,0.5535708047339283,,,0.2713563424587514,1.0,0.4700421800448778,0.702072694868877,0.5685705835735878,0.15717494074404326,,0.4953786890033628,0.6080479506618893,0.6143195443140991,1.3341716053081538,0.4928783788795121,1.7440844089458454,1.5557374496321943,0.2826834442899124,,0.5860571004552143,0.7769506575938844,,0.29272688217280973,0.06523118975462054,,0.4375416259684591,0.5443840563595322,,,0.5230614280371608,1.5043748950862437,0.18560564279149672,,,0.4299775203903483,0.4856870213136087,1.528265043484795,1.609528711960464,0.3555352667370883,0.1600361248559052,,45,45,hde-OM2-6,Engine,hde,hde-OM2,
41,31,0.1952377026020939,0.4131142727152239,,0.49543718851667784,0.14629237633286649,0.4244166805049542,0.18927741435105472,0.2847823601509969,0.517712138750896,0.31265463491085044,0.17016212628849162,0.5068514168096729,0.4404336042437486,0.570014274328855,0.20273013517781638,0.6096172132058088,0.35880497906163117,,,0.49724072553865684,,0.3379832092229223,0.5942567684110951,0.7956209678718236,0.621972695187311,1.421742197344745,0.2988208365645138,,0.7527082751621893,,,0.44268019124976166,0.584111633718772,,,0.49986917507761147,,0.3627182618865994,0.3225141324703616,0.6635227116254767,0.7373248426099303,0.19794493683480383,0.32610065036261193,0.31347960786593887,0.5617901555229098,,1.679750544325229,0.3742351749811925,0.5815370103334828,0.6259065799970237,10,10,hde-OM1-3,Engine,hde,hde-OM1,
79,17,0.2778796523081609,0.33940032418306404,,0.7661996808981526,0.6912486400110106,0.7979934723120304,0.0,0.376442258545274,0.3984106871652241,,1.0,0.6009118097245444,0.7087504271922941,0.47992683420267407,0.2517257395164666,0.772390879174163,0.7578227433885023,0.5187007791636492,,0.7003569720488665,0.34875066650251957,0.6144832708731889,0.7518990660454604,0.3878806785634519,0.4222177607539679,,0.0,,0.36003201729700757,0.20710143267607833,,0.6439081548717525,0.42677561985347345,,,0.0,,0.8983225781753713,,1.972620125595974,,0.46798427864831316,1.6910983472053074,0.2024756008449322,0.35882496848029544,,1.617577494091774,0.40134181886028547,0.8064133937751176,0.8609411503778186,20,20,hde-OM1-5,Engine,hde,hde-OM1,
689,37,,0.5042288528603591,0.504991281371461,1.1857195836981607,1.30810681951391,2.3997873056860506,1.4128480990735375,0.49352534584394336,0.4640794112239765,,1.3688586324073615,,0.2993107041936355,,0.9530518549409832,1.4763847774592613,0.46636184287646276,0.8104182260776818,0.49396436506586827,0.25883468637308293,,0.9821179635393915,,0.31100748726231164,1.706062741512591,1.5441104838402375,0.41940238163818716,0.3021687219787062,,,0.6223023739511355,0.1879047701269403,1.4964453781979925,0.3752408656329889,,0.43928829366293903,,1.3597679808949743,,1.7532349243603846,2.502503240429093,2.7395448394427917,,,0.44634138556475655,2.112871033167807,1.4477602495426436,1.6914342163310812,0.5379061872171109,0.5433682766989487,63,63,mde-OM3-9,Engine,mde,mde-OM3,
125,29,0.5660476594201586,0.0,,,,,1.584214758217441,0.19022858081374647,0.4317556746064583,1.0,0.32014914107665104,,0.3482059580226927,0.20701465837461425,,0.7709293266909751,0.20252518083024756,0.7346551878062397,0.39489556618000105,0.8210823803235114,0.6180509532473775,0.490363465604574,1.4249066278139604,0.6287490453001549,0.42653961130428386,1.4351723815754096,0.4996923912048641,,,0.6889074982366523,,0.5234067245135864,0.5808989573981218,0.6286645783471128,0.0,0.6219272251986514,,,0.33058718044691254,1.1188760989285964,0.5997134001527351,0.5522503597067021,1.9397897712457464,0.6206455513044008,,0.7827737962054626,1.399871088220214,0.4622200612072058,0.6157156270125383,0.7835847056594248,14,14,hde-OM2-1,Engine,hde,hde-OM2,
860,119,,,0.38646603280502706,,1.0281850167696522,3.5996704907433417,1.6340311609929352,0.2944455263701125,0.6185093507554859,,2.914090959121928,1.2026380299683617,0.41969986561397304,,0.05791460997778169,1.7363620932433705,0.10938231840685031,0.46100940508846217,0.7462775413992349,0.5496264886308282,0.3061676600329858,0.7402366243444869,1.5112825511794348,,1.8138425061651895,1.7565842121035735,0.2827630749964124,0.7186110502799544,,,0.4676086478936861,0.4815374235788123,1.4088412422419585,0.581509021026395,0.38704720419946953,0.5424567847096624,,1.2204132452747394,0.3362581551871044,1.3981848313821148,,2.407626962533082,,,0.6776649486172436,3.39881746155935,2.713281892953356,1.5106833682599883,0.4826678101499234,0.5217572035302162,46,46,mde-OM3-13,Engine,mde,mde-OM3,
28,18,0.2178564909565808,,,0.8029928924786209,0.3583700680683793,0.6196992509767583,0.46308802621589046,0.24182572699344212,0.5000522578248782,0.6615195175329285,0.0,0.6647814486108272,0.3469438540261808,0.25225197339658756,0.4792402744857126,0.46422057966228286,0.525278930024803,,,0.2101104280122313,,0.14325421472764674,0.6250300551749131,0.7324716033839165,0.41588580050129326,1.4135601622480345,0.5709794534607259,,0.525085892386547,0.5420932018884351,,0.4215880586125078,0.4797625505775231,,,0.3690775806530325,,0.18910260485101238,0.6101990473170952,0.6186557193076991,0.2040660070043642,0.56392066430244,0.0,0.6803817838850257,0.1645810712739169,,,0.8419156467649274,0.9500199410994945,0.5067782793460412,5,5,hde-OM1-3,Engine,hde,hde-OM1,
916,175,,,0.9374829006554105,,1.7120322573196676,3.0,1.9786111021023236,0.5094501249259894,0.5671889933801042,,2.870303190162933,,0.422713860520323,,0.5614570362387179,1.4921478052660717,0.9427517049541506,0.7655530582213212,0.638209112306535,0.42493118287646386,0.4421417686740895,0.6165843442312892,1.3534849496892052,0.8135929882667642,1.4628726925865487,1.7799249780649387,0.32441561958998616,0.6064237572644903,,,0.978501841865845,0.1768831906858763,1.114559655496182,,0.6381119766311786,0.3963291646319923,,1.7229378895936995,0.5624225036291552,1.7650240416874508,,2.4024730321782224,,0.5869024864880439,0.36586338538052726,3.6727040895182355,2.635237527962345,1.6582774318797227,0.765617185656406,,45,45,mde-OM3-13,Engine,mde,mde-OM3,
419,36,,0.26536864033322827,0.6205980988748604,,,0.5653182556696474,1.5659864150605625,0.3344515037578181,0.509069290637848,0.5524102130228729,1.9496897281774181,1.4858608937208073,0.5943760847555802,,0.5413163686322304,0.6111485027612624,0.4334741265854563,,0.3135621848245047,0.6998850524942903,0.6182868613125069,0.6650570892253117,1.3211262611430803,,1.587077736616029,,0.226776036940333,0.522633950067885,0.49436546922470115,,,0.2757800084598498,0.3290578041022091,0.7844186914966202,0.0962809151917418,0.4777371510725204,,0.5872721208538041,,1.46412344454001,2.7618906900657603,0.710396214286697,1.5716984338970803,0.1406047860429871,0.7318056822221324,,1.2833195967847268,0.5972191793878702,0.3356392019880116,,57,57,mde-OM1-4,Engine,mde,mde-OM1,
546,0,,0.09787495395569233,0.7428999311630144,1.8664353477650273,0.6605938201349113,0.30923244730069444,1.5712152402518478,0.2108604641689782,0.671863185936758,,1.1676183793813832,1.568655220366788,0.37939051350424824,,0.4557171285569686,,0.45590077017754294,0.3581807178483864,0.26290528350085535,0.3331785121396781,0.5496463222882235,0.41907943886216453,1.150687307490292,0.06857049448415337,1.3360906681963955,,0.6578485897763272,0.5560587070662167,,,0.03461361649105169,0.3769187188247423,,0.5071268570611888,0.6278256722024264,0.6311374346760901,,1.8021066607318594,0.5994693132249945,1.0549747748560054,2.4054789604918208,2.7868370682183743,,0.0,0.9122668822860537,2.0261129459249436,1.3375080343840549,0.4388577807763222,0.32516425665381,0.5361323334429574,48,48,mde-OM3-5,Engine,mde,mde-OM3,
804,63,,,0.46488791763258003,,1.2795026592008916,3.6258065667762263,1.0611494838350022,0.5276480687490703,0.35978298791841284,,2.631746834081453,1.5768735768687232,0.4830206485402006,,0.6681543789004927,1.5092273447618179,0.35762842565126546,0.7289573657570227,0.5296698020765113,0.5555151553844206,0.5639618336734455,0.504917429469531,1.5920995341230784,0.35359331926522247,1.3082784812464874,1.4419269222824764,0.40794935532100723,0.5054137117511814,,,0.22549852666020623,0.42257853926242084,1.353720866644548,0.5360319104683997,0.4810706566578236,0.5346822408724261,,1.608335708184708,0.8141723213676217,1.6530507234611185,,2.4687277649018236,,0.45710413130535277,0.42816996592295403,3.520710357855494,2.3835391985132097,1.642309603108956,0.7676802898230045,0.27467864805333503,48,48,mde-OM3-13,Engine,mde,mde-OM3,
258,23,,0.9556812205405993,,0.6955213990229245,0.5488133688623118,,1.4063733718773368,,1.0,0.441688130072824,1.419597544243573,0.23485386852221896,0.7047717064397585,1.692490036823484,0.4940088180343017,0.6420499379968083,0.7460185209945532,0.3280370004357561,0.4301654164224855,0.4640387406199515,0.48383059894733943,,1.9132280668273398,,1.3175444872321191,1.4937995296951792,0.12005498979340717,,0.4281816720038644,0.2060965440127081,,0.26344567473464175,0.5888247977297764,0.955102495181321,,0.7298116988891191,,0.40225741503702994,0.7500226586194363,1.6574921165782264,1.1995207511129868,0.33436610070342404,1.0,0.3614829771122138,,1.712722099467295,1.6235320113110623,0.39958517413502004,,0.7560399322777374,52,52,hde-OM3-3,Engine,hde,hde-OM3,
681,29,,0.5591973933074628,0.7879466883910486,1.8268907657150764,1.1616226671656844,2.902434718123935,1.918131147236574,0.8181253467126516,0.27646196091221664,,1.6430315217131495,1.136172049752715,0.12395053227794291,,0.37399902642806954,1.5295925827231551,0.4347981723956355,0.3842465942614374,0.2368043190863409,0.3212023201552174,,0.06172016216683524,,0.47107816124025825,1.3826277802772113,1.3965451862112697,0.6184601137983964,1.0,,,0.4035708034490742,0.22481676542999152,1.8536405439307253,0.34439169144451526,,0.8842859759444117,,1.6538778648246546,0.6425163099595902,1.328309007051527,2.3234099264056924,2.497024771515904,,0.5388944621367243,0.3285796694762895,2.5093840693794656,1.1877609115019279,1.8684967739914313,0.46106185598172994,0.036708785618331706,63,63,mde-OM3-9,Engine,mde,mde-OM3,
971,230,,,0.5143591405586614,,1.3363294217258799,3.502246897772036,1.1767708601580185,0.17100951005678816,0.4992395915378604,,2.3428670285473174,1.6673622712632303,0.29128132614367497,,0.815943213306007,1.1501922454989717,0.3457100148993606,0.6434315517782352,0.11829620178174553,0.3104670594229288,0.08812754384241787,0.7361962570631755,1.3613926865824366,0.13141532773295755,1.743853354319878,1.437546147483207,,0.4179775524046464,,,0.549031470175824,0.10064853012729921,1.5164127363185267,0.15780871342053093,0.3465322241475486,0.48297988460592445,,,0.5664402497112655,1.5903112119050138,,2.797912326403892,,,0.7038415444920203,3.4606335989570125,2.9291451838429197,1.6452047674726633,0.5014757559206147,0.3841142155734276,48,48,mde-OM3-13,Engine,mde,mde-OM3,
993,252,,,0.36948824306466804,,1.5229323468105975,3.3657444709692137,1.428128398584242,0.38728862014331694,0.32328127151532066,,2.4041367580258406,1.5379874430534328,0.524326597991971,,0.5563825374031468,1.3137114926094504,0.3181520428888885,,0.11435555317051065,0.31275730295019255,0.21779627703370508,0.41071155845486973,1.5858848922762248,0.35018439340956525,1.504618340184594,1.5577479061044832,0.3813155672702863,1.0,,,0.6737518287961402,0.511873181311261,1.6171703960330848,0.520370104559241,0.5949661195281944,0.5714880206995689,,1.5208551700381872,0.7167371177197436,1.7980353415002008,,2.6750381450450176,,0.7242665512174516,0.7368035120344063,3.5049028749129705,2.4575413975621307,1.3315803987269195,0.7607591131220717,0.45707733721388616,55,55,mde-OM3-13,Engine,mde,mde-OM3,
