R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
1,0.36333333333333334,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
2,0.56,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
3,0.65,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
4,0.7266666666666667,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
5,0.7866666666666666,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
6,0.8066666666666666,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
7,0.8233333333333334,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
8,0.83,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
9,0.8466666666666667,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
10,0.8533333333333334,SPH,-1.0,-1.0,1.0,10.0,0.25,,,,
1,0.33666666666666667,RF+B,-1.0,-1.0,1.0,10.0,,,,,
2,0.43333333333333335,RF+B,-1.0,-1.0,1.0,10.0,,,,,
3,0.56,RF+B,-1.0,-1.0,1.0,10.0,,,,,
4,0.6333333333333333,RF+B,-1.0,-1.0,1.0,10.0,,,,,
5,0.6766666666666666,RF+B,-1.0,-1.0,1.0,10.0,,,,,
6,0.7133333333333334,RF+B,-1.0,-1.0,1.0,10.0,,,,,
7,0.74,RF+B,-1.0,-1.0,1.0,10.0,,,,,
8,0.7733333333333333,RF+B,-1.0,-1.0,1.0,10.0,,,,,
9,0.7966666666666666,RF+B,-1.0,-1.0,1.0,10.0,,,,,
10,0.81,RF+B,-1.0,-1.0,1.0,10.0,,,,,
1,0.24333333333333335,CPI,,,,,,,,,
2,0.3433333333333333,CPI,,,,,,,,,
3,0.44666666666666666,CPI,,,,,,,,,
4,0.5133333333333333,CPI,,,,,,,,,
5,0.56,CPI,,,,,,,,,
6,0.5833333333333334,CPI,,,,,,,,,
7,0.6366666666666667,CPI,,,,,,,,,
8,0.6833333333333333,CPI,,,,,,,,,
9,0.7,CPI,,,,,,,,,
10,0.7366666666666667,CPI,,,,,,,,,
1,0.4,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
2,0.5733333333333334,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
3,0.6333333333333333,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
4,0.7166666666666667,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
5,0.78,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
6,0.8033333333333333,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
7,0.8266666666666667,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
8,0.8366666666666667,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
9,0.8533333333333334,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
10,0.8566666666666667,Tailored Approach,0.4,0.9,1.0,10.0,0.25,0.36333333333333334,0.33666666666666667,0.24333333333333335,0.728
