,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,target,noisy target,group,level-0,level-1,level-2,marker
953,173,0.13001810111411663,2.66280951821197,0.730564201314427,2.252182121353884,0.5465031737607077,,1.5550162021160188,0.42294579116329784,0.3344419223025023,,0.4083653226867798,,0.5795833410048616,0.49040701164325473,0.5433182835593727,0.5709258829568824,1.4920063352971507,0.49640094813274727,0.5481435951770937,,0.6286173631719129,0.4056567043097896,2.3414463381548902,1.6109863047598818,,0.6318874997487162,,1.2604184449301072,0.40339643570066663,0.36286199345271175,0.6704296684364969,1.4953396168013322,,,,1.4595916650716996,2.3998315976580313,1.1443270245277022,,0.5653128740070679,0.6998453177802855,0.6199523103801803,0.6017444227361721,,1.6525176830291763,0.7925608774547626,0.47776170540422336,1.7016270521427779,0.599642478457221,0.4101365367892948,37,37,23,1,1,5,
968,188,0.0818202659598058,2.542943074443654,0.35625526387894524,2.4948069283624688,0.7600571468935391,,1.6497393131842624,0.3880758965115887,0.3507683778073389,,0.11588790016408905,,0.5865817892953165,0.5598799941983007,0.07246257943191274,0.56942597230692,1.3355285588321055,,0.0,,0.6685586404230147,0.7653785573436326,2.794394164890684,1.5297704030001198,,0.9099222277526811,,1.5181160674159457,0.65765716381919,0.04891349760596247,0.1719528734481618,1.0906103186441751,2.1222535356100583,,,1.6316987740491844,2.329290458745926,1.661021204550912,,0.3991460139695342,0.5777215831089673,0.4321056094105331,,,1.8525521635606264,0.4778750584704051,0.42542092872127507,1.4092008668773905,0.8076247475446161,0.8544502882694234,36,36,23,1,1,5,
647,71,0.5611103702560203,,0.6538933916714718,1.2554562434170755,0.5891578501472104,,1.4907197629968163,0.44911675345962987,0.5054041064468123,,,,0.5522083245228473,0.2843858023249952,0.2742840192434936,0.4531135907730708,1.3788098340808022,0.39268015305498655,0.6154622894178735,,0.5442598231201796,0.4119662051168434,2.5078361044522373,1.5651761075639965,,0.48275056703643177,0.6729043548845429,1.2894495628065945,0.4746993378763381,0.4074087774689887,0.6792428833527027,1.7671965055979268,2.5252754014119474,0.4503743069406249,,,2.535331227962738,,,0.6124722890489017,0.2423211108261869,0.3936143757402532,0.20911611729109092,,1.4994689125894745,,0.6254180640058752,1.8681995047918576,0.36225710273810907,0.4587643463684253,7,7,21,1,1,5,
914,134,0.5394344306911365,2.3375555788466515,0.6785688972148287,2.211180616620948,0.6529903169117695,,1.6653396845245765,0.36577369356235884,0.39395583825599295,,0.30265780678907706,,0.23510444464180047,0.3741290596480143,0.13770454565442367,0.7487366436614777,1.5805262652570637,0.530290529280507,0.27283718782589367,,0.49726232723676533,0.36965141094180093,2.5162491000463763,1.222421177565769,,,,1.3157404931124654,0.5535069338895348,0.2663614794007607,0.7699097582332223,1.7067161706381209,2.4478483386015633,,,1.6530970675544303,2.722810835577404,1.4959075063494975,,0.5042769997110728,0.7183128294380352,0.19482188865138364,0.8402030657502233,,1.8030534275005505,0.7723664342156813,0.5420664558328304,1.3612524813720666,0.4410699398113495,0.3750107432838464,40,40,23,1,1,5,
795,15,0.48330106575339393,2.462057208220604,0.6668406233295142,2.438429537237555,0.4699182938741334,,1.5498668976711856,0.29792665538180985,0.3398780595717546,,,,0.6845009128395966,0.3427483486513257,0.492983960285377,0.442029984853177,1.4476324118042219,0.6105617097713041,0.600490151432407,,0.5894749793857876,0.4679542044018313,2.473784258866756,1.5926767171472762,,0.3858059380103188,,1.4750054797415646,0.5017933997244174,0.3433767395155652,0.5395237119454149,1.6390266774692974,2.5364357655580974,,,1.5569941457328005,2.6214766744612827,1.499894490705421,,0.5729732030734179,0.39741450251226884,0.5764195909296711,0.7645042220747843,,1.427382794422087,0.42662514883657904,0.5799420683290544,1.181040178149233,0.17470037228214508,0.531409048895488,59,59,23,1,1,5,
402,2,1.0,2.5035714736396253,,1.2126808720010387,0.5971656381011614,,1.5687112015083078,,0.30418787043126666,,0.4419080729897328,1.8709457691790057,,0.5114974707327755,0.7935669696357568,0.5292537157504894,1.2195624221951178,,0.3793184490863332,1.7408767492405541,0.15621610690463736,0.23780043653412367,2.4303000073460126,0.6286466957018713,,0.03137667778496722,0.547226164940882,0.36336397156548406,0.4300167331884739,0.48801237454705243,,,2.4693777436456745,0.17998946267159754,,0.5459863198928284,1.6894158709770175,0.7197581876771865,1.382710281293578,0.959975896928876,0.8266685517191251,0.5792703981236419,0.712932576771622,1.948883987565083,1.5318754758043835,0.3829846131096212,,,0.32443121088249655,0.2781057712196923,58,58,17,1,1,4,
217,5,0.4759376757819061,1.6055874483016266,0.7945119846201101,1.5849207211930514,,0.17952278373103311,1.4350390382646436,0.7945724278467945,0.49235666246358845,0.28447042582862314,0.22436131683217017,,0.20991013881421022,,0.8606639732641925,,0.6319987018816801,0.566788718151265,0.655597187468836,,0.2209575799452019,,1.5399291730954165,0.6733357839532139,0.19848282688557908,0.5871568190452683,0.30821229647782333,0.3808633348365578,0.26651890598347283,0.43396406748585725,,1.0641767115961291,,0.5721516282391635,1.481334445474984,,1.410692362255942,1.0,,,0.7015766115828731,0.5544661280548625,,0.44978841171785605,1.488944037334017,0.2207912823908981,0.8601727925842781,1.4173739743256528,0.05557266795772603,0.6317466207521919,32,32,10,1,0,2,
548,12,0.8480097427202934,2.5797040787930476,0.6658168098505958,1.1832574568541945,0.09441028926250083,,,,0.5048281058098534,,0.45694100229659734,,,0.5735791409849692,0.570162513546164,0.8485828021193486,1.50174595356464,0.36685820554405063,0.512051893864817,,0.7412286428527242,0.38519033497765826,2.7848414068788334,1.2093614123005136,,0.2666756046070157,0.7623722447368437,0.3520917265651299,0.7110282576107132,0.11896022879580431,0.6740113796243528,1.7192964815358418,2.0,0.40971505003950826,,2.0,2.4038201037575844,0.4473959673595683,1.6268494689411765,0.08829560499021694,0.3981565770275968,0.21773626547831562,0.42986623653697204,,1.79576691153048,0.5326440262556253,0.4456113357098761,1.7523313539141256,0.5613656914459395,0.8192640184127075,82,82,20,1,1,5,
198,19,0.781076910731346,1.107900327184532,0.43037134132181426,1.52816280569744,,0.14880974548858844,1.9323744779412246,0.6910432468871033,0.42403740269398144,0.375919029089246,0.2567928364797695,,0.19623544011244246,,0.9701860444427798,0.7196167423478212,0.5699056873047845,0.47152020149161095,,,0.8652215684237519,0.7331807164945007,2.0,0.1326126495263767,0.8833554922201106,0.7932686510427207,0.8861422819353783,0.2237401583425068,,0.18835928379352856,,0.46488071066573855,,0.5782443807627663,1.4691563066014068,0.6152240334308168,,0.22528249772617542,,0.503859132054986,0.4347777897382485,0.5521051723493342,,0.6358218143321794,1.4610312615174768,0.6487598496640185,1.0,1.5896796029499047,0.2119248774779845,0.7106645419758549,27,27,9,1,0,2,
110,11,,0.1841049688379956,,1.6420281805469785,,0.4825434324191067,1.4374507722945222,,,0.7940126171951761,,0.09067370914581174,0.7018192856477261,0.4025574375126383,0.5351325999221858,0.6230019096323006,0.19091235655064406,0.12185946933343178,0.4143750907916649,,0.3445915251192579,0.7654607430741058,1.147052682540707,0.6377618026375206,0.4248459763457138,0.6314486270128874,0.7450570690079021,0.999574026445281,0.506554955707669,0.8031594970693524,0.2798533322482584,0.7361496662666892,0.35174843009077233,0.4257225856999501,1.6040356868341035,0.4614281807008645,0.20958660020743175,0.5105791876434668,,0.12723287050850535,,0.831933951666024,,1.0,1.114588255419145,0.8847624529527552,0.4071031785369709,1.4136478951826947,0.3835371372196613,0.5456935010870667,16,16,5,1,0,1,
