index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;group;level-0;level-1;freq;marker
276;;;0.26394106252286503;0.21746183203794783;1.5883644273109614;0.6599317045545111;0.6372160909955215;;1.4665394160209047;;;0.5379888613639714;0.6760614407449629;1.6059074600876446;1.535616340761885;0.932416407660577;0.38883119318604414;0.38708199241967056;1.3673600901007974;0.7551801822382178;;1.5168143601345805;;1.3509597494595431;0.5562307994913649;0.512709619466817;0.2727693590323626;0.5043770984328322;;1.9643602773773376;0.3621770346686399;;1.2633845490110978;;0.4993733850348696;1.6723884787870493;1.4029280264875894;0.3991265237954659;;;0.6717823415928832;0.442077211013031;0.4585975969286219;0.6608825843975115;0.5267057882106873;;0.530381812261029;0.515335426209675;0.5750377285662991;;0.7756254135439755;0.40761981539327796;1.31429486397485;0.8630207996983419;1.4729556097983718;0.7224492391997611;0.6767708058144699;;0.5000793224370945;0.31949597803237767;0.8477642290542816;0.3621368050106999;;0.3996081932028483;2.105758883170191;1.3321892322636302;0.5771966982487736;0.43314866176112826;0.34154043470664763;0.41946856012251343;0.6477492203595839;0.49991034265239037;0.42988552222630627;0.4197131716714319;0.6447966261355138;1.562237586030152;1.2611628748647052;0.28886837879272836;0.2685837861828065;;2.349063231174162;;0.5088102019753589;0.7429596201246447;;1.7127619880517664;1.2318257718092507;0.858056680041158;0.3113999865399503;0.3389964996631729;;0.3933131568591598;1.3400824377600706;0.5096875828365464;0.23414238787520877;1.6368657031760092;;;;2.0846536059174396;45;mde-OM3-13;Engine;mde;219;
9;;;0.7395033019408852;0.4917138204362023;1.9926725985135185;;0.6174329862165148;0.6240240684219994;1.011468439119204;;;;0.3723601264276077;1.5032911891914913;1.6750261642633024;0.2473091612719638;0.0;0.9350935183441662;1.561821995127729;0.2758382348471575;;0.7698484520808426;0.3986487683898321;1.5512622617537044;0.17351016381804477;;0.47486539043449;0.6976508255929;1.7868244770263502;2.0;0.4434390785656561;;;;0.0;0.5560063137085569;;0.0;1.0;;0.0557475852180006;0.5954097617625556;0.6785154338957329;0.7586663758828236;0.09352499247189118;;0.0;0.7083143709809048;;0.8365149605764524;0.42693285938227227;0.574041117572166;1.440653377248951;0.5895282278444942;;0.0;0.0;;0.39273899574052007;0.30821794588597;0.10197153022218397;0.0;;;;1.1053609974286052;0.0;0.8324254754063536;0.4732647765076755;1.0;0.6583118173535637;0.34790690644993155;1.0;;0.6682836637369324;0.5514906623064877;1.3238542775323974;;0.7002190548032939;0.7991451942982104;1.3363079259154338;;0.31953136496974277;0.4843201849369138;0.33259847633922046;1.5619509521008683;1.3422484869222089;0.2041437951188347;0.05192768537507451;0.0;;;1.7806252027985674;0.21933457659606867;0.3550373745632848;1.0802440047071213;1.0;0.8140686066971;0.10628020368886378;2.06194246549543;66;mde-OM3-8;Engine;mde;13;
17;;;0.5598059727093924;0.15703235325219886;1.4496455397442476;0.4300350818844273;0.29323750077432365;;1.4976646699541143;;;0.38360323388301476;0.7753317056105287;1.4544410374684875;1.2986837391927364;0.6708342927695816;0.16574128170406638;;1.331771207111804;0.7421423703806208;;1.4585016308835244;0.9184298248275877;1.4073422461576781;0.2282400086143785;0.5145063728868555;0.35678030238019837;0.12554014252053664;;1.7334874115783165;0.4361479980398379;;1.517734178528654;;0.3578700856331863;;1.4414612408344825;0.21417524759128304;;;0.5027214001417594;0.4805589346794269;0.4511142288551419;0.7943897807681769;0.35690671507728583;;0.6719908435974986;0.869336300912523;0.565660264183469;;0.7489452846363952;0.3394565008257279;1.6020420100615904;0.43699199062022415;1.3281064515212093;0.3858906454188751;0.4784135819558933;;0.7124185415025339;0.38022817609774556;0.4059658390143468;0.6969751250152504;;0.6163867786738588;2.3120802847346926;1.869659114110621;0.5773554043576962;0.35725630835356464;0.2522960468135316;0.5329634414483639;0.5912087937585497;;0.7674962293305466;0.5009657969310466;0.5112070407509773;1.5350261218899388;1.577344923917507;0.6365699287080441;0.3705912073845424;;2.4252291832832023;;0.6884286499859364;0.9119178308824181;;1.587457595940423;1.1362706248353494;0.7057397354886942;0.5014305044346148;0.6935011890841525;;0.6442746441454049;1.3834089717582905;0.36449963286580933;0.4515745381452238;1.1970383085901075;;0.5796177002308556;0.6988506298983483;2.4054795881882916;45;mde-OM3-13;Engine;mde;219;
3;;;0.5017523880758936;0.4297382049428155;1.265129879130711;0.6165215360053355;0.09379509319773151;0.3281672324087367;1.5839871279345905;;;0.37863420008933335;;1.3418005247346243;1.0505719013062176;0.47437706188561646;0.3160955052973039;0.6433642206745839;1.1534508903812766;0.15480573535049033;;;0.7771092660099985;1.3484921512575427;0.08615164332507319;0.8012470900498734;0.07725878078249938;;;1.354993949763634;0.6606475370665763;;1.6523515347309545;;0.8255957290757252;0.5285361748819623;;0.5845086824122551;1.4642298595228735;;0.27704226429900003;0.1029494590713058;0.14598479700065936;0.47078327083029003;0.3563299094924006;;0.4884592795202388;0.2650302140251942;0.657205875246214;0.18461907294089605;0.5034040151531904;0.4057498238672841;1.2806710006761293;;2.0;0.6012493794974568;0.9449849629683594;;;0.1747946695462138;0.466756123826381;0.47449822480355863;;0.7157410356367472;2.752668982207445;1.4673851248539744;0.1304772970578742;;0.4857187823878922;0.24306267359335676;0.4339650944170044;0.17117006225595435;0.6510160445748053;;0.5664921163606147;0.7129207844905682;1.1916803213118552;;0.8528399119025384;0.7078403598392953;1.3900452270296049;;0.0;0.48663375267206704;0.8096259753412373;1.6644214888413944;1.6655601678650176;0.38898333738559676;0.013458117101660068;0.7118042314159245;;0.30180740852919963;;0.5392330092659053;0.6994742423900518;1.552993664624538;0.7770637937021371;0.4740590082964803;0.30283515610355144;2.616953834527814;64;mde-OM3-9;Engine;mde;32;
12;;;0.6327113307299477;;1.0991951908611348;0.5451534072043466;0.31228329927892867;0.8242581615958426;1.6172653230616043;;;;0.3835084353977459;1.0;1.5065946138654784;;0.5561130415847695;0.4499512558539999;1.2612173938207043;0.5483271292527954;;0.5280071784967172;;1.8884391077915004;0.2756999939309469;0.6129656789294192;0.47237434477008744;0.2725391602814037;;1.467475461017459;0.7432802655548955;;1.1193857529008562;;0.43648679303103094;;1.2689910839329563;0.6693176130232877;1.1282244930638923;;0.37428307912042785;;0.8411297294154388;0.3628237472735013;0.9865018519648575;;0.31481826222468856;0.5773092293653446;0.13723501449962144;0.4160965444236086;0.921650939936207;0.5798485767144181;1.6615287678807602;0.296022109137388;1.0;0.26847837162299953;0.5874885873565979;;0.8342780741476665;0.4892358215262331;0.09426667793502279;0.6629304453258954;;0.712961552755017;2.7811930734494656;1.3014328251273257;0.384970777649384;0.5082258476628703;;0.5402844146094454;0.30824648300389657;0.8360983827515209;0.49805501345860653;;0.552867334674538;0.5087401626889528;1.6080301087399274;0.29284071611719853;;0.3522793979422077;1.5148544116026408;;0.472828314663458;0.5571831033682646;0.8912963844377687;1.7230227594389087;1.3071136823970857;0.5195796558118305;1.0;;;0.35383587547804657;0.5883218359826657;0.29553505328761626;0.5700854959091949;1.4899360119688025;0.5814692191845874;0.2918669464091123;;2.715307258403243;60;mde-OM3-7;Engine;mde;15;
18;0.3097186483957745;0.6896126541365443;0.3056324204011205;0.539150266902862;1.3546349474514807;;;0.5634513598026666;1.616297749827418;0.5855027788655959;0.07129538746183414;0.4934986097046936;;;1.4338076286167711;;0.47796210749837237;0.2853868743204568;0.7988004778547383;0.20718928077136;0.6717686242140104;;0.6022165437024906;0.5742521984176793;0.6784397007702928;0.30227146596119253;;;1.4744430304992107;1.5658163214037377;;0.6495578543004342;0.609421015218275;;0.5894080532169147;0.8293068385387228;1.4966537599448375;;0.31091282061490894;;0.40700103779028823;0.5043207309416614;0.68249148769713;0.7614767382390463;0.7030890604765976;;0.507669399567296;1.0;0.1612247928886417;0.23636002418616886;0.8216209481170881;0.5055962623265533;0.5970738043309644;0.44772973701679397;1.4602000300014022;0.6928325736514724;0.7102051490854959;;;0.6881090013468433;0.29421216966660224;;;0.7650300168849067;;0.19430803384985496;0.19326536624428278;0.7752109254750124;0.1315123472679371;;0.4664332649960638;0.5396803966415634;0.6115437897124402;;0.20683365747953597;;1.6164768648697891;0.24075574976035016;0.9069700334413677;0.578746575005795;1.406933953839547;;0.6298047674341117;;0.6410791697927627;0.3497801779353876;1.7225749979835374;0.579141658863392;0.7971871047274897;0.3809648410395772;0.6426335688535206;;0.5371586102265606;0.0;0.3946115641918753;0.18776123974538095;0.5005388714301785;0.21637465318869126;0.42690991794420313;2.2936938727436713;40;mde-OM1-3;Engine;mde;57;
153;;;0.7582326792551712;0.4773973353750235;1.3746385592386146;0.6753269863485399;0.23361809526439034;;1.4664144657202693;;;0.38534413830498454;0.27720565915461565;1.355018571693031;1.5290509850629355;0.5391260891745603;0.22288326483964407;0.5271447893782439;1.3245604908558262;0.4810474346758093;;1.3847275823503984;0.2704687123720633;1.5154761485662007;0.6798384101245405;0.30467252370580317;0.1298382473421318;0.5014072630285524;2.566092178645042;1.421424594399822;0.7522825274050028;;1.482291850418562;;0.506443931818972;1.488254819557548;1.4160217303224938;0.6758403247309932;;;0.812005126365957;0.7974927163980721;0.47060448237007124;0.17904054544679596;0.8754893067664948;;;0.283483110550358;0.485447561835656;;0.7023293898053962;0.3890434500579126;1.4445774924885049;0.6853644074479028;1.4830735493860034;0.6915855554014179;0.4838334774224433;;0.36257188774779475;0.38283772174583885;;0.3032486065733152;;0.14322657709692033;2.2769469812536753;1.1534946569109832;0.6036482321225681;0.671433049290587;0.7757959306883863;0.4466046959687644;0.43423100512779245;0.4363429167908913;0.5980496338179456;0.47246785508479094;0.5695518722437922;1.391133685232964;;0.6076565571054652;;;;;0.27768735333330286;0.2451896447391771;;1.5263929224907817;1.5811116803151362;0.24132436301535584;0.5023345057430363;0.6266353766552124;;0.5738142082098681;1.508022425909486;0.4292553100339885;0.8152567054419554;1.2768717824573999;;;0.33651662094674595;2.2475947577667275;45;mde-OM3-13;Engine;mde;219;
263;;;0.5009602748179999;0.449114266229434;1.509640027480684;0.8857349227318989;0.4230294155754575;;1.2278712303445936;;;0.41303210011340835;0.4038246133658117;1.3804283924142287;1.414654631585453;0.3684789872692691;0.5626465562785091;0.2054221718099882;1.5991635497604242;0.8376466738121089;;1.7496941957935368;0.44263121074078116;1.5210317117633445;0.5765706644257217;0.42450494591286003;0.19265638312272002;0.20450627965674542;2.3976977876075964;1.4893809361280532;0.3711892576899107;;1.3229258613255204;;0.637731750174173;1.648578343368976;1.4209642414616601;0.631186032254281;;;0.6818929974515366;0.6648864057679011;0.4702091808449821;0.22935491092558435;0.35254657619130925;;0.3677385872672653;0.5649399484678227;0.5338771218781734;;0.30033559316119274;0.462510311173671;1.7918732272126818;0.414444433327562;1.4079523545669816;0.4836641232901274;0.654488449708929;;0.4385804541303387;0.8199358176511258;0.44307689645736514;0.8313876177437243;;0.4778683011444631;2.450412155209339;1.5608993311933488;0.3097717837932148;0.4608694787784553;0.06693015849591688;0.39560003269842564;0.3239822158938258;0.15957193173579612;0.5368317874152757;0.21873334297138664;0.6352179971540866;1.3032817969017658;1.4301249621011436;0.5576698369995707;0.5053667273107255;;2.290084261885977;;0.5530077220277653;0.45462593678029956;;1.5792344029738499;;0.49278319782335034;0.17792480157236376;0.38403826095371374;;0.7100246850364675;1.5434795875215457;1.0;0.32585238106813297;1.3761294509031927;;;;2.5647420513538166;45;mde-OM3-13;Engine;mde;219;
297;;;0.4114123710449067;0.5581375702159808;1.5925069546059751;0.5511047824796755;0.3828787424715972;;1.538754091693301;;;0.4243947633168311;0.2846447537823904;1.341121617261524;1.4538057855084912;0.578801458105108;0.43747606260161037;0.23347086934071384;1.3962351371991337;;;1.5116544251668436;0.5071862277306698;1.2809536491944833;0.5594210907056829;0.49756121929360453;0.35466316249491237;0.5337863915946913;2.507863219499775;1.2530096966656548;0.7299083977219809;;1.494109591240416;;0.6068105239273432;1.7792829153215937;1.3333515434095706;0.5084065409536488;;;0.7131054906026982;0.8776314862607392;0.6291367561551304;0.21810103268474523;0.47830008318706957;;0.6380364806845386;0.785668873561188;0.651316918635685;;0.44681891568134124;0.5586206020124047;1.5667140486251732;0.7096933263124381;1.0470612870042844;0.10683938207969824;0.49300205373344247;;0.7487622063678616;0.4507216167377576;0.21446506972701665;0.33380797209560426;;0.44519920532600843;2.552262856479352;2.0;0.38512504060132385;0.5619659884638617;;0.31930275270853414;0.7086039885574258;0.12960445455329264;0.4720518913278917;;0.12596940490747063;1.535830546508124;1.5747994735658633;0.45090686449851536;0.34905168871751074;;2.3923008038690017;;0.4630780286589647;0.5722851312820559;;1.6779789724926522;;0.6310383145129398;0.3468404365200904;0.6006865211844178;;0.6202945974819759;1.3775037653484916;0.5124706367373926;0.27880582270131143;1.1433421026024717;;0.09397539000203259;0.15921273957507462;2.5537338233369176;45;mde-OM3-13;Engine;mde;219;
7;0.7274533470787117;1.0;;0.2657733308733278;1.0;0.3197338822828883;0.0;0.6923301749455077;1.8584852702216663;0.11971722699058587;0.0;;0.0;0.5254298105489674;;0.8985300923523284;;;0.14869712141548516;;0.7380948212351905;0.8901518227598604;;;0.7951271156288088;0.5258377011426763;;0.09366211852414964;1.3443385476069127;0.22092519873935215;0.07053670496356106;0.12093311446102396;;0.8453956068361325;;0.3952664506719572;0.9800085203283341;0.48873384806363807;0.0;0.5821590764063744;0.3883886039814245;0.9758187254053531;0.314627577201305;0.7900526910169196;1.0;0.544955381505995;0.6810883011258794;0.10839263617188948;0.0;;;0.41430565696160593;0.6091406833148034;0.1332997966821304;0.21747161327851092;0.5162633129591706;0.41153493619211695;0.7117219965352919;0.3515679479377203;1.0;;;1.0;0.7733362109930633;1.5605863591903835;0.8430041938455932;0.16093099670467806;1.0;0.5477814622115907;1.0;0.0;0.16326479734520047;;;0.14008162885339795;;1.6128266560385065;0.19222533848129003;0.1641629369391414;;1.0;0.8429266969575994;;0.29266616860651246;;0.6363812396767782;0.8180725822808419;;0.4109595130861384;0.49354211436543216;0.0;;0.670031065577861;0.6739230375415847;1.0;0.522311456624804;0.7260825594071818;0.0;0.18536277164497605;1.0;29;hde-OM2-2;Engine;hde;10;
