,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,target,noisy target,group,level-0,level-1,marker
389,6,,0.28651892397296813,0.5123295713622014,,,0.6795759075988375,1.8573955070986732,0.0,0.35060911412509543,0.4695716070229802,1.7679617038398945,1.4768643058889706,0.1618274837549933,,0.6578452805047585,0.3425318570340022,0.06169275844235548,,0.17348935800961887,0.39597592806752246,0.5978532494942898,0.14199758047697048,1.9291238063156793,,1.3379742351334862,,0.5845288432145933,0.6842417497835157,0.4936622191926315,,0.4825978720342226,0.4699668941033947,0.38797612605500104,0.3308988006392203,0.6174066124976413,0.423739732426517,,0.22568289467106456,,1.3171426540676536,2.8402468312461795,0.8764351026633933,1.7805233444769573,0.7595554307113332,0.7050650125532136,2.533501637367086,1.2815335721324024,0.6157738504681354,0.2135102586260152,0.7830355307283116,62,62,mde-OM1-4,Engine,mde,
339,37,,0.7114220227832297,,,,0.5825648902216083,1.6618437300499551,0.2804918067062164,0.8110437987723544,0.35535877458422505,1.8656523912967735,1.9285981605272609,0.5613944605893854,,0.6812725631177199,0.72460959862205,0.5420014739519182,,0.2401917551858657,,,0.5387980038802157,1.2064284881763483,0.4222708698638126,1.5138447287056547,,0.5810627576816394,0.7100926766135106,0.15125180302556107,,0.5209942192137113,0.6782492690635242,,0.37560975538706415,0.17785699372879807,0.36169185870284287,,0.5912233531198334,0.7136945415339214,1.7168426234093244,1.5977996465676352,0.518607446211787,1.2682097504732452,0.7123947244955752,0.4753943442916909,2.971554463598007,1.7253147792652623,0.28172190410043946,0.6093695685930879,0.2350499258916557,42,42,mde-OM1-3,Engine,mde,
764,23,,,0.8729132540659177,,1.3071483214131063,3.320104650796786,1.7637602968020074,0.09756852700587772,0.549800176543251,,2.310560712175467,1.4031614167906954,0.8063861485496941,,,1.2506277337879996,0.5213471286859053,0.4006741389998647,0.5653481083523435,0.34466271962610306,0.49373725472500224,0.46639492298436885,1.3508678359181279,0.649990853850843,1.757707913552955,1.6511042793981183,,0.6332523935924347,,,0.7228064034632198,0.5790858068247843,1.553138679078626,0.5222928012738184,0.5202730855650725,0.5289372022736,,1.276231494745225,0.3867931459421491,1.965526220082535,,2.6510283035177657,,0.0,0.7198243968226483,3.3868988198593453,2.579832083979445,1.2383656884261343,0.38105671534996766,0.2768316690940375,76,76,mde-OM3-13,Engine,mde,
222,11,1.0,0.42851975906879136,,,0.8032098899792722,0.8346158625178476,1.7320627443478505,0.8124760814109713,0.4242250333301578,0.43028759825962287,1.2555146404148894,,0.6150101635353326,0.6422700297067028,0.4102849167940543,0.6596174425733669,0.34288598947142707,0.31851656546274215,0.03289268827065723,0.8223513126402715,0.5191993106961785,0.4827573335210003,1.653863453822606,1.0,1.2189394602468329,1.6418714373042635,0.0,,0.6035784158742608,0.25694133870432656,,0.0,0.6707365070894619,,0.3372353020241366,0.25378584126272086,,,0.13315807407316016,1.0,0.5064771749041893,0.8176800604544251,,0.3140621636911256,0.3032363378366049,1.5240096161257803,1.6377057067932097,0.4744282524057908,0.6145294236672201,,46,46,hde-OM2-6,Engine,hde,
176,8,1.963073334753386,0.34681952584719405,,,0.6043360640153952,0.7514107848421717,1.5567051897166853,0.414041672921852,0.9298217762225642,0.33656833191701757,0.45140901541828815,,0.1543194441747051,0.5363876599438117,0.30620886767245054,0.7736820383105554,0.15368596958219846,0.7220067534490247,,0.4723326397056572,0.6464506319821505,0.15087742231652182,1.2974019270542825,,1.6513547377744202,1.1923215380692793,,,0.21255139529823108,0.3184068518471183,,0.38022815326644616,0.380421974083537,0.7381968222202082,0.5329018720689104,0.949064829026155,,,0.5774646562518537,1.3610400470105333,0.16138466085582087,0.3356023151020851,1.4645162470300965,0.4965797976461169,0.6381247358965576,1.0,1.167074424117105,0.28904200776775624,0.49628601530277794,0.4382604742712861,37,37,hde-OM2-5,Engine,hde,
17,7,0.08450637312615783,,,0.5969835271454987,0.1023789449117886,0.4745546461540069,0.19616682018845372,0.4048651692493305,0.4421658068676231,0.30109452477330295,0.24601852067027427,0.15531521764531747,0.9880791343257295,0.029650230139824343,0.7396208630285416,0.8167135351075901,0.9070112978467537,,,0.4513384439752306,,0.47146807236131744,0.39386464663213777,0.6842037872214227,0.5426883216611725,1.5903595577621146,0.4548416955624613,,0.42311107027146083,0.05124865841378048,,0.633335458573294,0.17717736367739761,,,0.470852900678539,,0.33396998966075303,0.38081260789805466,0.6255412788592737,0.4365536857466114,0.2976058014502544,0.5066266859743045,0.5059273021765823,0.37940426536213523,,1.1312125442854526,0.32733570592031774,0.5180128927955252,0.8753370221967258,7,7,hde-OM1-3,Engine,hde,
579,0,,0.6358290816750468,0.9869069156349618,1.2668818067709793,,0.4423253651548149,1.5927269637793884,0.4334761636280704,0.5934678900019503,,1.7366990105920994,1.5990498040425063,1.0,,0.6340594717602624,1.3162512924497465,0.4510577020916596,1.0,,,0.23138133770646696,0.5069740023983408,1.2171150464943616,0.6711080425484235,1.5435663636520238,1.572480703112856,0.5100894582154376,,,,0.3228107074106325,,1.660189995090779,,0.5436768679538754,0.5649695743209365,,2.0,0.5414636831040217,1.5350767073391336,2.9462786179865352,2.4895795311166014,,0.047415359948092546,0.33235554177890336,2.6200583771148973,1.2194941560005799,0.6019372702883573,0.272592335041348,0.6849176550774634,52,52,mde-OM3-6,Engine,mde,
423,40,,0.10250756282090803,0.5589536490447653,,,0.2505467921856067,1.4738633428022951,0.351294321021205,0.4865663961640356,0.7938611006419455,1.6646554153918243,1.528200570780031,0.8367122792133481,,0.7421925858467495,0.5295596209207163,0.351995578057617,,0.42198072314167456,0.7346273810855593,,0.7212311535221158,1.4600159769203263,,1.4212200267289439,,0.6404693075725736,0.4445144616501288,0.6206497628964469,,0.6506561947410507,0.2950647660197036,0.9096856355132263,0.2876319888864106,0.5893523516447051,0.16513372492818698,,0.36398935088918755,,,2.1183121628879684,0.4698464730700142,1.692730312373051,0.5456702967782271,0.30000841183163507,2.2932578723647423,1.3162831053094166,0.4766501685666126,0.4611401355819947,0.572544944638377,63,63,mde-OM1-4,Engine,mde,
543,58,,0.405620269123669,0.47893062508921397,1.5667703239609292,0.9574387148604097,0.7379416428174455,1.5163194759131409,,0.8363285844459196,,1.709676715218177,1.1781374341571225,,,0.4633330847736149,1.174574219140626,0.6712215692229048,0.45433888034179687,0.3524111529496644,0.3468312214888443,0.6843254153960742,0.679593354275752,1.6757453579479331,0.2639066601661745,1.4436599853309415,1.370103049860767,0.32532035032107737,0.5801906691706518,,,0.6878542595787157,0.5113431817844698,1.2564675004191033,,0.7192610717266491,0.5366633178689277,,1.6501954426739995,0.5304474628608409,1.6191689535433267,2.534969809561955,1.6806965345172444,,0.5213915396912697,0.6322064474181746,2.057760985716741,1.7108436819222703,0.28985327907712155,,0.0792442323196429,48,48,mde-OM3-4,Engine,mde,
270,35,1.247681891286568,0.5315078997784085,,0.38137667969391204,0.7213935494982878,,1.738815197307289,0.39217157598931207,0.6744942460756354,0.03881304423419356,1.2779976658180279,1.0,,1.4708554067155681,0.6859034198477726,0.22901282945306123,0.40647388226231246,0.605623691384236,0.5523298527899941,0.04283496396323768,0.051345815280040015,,1.6822390240756842,,1.9467929662903631,1.1079049400458334,0.42170740513930083,,0.34053995087937844,0.8041873384213155,,0.5147272936183231,0.5968266476143377,0.16326299036373773,,0.35795175044104455,,0.29896769780771476,0.23025064372764756,1.7763720732324022,1.4058064552668208,0.22367980749126473,1.126630853198803,0.8394731780863712,,1.5434746972041076,1.438067555020408,0.8655903180465742,,0.37874277911041376,42,42,hde-OM3-3,Engine,hde,
