,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,target,noisy target,group,level-0,level-1,level-2,marker
845,104,,,0.6585167737670542,,1.39962720258419,3.5196924806423,1.6142827354791218,0.5725441176131834,0.26801410963363376,,2.4646882758924433,1.7386659252540104,0.28956759813526295,,0.5888866625973472,1.1787625221364855,0.19946387005673133,,0.23022362552440914,0.6151273045645751,0.7234386197759001,0.5836872310175523,1.5783794856446176,0.5356625885999997,1.7859720482897048,1.6375191111319172,0.6455007874878348,0.14249148256028651,,,1.0,0.5116119923118144,1.768426787522471,0.6970324160009851,0.6298001757417991,0.5980097864664715,,1.6511149697316496,,1.29381868775678,,2.901686612461215,,0.6272979714767017,0.49763115032021515,3.625000919202798,2.367886962604814,1.0618016867082096,0.4667343739818424,0.37736006562637087,72,72,mde-OM3-13,Engine,mde,mde-OM3,
131,35,0.7093877030499752,0.32714531658258766,,,,0.3248759918001565,1.547122932988844,0.6229874000780098,0.5276393774589847,0.7209979011677641,0.11444594972674964,,0.5882832561498489,0.4365603377522712,0.349324911801034,0.6028779031761449,1.0,0.4888621493345435,0.6986709497754735,0.8917523782046087,0.45194506829056363,0.48559200453117235,1.2598209551325574,0.5359655790329378,0.8962631922563172,1.2693039061595424,0.7773797023860427,,,,,0.3305558868732896,0.12560057716743894,0.6681792040567599,0.38066648530068975,0.3459304782090541,,,0.15315150607782446,1.3788504791936662,0.7044102550502263,0.6924533108247739,1.069567879459608,0.612597469188112,,0.4469204383776964,1.2652335447097858,0.26487210937989714,0.6097057380341816,0.9288055981859371,5,5,hde-OM2-1,Engine,hde,hde-OM2,
770,29,,,0.6767153650927669,,1.2887573122735267,3.2511409848430057,1.392359783158582,0.5390439036011914,0.4082912499753236,,,1.3553882388019456,0.3712063990018546,,0.6755984848554113,1.2496477792893876,0.4596764471132973,0.5973616003851994,0.5702955935822147,,0.6631716675348132,0.5562634492562082,,0.5775675538282992,1.387980290159736,1.5974432809219206,0.16735533273606254,0.8011681387734415,,,0.4267332084379135,0.5200393508254313,1.6249141191838548,0.4891755195797017,0.5133735143126155,0.7528893937290199,,1.4082944261183286,0.7431557821731397,,,2.763217608722057,,0.40951745654536276,0.49101549546826234,3.45787089197677,2.830102041129183,1.3652209329699225,0.5735515435004519,0.6091890503843512,77,77,mde-OM3-13,Engine,mde,mde-OM3,
489,4,,0.7536523673685575,0.5000002777278963,1.859933224327333,0.33121243062471106,0.7058138894919554,1.5062254809758548,,0.5145804170701797,,1.8279415278497675,1.7417079093058623,,,0.40518876059094994,1.592065517876191,0.18237030970345375,0.45080422104734497,0.4254615820085258,0.4835486426800998,0.4639450230508539,0.8510324075848329,1.459585863353668,0.5429721973045345,1.697089797844877,1.4079497299733559,0.2696585522761556,0.5031603196205594,,,1.0,0.8092275756417332,1.9872840495962931,,0.6957121349932666,0.2999317342073502,,,0.6446487974593869,1.227584888187774,2.4406722856870022,1.5870639081955824,,0.40398781152452085,0.5061900005025533,2.3864876461271476,1.8799737388292954,,0.7348736265837705,0.4844718509709959,38,38,mde-OM3-4,Engine,mde,mde-OM3,
152,4,,0.8347117301928326,,,0.5827983314109716,0.5328654293015246,1.5424173236102867,0.0,0.7205677113032822,0.0,,,0.5981772450672377,0.0,0.0,0.740515732415691,0.2556692776502896,0.20887257086804756,,0.4056628285664534,0.0,0.869313252118502,1.5658850811854919,0.5084271198779411,1.8197655844178433,1.2937986692642007,0.34769671348575937,,0.2735067155863755,0.16134163105015198,,0.20084815441929366,0.7036753985083907,0.39900327106492806,0.5575662165371045,0.3009052237542645,,,0.4713679229584239,1.9516252795956017,0.42357228689962845,0.6894329469936167,1.4007840499017474,0.681179961443193,0.7518687676467999,0.8644900022146315,1.7161701591791885,0.0,0.33137708596429555,0.5267902853298019,30,30,hde-OM2-2,Engine,hde,hde-OM2,
339,37,,0.5439343144902187,,,,0.600117205829529,1.5541172578698021,0.32122522767306083,0.3178020705122056,0.6956781192331492,1.1313132221324989,1.4677463135711823,0.5333245688922378,,0.11818282573198245,0.9019155601826568,0.5099354562052615,,0.7539551769231767,,,0.3164940432379918,1.4678482618834363,0.5871739527102094,1.5046578407942364,,0.2428779304530607,0.43685990754788506,0.32598268311219114,,0.8409044095809597,0.6885647218045378,,0.46175664304588665,0.38806078718907716,0.8056871337682022,,0.9783636485810395,0.6014982925974868,1.631331166586532,1.5969275830207514,0.4831726473931684,1.4249593481058709,0.2623866145946856,0.3701167458281562,2.435183424724266,1.414523789980795,0.3232783142171674,0.4356381255213308,0.7472469677464341,41,41,mde-OM1-3,Engine,mde,mde-OM1,
82,20,0.654102769121509,1.0,,0.5377001483408803,0.4295236360191224,0.4245414416066105,0.2704046225528667,0.2853994363946747,0.6018259066905104,,0.4085021272974824,0.013115717467947203,0.3730019848076252,0.18697553520590057,0.9603901703594235,0.6097540536803521,0.70363588190821,0.36966766949407487,,0.34496372508655077,0.5059386148955526,0.573267922795543,0.6517250538347609,0.6750526728001387,0.5512073859242856,,0.3170908210052378,,0.7513216727747244,0.327850756430036,,0.5062184908950461,0.2514909793443902,,,0.4531279609861812,,0.28673981153307115,0.3188844134540951,,0.2293301192501107,,1.3023045403217997,0.8108983317330365,0.7084692042577683,,2.0,0.0,0.7212984379177538,0.7649398985884639,21,21,hde-OM1-5,Engine,hde,hde-OM1,
1011,270,,,0.5462904144334633,,1.790914033604638,3.2602982934839533,1.6317637471103743,0.575798741711024,0.9058218973599804,,2.427614851571725,1.4222470345488407,0.8334312468374045,,0.6782116459089623,1.9481500983644937,,0.38434897959738573,0.3010596280210912,0.22464447424849454,0.3678153703077469,1.0,1.8336487069476388,0.29514329607005824,1.0420473425277181,1.612984450864861,0.44599981360760815,0.24561382303425594,,,0.45888509510653935,0.28098158304337806,1.5436641901926471,0.11013463398979655,0.3534761189119308,0.7066767313831898,,1.5151379470599033,0.5033331790024778,1.5429051588211455,,2.652302436372208,,0.31423473554435616,0.36682761346405923,,2.7087914227570686,1.623390829816119,0.7114625868647337,0.19108619390966453,73,73,mde-OM3-13,Engine,mde,mde-OM3,
596,17,,0.8475391383567356,0.3212138724529457,,1.354190101382493,0.9282473585868624,1.6198765453115667,0.6770624498733344,0.7439756736623566,,1.5330531296678787,1.2699720598172246,0.5252379312709511,,0.0,1.6603263834367468,0.14280514469681907,0.10209464768342522,,0.6293537926037757,0.09233530701703474,,1.896398432346913,0.7543772056628558,,1.5146190701618196,0.6384908187409353,0.4960523945476551,,,0.6113975313229113,,1.6935090229775027,,0.7489088286346519,0.6373755109965669,,1.3935317951110782,0.3728212323473219,,2.7007121597159944,2.222470331180516,,0.7349282481957689,0.7302776095122391,2.5005601392836456,1.9280602561131661,,,0.4632721805813752,55,55,mde-OM3-6,Engine,mde,mde-OM3,
181,13,1.523728804017388,,,,0.5327776718966726,0.434613239359722,1.4543033388507296,0.03273759900231803,0.6040518204617394,0.10806896964223056,0.11860086753728061,,0.15380409346799742,0.5637144843380855,0.31531714490421575,0.4321978497869503,0.32855028763822874,0.6350327875156319,,0.6582544913352919,0.28079086304887685,0.5102305296870006,1.452744224912872,,1.8329467057748874,1.8745684350194218,,,0.6407085717834948,0.2502538178997908,,0.8249152569873524,0.5503774945159025,0.5060696087387894,0.9538409008901125,0.5657418621141985,,,0.5924041298163458,1.3742794891220658,1.0,0.38256049128927183,1.5560589918679617,0.3084365055807609,0.5841713997282665,1.3413585228028486,1.4775804977216658,0.0,0.7144907370392531,1.0,34,34,hde-OM2-5,Engine,hde,hde-OM2,
130,34,,0.549694051345701,,,,0.47500140209702035,,0.5511827170738066,0.5640806042444642,0.1009036617036394,0.6442282314937734,,,0.8571327138482463,0.5566752797292643,0.43313026531824705,0.6834990254679565,0.6798073183149496,0.5816023710711885,0.6352508872406295,0.5727054120207229,0.5984419884543252,1.477415583887137,0.352653095759144,0.5022150937625811,1.5361279559246115,0.6380529089765722,,,,,0.5053489161622127,0.25294722881831605,0.5830474541673352,0.6947947891978222,0.5217267492001758,,,0.5712505535027086,1.4021780548343457,0.5996090655384431,0.5786088478724968,1.611898807871378,0.7507686781121466,,0.4083521245375419,1.5043905085104736,0.2966475970806911,0.5234902299869963,0.801824438750513,10,10,hde-OM2-1,Engine,hde,hde-OM2,
147,51,0.4907442419106947,0.5465933568337644,,,,0.4401125261464066,,0.8323954069314065,0.365622076656308,0.7723675289102859,0.13076872760220723,,0.36393187254720155,0.45837395154167243,0.44130723508661446,0.018091346457568068,0.5039264380282237,0.5189979733951,0.8673197915608503,,0.6325549768170149,0.4427906343326358,1.460031700275115,0.6815928549811364,0.9696116993774119,1.5510822768186634,0.9351112649997726,,,,,0.4639862252706454,0.22903365463168973,0.2835415782881722,0.7857532724980112,0.35163498102905205,,,0.6033486109104386,1.3628993400650864,0.15871807056964704,0.6410013528285233,1.6091085711200273,,,0.6462212178680837,1.7908308978994847,0.15307441076692513,0.7630178783361683,0.20008251854100725,14,14,hde-OM2-1,Engine,hde,hde-OM2,
