index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;group;level-0;level-1;freq;marker
39;0.12177934368735974;;0.3783220994003384;;0.5978007215511999;0.231720951084878;0.17905762524970545;1.5052281439599802;1.4185913039709828;0.7445508811720956;;;1.8539052889118393;0.7545861305654327;0.529900393114967;0.5397854936175919;0.2609064620050431;0.3814829477169207;0.9720378419937142;;0.6536835325547711;0.31187683592124443;0.33268521556355085;0.31756062605573526;0.6688888065416259;0.0;0.2112332899818349;;;0.6965818124600905;1.2450593305894229;0.6674396911483262;;;1.3346542648591488;0.40598144828152294;0.7189743142686293;0.16500232548048369;0.05778754315392111;0.33853927450587945;0.7442813646697559;0.6004503369586931;0.3691962917158338;0.7471603653895134;0.526115974915694;0.6671807493186344;0.9424870689356516;0.5354675933068686;0.20562400307295198;0.16633197024684554;0.1944379135719567;0.5625383932456294;0.012455750726756136;;0.3487020040399195;0.37541191894592846;0.3364513880845545;1.3443165290387527;0.810453018704881;0.5161888385224436;0.6590298877804083;0.7213037191121945;0.5696380973180865;0.23065883617521057;;0.5724372098963498;0.7213192606073092;1.0;;0.48160611658463504;0.4074386048390418;1.6236163901964002;;;0.7087587205886202;1.9215602341531182;0.7472912263607433;0.4689604427503926;0.7512567811739352;;;;0.45320150352267213;;0.6226148166077619;;;;0.8150449820722125;1.5870108237627294;0.129102969715919;0.324950387842594;;0.5062354145656467;0.4278345488046271;0.29748015909163;0.5058054376957535;0.3748713428653949;;0.22653493542532935;49;hde-OM3-3;Engine;hde;28;
29;1.364308464162065;0.292958484199142;0.8338410981785028;;0.2623158584824336;0.8800812007623323;0.7574113433324794;1.5484136635507921;;;1.7438786245603923;0.2529025253784194;;0.4496938480358253;0.567791655130184;0.40209606959576805;0.13034106063823353;1.4049243347856324;;0.21784985437642856;;;0.4895078097983476;0.545559865565795;;0.5987944775603853;0.9533805464936705;0.8223299806812039;0.47242470982148516;0.7274711544871256;1.6095607620004846;;1.2367314039913702;;1.4543783723023487;0.38266743758071187;;0.7925957074068419;0.7441806998488226;0.5736367272883234;;;0.7689678311597244;0.37710527304962854;;0.3269520906430441;;0.5177277227060869;0.9635629005549401;0.32727591613340756;0.6164157728823061;0.40808610087547287;;0.4452591696531782;0.8125631321042283;0.10330505444058684;0.4736775115076934;1.606136825193622;;1.4103544953612075;;;0.7382823600125574;0.19606312203379223;0.19089776324941893;0.3339541822557032;0.6923606873054479;0.30524280168120727;0.4657431200763242;0.6869564068034372;;1.4243328331482084;0.4596573798691543;;1.5922359652209885;1.260133339967056;0.610841723667109;0.5977177774334573;0.7755700736287853;0.18003157890080895;0.8289400152818528;0.0;1.6371678111041625;0.7648491520777769;0.6500510956807892;0.7552704795265422;;0.4101318512680122;0.3387312398414592;1.4359020848108137;0.696273142653214;0.5111779974590002;0.14440326705047216;0.22377008494865772;0.3522008872545413;;0.6917688296435601;1.4109399178222999;0.23640223410921116;0.7085360620948515;46;mde-OM3-4;Engine;mde;48;
37;2.683343488835604;0.47734343173560767;0.4134797859236516;;0.6882023654228111;0.8581486422526283;0.4152362316563286;;1.5382636533285834;;1.4326682793200416;0.3815162712422546;;0.49455953035603056;0.5116241501047392;0.4802227444098257;0.3158827955544783;1.6041172718956473;;0.44281275617796134;1.2197178512682347;;0.39784867639622706;0.6007304523882375;;0.5857762735884892;0.7867596915421556;0.7256212579688112;0.6050320252875825;0.6287893027804301;1.5064531627809887;2.6280115052994963;;0.2844776752589164;1.4952507231379017;0.32814890528876617;;0.19902305960253036;0.6284048919278983;0.6144040506720152;;;0.6803131102616694;0.8248471227458338;;0.3490352810280042;;1.5848681208929012;0.37495805726034187;0.43865644792486524;0.6205730718594875;0.2086230257573897;;;;;0.7399658139077617;1.6594557922643922;0.6639241406113753;;;0.28812107241590046;0.12079559444960963;0.6521145006862542;0.6775412841001227;0.44035017320825315;0.6752267672545673;0.8247843249456063;0.6000580092597254;0.6411574670825844;0.3953181232701334;1.4495409773159957;0.5947235845661838;;1.5537689338094545;1.2513379306374688;0.6356684333173104;0.5083854043558792;1.746559197395388;1.934735925320099;0.7414395360380878;0.6052083404842145;1.2053275470339029;;0.03924458937160229;0.4601312616541959;;;1.3492169586341651;1.4728176581440555;0.8049059720197019;0.5091398388576599;;0.4718929655730717;;;0.3355206986280867;1.6851673149372433;0.436463534345091;0.5823072317498783;54;mde-OM3-13;Engine;mde;215;
22;1.0;0.30658803915110505;;;0.214060925631499;0.6767931071546639;0.5055397667772823;1.5847442278279464;;;1.505405522568966;0.4765969172711561;;0.3703326248014079;0.022384195550314644;0.48781658338981665;0.45719407504304116;1.3015092977095284;;0.4483761437435657;1.3162463456655562;;0.06502136385707098;0.40573482285672297;;0.3502845488186806;0.4998945656809432;0.46499188949169623;0.2712658716734739;0.5200980115871221;1.4686442407387588;2.0;1.48811600277174;0.28255286642348937;1.660536889102603;0.3771458724678061;;0.0;0.7998404235614194;0.8396281156107026;;;0.4950032305222567;0.31671747400104716;;1.0;;0.9178261460708003;0.8550613389120634;0.4637492819741574;0.08348886977670716;0.22475886348409152;;0.9189490009355273;0.22448163617361241;0.6921876164178207;0.3315317404920023;1.296494758618355;;1.5222751300524457;;;0.6166577606066987;0.25440613568801185;0.8312063901127053;0.3323394159573474;0.48765418238766334;0.8064809133211608;0.36798878647710254;;;1.4432264438905367;0.3161677048563876;;1.5176548445588915;1.469732536245551;0.2912324476445641;0.47348946352528;0.8331414345263564;0.5970821575761371;0.880138611764201;0.28931030667594404;1.3426293379509515;0.5162553333603038;0.39901606195303263;0.6189278341825304;;;;;0.2708368316105861;0.7762304561932153;0.7119886707414528;0.3512154036244739;0.4736407791592433;;0.52641859121762;1.391610046037118;0.023002259951097753;0.4261903743101023;31;mde-OM3-4;Engine;mde;48;
13;0.18449162559020746;0.5481156061023869;0.4364499859624941;;0.5253729589678788;;0.841135223341751;1.1049390104525556;1.314963949025949;;;0.5036900091474599;;;0.660142388430794;;0.3555822931700815;1.6161607567040637;;;1.351654108168976;;0.39665133099895244;;0.6042851489334138;0.20961297535268383;0.840848294786808;0.46543293748805925;;;1.516135371080944;0.6301584391515448;;0.29835100012485183;1.158311480532858;;0.5769615753762903;;0.20090529401806045;0.24109419383830627;1.0;;0.48244253245371105;0.7358321881465738;0.7319564576404805;0.773207715263454;;0.7956842091981564;0.6635236275641658;0.5117467535927157;0.3405485365852033;0.57198040766139;;0.24009094454135213;0.5471331585196497;0.41267454064640163;0.5321969332133232;1.670593984959265;0.5081076870876591;0.7982701061269216;0.35281023144889667;;0.6636840985679208;0.6993703298431667;0.6022468826024624;;0.7360916707079646;0.13117741023970214;0.3355837996114933;0.37120914937276117;;1.3597165510235052;0.6139630443896889;;0.7288729935885647;1.7261927903699381;0.2243376420560478;0.5098684010005462;0.3643587753806253;0.7882750771959462;;0.7066133728735539;0.5259382239168278;0.5101436481114213;0.7008170534432309;0.30281279447783266;0.5684706952163565;0.4421373119503812;0.774008961021907;1.6664527565759575;0.6731239072723798;0.49914748758423677;0.6821418465761652;0.6183669957043985;0.23268506207253908;0.418126743974318;0.8147486247944263;;0.5355475360382093;0.9330860200437449;40;mde-OM1-3;Engine;mde;58;
5;0.2541033568348158;0.6251913067605391;0.535921942613088;1.7313092480541665;0.17219279376507288;0.5718268895082995;0.39161094984854056;0.5360531374111569;0.9302231737984685;0.5748512955858606;1.0804845304900121;;1.9019086572237995;0.37643736269696715;0.33262949534051384;;0.3544366987613095;0.27022054686011826;0.3865028346389596;;0.7090715977295531;0.6217050751903618;;0.43513721430322855;0.47368284795260895;0.4321097885243336;;;0.646417924659062;0.6089276954352446;1.7532034898449822;0.4799874524977903;1.7267406388583537;;1.2896096413832165;0.5380215271034523;0.25746797914922337;0.42189816282759107;0.0960627859955009;0.6086691574764221;0.5111233805846171;0.2595341614098931;;0.4079605076223115;;0.5930814112471121;0.5300654461741748;0.20279792116112882;;0.483577274734145;0.3995987268581118;0.7379599181336909;0.37078095465121563;0.4794723897176049;0.028836848370244157;0.13173915258041943;;1.4161690669371598;;0.18769866658295647;0.16642425669399288;0.42696641194034873;0.577311301748588;;0.42567689664663994;;0.0;0.20899430135765087;0.5601485251628809;;0.6924963571531064;1.701103108024585;0.606751748225577;0.6663924920186524;0.13614332881251956;1.1244299989720943;0.5643063737112723;0.45038229658040285;;0.5011480954486416;0.7663192356872769;;0.5000194265132952;;0.5832996343210517;0.15930232546243678;;;0.3810923092362344;0.5777016225029591;0.08018159819234381;0.48983185703129145;;;1.0;0.562118419190934;0.4642715378147642;0.613467242006257;;;35;hde-OM2-5;Engine;hde;28;
3;0.7203372428016263;0.5004376953636417;0.09635318712819706;1.9362724898083066;0.22768202983585745;0.5305525569671623;0.3785562152862091;0.44718301214653045;0.5468276525496106;0.573305567437701;1.0093012754457396;0.2661410940374942;2.0;;0.06723216837868154;;0.6549024019375945;;0.3899357829895726;;0.5247563072269921;0.527081641100645;;0.7736689264027766;0.7855578555036615;0.43692501792072924;;;0.4179341132100129;0.4606656711401916;1.4422737463642785;0.5956107974188081;1.4530487070586544;;1.8286579082504986;;0.6048478933093863;0.2989469850219046;0.26828665382837164;0.6570864334891543;0.9012489247762941;0.1643134241539878;;;;0.556699350785504;0.2195317438061169;0.6541621670411685;;1.0;0.7175326278366757;0.0;0.09604662460393738;0.6722791815973469;0.35964482675610904;0.37476849671843093;;1.8165830827296294;0.19388989466275727;0.42378812933941257;0.6201801866091036;0.3117528303664967;0.4566096316602236;0.5608804733728353;1.0;;0.8443679684141084;0.542682473449709;1.0;0.37713299244455023;0.21569436599347996;1.3933358295816998;0.5491184188236204;0.766041864967843;0.8484507918825329;1.5676665316005214;0.3643402126200103;0.6770248531431636;;0.4858880130580815;0.7912121051309035;;0.13609430233505987;;0.4532613053856085;0.09940846249865218;;;0.6095671420267418;0.006079564351085133;0.4006407737787611;;;;0.7152140819105707;0.08242873203880502;;0.8618757379392831;;;42;hde-OM2-5;Engine;hde;28;
3;2.263868683723557;0.6610677798131174;0.3885229817268917;;0.17094124974401884;0.5810967295837887;0.2886444322702754;;1.4088417148118357;;1.606507915265742;0.6073744294694144;;;0.25183859172784695;0.438924045853655;0.6513789395517441;;;0.5406627599616842;1.164707560775181;;0.3333198553302533;0.50472611603347;;0.2689282371816141;0.3202894336851875;0.9887826287916313;0.0;0.6180819179686231;1.7716938907988857;2.7287744515881487;1.1067067647659934;0.623936393199296;1.290559856487904;0.4723511427536158;;0.3820633010865893;0.8431797373659219;0.05029241542860318;;;0.373619756738785;0.21815398705835384;;0.2827116184896282;;1.529516067257323;;0.5832399518465158;0.5430054762967395;0.46256937310279334;;0.484737170699161;1.6280124288909366;0.3659355843229846;0.37748208550459394;;0.3693411923468761;1.4013024433495966;0.5106155513411764;0.10668351871732991;0.5490695315334264;0.6073216359251875;0.6768354566185203;0.5453866462800976;0.3006184397173779;;0.33701601084115346;0.3057900055342645;0.5929517655075898;1.7435097226885201;0.3229580480041164;;1.4635488809497377;1.7748738852766626;0.6240038725554189;0.9492840465830963;0.3476478801077235;0.31175176264991367;;0.9072152127598834;1.2830546495518673;0.4182508350893108;0.6143433955029277;0.6650349274173186;;;1.435740981184883;1.3713259701164708;0.44854525734206996;0.15558774790440283;0.18560903396685707;0.5928651125588613;0.8509566948458259;;0.26584933757485896;1.4875383144764633;0.2623397651541455;0.5658031074525778;68;mde-OM3-9;Engine;mde;28;
4;2.8103334654741845;0.7281668748237663;0.46334937964359174;;0.49651531481446304;0.38802886034134054;0.4202349599217627;;1.7323048966048453;;1.7944054592811343;0.3012070169791822;;;0.7613588180242418;0.535840462397907;0.6113691835696907;;;0.4667970001960076;;;0.8750576784257547;0.1581933276179509;;0.07763092603629439;0.24210832400004834;0.5929835069341765;0.35797786201162685;0.11055005133154529;1.7076727987937579;2.031967908412808;1.3626426005218684;0.3850317199803887;1.7823339508677887;0.5233638717129536;;0.37980129288349457;;0.7325608804780948;;;0.9155406891854206;0.9604636721753755;;0.592779160760608;;1.664755518568792;0.4239006683521296;0.467828284601701;0.5316531300627666;0.40191707113924247;;0.6925031965587226;1.4157569385626516;0.8353656895011636;0.637554973972058;;0.0;1.7203703631574316;0.1149967180833886;0.6458332790206444;0.31273559461270534;0.4684898542894643;;0.1655744898813868;0.4261127295043212;;0.9448343806861831;0.2535620872459771;0.9358516085869482;1.4102615384249642;0.0;;1.475756254770524;1.8498074328003062;0.8111008398658768;0.598482926432064;0.5348570800907538;0.33921206683586513;0.6253726526706684;0.34121397347951493;1.7694038632333458;0.6017464821435646;0.9413628860123258;0.7546485329410269;;;1.918817621815784;1.1161301940322745;0.14629348263938521;0.4846850050052555;0.40921989109243356;0.3558067822925004;0.5031953601915924;;0.14496609753715994;1.2547461968066087;0.05602338671440994;0.30633188816421564;67;mde-OM3-9;Engine;mde;28;
149;2.370555643643991;;0.5249956034833266;;0.5123413163127419;;0.4261956519027069;;1.7202941400307208;;1.6261305640277435;0.48729105713973625;;;0.24903872424274945;0.7160956012398595;0.3829569668547101;1.6807572483668496;;0.7259185451716219;1.5282205669435052;;;0.5114928333553478;;0.4263860014634429;0.5772857115098614;0.30708060608115706;0.6125816169158901;;1.4707006388216182;2.3129766497709117;;0.44186239187168225;1.5855209503542849;0.42019639915379103;;0.43025128467624324;0.4647573559885706;0.5401348437888883;;;0.5375999366240688;;;0.5659320010203586;0.7229306866478905;1.3920625067979324;0.41563640249795886;0.38160930516853897;0.3384216029355432;0.598556576965953;;0.5204460668138361;;;0.5484492330395383;1.2446779552285003;0.42149402334035757;;0.45424182606226593;0.3715870470196469;0.27150202886189556;0.39990872758746027;0.4587730084534977;;0.7396566023810063;0.680098899509124;0.538395435927374;0.6648782219188929;0.534961716850054;1.3975285766317995;0.5833797395008935;;1.237571714591883;1.6391874766204726;0.6845762012009033;0.6284212231445686;1.2577539920573537;1.2529560520507155;0.5360906183000924;;1.600885629034368;0.9227613510918553;0.29589389022632684;0.9017690676005603;;0.692547968859104;1.2900689893168424;1.4674950317298145;0.6657879911046062;0.4049115102072468;;;1.5835846229471153;;0.20836004448262094;1.4929883484265176;0.3003208184841847;0.5848216382149647;70;mde-OM3-13;Engine;mde;215;
