index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;noisy target;group;level-0;level-1;marker
39;0.12177934368735974;;;0.3783220994003384;0.5978007215511999;0.231720951084878;0.17905762524970545;0.5052281439599803;0.4185913039709827;;0.7445508811720956;;0.7545861305654327;0.529900393114967;0.5397854936175919;0.2609064620050431;;0.3814829477169207;0.9720378419937142;0.6536835325547711;0.31187683592124443;;0.33268521556355085;0.31756062605573526;0.6688888065416259;0.0;;;;0.2112332899818349;0.6965818124600905;0.2450593305894229;0.6674396911483262;0.3346542648591489;0.40598144828152294;0.7189743142686293;0.16500232548048369;0.05778754315392111;0.33853927450587945;1.744281364669756;0.6004503369586931;;0.3691962917158338;;0.7471603653895134;0.526115974915694;0.6671807493186344;0.9424870689356516;0.5354675933068686;1.205624003072952;1.1663319702468455;0.1944379135719567;0.5625383932456294;1.0124557507267562;2.3487020040399194;1.3754119189459284;0.3364513880845545;;;0.3443165290387527;;;0.810453018704881;0.5161888385224436;0.6590298877804083;0.7213037191121945;0.5696380973180865;0.23065883617521057;0.5724372098963498;0.7213192606073092;1.0;;0.48160611658463504;;0.4074386048390418;0.6236163901964002;0.7087587205886202;;1.7472912263607432;1.4689604427503926;;;0.2903803236323406;0.5527871667191964;0.45320150352267213;0.6226148166077619;;0.546009908803852;;0.8150449820722125;1.5870108237627294;;;0.324950387842594;0.5062354145656467;0.4278345488046271;0.29748015909163;0.5058054376957535;0.3748713428653949;0.22653493542532935;49;;hde-OM3-3;Engine;hde;
29;0.36430846416206514;0.292958484199142;0.8338410981785028;0.2623158584824336;;0.8800812007623323;0.7574113433324794;0.5484136635507921;0.7438786245603922;0.2529025253784194;0.4496938480358253;0.567791655130184;0.40209606959576805;0.13034106063823353;0.4049243347856325;0.21784985437642856;0.713899031007597;0.4895078097983476;0.545559865565795;0.5987944775603853;;0.9533805464936705;0.8223299806812039;;0.47242470982148516;;0.7274711544871256;;0.6095607620004847;0.5448138195133329;0.23673140399137008;;1.6496307133956325;1.4543783723023487;;0.38266743758071187;;;0.7441806998488226;1.5736367272883234;0.7689678311597244;0.37710527304962854;0.3269520906430441;0.5177277227060869;0.9635629005549401;;0.32727591613340756;0.6164157728823061;0.40808610087547287;;1.4452591696531782;0.8125631321042283;0.10330505444058684;1.4736775115076934;2.606136825193622;;0.41035449536120744;0.7382823600125574;0.19606312203379223;;0.19089776324941893;0.3339541822557032;;0.6923606873054479;0.30524280168120727;0.4657431200763242;;0.6869564068034372;;;0.4596573798691543;0.5922359652209885;0.2601333399670561;0.610841723667109;;0.5977177774334573;0.7755700736287853;0.18003157890080895;;1.828940015281853;0.0;;;0.7648491520777769;0.6500510956807892;0.7552704795265422;1.4101318512680123;;1.3387312398414593;0.4359020848108137;1.696273142653214;0.5111779974590002;2.144403267050472;1.2237700849486577;;0.3522008872545413;0.6917688296435601;0.4109399178223;0.23640223410921116;1.7085360620948515;46;;mde-OM3-4;Engine;mde;
37;0.6833434888356039;0.47734343173560767;0.4134797859236516;0.6882023654228111;;0.8581486422526283;;0.5382636533285833;0.4326682793200416;0.3815162712422546;1.4945595303560306;;;0.4802227444098257;;;1.6041172718956473;0.44281275617796134;0.21971785126823468;0.39784867639622706;1.6007304523882375;1.5857762735884893;;;0.7867596915421556;;0.7256212579688112;0.6050320252875825;0.6287893027804301;0.5064531627809887;0.6280115052994966;;1.2844776752589164;2.495250723137902;1.3281489052887663;;0.6284048919278983;;0.6144040506720152;1.6803131102616695;0.8248471227458338;0.3490352810280042;0.515743069594924;0.5848681208929011;0.37495805726034187;;0.43865644792486524;0.6205730718594875;0.2086230257573897;;2.658394438360915;0.7399658139077617;0.6594557922643923;1.6639241406113752;2.4069947298066685;;0.28812107241590046;0.12079559444960963;0.6521145006862542;0.6775412841001227;0.44035017320825315;;;;0.6752267672545673;0.8247843249456063;;0.6000580092597254;;;0.6411574670825844;0.3953181232701334;0.4495409773159958;0.5947235845661838;;0.5537689338094545;0.25133793063746884;0.6356684333173104;;1.508385404355879;0.746559197395388;0.9347359253200992;0.7414395360380878;;0.2053275470339029;0.28762445860227104;1.0392445893716022;;1.460131261654196;0.453697080707834;1.3492169586341651;1.4728176581440555;2.804905972019702;1.50913983885766;0.4718929655730717;0.5094180772163969;1.3355206986280868;0.6851673149372433;1.436463534345091;1.5823072317498783;54;;mde-OM3-13;Engine;mde;
22;0.0;0.30658803915110505;0.7255149762434242;0.214060925631499;;0.6767931071546639;0.5055397667772823;0.5847442278279463;0.5054055225689659;0.4765969172711561;0.3703326248014079;0.022384195550314644;0.48781658338981665;0.45719407504304116;0.3015092977095283;0.4483761437435657;0.3162463456655561;0.06502136385707098;0.40573482285672297;0.3502845488186806;;0.4998945656809432;0.46499188949169623;;0.2712658716734739;;0.5200980115871221;;0.4686442407387588;1.0;0.48811600277174005;;1.2825528664234893;1.660536889102603;;0.3771458724678061;0.0;;0.7998404235614194;1.8396281156107026;0.4950032305222567;;1.0;0.9178261460708003;;;0.4637492819741574;0.08348886977670716;;;1.9189490009355272;0.22448163617361241;0.6921876164178207;1.3315317404920024;2.2964947586183553;;0.5222751300524457;;0.25440613568801185;;0.8312063901127053;0.3323394159573474;;0.48765418238766334;;0.36798878647710254;;0.9807283696426039;0.4432264438905367;;0.3161677048563876;0.5176548445588915;0.46973253624555084;0.2912324476445641;;0.47348946352528;0.8331414345263564;0.5970821575761371;;1.8801386117642012;;0.3426293379509516;;0.5162553333603038;0.39901606195303263;0.6189278341825304;1.598203523827272;;1.4735138435817376;0.8110056160911828;1.270836831610586;;2.711988670741453;1.351215403624474;;0.4736407791592433;0.52641859121762;0.39161004603711785;;1.4261903743101023;31;;mde-OM3-4;Engine;mde;
13;0.18449162559020746;0.5481156061023869;0.4364499859624941;0.5253729589678788;0.841135223341751;0.10493901045255556;;0.31496394902594904;0.7724277506148054;0.5036900091474599;0.660142388430794;0.3555822931700815;0.6161607567040637;0.35165410816897585;0.39665133099895244;0.6042851489334138;0.20961297535268383;;0.840848294786808;0.46543293748805925;;;0.516135371080944;0.6301584391515448;0.7313339808232154;;0.29835100012485183;0.15831148053285812;0.5769615753762903;0.47508260580945927;0.20090529401806045;;0.24109419383830627;2.0;0.48244253245371105;0.7358321881465738;0.7319564576404805;;0.773207715263454;1.7956842091981564;0.6635236275641658;0.5117467535927157;0.3405485365852033;0.57198040766139;0.24009094454135213;;0.5471331585196497;0.41267454064640163;0.5321969332133232;;1.670593984959265;0.5081076870876591;;1.7982701061269215;2.352810231448897;;0.6636840985679208;0.6993703298431667;0.6022468826024624;0.7360916707079646;0.13117741023970214;0.3355837996114933;;0.37120914937276117;0.5300066318806075;0.3597165510235052;0.6139630443896889;0.7288729935885647;0.7261927903699381;;0.2243376420560478;0.5098684010005462;0.3643587753806253;0.7882750771959462;;0.7066133728735539;;0.5259382239168278;;1.5101436481114212;0.7008170534432309;;0.30281279447783266;0.5684706952163565;;0.4421373119503812;1.774008961021907;0.6664527565759574;1.6731239072723798;0.49914748758423677;1.6821418465761653;0.6183669957043985;1.2326850620725391;0.418126743974318;;;;0.29747511277544963;0.5355475360382093;0.9330860200437449;40;;mde-OM1-3;Engine;mde;
5;;0.6251913067605391;;0.535921942613088;;;;0.17219279376507288;;0.5718268895082995;;0.5360531374111569;0.9302231737984685;0.5748512955858606;0.08048453049001222;0.6658612127899965;;;0.9019086572237995;0.37643736269696715;0.33262949534051384;;0.3544366987613095;0.27022054686011826;;;;0.3865028346389596;0.7090715977295531;0.6217050751903618;;0.43513721430322855;0.47368284795260895;0.4321097885243336;0.646417924659062;0.6089276954352446;0.7532034898449822;0.4799874524977903;;1.2896096413832165;0.5380215271034523;;0.25746797914922337;0.42189816282759107;0.0960627859955009;0.6086691574764221;0.5111233805846171;;0.2595341614098931;1.4079605076223114;1.5930814112471121;0.5300654461741748;0.20279792116112882;1.4835772747341451;;1.3995987268581118;0.7379599181336909;;;0.028836848370244157;;0.13173915258041943;0.4161690669371598;0.09569626464264046;0.18769866658295647;0.16642425669399288;0.42696641194034873;0.577311301748588;0.9085144138097492;0.42567689664663994;;;0.20899430135765087;0.5601485251628809;0.4381170517360858;0.6924963571531064;0.701103108024585;0.606751748225577;1.6663924920186524;0.13614332881251956;;0.12442999897209431;0.5643063737112723;0.45038229658040285;0.5011480954486416;0.7663192356872769;0.5000194265132952;0.5832996343210517;1.1593023254624368;0.3810923092362344;0.5777016225029591;0.08018159819234381;;0.48983185703129145;;;1.0;0.562118419190934;0.4642715378147642;0.613467242006257;35;;hde-OM2-5;Engine;hde;
3;;0.5004376953636417;;0.09635318712819706;;;0.9362724898083066;0.22768202983585745;;0.5305525569671623;0.3785562152862091;0.44718301214653045;0.5468276525496106;0.573305567437701;0.009301275445739483;0.2661410940374942;;;1.0;0.20339453907959407;0.06723216837868154;;0.6549024019375945;0.24025780483816397;;;;0.3899357829895726;0.5247563072269921;0.527081641100645;;0.7736689264027766;;0.43692501792072924;0.4179341132100129;0.4606656711401916;0.4422737463642784;0.5956107974188081;0.45304870705865435;1.8286579082504986;0.5114772225466481;;0.6048478933093863;0.2989469850219046;0.26828665382837164;0.6570864334891543;0.9012489247762941;;0.1643134241539878;1.280565936577926;1.556699350785504;0.2195317438061169;0.6541621670411685;2.0;;1.7175326278366758;0.0;;0.6722791815973469;0.35964482675610904;;0.37476849671843093;0.8165830827296295;0.19388989466275727;0.42378812933941257;0.6201801866091036;0.3117528303664967;0.4566096316602236;;1.0;;0.8443679684141084;0.542682473449709;1.0;0.37713299244455023;0.21569436599347996;0.3933358295816997;0.5491184188236204;1.766041864967843;0.8484507918825329;;0.5676665316005213;0.3643402126200103;0.6770248531431636;0.4858880130580815;;0.13609430233505987;0.4532613053856085;1.0994084624986522;0.6095671420267418;0.006079564351085133;0.4006407737787611;;0.11696836876137483;;;0.7152140819105707;0.08242873203880502;0.5140337451975557;0.8618757379392831;42;;hde-OM2-5;Engine;hde;
3;;0.6610677798131174;0.3885229817268917;0.17094124974401884;;0.5810967295837887;0.2886444322702754;0.4088417148118356;;0.6073744294694144;1.251838591727847;0.438924045853655;0.6513789395517441;0.3986462085923063;0.5406627599616842;0.16470756077518098;;0.50472611603347;0.2689282371816141;0.3202894336851875;1.9887826287916313;1.0;;;0.6180819179686231;;0.7716938907988858;0.7287744515881489;0.1067067647659933;;0.623936393199296;;1.290559856487904;2.472351142753616;1.3820633010865893;;0.8431797373659219;;0.05029241542860318;1.3736197567387851;0.21815398705835384;0.2827116184896282;0.5295160672573229;0.14697699007182788;0.5832399518465158;;;0.46256937310279334;0.484737170699161;;1.6280124288909366;0.3659355843229846;0.37748208550459394;;2.369341192346876;;0.40130244334959664;;0.5106155513411764;0.10668351871732991;0.5490695315334264;0.6073216359251875;;0.6768354566185203;0.5453866462800976;0.3006184397173779;;0.33701601084115346;0.3057900055342645;;0.5929517655075898;0.7435097226885201;0.3229580480041164;0.4635488809497376;;0.7748738852766627;0.6240038725554189;0.9492840465830963;;1.3476478801077234;0.31175176264991367;0.0;0.9072152127598834;;0.4182508350893108;0.6143433955029277;1.6650349274173186;;1.435740981184883;0.3713259701164708;1.44854525734207;0.15558774790440283;2.1856090339668572;1.5928651125588613;;0.8509566948458259;0.26584933757485896;0.4875383144764633;;1.5658031074525778;68;;mde-OM3-9;Engine;mde;
4;0.8103334654741843;0.7281668748237663;0.46334937964359174;0.49651531481446304;;0.38802886034134054;0.4202349599217627;0.7323048966048453;0.7944054592811344;0.3012070169791822;1.7613588180242417;0.535840462397907;0.6113691835696907;0.43930564875577616;0.4667970001960076;0.3162108751052908;1.8750576784257547;0.1581933276179509;0.07763092603629439;0.24210832400004834;1.5929835069341765;1.357977862011627;;;0.11055005133154529;;0.707672798793758;0.03196790841280804;0.36264260052186825;;0.3850317199803887;;1.7823339508677887;2.5233638717129536;1.3798012928834946;;;;0.7325608804780948;1.9155406891854208;0.9604636721753755;0.592779160760608;;0.4239006683521296;0.467828284601701;;;0.40191707113924247;0.6925031965587226;;1.4157569385626516;0.8353656895011636;0.637554973972058;;;;0.7203703631574316;;0.1149967180833886;0.6458332790206444;0.31273559461270534;0.4684898542894643;;0.7653574062398588;0.1655744898813868;0.4261127295043212;;0.9448343806861831;0.2535620872459771;;0.9358516085869482;0.41026153842496416;0.0;0.475756254770524;;0.8498074328003062;0.8111008398658768;0.598482926432064;;1.5348570800907537;0.33921206683586513;0.6253726526706684;0.34121397347951493;0.7694038632333456;0.6017464821435646;0.9413628860123258;1.7546485329410269;;1.918817621815784;0.11613019403227454;1.1462934826393851;0.4846850050052555;2.4092198910924334;1.3558067822925004;;0.5031953601915924;0.14496609753715994;0.2547461968066088;0.05602338671440994;1.3063318881642156;67;;mde-OM3-9;Engine;mde;
149;0.37055564364399113;0.49463090340104754;0.5249956034833266;0.5123413163127419;;0.5046036739200547;0.4261956519027069;0.7202941400307209;0.6261305640277435;0.48729105713973625;1.3292258278137934;0.24903872424274945;;0.7160956012398595;0.3829569668547101;;1.6807572483668496;0.7259185451716219;0.5282205669435053;0.10451711990145955;1.511492833355348;1.4263860014634429;;;0.5772857115098614;;0.30708060608115706;0.6125816169158901;0.5390393281883167;0.47070063882161817;0.3129766497709117;;1.4418623918716822;2.585520950354285;1.4201963991537911;0.43025128467624324;;;0.5401348437888883;1.5375999366240687;0.47655362923305605;0.5659320010203586;0.7229306866478905;0.3920625067979324;0.41563640249795886;;0.38160930516853897;0.3384216029355432;0.598556576965953;;2.520446066813836;0.5484492330395383;0.24467795522850028;1.4214940233403577;2.454241826062266;;0.3715870470196469;0.27150202886189556;0.39990872758746027;0.4587730084534977;0.35279072805759865;;;;0.7396566023810063;0.680098899509124;;0.538395435927374;;;0.6648782219188929;0.534961716850054;0.39752857663179963;0.5833797395008935;;0.23757171459188287;0.6391874766204727;0.6845762012009033;;1.6284212231445685;0.2577539920573536;0.2529560520507154;0.5360906183000924;0.5321593243174333;0.600885629034368;0.9227613510918553;1.2958938902263268;;1.9017690676005603;0.692547968859104;1.2900689893168424;;2.6657879911046063;1.404911510207247;0.7056669744554406;0.5835846229471154;1.208360044482621;0.4929883484265176;1.3003208184841846;1.5848216382149647;70;;mde-OM3-13;Engine;mde;
