,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,target,noisy target,group,level-0,level-1,marker
389,6,,0.6987284119200469,0.5052414382297673,0.8203801188520919,,1.8257325317330122,,0.6681951671062027,1.4573098821585515,0.6019092418295413,1.5193006758803071,0.7130481251656229,0.13031502543202658,0.6813115949760332,1.4932164166263693,0.16670944061835907,0.8654713621254086,1.4326050666809305,1.7032426320681755,0.6241333232980422,,1.8129790127129985,,0.5389307848507204,0.23702453035250395,0.5836319522592255,0.28783677232701077,0.0,0.24316488641407702,1.16652668132667,0.6342884299186615,0.7415933034696228,,0.5488202442070305,0.13345724196503922,,1.6844915738415276,0.33876927311313054,0.3811097649657908,0.22069427447556017,0.6062143363464444,,0.23266009916674568,0.6484501519692606,0.5113370335441977,0.7173068484862576,0.6402314930008934,0.8614410380449018,1.7709430817050142,0.304787168170016,0.2440509707764193,,,0.8521285506689884,,1.546187024926923,0.5818538917504795,,0.7974696593980777,0.5190666341767746,,0.48032145689084893,,0.6130987034267309,0.5833762180285118,0.4501439604716352,,0.49528331506159584,0.7388204821295645,0.26739327200109575,0.32281744235076437,0.6184918699658598,0.4988050202146312,,0.7845693793731738,0.3712980131724221,0.5269595600640532,0.450804521285888,0.36263323501459105,,,,0.40378716923857294,,0.6889146309815848,,0.6703509257208374,0.5097957263724149,,0.6762852090714105,0.30513316930227774,0.5949127170690953,1.5818347124809653,0.4229701853805116,0.5183081794215321,0.25606911064024396,0.05919559053259772,0.5391979096855722,,0.18894464142439554,57,57,mde-OM1-4,Engine,mde,
339,37,,0.6475172304863818,0.37601551561246455,0.7907627732653993,,1.8557251152661534,,0.6207072136558844,1.1863259793539631,0.5084224834708563,1.5458438962284204,0.5086475695595052,1.0,0.501200154128766,1.375472038427323,0.8653623801240007,0.670118083203585,1.5605091941153628,1.4799319794220795,0.1954610473695375,,,0.5410562403463157,0.48971941008662506,0.42680625186819615,,0.6285752395457873,0.6678613596114272,0.7065163177521808,1.3740465683331138,,0.21588585463824342,,0.7660655130439942,0.640416756486031,,1.059740946010727,0.4904901525140429,0.37818859579946823,0.744197738714521,0.44041916569223677,,0.2654943287672989,0.5848724418305028,0.15112251033437724,0.7670586075761402,0.6048862467135621,0.6293500144619066,0.4628753064761875,0.547657819873493,0.4814033114851859,0.40468775986671846,,0.6090027169374755,1.0,1.1799978915379752,0.5208878049551768,0.8603852242656547,0.7998772685554306,,,0.0,,,0.6268024899412898,0.6789509843681845,,,0.6492661771967649,0.5724248956980044,,0.35658475932396505,0.6425742467943072,,0.5905640256781713,0.9986142126565706,0.5027567570349118,0.5849357624637799,0.32423213488725805,1.4307919513875562,,,1.0,,0.6095696254828996,,0.7822490536386736,0.8016607672744812,0.6867824382923667,0.6930229530036253,0.9109985392410138,0.8370975791244563,1.6263792063822335,0.5990325724474614,0.3208168021997117,0.28550579340814325,0.3637093053409083,0.2878911691983936,0.653844804195433,0.6199650003750706,43,43,mde-OM1-3,Engine,mde,
764,23,,1.3798714231548586,0.3770519215183516,0.14515710914526309,,1.572509991788214,0.3765088910856604,1.7153823748195538,1.2575066054600652,0.6935501099615156,1.6085937136109858,0.07931745931993239,1.4713802539122796,0.3540180566698652,1.5388237352463223,,0.4492057108644306,1.6312102937987385,,0.3300135032563845,,1.7140444485083832,0.7045191072391891,0.4024538849587759,0.5278556512466837,0.7174960817370929,,0.4633969100411786,2.6999412466449524,1.8027234280972337,,0.3630497868731271,,0.6501477718248245,0.4759603142648994,,1.1746951650915753,0.584983805927444,0.5221665166399132,0.5318037789327205,0.32832601601784694,,,0.7154358657379205,,1.5313079556563611,0.0,0.5700091240888961,1.608336573115524,0.6480614574143937,,0.5261242209991213,0.3395371363046411,1.3093243530357468,,1.061153252890801,,0.586034797165776,0.5800858666281049,0.6571836413000923,0.4239665939003324,0.4970531749877394,,0.4509927309164157,0.5754830614855663,,,0.6670059627957843,0.3198193488121501,0.6273155010477862,0.4403738236218123,0.2480701052323249,0.6496131498140015,0.6896721391494995,,1.4770056881309075,0.5685521439408108,0.7440087431506008,0.5436249447267325,2.6176339465865266,0.2834388089480577,3.7403194690486474,0.5333564942872538,,0.6654057305798394,0.21967545556945073,0.3779653518020178,1.5436924377689234,0.3889210723011281,0.5964598116822566,0.5784019770045588,0.6218528084970592,1.7359036096524103,0.41468009327218536,,,0.4775971195910529,1.6161907529834592,0.43051519145353706,0.9780525228614197,81,81,mde-OM3-13,Engine,mde,
222,11,,,,0.7569276206367096,,1.0,0.5047827838811515,,0.649447717206209,0.4991781166420925,1.0,0.5378150084060836,,0.4216225521437024,0.18682146505462363,0.6605928841139748,,,1.5887568177187217,0.9419668843633412,0.2960436261874489,1.613022842431049,0.6935346775533081,,0.14200808564538348,0.6288521202470059,,0.08471199540200486,0.17423964835152894,1.7809661817783047,0.39481453383370835,,0.26485038918901666,0.6067402096333944,0.4193449755208529,1.6609062513880681,,0.7376183520421814,0.12215793943544535,,0.7814270740214037,0.40797617922055707,0.07273860437539953,0.960472472770255,0.8140918245425437,0.34062763374279836,0.33494568549833825,,,0.8975982753239037,0.8464316683585261,,0.3446766238354291,0.6770537874170567,,1.6666392783443904,0.3988070862254622,,0.02290605352916295,,0.5002856152530566,,1.0,0.7122628304042543,,,0.8299088693541311,,,0.7058888037741358,,0.72141254960333,0.5816947806107533,,0.3990300164857414,0.43825008475824223,1.0,1.0,0.41674561941698024,1.3170921947673362,0.0,1.0,,0.8504285392124994,0.41911440455611054,0.18840140764833588,0.6444872487041555,0.3690572281369207,0.6150193496405856,0.5234644088669157,0.46282178038771127,0.45669210912164915,0.006025415132210178,,,0.5292298312751408,0.7580746419049105,0.8397789505066138,0.0,0.4537646017016097,48,48,hde-OM2-6,Engine,hde,
775,34,,1.7097816974581446,0.3366167339310557,0.20890221826428418,,1.5831845986751127,0.43067172527384495,1.3274150343718292,1.3084830766365732,0.19624973156193357,1.7873559750919226,0.37792238427488173,1.6137432214736156,0.8368858895922052,1.4855590732527648,,0.5524730922157327,1.3670641535309747,,0.3825089411377857,,1.2886136305886784,0.41734302861849865,0.6534992799543093,0.4993224174473869,,,0.31426229013683876,,1.4660783471364884,,0.27408581779194663,,,0.5734386049515658,,1.284868549604952,0.22944917073403065,0.5125992955679293,0.6676542098110021,0.6430173570183396,,,0.26261030598193597,,1.8238563806185963,0.2497082726886629,0.578673750964187,1.1611929915472046,0.6303141769576522,,0.22692006389738886,0.28675647708607943,1.5692887097183035,0.8296927212773846,2.0,,0.533435473657967,0.43961545508669864,0.850506557432007,0.4325158984072581,0.2592882567911854,,0.36363827442073876,0.6549639466116322,,,0.6014516242622977,,0.35032726581794255,0.4133009172171418,0.4042522824765125,0.3534636326356296,0.5150930768169893,,1.672108307685577,0.18583545722145137,0.7387300535728684,0.4845924162783779,2.6665686540086853,0.5796709210939605,3.6149446214327323,0.3466020432247745,,0.323353747109146,0.12361651875530226,0.37708569227408756,1.5728133554506347,0.22851866409381452,0.2852733718549513,0.5719846678309056,0.5611279034594894,1.4296820367587344,0.22879149646838554,,0.32700092046545065,0.543221638557186,1.4471548404884325,,0.20430677710729758,48,48,mde-OM3-13,Engine,mde,
17,7,0.5758885278336078,,0.4751843279458045,0.18172160208359217,,0.42212452379154447,,,0.37184679971404677,0.7518359726426301,0.05789873054621289,,0.40645268552107044,0.3349514040889182,0.9467235732804821,0.2979315890858456,0.0,0.0005321979457908815,0.244889787885992,,0.6419982190215129,1.3694356569633455,0.699179639464102,0.0,0.868045146625505,,,0.6007780750492837,0.5551003148620219,0.6584238965755821,0.8247544951377473,0.5248222437089084,0.043967833141493884,0.10613702344840836,,,0.7858740065535071,0.2787121041974841,0.2376550197497343,0.3592699964358435,0.058128042554163754,0.570273324980708,0.648856747131788,0.4734586658637941,0.5155978182073112,0.4246018546413247,0.45269210662028736,0.400382936281983,,,0.5508854580806354,0.306340911887322,0.357357186463548,0.0827037207454652,,1.3767651617860928,1.0,,0.4908938935091667,,0.09640443339199212,,0.19361240587343934,0.15857403272289342,0.35184102756240443,0.9189783205707697,0.33146072670275384,0.1093025690282487,0.2710130442565653,0.15996409896991665,0.3034445088996014,,0.35125790093484427,,0.5467811446182287,0.7701275470685182,0.5674292628304041,,0.08584496627282576,0.39743300277280713,0.01726223189653698,0.48485713977406286,0.758784506141653,0.4621383039789653,,0.40507304569569264,0.2754866167503856,0.6712438174513072,,0.04438731422035875,0.37983454355557417,0.5423613628528275,0.5466963752998125,0.2799574243199204,0.09784036011237607,0.8881073624793749,0.4107185345810519,,0.7306883898256679,0.5790449691766938,12,12,hde-OM1-3,Engine,hde,
579,0,0.4245790175733106,1.5867068478672448,0.4095750090892342,0.4470053861903859,,1.622209050129801,0.6345420496478432,0.7249878057632123,1.588607256751188,0.8074778623328358,1.6950256449189731,0.09236365386091404,0.615351548693601,0.823477053710564,1.3536613631922743,0.5748169058364078,0.6296277341339921,1.8290078199125412,,0.4504288951543108,,1.5500660427690065,0.5447342773496119,0.5000772563115549,0.7874954749603068,0.864108212936798,,0.26621395473575576,2.8382482352357203,,0.0,1.0,,0.6712380128025651,0.07137731286618557,,1.7584977995095588,0.5261493566083553,0.2352204632141493,0.33047758909364866,0.3629466666662256,,,0.724436182812264,,1.6660291614731189,1.0,0.43662557821800213,1.7770954658112577,0.5370406443254404,,,0.7529481808079234,0.8278278067300034,0.7250485526067273,1.9029675008539066,0.5246773007418954,0.6960886579535824,0.4984856216813333,0.7887438099962613,0.9930167989924324,0.05788987826980062,,0.4380567587592336,1.0,0.7350502409227416,,0.18334727228086437,0.4012194992994101,,0.6510389137855342,,0.40132106578042415,,,1.2960491753659213,0.3587428779260157,0.9954980093353445,0.4685496859271236,1.7500658865551244,0.5896645915049571,2.714108732604527,0.6563490794706888,,0.4450082773818928,0.3445958207518607,0.0,,0.8120883067548781,,0.46942579374131077,0.09666711409219966,1.4207681713312759,0.8818515237589063,,0.3910299859225283,,1.392791241085285,0.5325737376520887,0.6424503037672183,59,59,mde-OM3-6,Engine,mde,
423,40,,0.3965233978257668,0.6077143744210689,0.5763574945669155,,1.2951503269340432,,0.36598876383624046,1.7625222036018102,0.48071237486860996,1.4754003633851052,,0.3165244590306944,0.47692484056233325,1.3301262811460497,0.02734401085919922,0.2386516490436735,1.1136126352930762,1.7880005166851838,0.5282686437711583,,,0.4254107546302565,0.6759420228607392,0.40265844262858996,0.40933611306992873,0.9623679023733421,0.6961609051801007,0.8239606143689335,1.3836458644371743,0.692190440463628,0.5075716667966923,,0.4447053504124743,0.29116831830450096,,1.729980403001227,0.21858445424680006,0.6411094621488873,0.7918896893947499,0.8731602308443104,,0.8941779583245872,0.20805564435189325,0.6371104374683074,0.6584814482221726,0.734863568418993,0.3478294497620415,1.8201806098227484,0.782759159852037,0.7195334139885903,,,0.4019372481839231,0.7855999513181773,1.559938231304464,0.6868971488262996,,0.6460689467433416,0.4293532524065867,,0.501229334110129,,0.4210957393302405,0.49528013359932005,0.5093855389187111,,0.6496909219388213,0.4713838405108146,0.4007183273088288,0.7121019490899367,0.672013893421059,0.522628080080563,,1.0,0.28587228529936765,0.6166397949202186,0.5472618758092063,0.4253744712889841,,,,0.40668215561459475,,0.2090640742476387,,0.468744440911509,0.5995799129984566,,0.5075256928024122,0.6656921497318516,0.6119721586248416,1.3757682832922196,0.48752619472408126,0.1986420888963859,0.28504486705603416,0.4395314248287555,0.40378152809549805,,0.577227019402291,57,57,mde-OM1-4,Engine,mde,
543,58,0.32559782638206075,1.412843984389505,0.7514150013150384,0.2707221356490672,,,0.3785755071692873,0.6343209698315424,1.2725056961464598,0.4117888407238725,1.299501183398502,0.806864198286971,0.47988223206093605,0.29311284874261756,,0.0,0.5389840531489377,1.2824570690386035,,0.5443607581458833,,1.7545348704530115,0.49322006433907073,0.5346993126431524,1.0,0.5702213779659334,,0.3999041026760546,1.5453132299257515,1.8988317963225325,0.9141927899203366,0.42298468452358007,,0.3179934647029233,0.23918603093664517,,1.4680912170216005,0.515382189107223,0.396378048188894,,0.5932429718245527,,,0.36342925210754445,,0.8711792864937584,0.315959314991241,0.4613569035177495,1.4389437604432027,0.5343374509524895,,0.5538919830396092,,0.4610485056628061,0.12079565543627341,1.0,,0.713453130785781,0.6776987453843769,0.22103595645323665,0.4553366899629602,0.7396161214805285,,0.42489749290375356,0.7434171996797359,,,0.6607068797815313,0.6614159318478434,0.23565999027513018,,0.506329443493813,0.11649565797039613,0.4052789202165496,,1.0769475180854293,0.11688054274108958,0.09859494779706639,0.4037256884748532,,0.0,2.23005839477186,0.4019019381919557,,0.7143472905631683,0.5233508828966826,0.5277324551580217,0.19410203176154836,0.6166090779628641,0.6891050250268672,0.00016502144013406172,0.47260413334175244,1.5864162566618352,0.0,,0.20766120405166894,0.8359722915874606,,0.43512175439417927,,44,44,mde-OM3-4,Engine,mde,
270,35,0.3708341712721554,,,0.40576796182342195,,1.1438575610934612,0.18780053072514594,0.6418875398442332,1.328293565903994,1.0,1.667796208921152,0.6191111651155272,0.6104147717200564,0.3624259370302626,,0.7942153193159199,0.7329346222757234,0.4957753851713719,1.260496317542879,,0.5458543033122072,,0.4418876228562232,,,0.5054007484345149,,0.4205947576019974,0.8710392783425667,1.8153175116794973,0.5310922169466908,0.75495602722597,0.4005378067803554,0.1284651351650552,0.7574963199711421,,1.2894004681336508,0.38119829045045817,0.6165077685816112,1.0,0.43721923350905384,,,1.0,0.3913091066848942,0.39461036254803317,0.43798310896280823,1.0,0.7475745851439618,,0.5414790466043001,0.5457801210910977,0.961741626692713,0.9915960152308326,,1.3152928745049932,0.6667665369231022,,0.3360038523198285,,0.40629445318169205,,0.4388591825210662,0.8645389324000112,,0.6713979438836256,0.8644282167503026,0.47790009060616906,1.0,0.2746430659839451,0.600784144470032,1.0,0.33321159690527435,,0.6620669602459964,,0.5977893632690389,1.0,0.94623908058852,,0.7100572496477663,1.5452279924250498,0.389432068689125,0.641982150270857,0.301577017242199,0.5398032610205198,,0.1410305207142805,0.8582239638572366,0.47738956598553556,0.6587449150247294,,1.454415150287208,0.5283490040506411,,1.0,1.0,0.8409708070501797,0.9134046895819674,0.4599347137440965,50,50,hde-OM3-3,Engine,hde,
