Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH+CPI,1,0.3,1.0,1,0.1,0.2,0.7
SPH+CPI,2,0.42333333333333334,1.2913385826771653,1,0.1,0.2,0.7
SPH+CPI,3,0.5633333333333334,1.7159763313609468,1,0.1,0.2,0.7
SPH+CPI,4,0.6366666666666667,1.9790575916230366,1,0.1,0.2,0.7
SPH+CPI,5,0.69,2.21256038647343,1,0.1,0.2,0.7
SPH+CPI,6,0.7133333333333334,2.336448598130841,1,0.1,0.2,0.7
SPH+CPI,7,0.7333333333333333,2.463636363636364,1,0.1,0.2,0.7
SPH+CPI,8,0.7433333333333333,2.5381165919282513,1,0.1,0.2,0.7
SPH+CPI,9,0.77,2.761904761904762,1,0.1,0.2,0.7
SPH+CPI,10,0.7866666666666666,2.9152542372881354,1,0.1,0.2,0.7
SPH+CPI,1,0.30666666666666664,1.0,1,0.1,0.2,0.75
SPH+CPI,2,0.43666666666666665,1.297709923664122,1,0.1,0.2,0.75
SPH+CPI,3,0.5533333333333333,1.6566265060240963,1,0.1,0.2,0.75
SPH+CPI,4,0.61,1.8743169398907105,1,0.1,0.2,0.75
SPH+CPI,5,0.6533333333333333,2.0816326530612246,1,0.1,0.2,0.75
SPH+CPI,6,0.6966666666666667,2.325358851674641,1,0.1,0.2,0.75
SPH+CPI,7,0.7266666666666667,2.518348623853211,1,0.1,0.2,0.75
SPH+CPI,8,0.7433333333333333,2.6412556053811658,1,0.1,0.2,0.75
SPH+CPI,9,0.7666666666666667,2.8347826086956522,1,0.1,0.2,0.75
SPH+CPI,10,0.79,3.0464135021097047,1,0.1,0.2,0.75
SPH+CPI,1,0.29,1.0,1,0.1,0.2,0.8
SPH+CPI,2,0.44666666666666666,1.3507462686567164,1,0.1,0.2,0.8
SPH+CPI,3,0.5533333333333333,1.6686746987951808,1,0.1,0.2,0.8
SPH+CPI,4,0.6066666666666667,1.8736263736263736,1,0.1,0.2,0.8
SPH+CPI,5,0.6366666666666667,2.020942408376963,1,0.1,0.2,0.8
SPH+CPI,6,0.67,2.218905472636816,1,0.1,0.2,0.8
SPH+CPI,7,0.7033333333333334,2.4454976303317535,1,0.1,0.2,0.8
SPH+CPI,8,0.73,2.6484018264840183,1,0.1,0.2,0.8
SPH+CPI,9,0.76,2.8991228070175437,1,0.1,0.2,0.8
SPH+CPI,10,0.78,3.0811965811965814,1,0.1,0.2,0.8
SPH+CPI,1,0.26666666666666666,1.0,1,0.1,0.2,0.85
SPH+CPI,2,0.41333333333333333,1.3548387096774193,1,0.1,0.2,0.85
SPH+CPI,3,0.54,1.7407407407407407,1,0.1,0.2,0.85
SPH+CPI,4,0.5866666666666667,1.9204545454545454,1,0.1,0.2,0.85
SPH+CPI,5,0.64,2.1770833333333335,1,0.1,0.2,0.85
