#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,max info loss,gini,p value,Method,Run
112.3928571428571,13.25721827655142,87.71428571428574,17.803571428571434,0.25265806157520265,33,27,0.1,0.2,0.7,SPH+CPI,1
112.39285714285708,13.263125579712236,87.71428571428574,17.80357142857143,0.2460040383440993,33,27,0.1,0.2,0.75,SPH+CPI,1
112.39285714285715,13.255417563153092,87.71428571428574,17.80357142857142,0.25197055333145774,33,27,0.1,0.2,0.8,SPH+CPI,1
112.39285714285718,13.118109699241057,87.5714285714286,17.80357142857143,0.25487450230338377,33,27,0.1,0.2,0.85,SPH+CPI,1
112.39285714285717,12.780088135286176,87.2678571428572,17.803571428571438,0.2380639658607596,33,27,0.1,0.2,0.9,SPH+CPI,1
114.43636363636362,13.40810709370084,87.85454545454537,18.127272727272725,0.2598413761933744,33,26,0.1,0.25,0.7,SPH+CPI,1
114.43636363636362,13.414121802373675,87.85454545454537,18.12727272727272,0.2530663707217056,33,26,0.1,0.25,0.75,SPH+CPI,1
114.43636363636362,13.406273640058915,87.85454545454537,18.12727272727272,0.2591413677997432,33,26,0.1,0.25,0.8,SPH+CPI,1
114.43636363636362,13.266469269530281,87.70909090909082,18.12727272727273,0.2620981158438861,33,26,0.1,0.25,0.85,SPH+CPI,1
114.4363636363637,12.922301858958056,87.39999999999992,18.127272727272736,0.24498193328412318,33,26,0.1,0.25,0.9,SPH+CPI,1
114.43636363636362,13.40810709370084,87.85454545454537,18.127272727272725,0.2598413761933744,33,26,0.1,0.3,0.7,SPH+CPI,1
114.43636363636362,13.414121802373675,87.85454545454537,18.12727272727272,0.2530663707217056,33,26,0.1,0.3,0.75,SPH+CPI,1
114.43636363636362,13.406273640058915,87.85454545454537,18.12727272727272,0.2591413677997432,33,26,0.1,0.3,0.8,SPH+CPI,1
114.43636363636362,13.266469269530281,87.70909090909082,18.12727272727273,0.2620981158438861,33,26,0.1,0.3,0.85,SPH+CPI,1
114.4363636363637,12.922301858958056,87.39999999999992,18.127272727272736,0.24498193328412318,33,26,0.1,0.3,0.9,SPH+CPI,1
116.55555555555554,13.555169803228244,88.00000000000009,18.46296296296295,0.27026492580862777,33,25,0.1,0.35,0.7,SPH+CPI,1
116.55555555555551,13.561295895395022,88.00000000000009,18.46296296296296,0.2633644572726689,33,25,0.1,0.35,0.75,SPH+CPI,1
116.55555555555551,13.5533023967411,88.00000000000009,18.462962962962973,0.2695519542965961,33,25,0.1,0.35,0.8,SPH+CPI,1
116.55555555555561,13.41090905638787,87.85185185185193,18.462962962962962,0.272563456934149,33,25,0.1,0.35,0.85,SPH+CPI,1
116.55555555555566,13.060368175249481,87.53703703703712,18.462962962962962,0.2551303080306868,33,25,0.1,0.35,0.9,SPH+CPI,1
143.0454545454546,12.798370289820639,87.18181818181823,22.659090909090924,0.31823309334192207,33,15,0.1,0.4,0.7,SPH+CPI,1
143.04545454545456,12.803764147203365,87.18181818181823,22.659090909090924,0.31028636349495137,33,15,0.1,0.4,0.75,SPH+CPI,1
143.04545454545445,12.797906378699505,87.18181818181823,22.65909090909092,0.31940774759529494,33,15,0.1,0.4,0.8,SPH+CPI,1
143.0454545454545,12.786275866210255,87.18181818181823,22.65909090909092,0.32252908187884477,33,15,0.1,0.4,0.85,SPH+CPI,1
143.04545454545456,12.65720384024627,87.06818181818186,22.65909090909091,0.3072856476958527,33,15,0.1,0.4,0.9,SPH+CPI,1
92.05454545454545,10.931475902888662,85.52727272727265,14.163636363636362,0.21930440640203142,23,26,0.15,0.2,0.7,SPH+CPI,1
92.05454545454546,10.947004015488227,85.52727272727265,14.16363636363636,0.21328836228092848,23,26,0.15,0.2,0.75,SPH+CPI,1
92.05454545454546,10.941278826450963,85.52727272727265,14.163636363636359,0.21836222922875004,23,26,0.15,0.2,0.8,SPH+CPI,1
92.05454545454546,10.849054795764074,85.43636363636355,14.163636363636359,0.21164528673468863,23,26,0.15,0.2,0.85,SPH+CPI,1
92.05454545454549,10.64623703696652,85.25454545454538,14.163636363636375,0.19970835884692606,23,26,0.15,0.2,0.9,SPH+CPI,1
95.52830188679242,11.151751576633357,85.73584905660383,14.69811320754718,0.2326794978382308,23,24,0.15,0.25,0.7,SPH+CPI,1
95.52830188679243,11.167865655746116,85.73584905660383,14.698113207547179,0.22643643318425605,23,24,0.15,0.25,0.75,SPH+CPI,1
95.52830188679248,11.161924421839515,85.73584905660383,14.698113207547166,0.23170176680935403,23,24,0.15,0.25,0.8,SPH+CPI,1
95.52830188679248,11.066220239051233,85.64150943396231,14.69811320754718,0.22473135478721473,23,24,0.15,0.25,0.85,SPH+CPI,1
95.52830188679246,10.85574897992171,85.45283018867929,14.698113207547182,0.21234397679048014,23,24,0.15,0.25,0.9,SPH+CPI,1
97.36538461538461,11.269828380231392,85.82692307692302,14.980769230769223,0.2405729069846925,23,23,0.15,0.3,0.7,SPH+CPI,1
97.36538461538461,11.28625234548093,85.82692307692302,14.980769230769223,0.23420978339506443,23,23,0.15,0.3,0.75,SPH+CPI,1
97.36538461538458,11.280196857076128,85.82692307692302,14.980769230769221,0.23957637343602953,23,23,0.15,0.3,0.8,SPH+CPI,1
97.36538461538466,11.182652209234226,85.73076923076917,14.980769230769234,0.23247191502884929,23,23,0.15,0.3,0.85,SPH+CPI,1
97.36538461538461,10.968133425890672,85.53846153846149,14.980769230769234,0.2198463182244851,23,23,0.15,0.3,0.9,SPH+CPI,1
101.26000000000003,11.494620433189569,86.05999999999996,15.58,0.26292309599135294,23,21,0.15,0.35,0.7,SPH+CPI,1
101.26000000000002,11.511701357049086,86.05999999999996,15.58,0.25630544745813966,23,21,0.15,0.35,0.75,SPH+CPI,1
101.25999999999993,11.505403649108088,86.05999999999996,15.58,0.26188670110074336,23,21,0.15,0.35,0.8,SPH+CPI,1
101.25999999999996,11.403957215352515,85.95999999999995,15.579999999999998,0.2544980643572758,23,21,0.15,0.35,0.85,SPH+CPI,1
101.25999999999998,11.180857680675215,85.75999999999998,15.579999999999998,0.2413674436807372,23,21,0.15,0.35,0.9,SPH+CPI,1
117.74418604651162,10.871143551445464,85.39534883720928,18.11627906976745,0.3057284193750637,23,14,0.15,0.4,0.7,SPH+CPI,1
117.7441860465116,10.889918122768558,85.39534883720928,18.116279069767444,0.2983005627977816,23,14,0.15,0.4,0.75,SPH+CPI,1
117.7441860465116,10.885122926225867,85.39534883720928,18.116279069767444,0.3057673702473651,23,14,0.15,0.4,0.8,SPH+CPI,1
117.7441860465116,10.871486053102345,85.39534883720928,18.116279069767444,0.29680845493589625,23,14,0.15,0.4,0.85,SPH+CPI,1
117.74418604651162,10.765827092313215,85.30232558139532,18.116279069767444,0.2843301088140049,23,14,0.15,0.4,0.9,SPH+CPI,1
69.16666666666666,9.236226189480334,83.88888888888893,10.666666666666664,0.18110358316742375,16,25,0.2,0.2,0.7,SPH+CPI,1
69.16666666666666,9.253734877200648,83.88888888888893,10.666666666666664,0.17298632101208541,16,25,0.2,0.2,0.75,SPH+CPI,1
69.16666666666666,9.25006595374162,83.88888888888893,10.666666666666666,0.17713447888186887,16,25,0.2,0.2,0.8,SPH+CPI,1
69.16666666666666,9.207873148338049,83.85185185185189,10.666666666666666,0.1696089142226006,16,25,0.2,0.2,0.85,SPH+CPI,1
69.16666666666669,9.022564373007576,83.68518518518522,10.66666666666667,0.15809309756156253,16,25,0.2,0.2,0.9,SPH+CPI,1
74.70000000000002,9.309231216845415,83.95999999999997,11.52,0.20283686267962117,16,21,0.2,0.25,0.7,SPH+CPI,1
74.70000000000002,9.328140599583351,83.95999999999997,11.52,0.19407021955185577,16,21,0.2,0.25,0.75,SPH+CPI,1
74.69999999999999,9.324178162247604,83.95999999999997,11.52,0.19855023005122185,16,21,0.2,0.25,0.8,SPH+CPI,1
74.7,9.278609932411742,83.91999999999996,11.519999999999998,0.19042262021921214,16,21,0.2,0.25,0.85,SPH+CPI,1
74.70000000000002,9.077424406328369,83.73999999999998,11.519999999999998,0.17905220489195783,16,21,0.2,0.25,0.9,SPH+CPI,1
77.8125,9.484023674709759,84.10416666666667,12.000000000000004,0.21537404677275354,16,19,0.2,0.3,0.7,SPH+CPI,1
77.8125,9.500827429876592,84.10416666666667,12.000000000000002,0.20993756335593441,16,19,0.2,0.3,0.75,SPH+CPI,1
77.8125,9.496699890985186,84.10416666666667,11.999999999999998,0.21460424095944083,16,19,0.2,0.3,0.8,SPH+CPI,1
77.8125,9.449232984906164,84.06250000000001,12.000000000000002,0.20613798071776399,16,19,0.2,0.3,0.85,SPH+CPI,1
77.81250000000001,9.23966472856932,83.87500000000001,12.0,0.19429379808520728,16,19,0.2,0.3,0.9,SPH+CPI,1
