Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH+CPI,1,0.10666666666666667,1.0,1,0.1,0.2,0.7
SPH+CPI,2,0.15,1.288888888888889,1,0.1,0.2,0.7
SPH+CPI,3,0.19666666666666666,1.694915254237288,1,0.1,0.2,0.7
SPH+CPI,4,0.27666666666666667,2.36144578313253,1,0.1,0.2,0.7
SPH+CPI,5,0.3333333333333333,2.81,1,0.1,0.2,0.7
SPH+CPI,6,0.38,3.2017543859649122,1,0.1,0.2,0.7
SPH+CPI,7,0.4266666666666667,3.6171875,1,0.1,0.2,0.7
SPH+CPI,8,0.47,4.0212765957446805,1,0.1,0.2,0.7
SPH+CPI,9,0.5133333333333333,4.441558441558442,1,0.1,0.2,0.7
SPH+CPI,10,0.5466666666666666,4.780487804878049,1,0.1,0.2,0.7
SPH+CPI,1,0.11,1.0,1,0.1,0.2,0.75
SPH+CPI,2,0.15666666666666668,1.297872340425532,1,0.1,0.2,0.75
SPH+CPI,3,0.2,1.6666666666666667,1,0.1,0.2,0.75
SPH+CPI,4,0.26666666666666666,2.25,1,0.1,0.2,0.75
SPH+CPI,5,0.32666666666666666,2.7551020408163267,1,0.1,0.2,0.75
SPH+CPI,6,0.37,3.135135135135135,1,0.1,0.2,0.75
SPH+CPI,7,0.4166666666666667,3.568,1,0.1,0.2,0.75
SPH+CPI,8,0.47333333333333333,4.098591549295775,1,0.1,0.2,0.75
SPH+CPI,9,0.5033333333333333,4.3907284768211925,1,0.1,0.2,0.75
SPH+CPI,10,0.53,4.672955974842767,1,0.1,0.2,0.75
SPH+CPI,1,0.11,1.0,1,0.1,0.2,0.8
SPH+CPI,2,0.15666666666666668,1.297872340425532,1,0.1,0.2,0.8
SPH+CPI,3,0.2,1.6666666666666667,1,0.1,0.2,0.8
SPH+CPI,4,0.26666666666666666,2.25,1,0.1,0.2,0.8
SPH+CPI,5,0.32666666666666666,2.7551020408163267,1,0.1,0.2,0.8
SPH+CPI,6,0.37,3.135135135135135,1,0.1,0.2,0.8
SPH+CPI,7,0.4166666666666667,3.568,1,0.1,0.2,0.8
SPH+CPI,8,0.47333333333333333,4.098591549295775,1,0.1,0.2,0.8
SPH+CPI,9,0.5033333333333333,4.3907284768211925,1,0.1,0.2,0.8
SPH+CPI,10,0.53,4.672955974842767,1,0.1,0.2,0.8
SPH+CPI,1,0.10333333333333333,1.0,1,0.1,0.2,0.85
SPH+CPI,2,0.15333333333333332,1.326086956521739,1,0.1,0.2,0.85
SPH+CPI,3,0.20333333333333334,1.7377049180327868,1,0.1,0.2,0.85
SPH+CPI,4,0.27666666666666667,2.3373493975903616,1,0.1,0.2,0.85
SPH+CPI,5,0.32666666666666666,2.7448979591836733,1,0.1,0.2,0.85
SPH+CPI,6,0.37333333333333335,3.1517857142857144,1,0.1,0.2,0.85
SPH+CPI,7,0.42333333333333334,3.606299212598425,1,0.1,0.2,0.85
SPH+CPI,8,0.47,4.042553191489362,1,0.1,0.2,0.85
SPH+CPI,9,0.5033333333333333,4.370860927152318,1,0.1,0.2,0.85
SPH+CPI,10,0.5333333333333333,4.6875,1,0.1,0.2,0.85
SPH+CPI,1,0.1,1.0,1,0.1,0.2,0.9
SPH+CPI,2,0.14666666666666667,1.3181818181818181,1,0.1,0.2,0.9
SPH+CPI,3,0.19666666666666666,1.7457627118644068,1,0.1,0.2,0.9
SPH+CPI,4,0.27,2.3580246913580245,1,0.1,0.2,0.9
SPH+CPI,5,0.32,2.7708333333333335,1,0.1,0.2,0.9
SPH+CPI,6,0.37,3.2072072072072073,1,0.1,0.2,0.9
SPH+CPI,7,0.4266666666666667,3.7109375,1,0.1,0.2,0.9
SPH+CPI,8,0.48,4.1875,1,0.1,0.2,0.9
SPH+CPI,9,0.5166666666666667,4.529032258064516,1,0.1,0.2,0.9
SPH+CPI,10,0.54,4.765432098765432,1,0.1,0.2,0.9
SPH+CPI,1,0.11,1.0,1,0.1,0.25,0.7
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.25,0.7
SPH+CPI,3,0.21666666666666667,1.8,1,0.1,0.25,0.7
SPH+CPI,4,0.29333333333333333,2.375,1,0.1,0.25,0.7
SPH+CPI,5,0.36,2.861111111111111,1,0.1,0.25,0.7
SPH+CPI,6,0.4033333333333333,3.1983471074380163,1,0.1,0.25,0.7
SPH+CPI,7,0.44333333333333336,3.5413533834586466,1,0.1,0.25,0.7
SPH+CPI,8,0.49333333333333335,3.9932432432432434,1,0.1,0.25,0.7
SPH+CPI,9,0.5333333333333333,4.36875,1,0.1,0.25,0.7
SPH+CPI,10,0.5533333333333333,4.572289156626506,1,0.1,0.25,0.7
SPH+CPI,1,0.11333333333333333,1.0,1,0.1,0.25,0.75
SPH+CPI,2,0.15333333333333332,1.2608695652173914,1,0.1,0.25,0.75
SPH+CPI,3,0.21666666666666667,1.7692307692307692,1,0.1,0.25,0.75
SPH+CPI,4,0.2866666666666667,2.313953488372093,1,0.1,0.25,0.75
SPH+CPI,5,0.3566666666666667,2.8411214953271027,1,0.1,0.25,0.75
SPH+CPI,6,0.39666666666666667,3.1596638655462184,1,0.1,0.25,0.75
SPH+CPI,7,0.43666666666666665,3.5114503816793894,1,0.1,0.25,0.75
SPH+CPI,8,0.49,4.0,1,0.1,0.25,0.75
SPH+CPI,9,0.5233333333333333,4.318471337579618,1,0.1,0.25,0.75
SPH+CPI,10,0.5433333333333333,4.52760736196319,1,0.1,0.25,0.75
SPH+CPI,1,0.11333333333333333,1.0,1,0.1,0.25,0.8
SPH+CPI,2,0.15333333333333332,1.2608695652173914,1,0.1,0.25,0.8
SPH+CPI,3,0.21666666666666667,1.7692307692307692,1,0.1,0.25,0.8
SPH+CPI,4,0.2866666666666667,2.313953488372093,1,0.1,0.25,0.8
SPH+CPI,5,0.3566666666666667,2.8411214953271027,1,0.1,0.25,0.8
SPH+CPI,6,0.39666666666666667,3.1596638655462184,1,0.1,0.25,0.8
SPH+CPI,7,0.43666666666666665,3.5114503816793894,1,0.1,0.25,0.8
SPH+CPI,8,0.49,4.0,1,0.1,0.25,0.8
SPH+CPI,9,0.5233333333333333,4.318471337579618,1,0.1,0.25,0.8
SPH+CPI,10,0.5433333333333333,4.52760736196319,1,0.1,0.25,0.8
SPH+CPI,1,0.11,1.0,1,0.1,0.25,0.85
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.25,0.85
SPH+CPI,3,0.21333333333333335,1.78125,1,0.1,0.25,0.85
SPH+CPI,4,0.2833333333333333,2.3294117647058825,1,0.1,0.25,0.85
SPH+CPI,5,0.3466666666666667,2.8173076923076925,1,0.1,0.25,0.85
SPH+CPI,6,0.38666666666666666,3.146551724137931,1,0.1,0.25,0.85
SPH+CPI,7,0.43,3.5348837209302326,1,0.1,0.25,0.85
SPH+CPI,8,0.48333333333333334,4.027586206896552,1,0.1,0.25,0.85
SPH+CPI,9,0.5166666666666667,4.348387096774194,1,0.1,0.25,0.85
SPH+CPI,10,0.54,4.592592592592593,1,0.1,0.25,0.85
SPH+CPI,1,0.10666666666666667,1.0,1,0.1,0.25,0.9
SPH+CPI,2,0.14333333333333334,1.255813953488372,1,0.1,0.25,0.9
SPH+CPI,3,0.20666666666666667,1.7903225806451613,1,0.1,0.25,0.9
SPH+CPI,4,0.27666666666666667,2.3493975903614457,1,0.1,0.25,0.9
SPH+CPI,5,0.34,2.843137254901961,1,0.1,0.25,0.9
SPH+CPI,6,0.38333333333333336,3.2,1,0.1,0.25,0.9
SPH+CPI,7,0.43333333333333335,3.6384615384615384,1,0.1,0.25,0.9
SPH+CPI,8,0.49333333333333335,4.168918918918919,1,0.1,0.25,0.9
SPH+CPI,9,0.53,4.50314465408805,1,0.1,0.25,0.9
SPH+CPI,10,0.5466666666666666,4.670731707317073,1,0.1,0.25,0.9
SPH+CPI,1,0.11,1.0,1,0.1,0.3,0.7
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.3,0.7
SPH+CPI,3,0.21666666666666667,1.8,1,0.1,0.3,0.7
SPH+CPI,4,0.29333333333333333,2.375,1,0.1,0.3,0.7
SPH+CPI,5,0.36666666666666664,2.9,1,0.1,0.3,0.7
SPH+CPI,6,0.4066666666666667,3.2049180327868854,1,0.1,0.3,0.7
SPH+CPI,7,0.45,3.5703703703703704,1,0.1,0.3,0.7
SPH+CPI,8,0.5033333333333333,4.039735099337748,1,0.1,0.3,0.7
SPH+CPI,9,0.54,4.3765432098765435,1,0.1,0.3,0.7
SPH+CPI,10,0.56,4.5773809523809526,1,0.1,0.3,0.7
SPH+CPI,1,0.11,1.0,1,0.1,0.3,0.75
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.3,0.75
SPH+CPI,3,0.21666666666666667,1.8,1,0.1,0.3,0.75
SPH+CPI,4,0.29333333333333333,2.375,1,0.1,0.3,0.75
SPH+CPI,5,0.36666666666666664,2.9,1,0.1,0.3,0.75
SPH+CPI,6,0.4066666666666667,3.2049180327868854,1,0.1,0.3,0.75
SPH+CPI,7,0.45,3.5703703703703704,1,0.1,0.3,0.75
SPH+CPI,8,0.5033333333333333,4.039735099337748,1,0.1,0.3,0.75
SPH+CPI,9,0.54,4.3765432098765435,1,0.1,0.3,0.75
SPH+CPI,10,0.56,4.5773809523809526,1,0.1,0.3,0.75
SPH+CPI,1,0.11,1.0,1,0.1,0.3,0.8
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.3,0.8
SPH+CPI,3,0.21666666666666667,1.8,1,0.1,0.3,0.8
SPH+CPI,4,0.29333333333333333,2.375,1,0.1,0.3,0.8
SPH+CPI,5,0.36666666666666664,2.9,1,0.1,0.3,0.8
SPH+CPI,6,0.4066666666666667,3.2049180327868854,1,0.1,0.3,0.8
SPH+CPI,7,0.45,3.5703703703703704,1,0.1,0.3,0.8
SPH+CPI,8,0.5033333333333333,4.039735099337748,1,0.1,0.3,0.8
SPH+CPI,9,0.54,4.3765432098765435,1,0.1,0.3,0.8
SPH+CPI,10,0.56,4.5773809523809526,1,0.1,0.3,0.8
SPH+CPI,1,0.11,1.0,1,0.1,0.3,0.85
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.3,0.85
SPH+CPI,3,0.21666666666666667,1.8,1,0.1,0.3,0.85
SPH+CPI,4,0.29333333333333333,2.375,1,0.1,0.3,0.85
SPH+CPI,5,0.36666666666666664,2.9,1,0.1,0.3,0.85
SPH+CPI,6,0.4066666666666667,3.2049180327868854,1,0.1,0.3,0.85
SPH+CPI,7,0.45,3.5703703703703704,1,0.1,0.3,0.85
SPH+CPI,8,0.5033333333333333,4.039735099337748,1,0.1,0.3,0.85
SPH+CPI,9,0.54,4.3765432098765435,1,0.1,0.3,0.85
SPH+CPI,10,0.56,4.5773809523809526,1,0.1,0.3,0.85
SPH+CPI,1,0.11,1.0,1,0.1,0.3,0.9
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.3,0.9
SPH+CPI,3,0.21666666666666667,1.8,1,0.1,0.3,0.9
SPH+CPI,4,0.29333333333333333,2.375,1,0.1,0.3,0.9
SPH+CPI,5,0.36666666666666664,2.9,1,0.1,0.3,0.9
SPH+CPI,6,0.4066666666666667,3.2049180327868854,1,0.1,0.3,0.9
SPH+CPI,7,0.45,3.5703703703703704,1,0.1,0.3,0.9
SPH+CPI,8,0.5033333333333333,4.039735099337748,1,0.1,0.3,0.9
SPH+CPI,9,0.54,4.3765432098765435,1,0.1,0.3,0.9
SPH+CPI,10,0.56,4.5773809523809526,1,0.1,0.3,0.9
SPH+CPI,1,0.11,1.0,1,0.1,0.35,0.7
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.35,0.7
SPH+CPI,3,0.21666666666666667,1.8,1,0.1,0.35,0.7
SPH+CPI,4,0.29333333333333333,2.375,1,0.1,0.35,0.7
SPH+CPI,5,0.36666666666666664,2.9,1,0.1,0.35,0.7
SPH+CPI,6,0.4066666666666667,3.2049180327868854,1,0.1,0.35,0.7
SPH+CPI,7,0.45,3.5703703703703704,1,0.1,0.35,0.7
SPH+CPI,8,0.5033333333333333,4.039735099337748,1,0.1,0.35,0.7
SPH+CPI,9,0.54,4.3765432098765435,1,0.1,0.35,0.7
SPH+CPI,10,0.56,4.5773809523809526,1,0.1,0.35,0.7
SPH+CPI,1,0.11,1.0,1,0.1,0.35,0.75
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.35,0.75
SPH+CPI,3,0.21666666666666667,1.8,1,0.1,0.35,0.75
SPH+CPI,4,0.29333333333333333,2.375,1,0.1,0.35,0.75
SPH+CPI,5,0.36666666666666664,2.9,1,0.1,0.35,0.75
SPH+CPI,6,0.4066666666666667,3.2049180327868854,1,0.1,0.35,0.75
SPH+CPI,7,0.45,3.5703703703703704,1,0.1,0.35,0.75
SPH+CPI,8,0.5033333333333333,4.039735099337748,1,0.1,0.35,0.75
SPH+CPI,9,0.54,4.3765432098765435,1,0.1,0.35,0.75
SPH+CPI,10,0.56,4.5773809523809526,1,0.1,0.35,0.75
SPH+CPI,1,0.11,1.0,1,0.1,0.35,0.8
SPH+CPI,2,0.15,1.2666666666666666,1,0.1,0.35,0.8
SPH+CPI,3,0.21666666666666667,1.8,1,0.1,0.35,0.8
SPH+CPI,4,0.29333333333333333,2.375,1,0.1,0.35,0.8
SPH+CPI,5,0.36666666666666664,2.9,1,0.1,0.35,0.8
SPH+CPI,6,0.4066666666666667,3.2049180327868854,1,0.1,0.35,0.8
