index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;group;level-0;level-1;marker
12;;0.545334760420246;0.590073696671996;0.6118392500474916;;1.7430630303712449;0.6549479630315733;0.5336530170963192;0.5783207658062143;0.2935641975654547;2.723481738408955;0.46008035434765254;0.3286172235448933;0.3687372935988294;0.40077774331610866;;1.4677118295239429;1.7239944687533635;;0.5224023863836335;;0.637273721840014;0.6152616427918082;1.584849029570734;0.47354967893055483;1.6015038574756184;;0.4420998359779387;0.5992690860724369;1.3891460044684178;;0.9255820104767896;;0.723022789986369;0.5699576402162386;;1.4960621594800783;1.2073556539591215;;0.6826912656195078;0.35560010036078976;;;0.5169258040586046;;0.39529915157872775;0.5833521928223715;0.11343385195794109;0.5806708728575523;1.4003987954019326;;0.8318851456361489;0.2660504461968503;0.8259622310900238;0.440262102287216;0.515740806771174;;0.6771215173881605;1.567006292583307;1.3316074387526864;0.33542283985402116;0.5560462334575145;;1.3330777576040793;0.41089827071052426;;;0.31218730003126727;0.3255178239520924;0.24459197615064363;2.3994922204797877;0.8518455774996584;3.4122140276358968;0.4046365518307609;;1.4863182429130584;0.3507638494483197;0.4409916783462676;1.5050614324018943;0.36356209957406915;1.6534081759469865;1.5164235466718556;0.6784400611040213;;;0.41798256743070933;0.28508101774237454;0.710163501186814;0.3913344363374687;0.3871825139155513;0.5013589333166721;0.4922690125967351;0.7071831644806011;0.38451030262095925;;1.3772265934583476;1.3555247099584133;1.6963043659120793;0.3472770626528331;0.6581739844622345;45;mde-OM3-13;Engine;mde;
47;;0.1387258664274604;0.3871608495902866;0.4080499394618033;;;;0.43038705053456805;0.5331369676908049;1.0;1.5749274388288588;0.3700103690179809;0.38714392982415946;0.18946303705258574;0.5315158459638892;0.5035929173336487;1.2811456085692303;0.519822442350726;0.7614879346291671;;;;0.7386918939196621;;0.5972655601877827;0.5082785226086771;0.5019393747169575;0.7577535123314978;0.5838430662196671;0.42733844804371224;1.4965513967357262;0.33929145418977574;;0.39464748020834334;0.17406531422384924;;0.717591094207743;1.3532892691237872;0.2021788026362076;0.21657241640578484;0.6089344555774767;;1.381883765892216;0.24286382625956568;0.8141729600360169;0.8358633596344999;0.8894811278404808;0.6329904877254403;0.31662521279533934;0.5276961380213664;0.7588164231183132;;;0.4273514233393439;0.160278456833466;0.4272050472146336;0.38115052440609204;;1.6591608898757533;0.519172335806245;;0.5272896287443442;;1.5445428387733173;0.3321290290662469;0.5745650526654938;;0.9968607174876015;0.8104867944720557;0.2528108646218506;1.1031004016349402;0.0;1.879145514762761;;0.6004772105756856;1.5087651011989538;0.5244881121325654;0.7005260740025786;1.0;;;;0.6169580863452105;;0.47631500954284245;;0.06003635179501245;0.8294894480633839;;0.7606130830728794;0.47324411215135515;0.5603809372257312;0.735525419976947;0.6615480393076014;1.3947594152701992;0.6944404401863359;0.7800410143309936;1.1502180085575728;0.7655821898111999;0.16596183432981224;66;mde-OM1-4;Engine;mde;
77;;0.629840260536751;0.3482132925881852;0.4216290287018599;;1.8274652824641546;0.22661832096148893;0.5646179695854697;0.7396239042385072;0.4526139203547004;2.511100102242547;0.48824111078662585;0.5720101820703659;0.34170319098399793;0.368145273857673;;1.1279413177655722;1.572980231107982;;0.6403650341884457;;0.47277567088129496;0.3114733643374396;1.3587313820347415;0.5401018042013391;1.009246475150808;;0.49660328000501286;0.6279110554837494;1.5461017983966607;;0.6146315806381659;;0.6852820734387868;0.5105572255344943;;1.645912198253524;1.2185431848899286;0.2512460834758187;0.4592555980225334;0.26224072754464434;;;0.77949837021752;;0.751905479358476;0.37075658396044964;0.6471429999081106;0.25155748381692455;1.435234377588767;;0.2176760957213776;0.41079271845149407;0.4540102219516995;;0.30414112074707905;;0.28612923814241203;1.3227637471620406;1.1403604048969265;0.49274270330040837;0.47850893038419234;;1.7191543740695086;0.19961232415544175;;;0.5715091218482586;0.625524974395332;0.166078124774677;2.5644236405688154;0.22810307589700973;3.7029699345921134;0.418173414479027;;1.501082024039396;0.3086547616617736;0.8004512957944573;1.494028355147944;;1.5861100109423023;1.6086055718211538;0.5204652294937846;;0.2546444719915372;0.33432943877294835;0.38601637062796;0.44783434620850343;0.888064422459367;0.6249215104299077;0.45704910013974687;0.6179447122157096;0.508474352054114;0.34331524295398924;;1.5316188689045034;1.6121860625056657;1.7343329004775936;0.5988149299473797;0.43519449245569114;45;mde-OM3-13;Engine;mde;
8;0.4957793033587254;0.49389148154919266;0.44591972862212886;0.2974486492154003;;1.7947676265234618;0.3664619288370923;0.3802312790275765;0.7838345476389541;0.9508634168217724;2.0786208416051606;0.5610454375552131;0.6059875665187784;0.4353504256289341;0.19672407176920115;0.3102374635892927;1.3357043731013762;1.1405074895364955;;0.0;;;0.4184997308233492;0.5019996265077646;0.6721551344601903;0.43179262388802586;;0.389374162369211;0.8661960537971538;;1.7476507567634985;0.4670942360394082;;0.17689927492489493;0.5767583617390204;;1.3089822334668162;1.5013718387168848;0.272794173346587;0.3992455696981803;0.5824549415747924;;;0.0;;0.4061929416237263;0.5571949054503581;0.7240855788638593;0.6627401854378507;1.2853670038160547;;0.5869944521635927;;0.5988992975851621;0.5762722261211674;0.7313253335269657;;0.1117539763971435;1.7248195420950103;1.136066512089633;0.348883641281469;;;1.305534044122008;0.9336378640076921;0.3272130035238615;;0.07311046009037035;0.6690668798571282;0.4894169550701902;1.4439448744488552;0.7110577413499447;;;;1.2662684575602228;0.2716205845517089;0.08671335812587769;1.2969478405110422;1.0;2.0;1.687865271950808;0.4833407891823485;;0.48942753386041926;0.3805944349191396;0.5356808452113022;0.3006351948895262;0.8003692521171527;0.5430065461632423;;0.4554011671971259;0.5354166177657117;0.42526620013419464;1.1860749572297113;1.1162932450194318;0.1917666318085254;1.1367271133162082;0.4403432020999797;;64;mde-OM3-9;Engine;mde;
218;;0.6179687010649452;0.4951890954534827;0.5037066366690987;;1.6304816030572993;0.4852164130134563;0.27356687088935266;0.10137206381863267;;2.667982200675197;0.5496309462403484;0.34490716992691683;0.24791263969165234;0.5580137512874916;;1.69730847635037;1.593365465202976;;0.5824442404843112;;0.6634511890903437;0.6134423518672495;2.0;;1.3583771969123721;;;0.08594151194199831;1.3661213769905203;;0.4698935084681224;;0.5542152252016256;0.5003958502952521;;1.713389313308594;1.0878324456191837;0.426780617440427;0.3626723224331133;0.3156390278035535;;;0.1738399771065917;;0.3723473675014581;0.6388499053785652;0.35918191108669334;0.5226514381834393;1.3971976378141804;;0.5080007285992788;0.5383349700528258;0.4927497886804666;0.6199501655233153;0.7163967102328622;;0.7675578118054026;1.7845549333676543;1.5829602929156046;;0.5608108273671516;;1.505498120590839;0.4616112594217257;;;0.30886366107565166;0.31599698525663283;0.6027687994421617;2.1832142506149266;0.3535014542654939;3.2807442223710774;0.5079519176557877;;1.756946793764227;0.21641532281779674;0.4839792463329033;;0.5759650093025318;1.4306832458976344;1.4022518437825435;0.5082721606680008;;0.31037983089840593;0.5745734151424493;0.49868543264516724;0.538138670713042;0.4263047615381524;0.7699286025371851;0.47512072687566803;0.3236571139219086;0.3560701967656584;;;1.600445014749247;1.9426855199501478;1.01344339751053;0.4761195266265778;0.572519623169004;60;mde-OM3-13;Engine;mde;
0;0.29203303291827487;;;0.1289299817971369;;1.6936708103494034;0.07036790884574905;0.6211788458802775;;0.19326120143275624;1.4407071162939424;0.6567771171818187;0.6409609556631423;0.4227584550295334;0.0;0.7230234736896682;0.7310959575218428;0.6652844170109288;0.34840071167009434;0.4464568761279144;0.9120714419018423;;;0.6783821762225681;;0.669099758362399;;0.9443896267857471;0.5845746103155887;0.7105306281071054;0.6557735520291234;0.4932295071792413;0.5313319546705167;0.6923897556363892;0.488961309854771;0.4292218150097415;;0.3726602052881667;0.6472785163456939;;0.6525367989326762;0.5096819650036599;1.692697466968138;0.5026828797011145;0.9581243602552308;0.6370226702999067;;0.46091472923501087;;0.051131610579870514;;;0.40883568887504546;0.49329512437330764;;0.6927492118281945;0.5179849060300952;;1.4299549592094647;;0.17041360672406153;;0.4903946459095175;1.167020431291436;;0.7007528278604621;0.6861866332466233;0.4860991427313792;0.5727978600360183;0.8191194465638444;1.5871790733053208;;0.8416371618470915;;;0.6071472189743947;0.46439185932760724;0.5453228548161133;1.3829505098196528;0.6923965393267985;0.6791174632253241;0.49259572487302533;0.20708921856910842;0.1920178467216177;0.7590296614020267;0.4950779962097768;0.5084354577018821;0.5742513517870599;0.8586432365937167;0.7822530818419786;0.4581976378865457;0.25349438689929504;0.8802934700003988;;1.376331787992689;0.49428108445405883;0.6989502889262281;;;0.5181474804090257;40;hde-OM2-5;Engine;hde;
262;;0.7838597147841014;0.6978385268512018;0.6558400147460671;;2.0;0.4355966104117094;0.5749334895359528;0.5146641972607939;0.43905205142976556;2.3925439538147404;0.487708828077233;0.38214757496724894;0.47104462773010347;0.6451216050887612;;1.2325568856120925;;;0.7578042778011398;;0.662454658953752;0.6388728699424954;1.5423189994849724;0.4263766010392975;1.3745723037395732;;0.5213094159550622;0.47667229800421224;;;0.5639032805416283;;0.6936986275750108;0.6484613551639425;;;1.354794460935063;0.40810422550105424;0.24767468304815538;0.3909231678343238;;;0.7079737944262064;;0.0;0.4830700875518297;0.9626171540184041;0.7211907963225862;1.2596665637861144;;0.2540838036859484;0.0;0.4288133041412286;0.6908540438347968;;;0.8042684439007003;1.7181678743172721;1.756447746588094;0.5673189233531054;0.23696883372533945;;1.5101204501613197;0.31511558273744583;;;0.20658355365486747;0.7470722212490618;0.5016020864601898;2.6114132028486283;0.57344160706597;3.616906019646286;0.7284023316159645;;1.7563382232240041;0.3175986375647508;0.480709698868084;1.5891612750257185;0.5582615863569081;1.2103203922927352;1.5625971294447272;0.2122571417067362;;0.5156351598518384;0.6667050760670867;0.29634771914830305;0.5643404113673937;0.6270265422367391;;0.8605781568392031;0.538280720434581;0.15782718630506393;0.4739903127069359;;1.4840891330327897;1.3699824672385157;1.9401553516265273;;0.4730985595961979;45;mde-OM3-13;Engine;mde;
187;;0.48462924008831937;0.5225149460649701;0.9214007948720234;;1.639717767081037;0.5516525384319259;0.2988348008795713;0.8809274418716065;0.42337915315784985;2.6377621898064376;0.3357037899537417;0.40921593455561095;0.40399939165349213;0.594353155407688;;1.5029198383568332;1.775270430445558;;0.6983754390842615;;0.47947881603465736;0.6562695153525572;1.0945250636637678;0.6168163330273313;1.5905048597987483;;0.7689835121532943;0.5425900426605709;1.5416031743412293;;0.40735696910064617;;;;;1.5626182362098255;1.355804567166131;0.22532551842578735;0.5680420192602956;0.6636909410114022;;;0.5527050538735081;;0.48068268919518964;;0.3679902158276599;0.5063960289221107;1.391693989016469;;0.4780299053563387;0.6358425369003183;0.6256593987753176;0.5723386706549476;0.26954432068935913;;0.6563489125531099;1.960377733340502;1.3623850875773629;0.4565863167870723;0.2593231351381552;;1.6356572274558463;0.30046160989419934;;;0.48971094099188184;;0.4465542605068945;2.7929824566172976;0.694018733513439;3.5676596480303866;0.6180758117719174;;1.4838121040787249;;0.3861775652763085;1.624451386477628;0.361352913569991;1.3452643028376898;1.4004428796489408;0.5641319234254023;;0.22348283578036748;0.4711360514806897;0.418195381177819;0.8077422034953182;0.38571497523347487;0.34368042245372865;0.27980212784352876;0.2460587407210688;0.5853730821711811;;;1.3768121486753135;1.4020385237268784;1.6627127637922046;0.7170484181940374;0.5738526207938166;45;mde-OM3-13;Engine;mde;
8;0.40126796133265946;;0.2677721381466433;0.34889497537280345;0.0;1.638458505468356;0.38989327550450387;0.30251882888416765;0.6473508822809191;0.2894273730395672;1.778708214720748;0.019531207150695465;0.5902895575023192;0.0;0.6267486048318329;0.9797298736793458;0.3672889341179958;0.16375722619138525;0.2426764174704511;0.4579737462741329;;0.5360293400475898;0.018831335714525384;0.15483976363282542;0.2834119529524716;0.22384487793122512;;0.9702652171345394;0.32275151473410113;0.37757760058546375;0.34523913140909174;0.48235459704737416;0.0;1.0;;0.7263313044012164;;0.995455650146862;0.142728402060531;;;0.3778684576054557;1.477160542678134;0.36633482856976757;0.3143923410268498;0.5356952659434592;0.49675405833974146;0.2584029543162538;;0.0;0.0853434766284017;;0.4384019515392783;1.0;;0.7247580759623895;0.6719911610218877;;0.6710648816197126;;0.7583646955010456;;0.5123098083547293;1.335365819351197;;0.0;0.5460717238645728;0.6855860232879594;0.2803329411681399;;1.8926652717347354;0.824461730197049;0.2862455681341058;;0.6499970923761346;;0.7475740804600416;0.6331546951188037;1.8181004110353562;;1.0;0.1695238353593424;0.5123748165956635;0.9471576425560743;0.4727301101276109;0.0;0.5974019256245555;0.23919183261445287;0.6959496059147418;0.23663665653118734;0.9126487156179511;0.1535260256410068;;;0.6311652558114142;0.7177637036541687;0.37614169163591016;;1.0;0.28132839653874636;30;hde-OM2-2;Engine;hde;
174;;0.7881024305732846;0.2894470405064148;0.3962052251549491;;1.3169934208994658;0.410781309784725;0.2118230059664991;;0.3926220891761387;2.7338916224076932;0.5686225233800272;0.7975645145821093;0.7067982779861746;0.3236814219072455;;1.412213436990996;1.5552635234346865;;0.630882746960799;;0.8093305468884329;0.34691825926160363;1.6785339477703158;0.39248620583993854;1.7003571357873506;;0.7153161427041551;0.31192910496661647;1.211663332361053;;0.5025647446331752;;0.6303816536964627;0.2765952369598001;;1.181127536441617;1.5458382997517157;0.4843927646709479;0.11281488716993884;0.5722261603611588;;;0.6799258972050778;;0.3749353649054153;0.1063878692172618;0.021234764716725606;0.6112571516572672;1.409287170325987;;0.7706793355608375;0.28481887403872347;0.7247757703009957;0.39076505536998923;0.5177821641601767;;0.691540575736361;1.551400741271586;1.609809917797429;0.3787623545101518;0.6075711992061738;;1.5776775330390285;0.6541328528555057;;;0.3222275595872542;0.4935001855051251;0.3528754364785852;2.1794464782165353;0.5882770639242323;3.2462626255890257;0.8024164996457764;;1.4151248009730912;0.4177718617510695;0.04694855402973484;1.8189343687969974;0.6228427323848597;1.6737546864021795;1.6336306072375515;0.6813093291319219;;0.6786679312206526;0.7942535391789429;0.7265576288710386;0.678854470852369;0.436433994746779;0.5079508481984453;0.6327761345547767;0.48324977314477296;0.424101629866556;0.15302763836837252;;1.2808590789816077;1.4033894638467541;1.675565848523413;;0.4300706032793846;45;mde-OM3-13;Engine;mde;
