;CM Index;gini_parameter;p_parameter;Training gini;gini;gini SPH;gini CPI;Missing;Missing SPH;Missing CPI;#Classes;#Classes SPH;#Classes CPI;#Samples;#Samples SPH;#Samples CPI
0;gini;0,25;0,7;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,18003028636662882;23,961904761904766;8,404662752138423;8,893572596951788;84;18,20689655172414;10,352941176470589;1050;108,72413793103448;63,27450980392157
0;gini;0,25;0,75;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,1808973562593811;23,961904761904766;8,404662752138423;8,893572596951788;84;18,20689655172414;10,352941176470589;1050;108,72413793103448;63,27450980392157
0;gini;0,25;0,8;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,18183116877185643;23,961904761904766;8,404662752138423;8,893572596951788;84;18,20689655172414;10,352941176470589;1050;108,72413793103448;63,27450980392157
0;gini;0,25;0,85;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,17997355386162073;23,961904761904766;8,404662752138423;8,893572596951788;84;18,20689655172414;10,352941176470589;1050;108,72413793103448;63,27450980392157
0;gini;0,25;0,9;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,1642055236972969;23,961904761904766;8,404662752138423;8,893572596951788;84;18,20689655172414;10,352941176470589;1050;108,72413793103448;64,33333333333333
0;gini;0,25;0,95;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,14876900086597492;23,961904761904766;8,404662752138423;8,893572596951788;84;18,20689655172414;10,352941176470589;1050;108,72413793103448;66,05882352941177
0;gini;0,3;0,7;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,19032039228593028;23,961904761904766;8,404662752138423;8,919983857221906;84;18,20689655172414;10,775510204081632;1050;108,72413793103448;65,73469387755102
0;gini;0,3;0,75;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,19122285278655;23,961904761904766;8,404662752138423;8,919983857221906;84;18,20689655172414;10,775510204081632;1050;108,72413793103448;65,73469387755102
0;gini;0,3;0,8;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,19219478009545285;23,961904761904766;8,404662752138423;8,919983857221906;84;18,20689655172414;10,775510204081632;1050;108,72413793103448;65,73469387755102
0;gini;0,3;0,85;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,1903015507272868;23,961904761904766;8,404662752138423;8,919983857221906;84;18,20689655172414;10,775510204081632;1050;108,72413793103448;65,73469387755102
0;gini;0,3;0,9;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,17388992749503146;23,961904761904766;8,404662752138423;8,919983857221906;84;18,20689655172414;10,775510204081632;1050;108,72413793103448;66,83673469387755
0;gini;0,3;0,95;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,15752373548503287;23,961904761904766;8,404662752138423;8,919983857221906;84;18,20689655172414;10,775510204081632;1050;108,72413793103448;67,57142857142857
0;gini;0,35;0,7;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,22005531435012654;23,961904761904766;8,404662752138423;9,170666034245693;84;18,20689655172414;11,478260869565217;1050;108,72413793103448;69,45652173913044
0;gini;0,35;0,75;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,22101663097035187;23,961904761904766;8,404662752138423;9,170666034245693;84;18,20689655172414;11,478260869565217;1050;108,72413793103448;69,45652173913044
0;gini;0,35;0,8;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,22205194484287885;23,961904761904766;8,404662752138423;9,170666034245693;84;18,20689655172414;11,478260869565217;1050;108,72413793103448;69,45652173913044
0;gini;0,35;0,85;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,22003524399418026;23,961904761904766;8,404662752138423;9,170666034245693;84;18,20689655172414;11,478260869565217;1050;108,72413793103448;69,45652173913044
0;gini;0,35;0,9;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,20255329750764736;23,961904761904766;8,404662752138423;9,170666034245693;84;18,20689655172414;11,478260869565217;1050;108,72413793103448;70,6304347826087
0;gini;0,35;0,95;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,1851197451491706;23,961904761904766;8,404662752138423;9,170666034245693;84;18,20689655172414;11,478260869565217;1050;108,72413793103448;71,41304347826087
0;gini;0,4;0,7;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,25809289886380005;23,961904761904766;8,404662752138423;8,589120333317714;84;18,20689655172414;13,2;1050;108,72413793103448;79,675
0;gini;0,4;0,75;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,2591984129770592;23,961904761904766;8,404662752138423;8,589120333317714;84;18,20689655172414;13,2;1050;108,72413793103448;79,675
0;gini;0,4;0,8;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,2597998756460307;23,961904761904766;8,404662752138423;8,589120333317714;84;18,20689655172414;13,2;1050;108,72413793103448;79,675
0;gini;0,4;0,85;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,25837330619971205;23,961904761904766;8,404662752138423;8,589120333317714;84;18,20689655172414;13,2;1050;108,72413793103448;79,675
0;gini;0,4;0,9;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,24659622243248544;23,961904761904766;8,404662752138423;8,589120333317714;84;18,20689655172414;13,2;1050;108,72413793103448;80,05
0;gini;0,4;0,95;0,5520952380952381;0,5713378684807255;0,36665779127121806;0,22939242204641025;23,961904761904766;8,404662752138423;8,589120333317714;84;18,20689655172414;13,2;1050;108,72413793103448;80,95
