index;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;target;group;level-0;level-1;freq;marker
39;0.12177934368735974;0.3783220994003384;0.5978007215511999;;;0.231720951084878;;0.17905762524970545;0.5052281439599803;0.4185913039709827;0.7445508811720956;0.8539052889118393;1.7545861305654327;;1.5397854936175919;0.2609064620050431;0.3814829477169207;0.9720378419937142;0.6536835325547711;0.31187683592124443;0.33268521556355085;0.31756062605573526;0.6688888065416259;0.0;0.2112332899818349;0.6965818124600905;;0.2450593305894229;0.6674396911483262;0.3346542648591489;0.40598144828152294;1.7189743142686293;0.16500232548048369;;0.05778754315392111;0.33853927450587945;;;;0.7442813646697559;0.6004503369586931;0.3691962917158338;0.7471603653895134;0.526115974915694;0.6671807493186344;0.9424870689356516;0.5354675933068686;0.20562400307295198;0.16633197024684554;0.1944379135719567;0.5625383932456294;;0.3487020040399195;0.37541191894592846;;0.3364513880845545;0.3443165290387527;;;0.810453018704881;0.5161888385224436;;0.7213037191121945;0.5696380973180865;0.23065883617521057;1.57243720989635;0.7213192606073092;2.0;1.481606116584635;;;0.6236163901964002;0.7087587205886202;;0.7472912263607433;0.4689604427503926;;0.7512567811739352;;;0.2903803236323406;0.5527871667191964;;;0.45320150352267213;0.6226148166077619;0.546009908803852;;0.8150449820722125;0.5870108237627293;0.129102969715919;1.324950387842594;1.5062354145656467;;0.4278345488046271;;0.29748015909163;0.5058054376957535;1.374871342865395;1.2265349354253294;49;hde-OM3-3;Engine;hde;30;
37;1.6833434888356038;0.47734343173560767;1.4134797859236516;0.6882023654228111;0.8581486422526283;;;0.5382636533285833;0.4326682793200416;0.3815162712422546;;0.49455953035603056;;0.5116241501047392;1.4802227444098257;;1.3158827955544783;;0.6041172718956472;;;0.44281275617796134;0.21971785126823468;1.397848676396227;0.6007304523882375;0.5857762735884892;;;0.6050320252875825;1.62878930278043;1.5064531627809887;1.6280115052994966;;0.2844776752589164;0.49525072313790175;1.3281489052887663;;0.19902305960253036;0.6284048919278983;0.6144040506720152;;;;;;0.3490352810280042;0.515743069594924;0.5848681208929011;;0.37495805726034187;;0.43865644792486524;0.6205730718594875;0.2086230257573897;2.658394438360915;0.7399658139077617;0.6594557922643923;0.6639241406113753;0.40699472980666873;1.2881210724159005;0.12079559444960963;;0.6521145006862542;0.6775412841001227;0.44035017320825315;1.6752267672545673;0.8247843249456063;1.6000580092597254;1.6411574670825844;;;1.3953181232701333;0.4495409773159958;;0.5947235845661838;0.5537689338094545;1.2513379306374688;0.6356684333173104;0.5083854043558792;0.746559197395388;0.9347359253200992;0.7414395360380878;;0.6052083404842145;1.2053275470339029;;0.28762445860227104;0.03924458937160229;0.4601312616541959;0.453697080707834;0.3492169586341652;1.4728176581440555;1.8049059720197018;0.5091398388576599;;;0.3355206986280867;0.6851673149372433;1.436463534345091;2.582307231749878;54;mde-OM3-13;Engine;mde;211;
22;0.0;0.30658803915110505;1.7255149762434243;0.214060925631499;0.6767931071546639;0.5055397667772823;;0.5847442278279463;0.5054055225689659;0.4765969172711561;;0.3703326248014079;;0.022384195550314644;1.4878165833898167;0.45719407504304116;0.3015092977095283;;0.4483761437435657;;;0.3162463456655561;0.06502136385707098;0.40573482285672297;0.3502845488186806;0.4998945656809432;0.46499188949169623;;0.2712658716734739;1.520098011587122;1.4686442407387588;2.0;;0.48811600277174005;0.28255286642348937;1.660536889102603;;0.3771458724678061;;0.0;0.7998404235614194;0.8396281156107026;1.4950032305222567;;0.31671747400104716;;0.9178261460708003;0.8550613389120634;;0.4637492819741574;;0.08348886977670716;;0.22475886348409152;1.9189490009355272;0.22448163617361241;0.6921876164178207;0.3315317404920023;0.2964947586183551;0.5222751300524457;0.6166577606066987;0.25440613568801185;0.8312063901127053;0.3323394159573474;0.48765418238766334;1.8064809133211608;0.36798878647710254;1.980728369642604;1.4432264438905367;;;1.3161677048563876;0.5176548445588915;;0.46973253624555084;0.2912324476445641;1.47348946352528;0.8331414345263564;0.5970821575761371;0.880138611764201;0.28931030667594404;0.3426293379509516;;0.5162553333603038;0.39901606195303263;;0.6189278341825304;;0.598203523827272;0.4735138435817377;0.8110056160911828;1.270836831610586;1.7762304561932152;0.7119886707414528;0.3512154036244739;1.4736407791592434;0.52641859121762;0.39161004603711785;1.0230022599510977;2.426190374310102;31;mde-OM3-4;Engine;mde;49;
13;0.18449162559020746;0.5481156061023869;0.4364499859624941;0.5253729589678788;0.841135223341751;0.10493901045255556;;0.31496394902594904;0.7724277506148054;0.5036900091474599;;0.660142388430794;1.3555822931700816;0.6161607567040637;;;;;0.39665133099895244;0.6042851489334138;0.20961297535268383;0.840848294786808;0.46543293748805925;0.516135371080944;;0.7313339808232154;0.29835100012485183;0.15831148053285812;0.5769615753762903;0.47508260580945927;0.20090529401806045;1.2410941938383062;;1.0;0.48244253245371105;1.7358321881465737;0.7319564576404805;0.773207715263454;0.7956842091981564;;;0.6635236275641658;0.5117467535927157;0.3405485365852033;0.57198040766139;0.24009094454135213;0.5471331585196497;0.41267454064640163;;0.5321969332133232;;0.6705939849592649;0.5081076870876591;0.7982701061269216;0.35281023144889667;0.6636840985679208;;0.6993703298431667;0.6022468826024624;0.7360916707079646;0.13117741023970214;0.3355837996114933;0.37120914937276117;0.5300066318806075;0.3597165510235052;;0.6139630443896889;1.7288729935885647;1.7261927903699381;;0.5098684010005462;0.3643587753806253;;0.7882750771959462;0.7066133728735539;0.5259382239168278;1.5101436481114212;;;0.7008170534432309;0.30281279447783266;0.5684706952163565;;0.4421373119503812;0.774008961021907;0.6664527565759574;0.6731239072723798;0.49914748758423677;;;0.6821418465761652;;1.6183669957043985;;0.23268506207253908;1.418126743974318;0.8147486247944263;0.29747511277544963;1.5355475360382091;2.9330860200437447;40;mde-OM1-3;Engine;mde;55;
5;0.2541033568348158;0.6251913067605391;0.535921942613088;;0.7313092480541665;0.17219279376507288;0.5718268895082995;0.39161094984854056;0.5360531374111569;;0.9302231737984685;0.5748512955858606;1.0804845304900121;0.6658612127899965;1.9019086572237995;0.37643736269696715;0.33262949534051384;0.3544366987613095;0.27022054686011826;;0.7090715977295531;0.6217050751903618;0.43513721430322855;0.47368284795260895;0.4321097885243336;0.646417924659062;;0.6089276954352446;0.7532034898449822;0.4799874524977903;0.7267406388583538;1.2896096413832165;0.5380215271034523;0.25746797914922337;0.42189816282759107;0.0960627859955009;0.6086691574764221;;0.5111233805846171;0.2595341614098931;0.4079605076223115;;;0.5300654461741748;0.20279792116112882;0.483577274734145;0.3995987268581118;;;0.37078095465121563;0.4794723897176049;0.028836848370244157;;;;;0.4161690669371598;0.09569626464264046;0.18769866658295647;0.16642425669399288;0.42696641194034873;0.577311301748588;0.9085144138097492;0.42567689664663994;0.0;1.208994301357651;;;0.4381170517360858;;;;;0.701103108024585;0.606751748225577;;1.1361433288125196;0.12442999897209431;;;0.5643063737112723;;;;0.5011480954486416;0.7663192356872769;0.5000194265132952;0.5832996343210517;0.15930232546243678;0.3810923092362344;;1.5777016225029592;1.0801815981923437;0.48983185703129145;;2.0;;0.562118419190934;0.4642715378147642;1.613467242006257;35;hde-OM2-5;Engine;hde;30;
3;0.7203372428016263;;0.09635318712819706;;0.9362724898083066;0.22768202983585745;0.5305525569671623;0.3785562152862091;0.44718301214653045;;0.5468276525496106;0.573305567437701;1.0093012754457396;0.2661410940374942;2.0;0.20339453907959407;0.06723216837868154;0.6549024019375945;0.24025780483816397;0.3899357829895726;0.5247563072269921;0.527081641100645;0.7736689264027766;0.7855578555036615;0.43692501792072924;0.4179341132100129;;0.4606656711401916;0.4422737463642784;0.5956107974188081;0.45304870705865435;1.8286579082504986;0.5114772225466481;0.6048478933093863;0.2989469850219046;0.26828665382837164;0.6570864334891543;;0.9012489247762941;0.1643134241539878;0.28056593657792606;0.556699350785504;;0.2195317438061169;0.6541621670411685;1.0;0.7175326278366757;;0.0;0.09604662460393738;0.6722791815973469;0.35964482675610904;;;;0.37476849671843093;0.8165830827296295;0.19388989466275727;0.42378812933941257;0.6201801866091036;0.3117528303664967;0.4566096316602236;0.5608804733728353;1.0;0.8443679684141084;1.5426824734497089;;1.0;0.37713299244455023;;0.21569436599347996;;;0.3933358295816997;0.5491184188236204;0.766041864967843;1.848450791882533;0.5676665316005213;;;;;;;0.4858880130580815;0.7912121051309035;0.13609430233505987;0.4532613053856085;0.09940846249865218;0.6095671420267418;;1.0060795643510851;1.4006407737787612;0.11696836876137483;;1.7152140819105708;;0.08242873203880502;0.5140337451975557;1.861875737939283;42;hde-OM2-5;Engine;hde;30;
3;;0.6610677798131174;1.3885229817268918;0.17094124974401884;0.5810967295837887;0.2886444322702754;;0.4088417148118356;0.606507915265742;0.6073744294694144;;0.25183859172784695;;0.438924045853655;1.6513789395517442;0.3986462085923063;0.5406627599616842;;0.16470756077518098;;1.3333198553302532;0.50472611603347;;0.2689282371816141;0.3202894336851875;0.9887826287916313;0.0;0.6180819179686231;0.7716938907988858;;1.728774451588149;1.1067067647659934;;0.623936393199296;0.29055985648790394;;;0.4723511427536158;0.3820633010865893;0.8431797373659219;0.05029241542860318;0.373619756738785;1.2181539870583538;;0.2827116184896282;0.5295160672573229;0.14697699007182788;0.5832399518465158;;0.5430054762967395;;0.46256937310279334;0.484737170699161;0.6280124288909367;2.3659355843229846;0.37748208550459394;0.3693411923468761;0.40130244334959664;0.5106155513411764;0.10668351871732991;;0.6073216359251875;0.6768354566185203;0.5453866462800976;0.3006184397173779;1.3370160108411535;0.3057900055342645;1.5929517655075898;1.7435097226885201;;;1.3229580480041165;0.4635488809497376;1.7748738852766626;0.6240038725554189;0.9492840465830963;1.3476478801077234;0.31175176264991367;0.0;0.9072152127598834;;0.4182508350893108;;0.6143433955029277;1.6650349274173186;;0.43574098118488286;;0.3713259701164708;0.44854525734206996;;;1.185609033966857;;0.5928651125588613;1.8509566948458258;;0.4875383144764633;1.2623397651541455;2.565803107452578;68;mde-OM3-9;Engine;mde;27;
4;1.8103334654741843;;1.4633493796435917;0.49651531481446304;0.38802886034134054;0.4202349599217627;;;0.7944054592811344;0.3012070169791822;;0.7613588180242418;;0.535840462397907;1.6113691835696908;0.43930564875577616;0.4667970001960076;;0.3162108751052908;;1.8750576784257547;0.1581933276179509;;0.07763092603629439;0.24210832400004834;0.5929835069341765;0.35797786201162685;0.11055005133154529;0.707672798793758;;1.031967908412808;1.3626426005218684;;0.3850317199803887;0.7823339508677887;;;0.5233638717129536;;0.42953910256563055;0.7325608804780948;;1.9604636721753756;;0.592779160760608;0.664755518568792;0.4239006683521296;0.467828284601701;;0.5316531300627666;;0.40191707113924247;0.6925031965587226;0.4157569385626515;2.8353656895011636;0.637554973972058;0.0;0.7203703631574316;0.1149967180833886;0.6458332790206444;0.31273559461270534;0.4684898542894643;0.7653574062398588;0.1655744898813868;0.4261127295043212;1.9448343806861832;0.2535620872459771;1.9358516085869482;1.4102615384249642;;;1.0;0.475756254770524;1.8498074328003062;0.8111008398658768;0.598482926432064;1.5348570800907537;0.33921206683586513;0.6253726526706684;0.34121397347951493;0.7694038632333456;0.6017464821435646;;0.9413628860123258;1.7546485329410269;;0.918817621815784;;0.11613019403227454;0.14629348263938521;;1.4846850050052556;1.4092198910924336;;0.3558067822925004;1.5031953601915924;0.14496609753715994;0.2547461968066088;1.05602338671441;2.3063318881642156;67;mde-OM3-9;Engine;mde;27;
149;1.3705556436439912;0.49463090340104754;1.5249956034833265;0.5123413163127419;0.5046036739200547;0.4261956519027069;;0.7202941400307209;0.6261305640277435;0.48729105713973625;;0.32922582781379345;;0.24903872424274945;1.7160956012398594;;1.3829569668547101;;0.6807572483668496;;;0.7259185451716219;;1.1045171199014596;;0.4263860014634429;0.5772857115098614;0.30708060608115706;0.6125816169158901;1.5390393281883168;;1.3129766497709117;;0.44186239187168225;0.585520950354285;1.4201963991537911;;0.43025128467624324;0.4647573559885706;0.5401348437888883;0.5375999366240688;;;;;0.5659320010203586;0.7229306866478905;0.3920625067979324;;;;0.38160930516853897;0.3384216029355432;0.598556576965953;2.520446066813836;0.5484492330395383;0.24467795522850028;;0.45424182606226593;1.371587047019647;0.27150202886189556;;0.39990872758746027;0.4587730084534977;0.35279072805759865;1.7396566023810063;0.680098899509124;1.5383954359273742;1.664878221918893;;;1.534961716850054;0.39752857663179963;;0.5833797395008935;0.23757171459188287;1.6391874766204726;0.6845762012009033;0.6284212231445686;0.2577539920573536;0.2529560520507154;0.5360906183000924;;0.5321593243174333;1.600885629034368;;0.9227613510918553;0.29589389022632684;0.9017690676005603;0.692547968859104;;1.4674950317298145;1.6657879911046063;0.4049115102072468;0.7056669744554406;2.5835846229471153;0.20836004448262094;0.4929883484265176;1.3003208184841846;2.5848216382149647;70;mde-OM3-13;Engine;mde;211;
7;1.0;1.0;2.0;1.0;0.40383661455491027;1.0;;0.9100650797705013;0.7202125610122688;0.1588881144470292;;0.9038589017463106;;1.0;1.2981245501009993;0.5416001329002553;0.7478556643650827;;0.5549026077970561;;1.3392537526577168;0.44328154401739295;0.5639950630024176;;0.0;0.7260436374052482;;1.0;;;1.3970178162621296;1.6358470308786002;;0.4477879328893323;0.0;1.4566209764437779;;;0.3081018472968881;1.0;0.6811193384044437;0.2147592308104318;1.5617117019109648;;1.0;1.0;;0.6925005027485424;;0.8113634586591014;;0.31836801477094145;0.5846634869520685;0.524475613254748;;0.4472062702040002;0.0;0.0;0.7710134795626079;1.818359857687394;0.32620464132981536;0.0;0.8547802805066254;0.8607535410084588;0.3583941684124117;;0.5743459774909722;1.1591363665793617;1.3407617278187713;;;1.229649725600382;0.7174281768644724;1.5685414053462605;0.5407204485676111;0.7012547497238546;;0.5577394949384171;0.8279743937920522;0.344210742754517;0.3712671781292717;0.8009990319408923;;0.4497602231245331;1.7028806624416077;;0.5031860618996848;1.0;0.22329328022332742;0.5142317931085733;0.0;1.0;1.1537922388509918;0.8734412744610812;0.7412686514480905;3.0;0.5398818834272542;;1.1469985825373201;2.699315673129998;71;mde-OM3-11;Engine;mde;6;
