R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
1,0.13333333333333333,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
2,0.21333333333333335,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
3,0.2733333333333333,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
4,0.31333333333333335,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
5,0.38,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
6,0.44333333333333336,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
7,0.49666666666666665,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
8,0.5233333333333333,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
9,0.5533333333333333,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
10,0.5733333333333334,SPH,-1.0,-1.0,1.0,11.0,0.25,,,,
1,0.07666666666666666,RF+B,-1.0,-1.0,1.0,11.0,,,,,
2,0.13333333333333333,RF+B,-1.0,-1.0,1.0,11.0,,,,,
3,0.18666666666666668,RF+B,-1.0,-1.0,1.0,11.0,,,,,
4,0.22666666666666666,RF+B,-1.0,-1.0,1.0,11.0,,,,,
5,0.29333333333333333,RF+B,-1.0,-1.0,1.0,11.0,,,,,
6,0.3333333333333333,RF+B,-1.0,-1.0,1.0,11.0,,,,,
7,0.38,RF+B,-1.0,-1.0,1.0,11.0,,,,,
8,0.4166666666666667,RF+B,-1.0,-1.0,1.0,11.0,,,,,
9,0.48333333333333334,RF+B,-1.0,-1.0,1.0,11.0,,,,,
10,0.5133333333333333,RF+B,-1.0,-1.0,1.0,11.0,,,,,
1,0.05,CPI,0.3,0.7,,,,,,,
2,0.09,CPI,0.3,0.7,,,,,,,
3,0.13666666666666666,CPI,0.3,0.7,,,,,,,
4,0.19,CPI,0.3,0.7,,,,,,,
5,0.21333333333333335,CPI,0.3,0.7,,,,,,,
6,0.25333333333333335,CPI,0.3,0.7,,,,,,,
7,0.2966666666666667,CPI,0.3,0.7,,,,,,,
8,0.31333333333333335,CPI,0.3,0.7,,,,,,,
9,0.3466666666666667,CPI,0.3,0.7,,,,,,,
10,0.37,CPI,0.3,0.7,,,,,,,
1,0.13333333333333333,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
2,0.21333333333333335,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
3,0.2733333333333333,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
4,0.31333333333333335,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
5,0.38,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
6,0.44333333333333336,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
7,0.49666666666666665,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
8,0.5233333333333333,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
9,0.5533333333333333,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
10,0.5733333333333334,Tailored Approach,0.3,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.05,0.3903333333333333
1,0.03666666666666667,CPI,0.3,0.8,,,,,,,
2,0.07666666666666666,CPI,0.3,0.8,,,,,,,
3,0.12666666666666668,CPI,0.3,0.8,,,,,,,
4,0.17,CPI,0.3,0.8,,,,,,,
5,0.22333333333333333,CPI,0.3,0.8,,,,,,,
6,0.2633333333333333,CPI,0.3,0.8,,,,,,,
7,0.31333333333333335,CPI,0.3,0.8,,,,,,,
8,0.35333333333333333,CPI,0.3,0.8,,,,,,,
9,0.39,CPI,0.3,0.8,,,,,,,
10,0.4066666666666667,CPI,0.3,0.8,,,,,,,
1,0.13333333333333333,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
2,0.21333333333333335,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
3,0.2733333333333333,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
4,0.31333333333333335,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
5,0.38,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
6,0.44333333333333336,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
7,0.49666666666666665,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
8,0.5233333333333333,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
9,0.5533333333333333,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
10,0.5733333333333334,Tailored Approach,0.3,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.03666666666666667,0.3903333333333333
1,0.04,CPI,0.3,0.9,,,,,,,
2,0.07333333333333333,CPI,0.3,0.9,,,,,,,
3,0.11333333333333333,CPI,0.3,0.9,,,,,,,
4,0.13,CPI,0.3,0.9,,,,,,,
5,0.16333333333333333,CPI,0.3,0.9,,,,,,,
6,0.17333333333333334,CPI,0.3,0.9,,,,,,,
7,0.23,CPI,0.3,0.9,,,,,,,
8,0.25666666666666665,CPI,0.3,0.9,,,,,,,
9,0.3,CPI,0.3,0.9,,,,,,,
10,0.34,CPI,0.3,0.9,,,,,,,
1,0.13333333333333333,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
2,0.21333333333333335,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
3,0.2733333333333333,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
4,0.31333333333333335,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
5,0.38,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
6,0.44333333333333336,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
7,0.49666666666666665,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
8,0.5233333333333333,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
9,0.5533333333333333,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
10,0.5733333333333334,Tailored Approach,0.3,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.04,0.3903333333333333
1,0.07666666666666666,CPI,0.35,0.7,1.0,11.0,,,,,
2,0.13333333333333333,CPI,0.35,0.7,1.0,11.0,,,,,
3,0.18666666666666668,CPI,0.35,0.7,1.0,11.0,,,,,
4,0.22666666666666666,CPI,0.35,0.7,1.0,11.0,,,,,
5,0.29333333333333333,CPI,0.35,0.7,1.0,11.0,,,,,
6,0.3333333333333333,CPI,0.35,0.7,1.0,11.0,,,,,
7,0.38,CPI,0.35,0.7,1.0,11.0,,,,,
8,0.4166666666666667,CPI,0.35,0.7,1.0,11.0,,,,,
9,0.48333333333333334,CPI,0.35,0.7,1.0,11.0,,,,,
10,0.5133333333333333,CPI,0.35,0.7,1.0,11.0,,,,,
1,0.13333333333333333,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
2,0.21333333333333335,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
3,0.2733333333333333,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
4,0.31333333333333335,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
5,0.38,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
6,0.44333333333333336,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
7,0.49666666666666665,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
8,0.5233333333333333,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
9,0.5533333333333333,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
10,0.5733333333333334,Tailored Approach,0.35,0.7,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
1,0.07666666666666666,CPI,0.35,0.8,1.0,11.0,,,,,
2,0.13333333333333333,CPI,0.35,0.8,1.0,11.0,,,,,
3,0.18666666666666668,CPI,0.35,0.8,1.0,11.0,,,,,
4,0.22666666666666666,CPI,0.35,0.8,1.0,11.0,,,,,
5,0.29333333333333333,CPI,0.35,0.8,1.0,11.0,,,,,
6,0.3333333333333333,CPI,0.35,0.8,1.0,11.0,,,,,
7,0.38,CPI,0.35,0.8,1.0,11.0,,,,,
8,0.4166666666666667,CPI,0.35,0.8,1.0,11.0,,,,,
9,0.48333333333333334,CPI,0.35,0.8,1.0,11.0,,,,,
10,0.5133333333333333,CPI,0.35,0.8,1.0,11.0,,,,,
1,0.13333333333333333,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
2,0.21333333333333335,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
3,0.2733333333333333,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
4,0.31333333333333335,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
5,0.38,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
6,0.44333333333333336,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
7,0.49666666666666665,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
8,0.5233333333333333,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
9,0.5533333333333333,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
10,0.5733333333333334,Tailored Approach,0.35,0.8,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
1,0.07666666666666666,CPI,0.35,0.9,1.0,11.0,,,,,
2,0.13333333333333333,CPI,0.35,0.9,1.0,11.0,,,,,
3,0.18666666666666668,CPI,0.35,0.9,1.0,11.0,,,,,
4,0.22666666666666666,CPI,0.35,0.9,1.0,11.0,,,,,
5,0.29333333333333333,CPI,0.35,0.9,1.0,11.0,,,,,
6,0.3333333333333333,CPI,0.35,0.9,1.0,11.0,,,,,
7,0.38,CPI,0.35,0.9,1.0,11.0,,,,,
8,0.4166666666666667,CPI,0.35,0.9,1.0,11.0,,,,,
9,0.48333333333333334,CPI,0.35,0.9,1.0,11.0,,,,,
10,0.5133333333333333,CPI,0.35,0.9,1.0,11.0,,,,,
1,0.13333333333333333,Tailored Approach,0.35,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
2,0.21333333333333335,Tailored Approach,0.35,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
3,0.2733333333333333,Tailored Approach,0.35,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
4,0.31333333333333335,Tailored Approach,0.35,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
5,0.38,Tailored Approach,0.35,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
6,0.44333333333333336,Tailored Approach,0.35,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
7,0.49666666666666665,Tailored Approach,0.35,0.9,1.0,11.0,0.25,0.13333333333333333,0.07666666666666666,0.07666666666666666,0.3903333333333333
