R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
1,0.38666666666666666,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
2,0.5466666666666666,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
3,0.64,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
4,0.74,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
5,0.7833333333333333,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
6,0.8066666666666666,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
7,0.8233333333333334,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
8,0.83,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
9,0.8533333333333334,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
10,0.8666666666666667,SPH,-1.0,-1.0,1.0,8.0,0.25,,,,
1,0.30333333333333334,RF+B,-1.0,-1.0,1.0,8.0,,,,,
2,0.43666666666666665,RF+B,-1.0,-1.0,1.0,8.0,,,,,
3,0.52,RF+B,-1.0,-1.0,1.0,8.0,,,,,
4,0.59,RF+B,-1.0,-1.0,1.0,8.0,,,,,
5,0.67,RF+B,-1.0,-1.0,1.0,8.0,,,,,
6,0.7133333333333334,RF+B,-1.0,-1.0,1.0,8.0,,,,,
7,0.7366666666666667,RF+B,-1.0,-1.0,1.0,8.0,,,,,
8,0.7433333333333333,RF+B,-1.0,-1.0,1.0,8.0,,,,,
9,0.7566666666666667,RF+B,-1.0,-1.0,1.0,8.0,,,,,
10,0.77,RF+B,-1.0,-1.0,1.0,8.0,,,,,
1,0.19333333333333333,Tailored Approach,,,,,,,,,
2,0.2633333333333333,Tailored Approach,,,,,,,,,
3,0.33666666666666667,Tailored Approach,,,,,,,,,
4,0.4033333333333333,Tailored Approach,,,,,,,,,
5,0.4633333333333333,Tailored Approach,,,,,,,,,
6,0.5366666666666666,Tailored Approach,,,,,,,,,
7,0.5966666666666667,Tailored Approach,,,,,,,,,
8,0.6533333333333333,Tailored Approach,,,,,,,,,
9,0.69,Tailored Approach,,,,,,,,,
10,0.7233333333333334,Tailored Approach,,,,,,,,,
1,0.4033333333333333,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
2,0.57,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
3,0.6366666666666667,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
4,0.7366666666666667,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
5,0.7866666666666666,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
6,0.81,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
7,0.83,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
8,0.8333333333333334,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
9,0.8566666666666667,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
10,0.8666666666666667,Tailored Approach,0.4,0.95,1.0,8.0,0.25,0.38666666666666666,0.30333333333333334,0.19333333333333333,0.733
