;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Unnamed: 0.1.1.1;Unnamed: 0.1.1.1.1;Unnamed: 0.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;group;target;RA@10;gini;p;max info loss;Method;imb
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;453,0;mde-OM1-6;68;0;-1,0;-1,0;0,1;SPH;normal
1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;411,0;mde-OM1-4;55;1;-1,0;-1,0;0,1;SPH;normal
2;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;837,0;mde-OM3-13;47;2;-1,0;-1,0;0,1;SPH;normal
3;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;938,0;mde-OM3-13;45;1;-1,0;-1,0;0,1;SPH;normal
4;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;272,0;hde-OM3-3;49;0;-1,0;-1,0;0,1;SPH;normal
5;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;830,0;mde-OM3-13;45;2;-1,0;-1,0;0,1;SPH;normal
6;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;936,0;mde-OM3-13;45;1;-1,0;-1,0;0,1;SPH;normal
7;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;108,0;hde-OM2-1;15;4;-1,0;-1,0;0,1;SPH;normal
8;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;192,0;hde-OM2-5;35;0;-1,0;-1,0;0,1;SPH;normal
9;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;706,0;mde-OM3-11;71;0;-1,0;-1,0;0,1;SPH;normal
10;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;737,0;mde-OM3-12;76;0;-1,0;-1,0;0,1;SPH;normal
11;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;11,0;598,0;mde-OM3-6;53;0;-1,0;-1,0;0,1;SPH;normal
