;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Unnamed: 0.1.1.1;Unnamed: 0.1.1.1.1;group;target;RA@10;gini;p;max info loss;imb;Method
0;0,0;0,0;0,0;0,0;453,0;mde-OM1-6;68;5;-1;-1;-1;normal;RF+B
1;1,0;1,0;1,0;1,0;411,0;mde-OM1-4;55;1;-1;-1;-1;normal;RF+B
2;2,0;2,0;2,0;2,0;837,0;mde-OM3-13;47;2;-1;-1;-1;normal;RF+B
3;3,0;3,0;3,0;3,0;938,0;mde-OM3-13;45;1;-1;-1;-1;normal;RF+B
4;4,0;4,0;4,0;4,0;272,0;hde-OM3-3;49;0;-1;-1;-1;normal;RF+B
5;5,0;5,0;5,0;5,0;830,0;mde-OM3-13;45;4;-1;-1;-1;normal;RF+B
6;6,0;6,0;6,0;6,0;936,0;mde-OM3-13;45;1;-1;-1;-1;normal;RF+B
7;7,0;7,0;7,0;7,0;108,0;hde-OM2-1;15;9;-1;-1;-1;normal;RF+B
8;8,0;8,0;8,0;8,0;192,0;hde-OM2-5;35;0;-1;-1;-1;normal;RF+B
9;9,0;9,0;9,0;9,0;706,0;mde-OM3-11;71;0;-1;-1;-1;normal;RF+B
10;10,0;10,0;10,0;10,0;737,0;mde-OM3-12;76;8;-1;-1;-1;normal;RF+B
11;11,0;11,0;11,0;11,0;598,0;mde-OM3-6;53;6;-1;-1;-1;normal;RF+B
12;12,0;12,0;12,0;12,0;959,0;mde-OM3-13;48;5;-1;-1;-1;normal;RF+B
13;13,0;13,0;13,0;13,0;966,0;mde-OM3-13;45;1;-1;-1;-1;normal;RF+B
14;14,0;14,0;14,0;14,0;820,0;mde-OM3-13;48;2;-1;-1;-1;normal;RF+B
15;15,0;15,0;15,0;15,0;40,0;hde-OM1-3;11;0;-1;-1;-1;normal;RF+B
16;16,0;16,0;16,0;16,0;827,0;mde-OM3-13;47;4;-1;-1;-1;normal;RF+B
17;17,0;17,0;17,0;17,0;474,0;mde-OM1-7;69;8;-1;-1;-1;normal;RF+B
18;18,0;18,0;18,0;18,0;228,0;hde-OM3-1;41;0;-1;-1;-1;normal;RF+B
19;19,0;19,0;19,0;19,0;375,0;mde-OM1-3;41;0;-1;-1;-1;normal;RF+B
20;20,0;20,0;20,0;20,0;124,0;hde-OM2-1;9;9;-1;-1;-1;normal;RF+B
21;21,0;21,0;21,0;21,0;287,0;mde-OM1-2;34;0;-1;-1;-1;normal;RF+B
22;22,0;22,0;22,0;22,0;974,0;mde-OM3-13;47;3;-1;-1;-1;normal;RF+B
23;23,0;23,0;23,0;23,0;948,0;mde-OM3-13;83;0;-1;-1;-1;normal;RF+B
24;24,0;24,0;24,0;24,0;993,0;mde-OM3-13;47;5;-1;-1;-1;normal;RF+B
25;25,0;25,0;25,0;25,0;717,0;mde-OM3-12;72;8;-1;-1;-1;normal;RF+B
26;26,0;26,0;26,0;26,0;772,0;mde-OM3-13;45;1;-1;-1;-1;normal;RF+B
27;27,0;27,0;27,0;27,0;581,0;mde-OM3-6;52;0;-1;-1;-1;normal;RF+B
28;28,0;28,0;28,0;28,0;486,0;mde-OM3-4;33;0;-1;-1;-1;normal;RF+B
29;29,0;29,0;29,0;29,0;990,0;mde-OM3-13;60;3;-1;-1;-1;normal;RF+B
30;30,0;30,0;30,0;30,0;290,0;mde-OM1-2;33;1;-1;-1;-1;normal;RF+B
31;31,0;31,0;31,0;31,0;492,0;mde-OM3-4;33;0;-1;-1;-1;normal;RF+B
32;32,0;32,0;32,0;32,0;961,0;mde-OM3-13;47;3;-1;-1;-1;normal;RF+B
33;33,0;33,0;33,0;33,0;610,0;mde-OM3-6;51;1;-1;-1;-1;normal;RF+B
34;34,0;34,0;34,0;34,0;266,0;hde-OM3-3;44;1;-1;-1;-1;normal;RF+B
35;35,0;35,0;35,0;35,0;690,0;mde-OM3-9;63;1;-1;-1;-1;normal;RF+B
36;36,0;36,0;36,0;36,0;60,0;hde-OM1-4;16;8;-1;-1;-1;normal;RF+B
37;37,0;37,0;37,0;37,0;427,0;mde-OM1-4;59;0;-1;-1;-1;normal;RF+B
38;38,0;38,0;38,0;38,0;128,0;hde-OM2-1;10;1;-1;-1;-1;normal;RF+B
39;39,0;39,0;39,0;39,0;967,0;mde-OM3-13;46;1;-1;-1;-1;normal;RF+B
40;40,0;40,0;40,0;40,0;516,0;mde-OM3-4;32;4;-1;-1;-1;normal;RF+B
41;41,0;41,0;41,0;41,0;953,0;mde-OM3-13;45;1;-1;-1;-1;normal;RF+B
42;42,0;42,0;42,0;42,0;621,0;mde-OM3-7;61;5;-1;-1;-1;normal;RF+B
43;43,0;43,0;43,0;43,0;496,0;mde-OM3-4;32;9;-1;-1;-1;normal;RF+B
44;44,0;44,0;44,0;44,0;756,0;mde-OM3-13;48;0;-1;-1;-1;normal;RF+B
45;45,0;45,0;45,0;45,0;456,0;mde-OM1-6;62;3;-1;-1;-1;normal;RF+B
46;46,0;46,0;46,0;46,0;169,0;hde-OM2-5;34;4;-1;-1;-1;normal;RF+B
47;47,0;47,0;47,0;47,0;449,0;mde-OM1-5;61;0;-1;-1;-1;normal;RF+B
48;48,0;48,0;48,0;48,0;89,0;hde-OM1-6;27;1;-1;-1;-1;normal;RF+B
