;avg #n classes+groups;min #n classes+groups;max #n classes+groups;avg #n groups;min #n groups;max #n groups;avg #c groups;min #c groups;max #c groups;Fishers DR (C);Fishers DRv (C);Border Points (C);NN Error (C);Fishers DR (G);Fishers DRv (G);Border Points (G);NN Error (G);Gini (C);Gini (G);Acc (X);Acc (G);Acc (G - X);n;n_features;c;gs;features_remove_percent;n_group_features;group_imbalance;cls_imbalance
0;10,20408163265306;2;79;40,0;8;151;3,92;2;14;0,9476250367982998;0,1579370311171206;0,825;0,659;0,8942176089865969;0,3015291234073191;0,6444444444444445;0,4222222222222222;0,5606666666666669;0,40544;0,2633333333333333;0,64;0,3766666666666667;1000;50;30;0,0;0;10;medium;medium
0;10,20408163265306;2;79;40,0;8;151;3,92;2;14;0,5534621736710027;0,0896950938261933;0,593;0,409;0,8942176089865967;0,3015291234073191;0,6444444444444445;0,4222222222222222;0,5606666666666669;0,40544;0,5466666666666666;0,6533333333333333;0,1066666666666666;1000;50;30;0,25;0;10;medium;medium
0;10,20408163265306;2;79;40,0;8;151;3,92;2;14;0,443250962459433;0,0686708655981525;0,544;0,367;0,8942176089865969;0,3015291234073193;0,6444444444444445;0,4222222222222222;0,5606666666666669;0,40544;0,6133333333333333;0,6333333333333333;0,02;1000;50;30;0,5;0;10;medium;medium
0;10,20408163265306;2;79;40,0;8;151;3,92;2;14;0,4096464315595685;0,0621860562907204;0,537;0,357;0,8942176089865969;0,3015291234073191;0,6444444444444445;0,4222222222222222;0,5606666666666669;0,40544;0,6066666666666667;0,6233333333333333;0,0166666666666666;1000;50;30;0,75;0;10;medium;medium
0;10,20408163265306;2;79;40,0;8;151;3,92;2;14;0,395645347559304;0,0593184500596732;0,544;0,362;0,8942176089865969;0,3015291234073187;0,6444444444444445;0,4222222222222222;0,5606666666666669;0,40544;0,6166666666666667;0,62;0,0033333333333332;1000;50;30;1,0;0;10;medium;medium
0;10,20408163265306;2;79;40,0;8;151;3,92;2;14;0,8541413899238905;0,1251505575178011;0,705;0,525;0,8942176089865969;0,3015291234073192;0,6444444444444445;0,4222222222222222;0,5606666666666669;0,40544;0,4533333333333333;0,6433333333333333;0,19;1000;50;30;0,5;0;1;medium;medium
0;10,20408163265306;2;79;40,0;8;151;3,92;2;14;0,5872543913769706;0,0851522375886963;0,587;0,408;0,8942176089865969;0,3015291234073191;0,6444444444444445;0,4222222222222222;0,5606666666666669;0,40544;0,5666666666666667;0,6333333333333333;0,0666666666666666;1000;50;30;0,5;0;5;medium;medium
0;10,20408163265306;2;79;40,0;8;151;3,92;2;14;0,3925586823849754;0,0689815364481152;0,516;0,343;0,8942176089865969;0,3015291234073191;0,6444444444444445;0,4222222222222222;0,5606666666666669;0,40544;0,63;0,6666666666666666;0,0366666666666666;1000;50;30;0,5;0;15;medium;medium
0;10,20408163265306;2;79;40,0;8;151;3,92;2;14;0,3643461875678912;0,0647405797857935;0,504;0,31;0,8942176089865965;0,301529123407319;0,6444444444444445;0,4222222222222222;0,5606666666666669;0,40544;0,62;0,65;0,03;1000;50;30;0,5;0;20;medium;medium
0;9,70873786407767;2;44;40,0;22;82;4,12;2;11;0,3469893158254763;0,0166076505808536;0,573;0,397;0,8879154627996726;0,2870518915225558;0,625;0,40625;0,3869333333333334;0,1916799999999999;0,5766666666666667;0,61;0,0333333333333333;1000;50;30;0,5;0;10;very_balanced;medium
0;10,0;2;69;40,0;20;117;4,0;2;9;0,3964451270581223;0,0409257045479144;0,541;0,374;0,846356723265978;0,3788707790458533;0,6176470588235294;0,4411764705882353;0,4777333333333332;0,2569599999999999;0,6166666666666667;0,64;0,0233333333333333;1000;50;30;0,5;0;10;balanced;medium
0;10,858695652173912;2;128;41,625;4;250;3,8333333333333335;2;19;0,3394614629594027;0,0616823687112362;0,5435435435435435;0,3843843843843844;0,9389340828896516;0,1116829848205118;0,5;0,3095238095238095;0,5517851184517852;0,5730313646980314;0,6033333333333334;0,62;0,0166666666666666;1000;50;30;0,5;0;10;imbalanced;medium
0;9,891089108910892;1;208;41,625;2;398;4,208333333333333;1;26;0,4876951150339934;0,0784608851715542;0,5525525525525525;0,4024024024024024;0,8081642470776766;0,544574122986984;0,8333333333333334;0,5;0,5958291624958292;0,7104187520854188;0,5833333333333334;0,61;0,0266666666666666;1000;50;30;0,5;0;10;very_imbalanced;medium
0;10,20408163265306;3;39;40,0;8;151;3,92;2;14;0,4636664531755272;0,0267428557350878;0,702;0,563;0,8564166380225583;0,232944874751907;0,7111111111111111;0,5111111111111111;0,4299333333333334;0,40544;0,4066666666666667;0,4733333333333333;0,0666666666666666;1000;50;30;0,5;0;10;medium;very_balanced
0;10,20408163265306;2;39;40,0;8;151;3,92;2;14;0,4626964697679993;0,0353162973045745;0,631;0,48;0,8694122540781288;0,2846722510270492;0,6444444444444445;0,4222222222222222;0,4758666666666666;0,40544;0,44;0,47;0,0299999999999999;1000;50;30;0,5;0;10;medium;balanced
0;10,20408163265306;2;106;40,0;8;151;3,92;2;14;0,4309260702890873;0,1075098619127254;0,43;0,273;0,8816164630104276;0,3821268629956312;0,4;0,2222222222222222;0,6215333333333335;0,40544;0,72;0,7533333333333333;0,0333333333333333;1000;50;30;0,5;0;10;medium;imbalanced
0;10,20408163265306;2;122;40,0;8;151;3,92;2;14;0,4250051833939426;0,1318806562539274;0,332;0,207;0,8940354521567428;0,5598535776543431;0,3111111111111111;0,2;0,6505333333333334;0,40544;0,8266666666666667;0,8433333333333334;0,0166666666666667;1000;50;30;0,5;0;10;medium;very_imbalanced
0;13,157894736842104;1;137;40,0;2;254;3,04;2;15;0,9555472612868632;0,0793148561251508;0,764;0,613;0,9389340828896516;0,1116829848205114;0,5;0,3095238095238095;0,4944999999999999;0,58704;0,3566666666666667;0,6533333333333333;0,2966666666666666;1000;50;20;0,0;0;10;imbalanced;medium
0;13,157894736842104;1;137;40,0;2;254;3,04;2;15;0,5252262346883986;0,0431393637120728;0,544;0,376;0,9389340828896516;0,1116829848205114;0,5;0,3095238095238095;0,4944999999999999;0,58704;0,6033333333333334;0,6466666666666666;0,0433333333333332;1000;50;20;0,25;0;10;imbalanced;medium
0;13,157894736842104;1;137;40,0;2;254;3,04;2;15;0,4084657007634489;0,0360238196165388;0,511;0,358;0,9389340828896512;0,1116829848205118;0,5;0,3095238095238095;0,4944999999999999;0,58704;0,6333333333333333;0,65;0,0166666666666667;1000;50;20;0,5;0;10;imbalanced;medium
0;13,333333333333334;1;49;40,0;24;85;3,0;2;7;0,3680528576473593;0,0168687898331996;0,489;0,322;0,9492242206986566;0,0623460612598029;0,3870967741935484;0,2258064516129032;0,3504;0,1870399999999999;0,6833333333333333;0,6866666666666666;0,0033333333333332;1000;50;20;0,5;0;10;very_balanced;medium
0;12,5;1;68;40,0;19;114;3,2;2;8;0,4010524027010247;0,026033149993462;0,539;0,375;0,9183113098579856;0,1312184197021288;0,4444444444444444;0,3333333333333333;0,4803;0,2614399999999999;0,6266666666666667;0,66;0,0333333333333333;1000;50;20;0,5;0;10;balanced;medium
0;13,513513513513514;2;96;40,0;7;156;2,96;2;9;0,355172925306205;0,0273682822400083;0,477;0,308;0,877177109800797;0,1554289108616911;0,3953488372093023;0,3023255813953488;0,5159999999999999;0,41;0,6633333333333333;0,6933333333333334;0,03;1000;50;20;0,5;0;10;medium;medium
0;12,96103896103896;1;221;43,391304347826086;2;397;3,347826086956522;1;18;0,5791690439449164;0,0344898344081103;0,468937875751503;0,312625250501002;0,9366766956799448;0,1547292992408685;0,3478260869565217;0,1739130434782608;0,5335671342685371;0,7030582904940316;0,6233333333333333;0,66;0,0366666666666667;1000;50;20;0,5;0;10;very_imbalanced;medium
0;13,157894736842104;1;52;40,0;2;254;3,04;2;15;0,4521552378419101;0,0298100113545666;0,66;0,493;0,9308743981751668;0,1077570958196189;0,6190476190476191;0,3809523809523809;0,2901999999999999;0,58704;0,46;0,53;0,07;1000;50;20;0,5;0;10;imbalanced;very_balanced
0;13,157894736842104;1;63;40,0;2;254;3,04;2;15;0,4681509387787728;0,0267754727661936;0,591;0,451;0,9239770309423424;0,0944859246043588;0,5714285714285714;0,4047619047619047;0,3692;0,58704;0,52;0,5366666666666666;0,0166666666666666;1000;50;20;0,5;0;10;imbalanced;balanced
0;13,157894736842104;1;186;40,0;2;254;3,04;2;15;0,3912575115944308;0,0553086224505098;0,388;0,258;0,9416095093377748;0,1960752820434005;0,3571428571428571;0,1666666666666666;0,5758000000000001;0,58704;0,76;0,7766666666666666;0,0166666666666666;1000;50;20;0,5;0;10;imbalanced;imbalanced
0;13,157894736842104;1;216;40,0;2;254;3,04;2;15;0,3380486281906713;0,0884292965550879;0,281;0,178;0,9474723834834304;0,3356907199015871;0,1904761904761904;0,119047619047619;0,6257;0,58704;0,8566666666666667;0,8666666666666667;0,01;1000;50;20;0,5;0;10;imbalanced;very_imbalanced
0;13,157894736842104;1;137;40,0;2;254;3,04;2;15;0,3717193589126596;0,03326572385571615;0,509;0,353;0,9389340828896515;0,11168298482051182;0,5;0,30952380952380953;0,49449999999999994;0,58704;0,64;0,64;0,0;1000;50;20;0,75;0;10;imbalanced;medium
